"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"37S ribosomal protein Mrp17",6.89142451202084,-0.360798334674094,0.719467060085427,-0.501479990802156,0.616033356423521,0.71760413098485
"37S ribosomal protein MRP4",9.25338573245003,2.18419637364805,0.720937609740676,3.02966074197976,0.00244828582748583,0.00720901183579264
"37S ribosomal protein Rsm22",7.08477158254666,0.780395971130788,0.633143402791402,1.23257380190677,0.217734816161128,0.326833758499625
"aab-1",5.62651289056377,1.39669894956377,0.919850330023367,1.51839805235303,0.128914082379301,0.214940173227921
"aac",48.5195653852449,-1.69646367813607,0.415377552821891,-4.08414866574047,4.42387030851384e-05,0.00018323753895241
"aap-2",0.901439023437591,3.49963265823469,2.42271644153633,1.44450774272842,0.148596203345731,NA
"acd-1",6.66211111202094,-0.275219707210596,0.891440292854785,-0.308735996585055,0.757522359267962,0.83062300701664
"acd-2",4.07447893326691,1.95968237513705,1.28308660934543,1.52731885818431,0.126681742371349,0.212015320239604
"acd-3",6.85535370046887,0.0153823264754162,0.792590635266399,0.0194076560975843,0.984515902877026,0.992531530139416
"ace-2",21.8924944820654,-0.218550361510897,0.655157772980777,-0.333584322012325,0.738693250454169,0.816937787794661
"ace-4",24.1811869981984,-1.4106935705033,0.561510004683796,-2.51232134554345,0.0119939817231709,0.0293426422884368
"acon-2",42.4594131383015,3.50942497079789,0.556476951159911,6.30650553177971,2.85405783305251e-10,2.42990834567969e-09
"acon-3",9.47558597345705,1.85747395082168,0.937473431573595,1.98136169864976,0.0475507257966643,0.0950745106721974
"acp-1",9.66060008603361,2.36214734718458,0.575104845627119,4.10733341084754,4.00253263258191e-05,0.000166420699869102
"acr-2",29.0794636588419,1.07072113090788,0.496738707103435,2.15550170662446,0.0311225952205739,0.0663434844659652
"act",32.7705226142301,-1.44801361890494,0.467293584841597,-3.09872351317596,0.00194356305026491,0.00585224744401438
"actin cytoskeleton-regulatory complex protein",117.663449566375,4.90860608052882,0.390541093916491,12.5687313242852,3.13717697816748e-36,2.20524599223911e-34
"acu-15",9.14727906548327,0.515232919933653,0.624483650916735,0.825054297542132,0.409340764872654,0.532852659253263
"acu-3",7.50585054400708,2.70231828213841,0.703007540708455,3.84393925478403,0.000121074987222276,0.000464933220791526
"acu-5",37.5534546336694,-1.51770477635921,0.393331523562792,-3.85858921911943,0.000114043435520941,0.000440568455340341
"acu-6",5.3868797257089,3.265733435997,0.983605290606214,3.32016660258535,0.000899637427198226,0.00291000960640013
"acu-8",26.5905085775439,-1.26422063262631,0.601354896822407,-2.10228708422685,0.0355281352921238,0.0744087771192314
"acu-9",5.8137058238167,0.164821161952352,1.27141696454043,0.129635805207246,0.89685457380638,0.931978737032602
"acw-10",179.250234220908,-0.0413001547149015,0.227739893113086,-0.181347914721263,0.85609449895133,0.904267430948592
"acw-11",15.0480686965624,3.92095045206936,0.761572290752984,5.14849410840909,2.62586032391441e-07,1.54059203376458e-06
"acw-2",49.9492762192727,3.2877756178268,0.419348054404958,7.84020715797061,4.49803747145855e-15,6.38775623210351e-14
"acw-3",158.0922214826,-4.04882337241976,0.396419492729374,-10.2134820478765,1.72558776631977e-24,5.61253385008521e-23
"acw-5",57.5630513765094,1.91600714353245,0.456118763685515,4.20067599949363,2.66119200921804e-05,0.000113696690079061
"acw-6",26.7601267146088,-0.761011812785774,0.523450163300294,-1.4538381418924,0.145991186019805,0.237147477773943
"acw-7",64.7529342366655,-1.57047120266195,0.374997702514556,-4.18794886510269,2.81486916076998e-05,0.000119827180559195
"acw-8",32.2594740674993,-1.26302453594671,0.447439528377332,-2.82278264624307,0.00476088359401747,0.0130443774870246
"acw-9",86.555809754607,-1.6242884999105,0.469939018762763,-3.45638143473777,0.000547480000423418,0.00184885829808061
"ad-4",8.50357629736352,-0.108352154622186,0.833732692381074,-0.129960304558456,0.8965978326478,0.931920668666355
"ad-5",9.63359925818478,1.09471402416987,0.842011768109096,1.300117249701,0.193560786401456,0.297961184388545
"ad-7",5.9065039354435,0.684054167374805,0.882177427207305,0.775415632136842,0.438094100978711,0.560665125060334
"ada-1",11.9242187744832,0.0726012249512009,0.752372955770961,0.0964963245878582,0.923126392859814,0.951295967411968
"ada-3",3.10672641750744,2.00324807337923,1.1231840807508,1.78354386223152,0.0744978145909929,0.136999889365093
"ada-4",24.6058270415389,-2.79977642206434,0.599133460862739,-4.67304299451532,2.96769611117793e-06,1.47507036286576e-05
"ada-6",4.34760218014301,4.39427437924347,1.46910386925162,2.99112572719719,0.00277951028805552,0.00808647304744265
"adv-1",64.4359704149482,-0.34170752901391,0.397212192304656,-0.860264452184353,0.389643283385846,0.514143155204963
"aga-1",23.8633827000768,-2.20540380940116,0.534560471171649,-4.12563952693203,3.69705958881097e-05,0.000154492874942734
"al-1",8.81322058686957,-2.43273362603051,1.00376604181723,-2.42360622364377,0.0153672583310369,0.0363331029994704
"al-2",22.9709405187583,-1.64794253744477,0.544853494014754,-3.02456083249444,0.00248994392240676,0.00731946031001536
"alc-1",10.1280337718848,-0.140311598324621,0.724459477457484,-0.193677635106727,0.846428304842771,0.897819503393489
"alf1",12.8429977463298,2.20248488285462,0.528946608929242,4.16390774734931,3.12846560128464e-05,0.000132061663958535
