"","logFC_WT","logFC_cac1","logFC_cac2","logFC_cac3","logFC_set7"
"CM002236.1.1201.1500",0,-1.26187204072889,0,0,0
"CM002236.1.1501.1800",0,0,0,0,1.52849960240367
"CM002236.1.1801.2100",0,0,0,0,1.22128592166844
"CM002236.1.2101.2400",0,0,0,1.15735492156808,1.13998856907986
"CM002236.1.2401.2700",1.18668051904318,0,1.27925968670442,1.48668891096414,1.10161141977117
"CM002236.1.2701.3000",1.04461754363082,0,0,1.55648890381746,0
"CM002236.1.3001.3300",0,0,0,1.09394759407929,0
"CM002236.1.3301.3600",0.913324934549001,0,1.13432551929272,0,1.56609555201115
"CM002236.1.3601.3900",1.07243988293543,0,0.983287329524434,0,0
"CM002236.1.3901.4200",0.89742250710205,0,1.01999080943837,1.08626966659991,1.21963691921565
"CM002236.1.4201.4500",0,0,0,0,1.70338325831051
"CM002236.1.4501.4800",0,0,0,0,0
"CM002236.1.4801.5100",0,0,0,0,0
"CM002236.1.5101.5400",0,0,0,0,0
"CM002236.1.5401.5700",0,0,0,0,0
"CM002236.1.5701.6000",0,-1.33875263250896,0,0,0
"CM002236.1.6001.6300",0,0,0,0,0
"CM002236.1.15001.15300",0,-1.6899261217243,0,0,0
"CM002236.1.15301.15600",0,-1.11764860753337,0,0,0
"CM002236.1.15601.15900",0,0,0,0,0
"CM002236.1.15901.16200",0,-1.01804327047453,0,0,0
"CM002236.1.16201.16500",0,0,0,0,0
"CM002236.1.16501.16800",1.20707307506058,0,0,1.00612499417714,1.54977118207534
"CM002236.1.16801.17100",1.19147337436667,1.12542127317093,1.29665350727897,1.64540952322144,1.39950782681257
"CM002236.1.17101.17400",1.18868841605022,1.07497483462619,1.45773417621307,1.3891902929508,1.71020145163217
"CM002236.1.17401.17700",0,0,0,0,0
"CM002236.1.17701.18000",0,0,0,0,0
"CM002236.1.18001.18300",0,-0.912448486403616,0,-0.97736828133523,0
"CM002236.1.18301.18600",0,0,0,0,0
"CM002236.1.18601.18900",0,0,0,0,0
"CM002236.1.18901.19200",0,0,0,0,0
"CM002236.1.19201.19500",0,0,0,0,0
"CM002236.1.34201.34500",0,0,0,0,0
"CM002236.1.34501.34800",0,0,0.976487521954211,0.984335589317396,1.37033546452107
"CM002236.1.34801.35100",0,0,1.09764380448097,1.05534103174658,1.55061343082786
"CM002236.1.35101.35400",0,0,1.41684837207879,0,1.86000373159195
"CM002236.1.35401.35700",0,0,0,0,0
"CM002236.1.35701.36000",0,0,0,0,0
"CM002236.1.36001.36300",0,0,0,0,0
"CM002236.1.36301.36600",0,-0.997442124985677,0,0,0
"CM002236.1.36601.36900",-1.08181941896317,0,0,0,0
"CM002236.1.36901.37200",0,0,0,0,0
"CM002236.1.37201.37500",0,0,0,-0.976051669979507,0
"CM002236.1.37501.37800",0,0,0,0,0
"CM002236.1.37801.38100",0,-0.939247154545127,0,-1.27992272223586,0
"CM002236.1.38101.38400",0,-1.56889825382092,0,0,0
"CM002236.1.38401.38700",0,-1.46055276379518,0,-1.3792392611804,0
"CM002236.1.38701.39000",-1.27342983211502,-1.92784463320552,-1.12388246984014,-1.47166917374296,0
"CM002236.1.41101.41400",0,0,0,0,0
"CM002236.1.41401.41700",0,0,0,-0.961760105279011,0
"CM002236.1.41701.42000",0,0,0,0,0
"CM002236.1.42001.42300",0,0,0,0,0
"CM002236.1.42301.42600",0,0,0,0,0
"CM002236.1.42601.42900",0,0,0,-1.072942471941,0
"CM002236.1.42901.43200",0,0,0,0,0
