"","logFC_cac1","logFC_cac2","logFC_cac3","logFC_set7"
"CM002236.1.1501.1800",0,0,0,0
"CM002236.1.1801.2100",0,0,0,0
"CM002236.1.2101.2400",0,0,0,0
"CM002236.1.2401.2700",0,0,0,0
"CM002236.1.2701.3000",0,0,0,0
"CM002236.1.3001.3300",0,0,0,0
"CM002236.1.3301.3600",0,0,0,0
"CM002236.1.3601.3900",0,0,0,0
"CM002236.1.3901.4200",0,0,0,0
"CM002236.1.4201.4500",0,0,0,0
"CM002236.1.16501.16800",0,0,0,0
"CM002236.1.16801.17100",0,0,0,0
"CM002236.1.17101.17400",0,0,0,0
"CM002236.1.34501.34800",0,0,0,0
"CM002236.1.34801.35100",0,0,0,0
"CM002236.1.35101.35400",0,0,0,0
"CM002236.1.48001.48300",0,0,0,0
"CM002236.1.48301.48600",0,0,0,0
"CM002236.1.48601.48900",0,0,0,0
"CM002236.1.196801.197100",0,0,0,0
"CM002236.1.209701.210000",0,0,0,0
"CM002236.1.210001.210300",0,0,1.93353603480849,0
"CM002236.1.211201.211500",0,0,1.77728540816645,0
"CM002236.1.265801.266100",0,0,0,0
"CM002237.1.18001.18300",0,0,0,0
"CM002237.1.18301.18600",0,0,0,0
"CM002237.1.38101.38400",0,0,0,0
"CM002237.1.38401.38700",0,0,0,0
"CM002237.1.38701.39000",0,0,0,0
"CM002237.1.4467301.4467600",0,0,0,0
"CM002237.1.4467601.4467900",0,0,0,0
"CM002237.1.4467901.4468200",0,0,0,0
"CM002237.1.4468201.4468500",0,0,0,0
"CM002237.1.4468501.4468800",0,0,0,0
"CM002237.1.4468801.4469100",0,0,0,0
"CM002238.1.9901.10200",0,0,0,0
"CM002238.1.10501.10800",0,0,0,0
"CM002238.1.12301.12600",0,0,0,0
"CM002238.1.12601.12900",0,0,0,0
"CM002238.1.12901.13200",0,0,0,0
"CM002238.1.238501.238800",0,0,0,0
"CM002238.1.238801.239100",0,0,0,0
"CM002238.1.244201.244500",0,0,0,0
"CM002238.1.252601.252900",0,0,0,0
"CM002238.1.276001.276300",0,0,0,0
"CM002238.1.276301.276600",0,0,0,0
"CM002238.1.276601.276900",0,0,0,0
"CM002238.1.285001.285300",0,0,0,0
"CM002238.1.285301.285600",0,0,0,0
"CM002238.1.291301.291600",0,0,0,0
"CM002238.1.291601.291900",0,0,0,0
"CM002238.1.291901.292200",0,0,0,0
"CM002238.1.401701.402000",0,0,0,0
"CM002238.1.402001.402300",0,0,0,0
"CM002238.1.4762801.4763100",2.71901331705496,2.23466611685941,3.13081416985895,0
"CM002238.1.4763101.4763400",2.56081264595892,0,2.7919562106723,0
"CM002238.1.4763401.4763700",0,0,2.46292517629175,0
"CM002238.1.4782901.4783200",0,0,0,0
"CM002238.1.4987501.4987800",0,0,0,0
"CM002238.1.5053201.5053500",0,0,0,0
"CM002238.1.5053501.5053800",0,0,0,0
"CM002238.1.5231101.5231400",0,0,0,0
"CM002238.1.5258701.5259000",0,0,0,0
"CM002238.1.5264701.5265000",0,0,0,0
"CM002238.1.5265001.5265300",0,0,0,0
"CM002238.1.5265301.5265600",0,0,0,0
"CM002238.1.5265601.5265900",0,0,0,0
"CM002238.1.5267701.5268000",0,0,0,0
"CM002238.1.5270701.5271000",0,0,0,0
"CM002238.1.5271001.5271300",0,0,0,0
"CM002238.1.5271301.5271600",0,0,0,0
"CM002238.1.5271601.5271900",0,0,0,0
"CM002238.1.5271901.5272200",0,0,0,0
"CM002239.1.19501.19800",0,0,0,0
"CM002239.1.19801.20100",0,0,0,0
"CM002239.1.31201.31500",0,0,0,0
"CM002239.1.31501.31800",0,0,0,0
