"","logFC_WT","logFC_cac1","logFC_cac2","logFC_cac3","logFC_set7"
"CM002236.1.1201.1500",0.00350479134788939,-1.26173857813533,-0.146699080556264,-0.509199076538159,-0.141253974390166
"CM002236.1.1501.1800",0.549068721792845,0.178531950666709,0.777109037590346,0.478147197294785,1.52946928135298
"CM002236.1.1801.2100",0.779161476911721,-0.340788063402768,0.819921635123061,0.827937976324985,1.22222222922185
"CM002236.1.2101.2400",0.569464524245049,-0.23413515979907,0.483365132218808,1.15720921038634,1.13960884623406
"CM002236.1.2401.2700",1.18669673717684,0.269284123452661,1.27908963177919,1.48699304509971,1.1018359210408
"CM002236.1.3301.3600",0.913630337479887,0.776745334491566,1.13443146522863,0.529919111425354,1.56654423907399
"CM002236.1.3601.3900",1.07284723354615,-0.0162963259218317,0.983092570716738,0.726966593616886,1.05031307501201
"CM002236.1.3901.4200",0.897766529408706,-0.154941461006894,1.01985602955432,1.08637790732195,1.21974635059197
"CM002236.1.4201.4500",0.668690752345755,-0.48460643356616,0.807390058027884,0.606021784168101,1.70385209275337
"CM002236.1.5701.6000",0.320827997921856,-1.33891315658991,0.141870144144261,-0.272542588280806,0.235609311708588
"CM002236.1.18001.18300",-0.558415923298137,-0.912451858341904,-0.0916549617011673,-0.976901205289814,-0.42159329686671
"CM002236.1.35101.35400",0.999025952424312,0.393493572849516,1.41644721414758,0.827863133293373,1.85937452384677
"CM002236.1.36301.36600",0.0916802284472113,-0.997429430154949,-0.195440400524401,-0.60662063446321,-0.399134443473052
"CM002236.1.36601.36900",-1.08129063570345,-0.579942324747142,-0.23104560317097,-0.387785554417177,-0.0693985918182487
"CM002236.1.37801.38100",-0.525268894832439,-0.939635774597616,-0.387356282346493,-1.27952356045164,-0.305318591565167
"CM002236.1.38101.38400",-0.603644117233246,-1.56885531598972,-0.562862431416582,-0.819114259903555,-0.190663368813419
"CM002236.1.38401.38700",-0.676488658260812,-1.4601988346411,-0.325610328278283,-1.37888596601562,0.0858882675933237
"CM002236.1.38701.39000",-1.2740701639992,-1.92760001903706,-1.12381178736642,-1.47111383498438,-1.14028603678877
"CM002236.1.41401.41700",-0.52287542052593,-0.149648953007023,0.159785613503365,-0.961049377800776,-0.0700648200754856
"CM002236.1.43801.44100",-0.426701168402937,-0.537389927952662,-0.0757077048856495,-0.985217986919604,-0.506998619575251
"CM002236.1.45601.45900",-0.870212065613218,-1.15492728905412,-0.581837820968383,-1.67032302171628,-0.193837318325852
"CM002236.1.46201.46500",-1.19867585691042,-1.09050520046897,-0.115623648642992,-0.695990183015154,0.223306198080929
"CM002236.1.47101.47400",-0.475530951555935,-0.964105683836991,0.352729340151388,-0.0887732318986907,0.282469951005995
"CM002236.1.91501.91800",-0.00206007417764898,-0.964515199580995,-0.181376237897811,-0.623328980175162,0.108127491622804
"CM002236.1.92101.92400",-0.352786995811053,-1.00479620920481,-0.444947004244283,-1.37848527226376,0.354349397868357
"CM002236.1.181501.181800",-1.32911055318962,-0.724443303420519,-0.877926001658905,-0.922485516954211,-0.838676054217679
"CM002236.1.182701.183000",-0.417633788069254,-1.01703814239833,-0.499886743075342,-1.13655591128541,-0.190929891350023
"CM002236.1.183001.183300",-0.747836915352746,-1.22215445547303,-0.807142071215457,-1.04972033844313,-0.182531561854276
"CM002236.1.183301.183600",-0.906570526348089,-0.86031340280495,-0.752270526680106,-1.40002081435732,-0.928245300154945
"CM002236.1.183601.183900",-0.500063516294437,-1.35662203638515,-0.433872616018068,-0.898083408564443,-0.586708201784985
"CM002236.1.183901.184200",-0.638283158308083,-1.12517885108714,-0.583061471088816,-1.16001803882152,-0.3672827896699
"CM002236.1.184201.184500",-1.01958550500447,-0.908018708797364,-0.446276387885009,-1.20293809094333,-0.472938656321554
"CM002236.1.184501.184800",-1.30442000266032,-0.77406283757928,-0.345002518253931,-1.07794608582517,-0.569163008652611
"CM002236.1.187801.188100",-1.09657654499943,-0.921893753716153,-0.568304800530829,-0.80093756143987,-0.678520953258352
"CM002236.1.188701.189000",-1.06722131443725,-1.03732674663927,-0.800754714138815,-0.619544198328758,-0.188914778770629
"CM002236.1.189001.189300",-1.08718431387005,-0.550741366824421,-0.151982229350175,-0.263704747281385,0.0712959414280249
"CM002236.1.190501.190800",-1.12117843722836,-0.938316179118036,-0.905849575857718,-0.721334803021922,-0.562472573535074
"CM002236.1.193201.193500",-1.22414093945988,-0.0142269965374982,-0.620100434261323,0.048363804633866,-0.271170611780244
"CM002236.1.193501.193800",-1.20572929034787,-0.881020700173007,-0.932278591732269,-0.396972069186902,-0.570747919844211
"CM002236.1.195901.196200",-1.09931004746354,0.272624232088546,-0.0690181276320584,0.521050720257229,-0.0738009942491377
"CM002236.1.208501.208800",-2.56598566422495,-1.66916332561635,-1.26789756174495,-1.52867021457991,-1.2149000781431
"CM002236.1.208801.209100",-1.54634940844153,-0.98044254956885,-1.07252872746665,-0.0224791578748571,-0.727039257822439
"CM002236.1.210601.210900",-1.69126073880282,-1.11066368708493,-0.922458682620103,-0.519663762802255,-0.630150907866149
"CM002236.1.210901.211200",-1.14519046566454,-0.3636226818887,-0.32715497372059,0.0852861155458451,-0.755320882015018
"CM002236.1.211201.211500",-0.885117174479377,0.468091734447568,0.089523745917948,0.892558381165457,-0.0564260527017601
"CM002236.1.214801.215100",-1.28733904594323,-1.34089697301558,-0.532169321252644,-1.27507220738288,-1.11828499806555
"CM002236.1.215101.215400",-1.32510926396692,-1.28022484746003,-0.473196486300557,-0.49795084794975,-0.278031786509641
"CM002236.1.215401.215700",-1.0248661784501,-0.608544280871082,-0.891814887670446,-1.12215202521842,-0.929037640108493
"CM002236.1.219901.220200",-0.94627829185636,-1.00056515155916,-0.560528004263509,-0.621286499844902,-0.708752344334086
"CM002236.1.220201.220500",-1.1520972040989,-0.524236529411514,-0.277683773021085,-0.593020839934509,-0.353577531256433
"CM002236.1.220501.220800",-1.06584800786786,-0.978828923818622,-0.746318471503536,-0.672188079418058,-0.236009738591532
"CM002236.1.243601.243900",-1.37193146071636,-0.958931848417573,-1.18602175165495,-1.68331406909308,0.0112790735784563
"CM002236.1.243901.244200",-0.71420391863588,-1.4171004050361,-0.642361376706876,-0.923281324447444,-0.312227372671043
"CM002236.1.244501.244800",-0.378959021724397,-1.00405779721675,-0.476569451167738,-0.700907249644148,-0.023549758989901
"CM002236.1.245101.245400",-0.0271984182937814,-1.23616459028746,-0.312845221401591,-0.89968895688797,0.296412654313919
"CM002236.1.245401.245700",-1.18506438887741,-1.66037156290004,-0.89974166533878,-0.711886190949467,-0.2521808134001
"CM002236.1.245701.246000",-1.36833488826408,-1.66793641149219,-0.667042113492115,-1.22095833623338,-0.236525450129077
"CM002236.1.249301.249600",-0.61086794814045,-1.51104049398505,-0.708237269496638,-1.37022504480813,-0.106582205380457
"CM002236.1.249601.249900",-0.701889984921064,-1.08174104350607,-0.723039066232653,-0.82265630322932,0.0299001929809757
"CM002236.1.250501.250800",-0.252728125712915,-1.21473866943983,-0.421922177686632,-0.856205760165204,-0.205745329825699
"CM002236.1.250801.251100",-1.24135938589099,-0.683957358773293,-0.125123672525005,-1.45156075905915,-0.233941073013863
"CM002236.1.251101.251400",-0.247629738000754,-1.32388924793291,0.0112192934995894,-0.777091546586876,-0.0225162590447672
"CM002236.1.251401.251700",-0.237140399675741,-1.1283831258922,-0.356148097519279,-0.675311789539327,-0.138202203029898
"CM002236.1.255001.255300",-0.86982519765636,-1.45169965256032,-1.33951519826357,-1.10114243531205,-0.588358033006526
"CM002236.1.256201.256500",-1.45075250010744,-1.7472931234711,-1.18845514009534,-1.64272979795584,-0.701813134219283
"CM002236.1.257701.258000",-0.915000640660221,-0.927744009657436,-1.01189330878528,-1.29069312823198,-0.777409764000836
"CM002236.1.258001.258300",-1.24618721474929,-1.15677573439456,-0.867628315100651,-0.915875283472079,-0.277665783029679
"CM002236.1.258301.258600",-0.911254714610888,-1.79241820767708,-1.31699888042437,-0.938402197797227,-1.09172025976325
"CM002236.1.258601.258900",-1.69433978724717,-1.79867529312025,-0.539390177094893,-1.6461759490539,-1.52295715413894
