"","logFC_cac1","logFC_cac2","logFC_cac3","logFC_set7"
"CM002236.1.1501.1800",0,0,0,0
"CM002236.1.1801.2100",0,0,0,0
"CM002236.1.2101.2400",0,0,0,0
"CM002236.1.2401.2700",0,0,0,0
"CM002236.1.3301.3600",0,0,0,0
"CM002236.1.3601.3900",0,0,0,0
"CM002236.1.3901.4200",0,0,0,0
"CM002236.1.4201.4500",0,0,0,0
"CM002236.1.35101.35400",0,0,0,0
"CM002236.1.211201.211500",0,0,0,0
"CM002237.1.4467901.4468200",0,0,0,0
"CM002237.1.4468801.4469100",0,0,0,0
"CM002238.1.10501.10800",0,0,0,0
"CM002238.1.12301.12600",0,0,0,0
"CM002238.1.12901.13200",0,0,0,0
"CM002238.1.4762801.4763100",2.71955801180317,0,3.13151463124433,0
"CM002238.1.4763101.4763400",2.56090250754496,0,2.79264619810147,0
"CM002238.1.4763401.4763700",0,0,2.46392913173917,0
"CM002238.1.4782901.4783200",0,0,0,0
"CM002239.1.70501.70800",0,0,0,0
"CM002239.1.107401.107700",0,0,0,0
"CM002239.1.192001.192300",0,0,0,0
"CM002239.1.345901.346200",0,0,2.1184041352071,0
"CM002239.1.350401.350700",2.17469019392346,0,0,0
"CM002239.1.350701.351000",0,0,0,0
"CM002239.1.508501.508800",2.11728168729882,0,2.51204439500901,0
"CM002239.1.596401.596700",0,0,0,0
"CM002239.1.597301.597600",0,0,2.87651791796809,0
"CM002239.1.5866801.5867100",0,0,0,0
"CM002239.1.5868301.5868600",0,0,0,0
"CM002239.1.5950501.5950800",0,0,0,0
"CM002240.1.679201.679500",0,0,0,0
"CM002240.1.6164101.6164400",0,0,0,0
"CM002240.1.6193201.6193500",0,0,0,0
"CM002240.1.6432601.6432900",0,0,0,0
"CM002240.1.6435301.6435600",0,0,0,0
"CM002241.1.1501.1800",0,0,0,0
"CM002241.1.1801.2100",0,0,0,0
"CM002241.1.2101.2400",0,0,0,0
"CM002241.1.2401.2700",0,0,0,0
"CM002241.1.2701.3000",0,0,0,0
"CM002241.1.358501.358800",0,0,0,0
"CM002241.1.474901.475200",0,0,2.02707026956539,0
"CM002241.1.475501.475800",0,0,2.40455934724576,0
"CM002241.1.3501901.3502200",0,0,0,0
"CM002241.1.3502201.3502500",0,0,0,0
"CM002241.1.3751201.3751500",0,0,0,0
"CM002241.1.3751501.3751800",0,0,0,0
"CM002241.1.3751801.3752100",0,0,0,0
"CM002241.1.3833401.3833700",0,0,0,0
"CM002241.1.4149001.4149300",0,0,0,0
"CM002242.1.1801.2100",0,0,0,0
"CM002242.1.3901.4200",0,0,0,0
"CM002242.1.4201.4500",0,0,0,0
"CM002242.1.4501.4800",0,0,0,0
"CM002242.1.707101.707400",0,0,0,0
"CM002242.1.4202401.4202700",0,0,0,0
