"","logFC_cac1","logFC_cac2","logFC_cac3","logFC_set7"
"CM002236.1.2701.3000",-0.354894662329616,-0.143874173172932,0.511672661986067,-0.40209158065639
"CM002236.1.3001.3300",-0.0209933873097331,0.0795358403539573,0.280407891487115,0.128160342438814
"CM002236.1.17101.17400",-0.113468951749975,0.269540685952647,0.20072254620115,0.521930605139844
"CM002236.1.34501.34800",-0.0300579717627932,0.544982054007358,0.552759950705338,0.938888370986757
"CM002236.1.34801.35100",-0.472978412974038,0.220154338059279,0.177434691803877,0.673259613032477
"CM002236.1.48001.48300",-0.0480574011647406,0.433994884261894,0.171047258908932,-0.613801289881297
"CM002236.1.48301.48600",0.446072960323876,-0.265537992457708,0.494263741291424,0.134267521411456
"CM002236.1.210001.210300",0.770137132050414,0.854284418991578,1.93335296685363,0.89707019935001
"CM002236.1.9772201.9772500",0.0743160169375742,-0.476027300777908,-0.223735452999647,-0.0423698376151971
"CM002237.1.18001.18300",-0.13767891029219,0.0379507807874787,0.536560101262789,0.297138202828611
"CM002237.1.18301.18600",0.0651093169369931,0.194258750231279,0.501158681341569,0.277086209943781
"CM002237.1.38101.38400",0.0141243952028222,-0.28858724515214,0.378135057339236,0.0267570878392091
"CM002237.1.38401.38700",0.527075588907367,-0.26440857495803,0.603003923753413,-0.0450299056596343
"CM002237.1.4468201.4468500",-0.110940773251709,0.403538609898069,0.0249136211146137,0.668578415196453
"CM002237.1.4468501.4468800",-0.190608639562992,-0.207639609719514,0.136927252916176,0.290767598909492
"CM002238.1.12601.12900",-0.0944641999565003,-0.0714712042026925,0.262036082464668,0.0994748807481582
"CM002238.1.238501.238800",-0.131623503231771,-0.0928469640525584,0.508573638561847,-0.000299449313331575
"CM002238.1.276301.276600",0.260313305463797,-0.102593228532128,0.254577713604188,0.223569816647472
"CM002238.1.276601.276900",-0.218270140614981,-0.0951441661502227,-0.102338425416061,-0.304930039528837
"CM002238.1.285001.285300",0.401000357049825,-0.0426234235657285,0.314457136687385,0.138990796704671
"CM002238.1.285301.285600",0.622334611089879,0.203180799162816,0.827521414807673,0.156544559804422
"CM002238.1.291601.291900",0.238126331241089,-0.259147904142751,0.462437475394151,0.411121532847829
"CM002238.1.291901.292200",0.507958070293011,0.0688818744265552,0.483795819221619,0.258646039529401
"CM002238.1.401701.402000",0.668497087815165,-0.394308173975494,-0.665369629110976,-0.222895005703451
"CM002238.1.402001.402300",0.271747182877872,0.0081367182168635,-0.573592875184488,-0.209282848763334
"CM002238.1.4987501.4987800",-0.385324715410041,-0.0610235963459681,-0.057844752995538,-0.24199429196451
"CM002238.1.5053201.5053500",0.537410708050016,0.41164284986329,0.738902360969913,0.222955906550854
"CM002238.1.5053501.5053800",0.450382018560159,0.314663146810869,0.269234550404153,0.124601960039187
"CM002238.1.5231101.5231400",-0.123050589116929,-0.161192477955404,0.245486243511787,0.226616772007541
"CM002238.1.5265301.5265600",0.354921516123697,0.306361823185784,0.979141360812595,0.559332079363404
"CM002238.1.5265601.5265900",-0.559732309466595,0.231027655255577,0.0206339379803219,0.399558572896835
"CM002238.1.5269801.5270100",-0.568985070128994,-0.191986759846331,0.170741311680266,0.0578053739890978
"CM002238.1.5270701.5271000",0.133811147065462,0.376389599990585,0.262715504037141,0.55544118526696
"CM002238.1.5271001.5271300",0.347907657354342,-0.17794752858446,0.515588990482444,-0.1028161896893
"CM002238.1.5271901.5272200",-0.271219086946515,0.170514732259957,0.651771175421463,0.226759122220174
"CM002239.1.19501.19800",0.504988010036397,0.175916221149199,0.743258748872619,0.277156269577058
"CM002239.1.31501.31800",0.539507386043893,-0.131233280879923,0.713685320312105,0.0598251515465471
"CM002239.1.31801.32100",-0.532189326298548,-0.18881357956944,-0.204494668321299,-0.116159166114308
"CM002239.1.103201.103500",0.295171882325509,0.556672086373691,1.17480194379633,1.37408526478495
"CM002239.1.106801.107100",-0.307887793627753,-0.520131001996223,0.208296100815726,-0.547828332489429
"CM002239.1.107101.107400",-0.624962874042354,-0.449165722888597,-0.637796871042766,-0.791968959621275
"CM002239.1.191701.192000",0.514644350411329,0.0155501420158293,0.720507449184056,0.153918839637741
"CM002239.1.284101.284400",0.522317196647769,-0.278672159226527,0.324194848821996,-0.162650189825332
"CM002239.1.312301.312600",0.998872465691333,0.763660741890528,0.869105535388397,0.60802087783739
"CM002239.1.317701.318000",0.827902518913822,0.144146949339494,0.610549889359371,-0.165729250206457
"CM002239.1.361201.361500",0.176084433237016,0.14919216961568,1.42310445054286,0.22568895419417
"CM002239.1.505801.506100",2.06986392992739,1.32238493441247,1.90924268363797,0.681290741781948
"CM002239.1.508201.508500",1.94327723557376,1.53975274544683,1.84889547970309,0.557847359050318
"CM002239.1.516001.516300",0.384190312079026,-0.0281663830509874,0.724807701647056,0.0933120474518484
"CM002239.1.546301.546600",1.8121507297027,2.0743882908277,2.00840276669173,0.983223006576021
"CM002239.1.549001.549300",1.23337532023562,1.55458173340252,2.05401994161586,0.162574165262946
"CM002239.1.555601.555900",1.2143136474287,1.61545126939622,2.74336808404911,0.498693551091464
"CM002239.1.558001.558300",1.64383547481126,1.54909859721059,2.79499021414967,0.417894819471343
"CM002239.1.558301.558600",1.45516520880427,1.39657793902084,2.59375608092794,0.505046899532758
"CM002239.1.558601.558900",2.5306026763179,2.12759181649047,3.35948062003531,1.22709267611094
"CM002239.1.576601.576900",0.599672094556195,0.0568409007446938,0.88088686511822,0.433197611541818
"CM002239.1.597601.597900",0.607499646418554,1.15866935140776,2.34785407628066,0.22426461840426
"CM002239.1.619501.619800",0.19207443781933,0.132585202449635,0.265130401002028,0.478932155035298
"CM002239.1.619801.620100",0.432913561372535,0.201283522497916,0.642355959625858,0.473275112607084
"CM002239.1.633301.633600",-0.155547118530101,-0.393860360337578,0.114702698545394,-0.425196023197968
"CM002239.1.633601.633900",-0.226079962603113,-0.296505012748527,-0.115541739691348,-0.362740680949615
"CM002239.1.638701.639000",0.663450851473992,0.685649161686774,1.33149920064017,0.567790431179959
"CM002239.1.741001.741300",0.399946107228025,0.180766875298135,0.135291078008791,0.676827686655491
"CM002239.1.842101.842400",-0.048099922477983,0.356475198610403,0.309788046735362,-0.0865635914183909
"CM002239.1.5866201.5866500",0.429214775663419,0.816577845215933,1.69886639802417,0.973812712576633
"CM002239.1.5866501.5866800",0.96194708983223,0.701899524023334,2.02337126604444,1.07621964379023
"CM002239.1.5867701.5868000",-0.0115959384589431,0.0286314204273459,-0.00744645644789836,0.293300535021866
"CM002239.1.5868001.5868300",0.321342684435083,0.220139737144606,0.770145986741163,0.47225864377772
"CM002239.1.5887201.5887500",1.11375322483957,1.06569645100536,1.74710751470531,0.851417239910253
"CM002239.1.5937601.5937900",-1.06863528631072,-0.330636335113593,0.45258973379859,0.295962480051437
"CM002239.1.5938501.5938800",-0.786067500231681,-0.135969516534871,0.299773183234063,0.69072537077215
"CM002239.1.5938801.5939100",-0.396854326191806,-0.280637720513122,0.213595561720085,0.470403444446733
"CM002239.1.5949301.5949600",-0.244462949207329,-0.192283385731666,0.240534967363693,0.0128316783091181
"CM002240.1.678601.678900",-0.953958537128214,0.310423354833607,0.631721176672934,0.648083581361161
"CM002240.1.678901.679200",-1.02664565820666,0.418621300964,0.593118657093605,0.699790509546245
"CM002240.1.6035101.6035400",0.273613725744724,-0.495454444365971,-0.0797960057048216,-0.0221240335287772
"CM002240.1.6164401.6164700",0.260121268120278,0.408810952684053,0.904116798576614,0.655994750578017
"CM002240.1.6234601.6234900",0.323446744230274,0.219933552897819,0.581203977902734,0.334327544401806
"CM002241.1.3001.3300",0.0637286578957593,0.0330195897324797,0.701857464861947,0.427781455831336
"CM002241.1.3301.3600",-0.899788415450653,0.034117791150624,-0.279858433509831,0.0794857817070562
"CM002241.1.28201.28500",-0.104981451891039,0.209658953830606,0.222447792215163,0.364279773828407
"CM002241.1.199201.199500",2.19131632773055,1.79913665188392,2.32807118379339,0.815608330783926
"CM002241.1.358201.358500",1.08838016963983,0.850129172069556,0.95432970257864,0.346647965047968
"CM002241.1.480601.480900",-0.073693674969118,0.80445150988923,0.980095949887051,-0.00100072518351849
"CM002241.1.3500401.3500700",0.282587468961808,1.07454775906177,1.32282501874088,1.06021990693774
"CM002241.1.3503101.3503400",0.417749417710818,0.50427079539236,0.877587380734872,0.593707292601377
"CM002241.1.3504601.3504900",-0.0905289877029231,0.355207863951355,0.950543954506706,0.374397293688603
"CM002241.1.3504901.3505200",-0.51316255017957,0.50619088814002,0.672387121603338,0.551558493767396
"CM002241.1.3749701.3750000",0.370217629935852,0.691677493683548,1.16229185107614,1.13834397781468
"CM002241.1.3802501.3802800",0.255758082246173,0.013322234008595,-0.0754911774736975,1.22530282166591
