"","logFC_WT","logFC_cac1","logFC_cac2","logFC_cac3","logFC_set7"
"CM002236.1.2401.2700",1.18668640648973,0,1.27919774102864,1.48679959100904,1.10169320085866
"CM002236.1.2701.3000",1.04457305840326,0,0.900782228025858,1.55658935477627,0
"CM002236.1.3001.3300",0,0,0.892553597275462,1.09411108902716,0
"CM002236.1.3301.3600",0.913436085051803,0,1.13436415577758,0,1.56625909452138
"CM002236.1.15001.15300",0,-1.68983789121195,0,0,0
"CM002236.1.15301.15600",0,-1.11768956256555,0,0,0
"CM002236.1.15601.15900",0,0,0,0,0
"CM002236.1.16501.16800",1.20715580883554,0,0,1.00619533369019,1.54960897667968
"CM002236.1.16801.17100",1.19155173867834,1.12525569444072,1.29653514040708,1.64545716604513,1.39946878569436
"CM002236.1.17101.17400",1.18885730883069,1.07496532423395,1.45754229440419,1.38919804760043,1.71006561720055
"CM002236.1.34201.34500",0,0,0,0,0
"CM002236.1.34501.34800",0,0,0.976369378951399,0.984268582336947,1.37017456714513
"CM002236.1.42901.43200",0,0,0,0,0
"CM002236.1.43201.43500",0,0,0,-1.00306367422006,0
"CM002236.1.44701.45000",-1.59466821331597,-2.29605680008974,-1.48742417071926,-1.76591121797259,-1.13823997162737
"CM002236.1.45001.45300",-1.16167047427188,-2.42987186976689,0,-1.74648735627385,0
"CM002236.1.48301.48600",1.12020237282868,1.56600826551117,0,1.61425653174476,1.25422515825623
"CM002236.1.48601.48900",0.789009410492412,0,0,1.02019357227145,0
"CM002236.1.58201.58500",-1.21447381546746,-1.27272951688594,0,-1.07183569703883,0
"CM002236.1.58501.58800",0,-1.21001231064776,0,-1.06699367115442,0
"CM002236.1.58801.59100",-0.951356453371755,-0.971006447959824,0,-0.967357096514885,0
"CM002236.1.90601.90900",0,0,0,0,0
"CM002236.1.90901.91200",0,-0.90231010407183,0,0,0
"CM002236.1.180301.180600",0,0,0,0,0
"CM002236.1.180601.180900",0,0,0,0,0
"CM002236.1.180901.181200",-1.05070984376937,-1.6927910101839,0,-1.39868808044355,0
"CM002236.1.185101.185400",-1.02500756226118,0,-1.51990680448748,0,0
"CM002236.1.185401.185700",0,0,0,0,0
"CM002236.1.185701.186000",0,0,0,0,0
"CM002236.1.189601.189900",0,-0.963110687668146,0,-0.963026614617169,0
"CM002236.1.189901.190200",-1.64427600355067,-1.04790937892851,-1.3273760478556,-1.53226321179713,-1.79635261649881
"CM002236.1.190201.190500",-0.946757264638029,-0.939052937840509,0,0,0
"CM002236.1.194101.194400",0,0,0,0,0
"CM002236.1.194401.194700",0,0,0,0,0
"CM002236.1.194701.195000",0,0,0,0,0
"CM002236.1.195601.195900",0,0,0,0,0
"CM002236.1.195901.196200",-1.09913661827005,0,0,0,0
"CM002236.1.196501.196800",0,0,0,0,0
"CM002236.1.196801.197100",0,0,0,0.942153397508254,0
"CM002236.1.197401.197700",0,0,0,0,0
"CM002236.1.197701.198000",0,0,0,0,0
"CM002236.1.209401.209700",0,0,0,0,0
"CM002236.1.209701.210000",0,0,0,1.06094530776399,0
"CM002236.1.210001.210300",0,0,0,1.20145429640859,0
"CM002236.1.213901.214200",-1.27077440079571,0,0,0,0
"CM002236.1.214201.214500",0,0,0,0,0
"CM002236.1.216601.216900",-1.07889519107203,-1.33607972121125,-1.32746338212458,-1.24287312024457,0
"CM002236.1.216901.217200",-1.29376103352326,-1.53601372805129,0,-1.62002299679656,0
"CM002236.1.217201.217500",-1.52542932853722,-1.69234813132653,-1.17940545725043,-1.44618376979891,0
"CM002236.1.221101.221400",-1.17610408744273,-1.14147815370368,-1.51592030243571,-1.2487470953546,-1.39405878204106
"CM002236.1.221401.221700",0,-1.32322458036194,-1.1758901738465,-1.43455866197766,0
"CM002236.1.223801.224100",-1.3213353351995,-1.91067334675372,-1.10245230846563,-1.58900806092986,0
"CM002236.1.224101.224400",-1.1348148227563,-1.48982887206136,0,0,-1.15842686859203
"CM002236.1.246301.246600",-1.43378162941664,-1.75463631180007,-1.39454881438228,-1.18896111038339,-1.21305550865904
"CM002236.1.246601.246900",-0.953673393904873,-1.18713966924002,0,0,-1.11144966436503
"CM002236.1.246901.247200",0,0,0,0,0
"CM002236.1.247501.247800",-1.01618910357098,0,0,-0.883000642513425,0
"CM002236.1.247801.248100",0,0,0,0,0
"CM002236.1.248101.248400",0,-1.37548915397025,0,-0.989724469607539,0
"CM002236.1.252001.252300",0,0,0,0,0
"CM002236.1.252301.252600",-1.1092668244524,0,0,0,0
"CM002236.1.252601.252900",0,0,0,0,0
"CM002236.1.255301.255600",0,0,0,0,0
"CM002236.1.255601.255900",-1.2549847116948,-1.49118942651235,0,-1.65659199190765,0
"CM002236.1.255901.256200",0,-1.27588054494202,-1.04759173586848,-1.20727392975158,0
"CM002236.1.256201.256500",-1.45006668602944,-1.74732901695333,-1.18882249503725,-1.64321952596343,0
"CM002236.1.256501.256800",-1.12240572485976,0,0,0,0
"CM002236.1.256801.257100",0,-1.37410868310977,0,0,0
"CM002236.1.257101.257400",-1.50113439618742,-2.0233909936183,-2.0149807587072,-2.08102497399342,-1.21324755163293
"CM002236.1.263401.263700",-1.46893728623598,-0.959556313463489,0,0,0
"CM002236.1.263701.264000",-1.15788284979555,-1.53510209544559,0,-0.99764064808124,0
"CM002236.1.264001.264300",-1.30398553831277,-1.24640031709486,0,0,0
"CM002236.1.265501.265800",0,0,0,0,0
"CM002236.1.265801.266100",0,0,0,0.916151375224816,1.06881720686515
"CM002236.1.290701.291000",-1.855726641924,-1.84745981533721,-1.58111679648248,-1.2573976720431,-1.22165274344145
"CM002236.1.291001.291300",-1.45808747562216,-1.70605170367245,-1.81342205030239,-1.08992387600363,-1.94616834286296
"CM002236.1.291301.291600",0,-1.79021982573866,-1.23700738557748,-1.00673851093828,0
"CM002236.1.292201.292500",0,-1.3651315569862,-1.15678576372914,0,0
"CM002236.1.292501.292800",-1.78993570664065,-1.93374296107124,-1.67355758630062,-0.938408173378134,0
"CM002236.1.292801.293100",-1.57942590761433,-1.37615572166711,-1.15877376691312,0,0
"CM002236.1.297901.298200",-1.92798285718454,-1.60254621037919,-1.69892024279354,-1.49807341147278,-1.67809029309978
"CM002236.1.298201.298500",-1.82483138971322,-1.74763033818644,-2.0692307892511,-1.43957587265582,-1.54123730262842
"CM002236.1.301501.301800",-1.14239709025838,-1.82368748517685,-1.21491182231149,-1.63490166781528,0
"CM002236.1.301801.302100",0,-1.70083975345235,-1.07962906781198,-1.38332506832377,0
"CM002236.1.8867701.8868000",-1.30706087573307,-1.29761584704507,-1.34379298775285,-1.27101869830532,-1.5850788644687
"CM002236.1.8868001.8868300",-1.6391885952158,-1.43668878833928,-1.31997755507758,-2.43149598097181,-1.85868842159945
"CM002236.1.8868301.8868600",-1.75277983146553,-1.41353029262224,0,-1.9329115200431,0
"CM002236.1.9651601.9651900",0,0,0,0,0
"CM002236.1.9651901.9652200",0,0,0,0,0
"CM002236.1.9652201.9652500",0,0,0,0,0
"CM002236.1.9688801.9689100",0,0,0,0,0
"CM002236.1.9689101.9689400",0,-1.05314477242317,0,-0.922454781645289,0
"CM002236.1.9689401.9689700",0,0,0,0,0
"CM002236.1.9690601.9690900",0,0,0,0,0
"CM002236.1.9690901.9691200",0,0,0,0,0
"CM002236.1.9691201.9691500",0,-1.43033816392322,0,-1.30672337155225,0
"CM002236.1.9693601.9693900",0,0,0,0,0
"CM002236.1.9693901.9694200",0,0,0,0,0
"CM002236.1.9694201.9694500",0,0,0,0,0
"CM002236.1.9758701.9759000",-4.55141701220719,-6.08944472671805,-4.55628938227514,-6.07040999507019,-6.80579860041447
"CM002236.1.9759001.9759300",-5.65996236821318,-6.32802181823036,-8.85871031842836,-6.45859441724826,-5.53223155792166
"CM002236.1.9772201.9772500",0,1.5119690818724,0,0,0
"CM002236.1.9772501.9772800",0,0,0,0,0
"CM002236.1.9772801.9773100",0,0,0,0,0
"CM002237.1.10801.11100",0,-1.08803343350234,0,0,0
"CM002237.1.11101.11400",0,0,0,0,0
"CM002237.1.11401.11700",0,0,0,0,0
"CM002237.1.11701.12000",0,0,0,0,0
"CM002237.1.13501.13800",-2.07272832318921,-2.45215045585776,-2.11335713691268,-1.5212857849245,0
"CM002237.1.13801.14100",0,-3.378777204312,-2.6865924492446,-2.58459601686605,-2.46967290982517
"CM002237.1.18301.18600",0,0.802796658410434,0.931983646469139,1.23923389836806,1.014987484888
"CM002237.1.18601.18900",0,0,0,0,0
"CM002237.1.35701.36000",0,-1.46270068070543,-1.08433851787918,-1.23924263400786,0
"CM002237.1.36001.36300",-1.26838918705039,-1.29812986017218,-1.31425971825751,-1.08375090641638,-1.21571415287466
"CM002237.1.36301.36600",-1.3620188378396,-1.49991772593324,-0.992916411687322,-1.15012425058878,0
