"","logFC_cac1","logFC_cac2","logFC_cac3","logFC_set7"
"CM002236.1.2401.2700",-0.917245980378952,0.0925113345389191,0.300113184519318,-0.0849932056310651
"CM002236.1.2701.3000",-0.354916444896883,-0.143790830377406,0.512016296373007,-0.40208794673087
"CM002236.1.3001.3300",-0.0214285078804908,0.0790168650811434,0.280574356832839,0.128046993081543
"CM002236.1.3301.3600",-0.136479142245272,0.220928070725778,-0.383771137821079,0.65282300946958
"CM002236.1.16501.16800",-1.08696715644273,-0.381688310775205,-0.200960475145351,0.342453167844138
"CM002236.1.16801.17100",-0.0662960442376205,0.104983401728748,0.453905427366792,0.207917047016028
"CM002236.1.17101.17400",-0.113891984596744,0.268684985573495,0.200340738769742,0.521208308369858
"CM002236.1.34501.34800",-0.0307945812130669,0.54433250797043,0.552231711355977,0.938137696164162
"CM002236.1.48301.48600",0.445805892682492,-0.26568980583878,0.494054158916077,0.134022785427553
"CM002236.1.48601.48900",-0.117666990065257,-0.362813016367575,0.23118416177904,0.0524698024314913
"CM002236.1.196801.197100",0.298609376755642,0.0856628474644434,1.04158247355783,-0.131483746800078
"CM002236.1.209701.210000",0.888897309733021,0.8094729191074,1.42304703130689,0.957318464047098
"CM002236.1.210001.210300",0.769983685753676,0.854111940317942,1.93366927470393,0.897532824314596
"CM002236.1.265801.266100",-0.0980765102473434,0.153840112143426,0.394025636989663,0.546691468629996
"CM002236.1.9772201.9772500",0.0738058513562364,-0.476093869532249,-0.223715064312977,-0.0423544103275602
"CM002237.1.18301.18600",0.064712679847731,0.193899667906436,0.501149919805359,0.276903506325293
"CM002237.1.38401.38700",0.527145181212168,-0.264460015657882,0.603072833262492,-0.0450754702298903
"CM002237.1.38701.39000",0.549025899993447,0.217842541706143,0.413838583163767,0.58293038230315
"CM002237.1.4467901.4468200",0.048414178222466,0.115657025472104,0.402625907242566,0.94089565245062
"CM002237.1.4468201.4468500",-0.110984843280039,0.403344838947103,0.0251553420857208,0.669022012479065
"CM002238.1.12301.12600",-0.321879063268259,0.119240416185801,0.0830876521672996,0.387798822303649
"CM002238.1.238501.238800",-0.131947602371598,-0.0932983207181375,0.508256686239267,-0.000810627997309066
"CM002238.1.238801.239100",0.300160603371161,0.240174317386415,0.974598833541995,0.553146974857564
"CM002238.1.244201.244500",1.26173902197816,1.04849664284927,1.76424078494966,0.236864837015298
"CM002238.1.252601.252900",-0.26586784459142,-0.112477950768815,0.512483284511629,-0.585213644352422
"CM002238.1.276001.276300",0.377204077477644,-0.202466601568051,0.246478669879135,0.217663911087251
"CM002238.1.276301.276600",0.260358046876702,-0.102637926477449,0.254646000154085,0.22310673896625
"CM002238.1.285001.285300",0.401095308917047,-0.0426601640423025,0.314699681235784,0.139219086483836
"CM002238.1.285301.285600",0.622540006443295,0.203327333195745,0.827946201917009,0.156716013474707
"CM002238.1.291301.291600",0.414563139745249,-0.440705426533247,0.105558036958711,0.218179689628246
"CM002238.1.291601.291900",0.237931856269241,-0.259278823462319,0.462583462931096,0.4108111954622
"CM002238.1.401701.402000",0.6685507429849,-0.394208608782888,-0.664737284121069,-0.222266649475036
"CM002238.1.4987501.4987800",-0.385722289332471,-0.0615200592826601,-0.0580576107958041,-0.241728721348605
"CM002238.1.5053201.5053500",0.537424036931868,0.411654328676189,0.739059671007601,0.22338988160517
"CM002238.1.5231101.5231400",-0.123140828946713,-0.161730426518463,0.245204646917059,0.22630159333354
"CM002238.1.5258701.5259000",-0.623903307635775,-0.12401475472962,0.00778564525019773,0.0880576999203316
"CM002238.1.5264701.5265000",-0.0294981710564202,0.67177425412127,0.75082621330753,1.01216604452834
"CM002238.1.5265001.5265300",0.394145044442554,0.572615271896809,0.865720382428654,0.31413845646316
"CM002238.1.5265301.5265600",0.354753984807398,0.30603964307497,0.978917118649374,0.559167098147099
"CM002238.1.5269801.5270100",-0.569435398924619,-0.192482384662123,0.170696725298325,0.0577590228783751
"CM002238.1.5271001.5271300",0.347326825113354,-0.178225989600709,0.515212975593371,-0.103073867486956
"CM002238.1.5271301.5271600",0.296374742003938,0.0398347252004061,0.743748288749444,0.46464101109947
"CM002238.1.5271601.5271900",-0.0540841744788327,0.202824036425655,0.811635069001993,0.484931153024879
"CM002239.1.19801.20100",0.714753011220919,0.32050682509201,0.875024334813068,0.876854904669161
"CM002239.1.31201.31500",0.408983457871953,-0.0226095968373763,0.014192954777826,0.496478675910609
"CM002239.1.31501.31800",0.539530535390453,-0.131376032068863,0.713729053237995,0.059401903276727
"CM002239.1.70501.70800",0.282346479086249,0.864759306402363,1.23595959411375,0.659995814771778
"CM002239.1.102901.103200",0.172681214007317,0.520990313223587,1.23310510148096,0.662903215544428
"CM002239.1.103201.103500",0.294408792503866,0.555780948771634,1.17409303447734,1.3734540685672
"CM002239.1.106801.107100",-0.308363344135337,-0.520589913148751,0.208222417009215,-0.548131759592172
"CM002239.1.191701.192000",0.514321535876837,0.015455603790298,0.720621612104902,0.154104184597107
"CM002239.1.192001.192300",-0.11671410240438,-0.329261663371524,0.235283798251939,-0.184510365519263
"CM002239.1.284101.284400",0.522153579814894,-0.278945443193514,0.324594429242369,-0.162723205648347
"CM002239.1.284401.284700",0.270749268051359,-0.330900965037965,0.0210774649227275,0.175248293488302
"CM002239.1.312301.312600",0.998255496913705,0.763620875820525,0.869192195157448,0.608205396362707
"CM002239.1.317701.318000",0.827950992980711,0.144041490798641,0.610424481426753,-0.166058854982207
"CM002239.1.361201.361500",0.176464085473155,0.14970444355693,1.42362125210264,0.226834890342748
"CM002239.1.516301.516600",0.723205765027117,0.105306046266114,0.87502048508722,0.332964886622576
"CM002239.1.516601.516900",0.862811091026812,-0.0161493527660833,0.893562445887244,-0.104628200564008
"CM002239.1.545701.546000",3.03317490603382,2.29288590375565,3.52474330268755,1.06905228735636
"CM002239.1.546001.546300",2.79236866527108,2.218710373734,2.55970043262533,0.650328698537294
"CM002239.1.549001.549300",1.23350388571826,1.55451254201045,2.05445404769533,0.163299022008635
"CM002239.1.555601.555900",1.21457935490524,1.61578963020979,2.7439526817051,0.500108669413251
"CM002239.1.555901.556200",2.11300257106569,1.37153287220398,2.73231427708033,0.29501548314729
"CM002239.1.556201.556500",1.81818200736864,1.74073184021312,2.93304271456047,0.349215608422729
"CM002239.1.558001.558300",1.64377308837558,1.54902947523632,2.79529436827951,0.419157005357057
"CM002239.1.558301.558600",1.45544878482905,1.39668158535542,2.59434282641814,0.506507093407364
"CM002239.1.558601.558900",2.53016185537804,2.12689972276256,3.35899246752342,1.22676242807482
"CM002239.1.590101.590400",1.29905692474925,1.63504586945477,2.35768375891363,0.256461313015734
"CM002239.1.619801.620100",0.432559259676737,0.200903138892128,0.642005949214811,0.47259805004227
"CM002239.1.633301.633600",-0.155429342163235,-0.393918269699419,0.114951354982485,-0.425061688233725
"CM002239.1.639001.639300",0.640072665632151,0.442128653093091,0.869115182487221,-0.228701421549822
"CM002239.1.5866201.5866500",0.428893280720789,0.816388230455719,1.6990086513561,0.973788719710024
"CM002239.1.5867701.5868000",-0.011829968015372,0.0286572968556137,-0.00718415649154854,0.293382970707783
"CM002239.1.5886601.5886900",0.941260633541673,0.633019182646004,0.633335452925824,0.356472486156306
"CM002239.1.5886901.5887200",1.78121919495164,1.13107158267459,2.28919525435687,1.16296254740328
"CM002239.1.5887201.5887500",1.11367647651323,1.06572448102698,1.74733477415879,0.852019396906477
"CM002239.1.5937901.5938200",-0.611612656368764,0.0164213639737045,0.567476575306562,0.790245674368095
"CM002239.1.5938201.5938500",-0.125746925547008,-0.387345113637649,1.04044659758802,0.379053330583794
"CM002239.1.5938501.5938800",-0.786104363203602,-0.136264550967198,0.29971100209371,0.689825189964672
"CM002239.1.5945401.5945700",0.812129607304353,0.372819746507094,1.00453672123283,0.636708852131313
"CM002239.1.5948701.5949000",0.621780108116705,0.339552604294396,1.11561402828806,0.614152083063752
"CM002239.1.5949001.5949300",1.31200842619198,0.611367642953092,1.83404771330917,0.702313632025802
"CM002239.1.5949301.5949600",-0.244760430270964,-0.192711169239491,0.240702467563561,0.0126880138634814
"CM002240.1.678001.678300",-0.593829846048227,0.0722523754098756,0.435713121528701,0.520304589524851
"CM002240.1.678301.678600",-0.811661664488381,0.514879389441154,0.667359263176448,0.92769344024371
"CM002240.1.678601.678900",-0.954006384598436,0.310034038025541,0.631492945900683,0.647786082642282
"CM002240.1.679801.680100",-0.986940626557834,0.382311705564033,0.657349023736197,-0.22610678420835
"CM002240.1.6055501.6055800",-0.258234498758782,0.781965349811948,-0.476839732946308,0.456493912849744
"CM002240.1.6057301.6057600",1.09923879219391,1.53126003153152,1.50612666857742,1.13430825337739
"CM002240.1.6164701.6165000",-0.394203981964868,0.173934278735502,0.138155870289661,0.318311014290476
"CM002240.1.6197701.6198000",0.320048224247173,0.306211728874319,0.951463759295477,1.07602482833442
"CM002240.1.6219301.6219600",-0.493330319598803,0.399174765343695,1.53023056821212,1.61871698722982
"CM002240.1.6234601.6234900",0.323004381394792,0.21942637687285,0.58094475693995,0.334068788405654
"CM002240.1.6434401.6434700",0.0152085181489035,-0.0641892136898714,0.928409300182716,0.577786258725945
"CM002240.1.6434701.6435000",-0.205011407023282,-0.182757427256029,0.697196628772241,0.253045797643573
"CM002241.1.2701.3000",-0.353037614147307,0.142300654832745,0.31386388054561,0.320898554848671
"CM002241.1.3001.3300",0.0632632405085495,0.0327468908330513,0.701923597299793,0.427773889799927
"CM002241.1.3301.3600",-0.900026534561235,0.0337066562081437,-0.27975574415847,0.0793325316512828
"CM002241.1.199201.199500",2.19150652493517,1.7994197914233,2.32872138995848,0.81652546989677
"CM002241.1.199501.199800",2.48081622727973,1.80731158522888,2.26315823692316,0.508700691437455
"CM002241.1.201301.201600",1.33972776876866,0.991251577335654,1.14831643494363,0.399165051613884
"CM002241.1.201601.201900",1.09127753866728,0.637815357229187,1.06269106188156,0.517950695504752
"CM002241.1.357901.358200",1.20262706283203,0.971746323653904,1.12051617936238,0.675811878521289
"CM002241.1.473101.473400",0.720614541625104,1.44965516602365,1.13145983539318,0.527620285576714
"CM002241.1.480901.481200",-0.403937611088729,0.973499318542868,0.462249308061094,0.503044455352347
"CM002241.1.3474901.3475200",-0.1881580210856,-0.661656159451207,0.4741654506312,-0.0926151152068566
"CM002241.1.3475201.3475500",-0.275960454146744,-0.230452677398932,0.233771949791002,0.249181053337676
"CM002241.1.3503101.3503400",0.417195182675633,0.50375180646052,0.877373324361393,0.593394987215702
"CM002241.1.3503401.3503700",-0.230204794191846,0.354560021345778,0.75721015149504,0.127616774067442
"CM002241.1.3504601.3504900",-0.0904412175615088,0.355072580189807,0.950517990729049,0.374287707409386
"CM002241.1.3504901.3505200",-0.513683494776187,0.505404559061649,0.672285730364905,0.551407565056538
"CM002241.1.3701701.3702000",-0.0949566248762465,0.348554281094076,0.558553546656964,0.661942860600156
"CM002241.1.3721201.3721500",1.11994802695012,0.325617235071119,1.39560314310906,0.147084473175407
"CM002241.1.3724801.3725100",1.18125104865655,1.21826290156089,2.56839441221403,0.956739152793319
"CM002241.1.3730801.3731100",0.560164246430861,0.520098464169301,0.462185116954378,0.202092443006844
"CM002241.1.3749701.3750000",0.370308373519156,0.691514858229557,1.16267673252317,1.1384423567888
"CM002241.1.3750001.3750300",1.41355036225777,0.970655837226676,2.27935900807443,1.20842129938356
"CM002241.1.3762301.3762600",-0.790363361585159,-0.218972314647414,0.0182588833892408,-0.297366791840379
"CM002241.1.3773401.3773700",0.12413261272808,-0.555030324941035,-0.0336686280657328,-0.369871669859304
"CM002241.1.3802501.3802800",0.255855196303477,0.013338171318786,-0.0756188702119079,1.22545854981267
