"","logFC_WT","logFC_cac1","logFC_cac2","logFC_cac3","logFC_set7"
"CM002236.1.1150.2878",0.679262642792886,0,0,0.959811376699417,0.874206388732101
"CM002236.1.3177.6443",0,0,0,0,0.83634976677609
"CM002236.1.9176.13334",0,0,0,0,0
"CM002236.1.15929.16647",0,0,0,0,1.02766218876335
"CM002236.1.17440.19615",0,0,0,0,0
"CM002236.1.34690.35418",0,0,1.12094342254772,0.895172169293632,1.46043180791024
"CM002236.1.34980.39245",0,0,0,0,0
"CM002236.1.40949.42632",0,0,0,0,0
"CM002236.1.43708.44551",0,0,0,0,0
"CM002236.1.45331.48154",0,0,0,0,0
"CM002236.1.49236.52949",0,0,0,0,0
"CM002236.1.53113.54518",0.726327512036332,0.978437950097134,0.825775605167854,0.959562600429498,1.00342248893336
"CM002236.1.54881.57945",0,0,0,0,0
"CM002236.1.59145.61150",0,0,0,0,0
"CM002236.1.62093.62950",0,0,0,0,0
"CM002236.1.91323.92593",0,-0.975863972326292,0,-0.988120873614429,0
"CM002236.1.93473.98954",0,-0.679115994107357,0,0,0
"CM002236.1.99982.102134",0,-0.845448626242259,0,-0.847680025443218,0
"CM002236.1.102313.105940",0,0,0,0,0
"CM002236.1.102848.103781",0,0,0,0,0
"CM002236.1.109910.112060",0,-1.05643524024271,0,-0.976924563015405,0
"CM002236.1.112096.113288",0,-0.675957676321996,0,0,0
"CM002236.1.113612.117165",0,0,0,0,0
"CM002236.1.117749.119387",0,0,0,0,0
"CM002236.1.122927.128314",0,-0.75284780390869,0,-0.890756343227842,0
"CM002236.1.128667.129912",0,0,0,0,0
"CM002236.1.130427.132364",0,0,0,0,0
"CM002236.1.133835.134464",0,0,-0.834344026035137,0,0
"CM002236.1.134926.137208",0,0,0,0,0
"CM002236.1.137592.139980",0,0,0,0,0
"CM002236.1.139965.143960",0,0,0,0,0
"CM002236.1.144648.149497",0,0,0,0,0
"CM002236.1.149510.152241",0,0,0,0,0
"CM002236.1.152420.155040",0,0,0,0,0
"CM002236.1.155598.157284",0,0,0,0,0
"CM002236.1.158036.161116",0,0,0,0,0
"CM002236.1.162306.163765",0,0,0,0,0
"CM002236.1.163962.166034",0,0,0,0,0
"CM002236.1.169834.173197",0.989611702763325,0.895156657955641,0.939593073609242,1.04891885484224,0.968546564215892
"CM002236.1.173481.174938",0,0,0,0,0
"CM002236.1.175040.175128",0,0,0,0,0
"CM002236.1.175274.178146",0,0,0,0,0
"CM002236.1.178613.180242",0,0,0,0,0
"CM002236.1.181222.181975",0,0,0,-0.887300520694797,0
"CM002236.1.182427.185051",-0.804144628418697,-0.886133766271313,0,-1.14327969283472,0
"CM002236.1.186039.188208",0,0,0,0,0
"CM002236.1.188530.189595",0,0,0,0,0
"CM002236.1.190406.191138",0,0,0,0,0
"CM002236.1.193143.194064",-1.01218879586381,0,0,0,0
"CM002236.1.195020.195335",0,0,0,0,0
"CM002236.1.195780.196290",0,0,0,0,0
"CM002236.1.198194.198497",0,0,0,0,0
"CM002236.1.208394.209343",-1.50249392828729,-0.986753622165608,-0.958822030498142,0,-1.04672623476696
"CM002236.1.210486.212487",-0.914048982413694,0,0,0,0
"CM002236.1.214619.215734",-1.23082765815259,-1.02099026890338,0,0,0
"CM002236.1.216104.216521",-1.44725745350464,-1.08843000249321,0,-1.07734305158461,0
"CM002236.1.219395.220979",-1.00090663535713,-0.858718106965148,0,-0.839165683263186,0
"CM002236.1.224661.224874",0,0,0,0,0
"CM002236.1.226934.227879",0,-1.52749363869463,-1.00287437809282,-1.83038210223295,-1.19647021536134
"CM002236.1.227817.228981",0,0,0,0,0
"CM002236.1.231495.232838",0,0,0,0,0
"CM002236.1.233027.234749",0,0,0,0,0
"CM002236.1.234735.237045",0.67658440772019,0,0,0.621818597090483,0
"CM002236.1.237548.238578",0.791527673225619,0,0,0.751539366775179,0.873254126378717
"CM002236.1.239111.240765",0,0,0,0,0
"CM002236.1.240743.241840",0,-1.2987027306882,0,-0.955578741431107,0
"CM002236.1.243323.246248",-0.807189010023977,-1.23634620776711,0,-1.05984909023396,0
"CM002236.1.246886.247478",0,0,0,0,0
"CM002236.1.249096.251944",0,-0.881241977856354,0,-0.922223298163845,0
"CM002236.1.253455.254492",0,0,0,0,0
"CM002236.1.254974.255694",0,-1.05684423102724,0,-1.01103458624366,0
"CM002236.1.256165.256694",-1.35540229643981,-1.25777384197181,0,-1.09708746871727,0
"CM002236.1.257492.259361",-1.21486377960395,-1.46208556180178,-1.03977363953534,-1.28545692199147,0
"CM002236.1.262019.263387",-1.43454766744022,-1.20786124829497,0,-0.894043099284005,0
"CM002236.1.264035.265388",0,-1.0845912928514,0,0,0
"CM002236.1.291632.292877",-1.18253608573476,-1.22246549978751,-1.15449644513938,0,0
"CM002236.1.293166.294573",0,-0.840297869119588,0,0,0
"CM002236.1.296498.297770",-0.886045960500236,0,0,0,0
"CM002236.1.302352.303729",0,-0.993971093960757,0,-1.03237377807835,0
"CM002236.1.305341.308567",0,0,0,0,0
"CM002236.1.309018.310364",0,0,0,0,0
"CM002236.1.311540.313460",-0.830646115041207,-1.21503780186649,0,-1.16305289099656,0
"CM002236.1.313929.315269",-1.50332365922788,-1.84210356106236,-1.46298727722014,-1.58472402800908,-1.26499503170742
"CM002236.1.318872.321079",-1.22151438868482,-1.30239265488133,-0.879021973273906,-1.25105513665448,0
"CM002236.1.325002.328569",0,0,0,-0.832016827444613,0
"CM002236.1.328657.330088",-1.28893574963513,-0.911422237503662,-1.09082063800485,-1.33242239671011,-1.12720255831012
"CM002236.1.332174.334731",-0.844278913489803,-1.00540284235556,0,-1.22557142813075,0
"CM002236.1.335201.339433",0,0,0,0,0
"CM002236.1.340058.343487",0,-0.689650412081844,0,-0.793040991884385,0
"CM002236.1.343607.345535",0,0,0,0,0
"CM002236.1.345767.347031",0,-0.870467991064377,0,-0.920942986719683,0
"CM002236.1.348245.352922",0,0,0,0,0
