"","logFC_cac1","logFC_cac2","logFC_cac3","logFC_set7"
"CM002236.1.1501.1800",-0.383349861242725,0.224742950889156,-0.0663642083448249,1.00856251129636
"CM002236.1.2101.2400",-0.808603769906309,-0.0996734210421675,0.574870728376607,0.549431749657161
"CM002236.1.2401.2700",-0.925557552430048,0.0863543939130933,0.309863463396916,-0.0784026429116943
"CM002236.1.3301.3600",-0.156785875793046,0.213779700890187,-0.38045031318167,0.656554127405801
"CM002236.1.3601.3900",-1.10543293092309,-0.109333749829056,-0.359375829541508,-0.0229396251484565
"CM002236.1.3901.4200",-1.04998489001129,0.107621096750755,0.18094722881503,0.314291183173321
"CM002236.1.4201.4500",-1.15298742239324,0.132642043685338,-0.0530515269703044,1.04639257135143
"CM002236.1.10201.10500",0.0286737217582791,0.826927381365969,0.112784027436303,1.25598221665408
"CM002236.1.34801.35100",-0.494508159906667,0.194859792210501,0.182213724119735,0.637163257681016
"CM002236.1.35101.35400",-0.625383299393232,0.387626344488541,-0.179915714628133,0.821380839708649
"CM002236.1.52201.52500",0.623898723147616,0.44494682399214,0.852440964710408,0.103900005081396
"CM002236.1.52501.52800",0.667590812990927,0.456679004144174,1.08039081699829,0.170144232062427
"CM002236.1.105601.105900",0.150173898020783,-0.0381142746266202,0.333294888757917,0.261447757992073
"CM002236.1.115501.115800",-0.139985027820207,0.402497365910388,-0.405300626356859,1.03961216174417
"CM002236.1.158101.158400",0.216504368052021,0.0806344177872728,0.399200826047865,0.305757738092436
"CM002236.1.170101.170400",0.494719840847224,0.105814326265326,1.06853783981152,0.0645482394467872
"CM002236.1.170401.170700",0.308108158131949,-0.149649596319259,0.341894214861498,0.201166269303225
"CM002236.1.170701.171000",-0.466397327313398,-0.0344141572860254,-0.302974356553158,-0.195057520646016
"CM002236.1.172201.172500",0.00131387309812324,0.124794316638785,0.157797503219427,0.123400444769975
"CM002236.1.172501.172800",-0.61420639790399,-0.267153541439862,-0.0229379754036657,-0.236274892654357
"CM002236.1.172801.173100",-0.494814019977565,0.0138531555691285,0.173677143104614,-0.274844984418863
"CM002236.1.176401.176700",-0.853164401741604,0.191478991247593,-1.11976060024248,-0.171758777969368
"CM002236.1.177301.177600",-1.0276243654834,0.059357693670484,-0.745483818627966,0.540398784665406
"CM002236.1.211201.211500",1.34877074757323,0.974408182941216,1.78964938688428,0.847493804575797
"CM002236.1.236101.236400",-0.422547191283744,-0.117215954733924,0.0205985709864798,0.269387032189687
"CM002236.1.236401.236700",-0.666276750099325,-0.295953049493209,-0.100615320026303,-0.0509374326852689
"CM002236.1.236701.237000",-0.209651169913464,-0.352937881451811,0.0218266289092062,-0.105942328596986
"CM002236.1.237601.237900",-0.390539331052881,-0.0473390392237453,-0.003153893317731,0.40309045539372
"CM002236.1.351901.352200",-0.261635625658537,-0.377465348196959,-0.353621890000278,-0.121360483622808
"CM002236.1.352201.352500",0.510985096927939,-0.0342681779036718,0.293218842827268,-0.325254763487583
"CM002236.1.352501.352800",0.584846497749862,0.261944561744891,0.232368497285821,0.294611597621329
"CM002236.1.352801.353100",0.640775962334651,0.0247110077421273,0.274330978898504,0.195205743720197
"CM002236.1.380401.380700",0.280634821272698,-0.0049864448259706,0.45675008651634,-0.17474035336608
"CM002236.1.387601.387900",0.663635423317665,-0.282592369392703,0.668830480773998,0.0962173620242332
"CM002236.1.387901.388200",0.0619465084649989,0.277776123555992,0.747804776315041,0.229044685987802
"CM002236.1.388201.388500",0.565782846934978,-0.227697854140602,0.741769194105827,0.0912353860391518
"CM002236.1.389101.389400",0.273367017286583,-0.0858450972339014,0.240747270182732,-0.194876646751309
"CM002236.1.389401.389700",-0.329096919081613,0.0174400951824347,-0.00934783851685471,-0.229727913019599
"CM002236.1.430801.431100",0.212173583981034,-0.114987639467347,-0.200856614332613,-0.478170867334569
"CM002236.1.437401.437700",0.00417292093127892,-0.466102155480973,0.0110341669222466,-0.647212980314893
"CM002236.1.437701.438000",-0.249750485927761,0.165844794380989,0.133389754124575,0.309721512988712
"CM002236.1.454201.454500",1.29364192394125,1.42557995335264,0.65392372731473,0.623176403540543
"CM002236.1.474601.474900",-0.715968457346251,0.036784901112922,0.0675516220431316,0.186477220261132
"CM002236.1.530701.531000",0.422544832462698,-0.678256060829023,-0.199220003326551,-0.553533264868445
"CM002236.1.535801.536100",-0.798074273421529,-0.313757881958516,-0.0425563111719173,-0.478991774625393
"CM002236.1.539401.539700",-0.241573505070898,-0.540105429521113,0.045168789177592,-0.689222125723086
"CM002236.1.552901.553200",0.27238906816429,-0.0795559170378188,0.0330952567256932,0.39990589833282
"CM002236.1.572401.572700",-0.0194363564823785,-0.0952716106710688,-0.205952248779567,-0.520802690830006
"CM002236.1.572701.573000",-0.266998521918011,-0.0594378853012262,0.0598302720325407,-0.252837569499262
"CM002236.1.581101.581400",0.125960658307227,0.0674142212346729,0.130641650900061,0.0679942018011526
"CM002236.1.596401.596700",0.263754345966101,0.0725770131488534,-0.106238013839484,0.158274401721765
"CM002236.1.600601.600900",-0.682641002606554,0.413065825427538,-0.526216220246122,0.474921430784133
"CM002236.1.616501.616800",-0.93627570558311,-0.673598972126618,-1.20268897777443,0.123191130863629
"CM002236.1.617101.617400",-0.591143910450999,0.195652793660736,-0.605780048281899,0.93681464319712
"CM002236.1.626401.626700",0.208065411791299,-0.124162825518719,0.0658770139754867,-0.145559788344523
"CM002236.1.634201.634500",0.347886961850933,-0.202938256703094,0.0135748252325405,-0.190515243897946
"CM002236.1.652801.653100",1.04721273783574,0.314425226627211,0.892387474015667,0.112420635941736
"CM002236.1.653101.653400",0.710177854712136,0.0698898059279979,0.426259281700436,-0.225573900038098
"CM002236.1.662101.662400",0.00320239202507152,-0.395268271585881,-0.567219812668341,-0.501847974222128
"CM002236.1.662401.662700",-0.362280496200458,-0.753151248007546,-0.766234866706646,-0.6831590513414
"CM002236.1.713101.713400",-0.189268179195165,0.0764229946552935,0.570932481073728,-0.2842213077603
"CM002236.1.718501.718800",0.1926703110765,0.530927974241716,0.247522360125494,0.644936285332885
"CM002236.1.718801.719100",-0.507777263499785,-0.353193718005814,0.267120107884481,-0.0308863773838642
"CM002236.1.740101.740400",0.165911752901463,-0.27280475545544,-0.352658974474376,-0.242258357771048
"CM002236.1.740401.740700",0.293235230872136,-0.370565296793983,0.21058335229237,-0.305797013405662
"CM002236.1.741901.742200",0.276546086453616,-0.479217390974249,-0.0815087771754637,-0.0126669879553216
"CM002236.1.742201.742500",0.25657745139198,0.0366922108169954,0.120066072239436,-0.302546430041877
"CM002236.1.742501.742800",0.260101635216139,0.0496115278866959,-0.240467659555591,0.396185611205918
"CM002236.1.750301.750600",-1.04534241795334,-0.621446586851304,-0.721954111194977,-0.475893396568916
"CM002236.1.750601.750900",-1.3013798407271,-1.03764758090133,-0.864356594102923,-0.670997779376914
"CM002236.1.750901.751200",-1.15877085304146,-1.42352289758444,-1.34430087687361,-0.921785335916248
"CM002236.1.753301.753600",0.4564380494788,0.226225799979917,0.406054318162786,0.144473142821172
"CM002236.1.753601.753900",0.0169238885258219,0.0671553566121194,-0.439492419786624,-0.24817043339495
"CM002236.1.777901.778200",0.0246814749215,-0.251563130327025,-0.0796246719469226,-0.0272132366580349
"CM002236.1.778201.778500",0.388537580150818,0.045451689125964,0.0276499357189988,0.0773355263147911
"CM002236.1.778501.778800",0.293426239439718,-0.204863051404436,0.455676010358986,0.210962754129501
"CM002236.1.778801.779100",0.198218109609806,-0.0881297154207444,0.729999608990518,0.248883160379735
"CM002236.1.779101.779400",-0.0953779529253868,-0.133477522762795,0.702893228576292,0.244794358693394
"CM002236.1.779401.779700",-0.0177473423209229,-0.214179561026846,0.605802002099736,0.20367013792573
"CM002236.1.779701.780000",0.218531934510229,-0.0403313298326917,0.222640281755556,0.104549805058124
"CM002236.1.804601.804900",-0.334451127284014,-0.0861617984544649,0.590095397311895,-0.177099017562037
"CM002236.1.806101.806400",-0.352627219441106,-0.219295107042631,0.514476663347047,0.216959678697046
"CM002236.1.842401.842700",-0.726732736098312,-0.672300315785376,-0.673346698208085,-0.265491179465576
"CM002236.1.842701.843000",-0.978851453870015,-0.750974414023121,-0.0689021615040042,-0.723020871674193
"CM002236.1.848701.849000",-0.847038423474296,0.211536528120499,-0.862251889984618,0.267178154286776
"CM002236.1.852001.852300",-0.883901706112442,0.712014375167346,-0.398214185285111,0.452338116800805
"CM002236.1.855601.855900",0.309973978598911,0.10873623498676,0.23260450187623,-0.0463945528416914
"CM002236.1.930301.930600",-0.459900548694567,-0.570290053672225,-0.0539128764050881,-0.58957871833305
"CM002236.1.937201.937500",0.519916720066447,-0.275229558188431,0.593380913855298,-0.224073519186935
"CM002236.1.937501.937800",0.295232854902961,-0.146575056409235,-0.0317417660356181,0.175238575585372
"CM002236.1.951301.951600",0.437007174336371,-0.154144612200981,0.453347604009162,0.00633387222339334
"CM002236.1.960901.961200",-0.8268861997371,-0.55506285414066,-0.294967325919379,-0.690742487027885
"CM002236.1.981301.981600",-0.736253999574941,-0.430124474669992,-0.0856774674473514,-0.980784782842789
"CM002236.1.981601.981900",-0.62208336348107,-0.33058031913743,0.0147929090044844,-0.175175743479635
"CM002236.1.984001.984300",0.39468785466639,-0.450642269899871,-0.18299438114574,-0.39274059924135
"CM002236.1.984301.984600",0.485343558706464,-0.547549824268177,0.143033507576701,-0.461298068116612
"CM002236.1.991801.992100",-0.129600845899152,-0.256313997692346,-0.591327210029431,-0.54220282002374
"CM002236.1.996301.996600",0.111817861386521,-0.307886139638481,-0.16634837795093,-0.0121255031595503
"CM002236.1.1008901.1009200",-0.0840489625557354,0.122105541079408,-0.270696561580662,0.0747893865209906
"CM002236.1.1009201.1009500",0.117679620866987,-0.241454159788907,0.323208027877541,-0.5255044720342
"CM002236.1.1009501.1009800",0.344835279329935,0.144385369791779,0.27043452546798,0.155781135640841
"CM002236.1.1009801.1010100",0.230171385226753,-0.153751803252886,0.512247815386059,0.169861266108205
"CM002236.1.1010101.1010400",-0.317789964412486,-0.188332449071095,0.58951718649339,0.354790405538312
"CM002236.1.1023301.1023600",-0.148759808153746,-0.381607553447233,0.0352953187690869,0.124805457046937
"CM002236.1.1023601.1023900",-0.44518397380797,-0.410931416179861,0.169002403367442,-0.208382706846569
"CM002236.1.1023901.1024200",-0.354400203701307,-0.274924074380485,0.255414853309112,-0.0655525554535219
"CM002236.1.1024201.1024500",-0.171043254240604,-0.245855177631309,0.0749309392614922,-0.256528322928507
"CM002236.1.1024501.1024800",0.605884175328282,0.0913791055177569,0.0974289399269861,0.00234810012856871
"CM002236.1.1071001.1071300",0.267493926541323,-0.0422137630210599,0.284618156706898,-0.0358920897067493
"CM002236.1.1079101.1079400",0.504582432642796,0.174042307623977,0.11235147338497,-0.0139828281416587
"CM002236.1.1095601.1095900",0.433546145232523,0.63911117514626,1.25136709759155,0.412803019797936
"CM002236.1.1095901.1096200",0.445911417044818,0.771844873172698,1.53184313390305,1.52106531803941
"CM002236.1.1122901.1123200",-0.418657048386523,-0.328785401575417,-0.711685053848746,-0.388773403421528
"CM002236.1.1123201.1123500",-0.0987040875667037,-0.622099699887507,-0.15255021148405,-0.0945901000629361
"CM002236.1.1124401.1124700",0.708921823272166,-0.511884444341108,0.295861852419,0.00872301176871971
"CM002236.1.1135801.1136100",-1.09071696670753,-0.482328726811168,-0.830286263495341,-0.706720244883835
"CM002236.1.1136101.1136400",-0.0664552622646129,-0.433187952182763,0.305949189033742,-0.393069386765957
"CM002236.1.1139701.1140000",0.617997235303801,0.426005523547406,0.423335267544528,0.239867226164018
"CM002236.1.1149601.1149900",0.979940786641896,0.807541500801143,0.564809383159852,0.505051314134334
"CM002236.1.1149901.1150200",0.885999371459169,0.367242774540284,0.462722573120445,-0.106260399102975
"CM002236.1.1150201.1150500",0.103857493877173,-0.0880642027617823,0.0512459856749491,0.18344955272437
"CM002236.1.1167901.1168200",-0.463844776164289,0.234367993235698,-0.360660419919479,0.115489920966041
"CM002236.1.1175701.1176000",-0.044750832888022,0.185200721142978,-0.0359143593402365,0.0495079890752376
"CM002236.1.1176001.1176300",0.186051522653094,-0.0626333399303956,0.32168001837319,-0.274335778972028
"CM002236.1.1177801.1178100",0.243366887032814,-0.105377283247289,0.0611220325139546,-0.201523455967139
"CM002236.1.1188301.1188600",-0.519778490831557,0.689416659639793,0.0836077947782829,0.55153945087267
"CM002236.1.1197001.1197300",0.28402753190967,-0.268617448082334,0.533486438995065,-0.468969994369297
"CM002236.1.1239601.1239900",0.942499555488106,0.102456393920006,0.374206070060856,0.140736134409314
"CM002236.1.1251001.1251300",0.0235290110063862,-0.00160319729807845,-0.147139765416845,-0.0675089732065825
"CM002236.1.1310701.1311000",-0.0403186926969569,-0.00962881025820734,-0.305071361591557,-0.312099874711023
"CM002236.1.1312501.1312800",0.286946623632561,0.028351704955293,0.293694254626016,0.013777639249114
"CM002236.1.1312801.1313100",-0.676884421116432,0.0294304868140464,-0.33019134090509,-0.0461831918477334
"CM002236.1.1313101.1313400",0.404004975451278,0.253831287286453,0.315453245621527,0.336720296640411
"CM002236.1.1360201.1360500",-0.016503684471537,-0.329567197121189,-0.146769388112656,0.00263512305541028
"CM002236.1.1360501.1360800",0.260584698897908,-0.0938354248569034,0.163105979824382,-0.621380037261634
"CM002236.1.1360801.1361100",0.552176733883135,-0.0278685223853714,0.196961332036071,-0.257951347459074
"CM002236.1.1362301.1362600",-1.00996786881491,-0.570653887263493,-0.384972628588843,-0.29025656428472
"CM002236.1.1385401.1385700",0.528305907369268,-0.0799608979983964,-0.636520216022168,-0.373711841990951
"CM002236.1.1385701.1386000",0.0610283495845482,0.104872846758596,-0.609817837271694,-0.100180426640867
"CM002236.1.1388401.1388700",0.338932514751714,0.198473835610881,0.38101974870574,-0.341496257663264
"CM002236.1.1388701.1389000",0.486953477086228,0.276281601385277,0.365510398925395,0.272604277724499
"CM002236.1.1393201.1393500",0.950923083924975,0.11542670500868,0.0660764395492727,0.189255530853596
"CM002236.1.1396801.1397100",0.244206256410113,1.20866845210777,-0.624502640102213,-0.139128209938824
"CM002236.1.1407601.1407900",0.393027542581756,0.29171012543087,0.515051441510338,0.281352905909027
"CM002236.1.1440001.1440300",0.579159457018694,-0.0751224450056986,0.354093525985032,0.0563179576567675
"CM002236.1.1440301.1440600",0.456198843582048,-0.257336424971084,0.584562341211779,0.116556220250481
"CM002236.1.1454701.1455000",0.415353582708574,-0.220089232519225,-0.0825845759432323,-0.236035892010831
"CM002236.1.1470301.1470600",0.858658707728976,0.0959213849502778,0.501837365049605,0.0199435395315142
"CM002236.1.1505701.1506000",0.402210245260676,0.0752067603272986,0.191454567219228,-0.0934101628816511
"CM002236.1.1516501.1516800",0.539504034740382,-0.0472284476531468,-0.0203442686937453,0.205910398887465
"CM002236.1.1519501.1519800",0.692562485092357,0.238226067238423,0.262884390487407,-0.275089016229479
"CM002236.1.1538701.1539000",-0.236429611419969,-0.15680131548769,-0.152535770456182,-0.220418437123807
"CM002236.1.1541101.1541400",0.188816739661594,-0.174420266134983,0.0948736843546428,0.107498420251078
"CM002236.1.1541401.1541700",0.943275262906365,0.659406947287486,0.618022269981769,0.498389324689829
"CM002236.1.1541701.1542000",0.473710693198759,-0.15545800152066,-0.0686195780427333,0.0390638222006731
"CM002236.1.1555501.1555800",0.129737872983063,0.0872967746601029,0.38439892680907,0.25418706298282
"CM002236.1.1555801.1556100",-0.00587381888543421,0.367470220291471,0.100983544864716,0.115286079131168
"CM002236.1.1556101.1556400",0.381318270431531,-0.220175331108207,0.220881786062216,-0.211040907557025
"CM002236.1.1571701.1572000",-0.588370426657057,0.234251502568775,-0.0446050757203892,0.656884597734625
"CM002236.1.1576501.1576800",-0.0742953937090443,-0.761230989483394,-0.310620647812604,-0.534897712678849
"CM002236.1.1577101.1577400",0.653894430339265,0.427121376807483,0.517726764155707,0.619816828727867
"CM002236.1.1585801.1586100",0.180428559040762,-0.270091384184308,-0.00232274965957121,0.0521049017647697
"CM002236.1.1617601.1617900",0.540375906047094,0.374852992607596,0.661161841027835,0.0386427112728157
"CM002236.1.1617901.1618200",0.402716023906467,0.171213428027745,0.346842064284145,-0.152540418601586
"CM002236.1.1632301.1632600",0.58982877583857,0.495819136935573,0.249616227238386,0.278560510314948
"CM002236.1.1658401.1658700",-0.759246001392938,0.28395541735331,-0.636978664195355,-0.350849755062181
"CM002236.1.1667701.1668000",0.20203862222113,-0.277366591593413,0.197882063548498,-0.190531918529319
"CM002236.1.1668001.1668300",-0.404119042212006,-0.397110815993943,-0.454842926737703,-0.402121471087558
"CM002236.1.1679101.1679400",0.544238099943064,0.076916185059853,0.851299192436982,0.289420350216463
"CM002236.1.1683901.1684200",-0.444692732504136,-0.274335541319987,-0.154551424076389,0.0685658709045961
"CM002236.1.1688401.1688700",0.250683364481663,0.0885715394900278,-0.0586803974783173,-0.306870588475239
"CM002236.1.1688701.1689000",0.162588617342669,-0.181337122384908,0.216154813265596,-0.131182479664845
"CM002236.1.1694101.1694400",-0.309107058257856,-0.868363023549007,-0.458425572159336,-0.853427640962189
"CM002236.1.1704301.1704600",0.185031813024979,-0.22985157702626,-0.340338751411588,-0.417523221452884
"CM002236.1.1711801.1712100",-0.2262068484711,-0.399306134888472,-0.279857823387933,-0.671719085911952
"CM002236.1.1713001.1713300",-0.447314503393035,-0.203098606918948,0.360510529933695,-0.258485396503348
"CM002236.1.1713301.1713600",-0.258590871772863,-0.383501268337134,0.390259531211867,-0.746366873931624
"CM002236.1.1721701.1722000",0.546693109747711,-0.292093831836987,0.0661773873371033,-0.206889552403328
"CM002236.1.1737001.1737300",0.624000121734935,0.232943408819037,0.00614787684040207,-0.0390601909302531
"CM002236.1.1746601.1746900",-0.325772143043598,-0.303925534688095,-0.34142665621271,-0.370471192674188
"CM002236.1.1770001.1770300",1.89302492577336,1.45047263110409,1.74574099658194,0.319419348771123
"CM002236.1.1770301.1770600",2.69423858272583,1.67625881732513,2.07387011775742,0.859690895704406
"CM002236.1.1770601.1770900",2.27223056197837,1.24791417927614,1.4881777756354,0.346976247258648
"CM002236.1.1774801.1775100",0.330819294735,-0.270672415585109,-0.192575602778473,-0.551521954216959
"CM002236.1.1779301.1779600",0.0171040617149271,-0.0292718561751515,-0.373026112783403,-0.268248655181645
