"","logFC_WT","logFC_cac1","logFC_cac2","logFC_cac3","logFC_set7","logFC_ash1"
"CM002236.1.1150.3878",4.38561400407599,5.12119299432212,4.81534011618588,1.09703327883331,0,3.10394773185189
"CM002236.1.2177.6443",3.14480305526964,3.7326403575178,3.55423125076934,-0.521472107541861,0,2.06684395286372
"CM002236.1.14929.16647",2.89404776830583,3.88253720277517,3.1621819116498,-0.732234720165753,0,2.02801608854477
"CM002236.1.16440.19615",1.95027125127801,2.39364110582381,1.4662398151597,-1.13510602522919,0,2.19510653528948
"CM002236.1.33980.39245",3.22740188464833,3.34522649314715,2.67267717825561,-0.822305769144537,0,2.90361274230591
"CM002236.1.40949.43632",3.76924945423581,2.65647636675514,2.53744945191681,-0.859684160458014,0,3.10506795326688
"CM002236.1.43708.45551",3.51722435755676,3.02562549439352,2.92668453546681,0,0,2.9601889873397
"CM002236.1.45331.49154",2.30877373761304,2.08686838413756,1.68759477602401,-0.859039587312112,0,2.09203042173177
"CM002236.1.58145.61150",1.85925047682436,2.24270218329027,2.03680721752825,-0.513926933807489,0,2.28742657649214
"CM002236.1.90323.92593",3.44794057942749,3.50599904627223,3.26411609242122,0,0,3.03468344156933
"CM002236.1.180222.181975",2.00858642743193,0.683726532803167,0.812330057730268,0,0,1.92437198668898
"CM002236.1.182427.186051",3.32254436083744,1.83864711062042,2.35916524781737,1.13269906295994,0,3.24985290510563
"CM002236.1.185039.188208",3.49353768109902,1.7661191958216,2.28962961899885,0.832753502618609,0,3.40673359170523
"CM002236.1.188530.190595",4.08845241618417,1.99418693234555,2.42653128510949,1.03436687383407,0,3.31193800939766
"CM002236.1.189406.191138",3.97480241572728,1.98385544866018,2.33233068559368,0.835092516748728,0,3.18026046824853
"CM002236.1.193143.195064",2.22805837621483,0.734240707864552,0.786677635375154,0,0,2.06386634109193
"CM002236.1.195020.196335",3.63751794329576,1.29598413147896,1.28674112535033,0,0,3.08273125810201
"CM002236.1.195780.197290",3.50335918298291,1.37617867795931,1.42521297212575,0,0,2.91151127349793
"CM002236.1.197194.198497",3.92396336341284,2.52800987742288,2.60385625691459,0,0,3.19439976011224
"CM002236.1.208394.210343",3.54683170384219,2.60642190477245,2.4885913772777,0,0,2.57732418992782
"CM002236.1.209486.212487",3.98119002024295,2.37235301220259,2.56974621655555,0,0,2.77211177229795
"CM002236.1.213619.215734",4.08482437177247,2.71628160948041,2.92566518094603,2.52343517683084,0,2.86043794580063
"CM002236.1.216104.217521",4.32737275879485,3.2817638562189,3.52310750967627,3.56635472995035,0,3.02536994837181
"CM002236.1.219395.221979",3.81650543224428,3.01484884232905,3.08478145117593,3.66820069025984,0,2.99003515253564
"CM002236.1.223661.224874",2.29295811829952,1.31478923070975,1.93515416085738,2.79864425081847,0,2.37013435432937
"CM002236.1.243323.247248",2.94065215388925,1.24487605440456,1.31876944338609,2.9782116711056,0,3.01395451154142
"CM002236.1.246886.248478",3.54694185236691,1.80294213442118,1.98274004797587,3.77937245664134,0,3.12638487524765
"CM002236.1.249096.252944",2.24289581203268,0.651585890998354,1.01101775091664,2.65053496169079,0,2.91326569612732
"CM002236.1.254974.256694",2.95854621449214,2.34131103759234,2.19623705034843,3.76629470966994,0,2.90197057984576
"CM002236.1.255165.256694",3.06947290991118,2.44771695695565,2.31170126032979,3.92734101842002,0,2.93858904144445
"CM002236.1.256492.259361",4.03502411635469,3.51720668047713,3.50030077113881,4.70558972030103,0,3.09577003123693
"CM002236.1.262019.264387",4.34256604532726,3.78703879203799,3.87118169927328,4.18292814556886,0,2.7816064671874
"CM002236.1.264035.266388",3.48670792791962,3.35283172074189,3.14999105028725,3.48337090524998,0,2.48478095004389
"CM002236.1.290632.292877",4.6561732007358,4.49384802549772,4.50832184931941,4.78142505708649,0,3.34122670310661
"CM002236.1.292166.294573",4.48370312650545,4.18477126387577,4.31471232093598,4.89625607774892,0,3.57468590864535
"CM002236.1.296498.298770",4.71370986539912,4.14472742126274,4.19119505340163,4.6404583623893,0,3.51262204749221
"CM002236.1.301352.303729",4.06634700615376,3.47693227525482,3.41193315628248,4.44250811553109,0,3.01027125019982
"CM002236.1.8866489.8868649",1.67504899006284,-0.540049657966176,0,1.01313235590072,0,1.84093597270926
"CM002236.1.9649954.9652509",1.96919755656541,2.63501208563097,2.6673521022874,0,0,0
"CM002236.1.9687687.9689732",2.80926993177771,3.4359085836661,3.25562271954657,0,0,1.95576193698957
"CM002236.1.9689584.9691543",3.22035744249303,3.44566999793077,3.31504021727171,0,0,2.92690075234667
"CM002236.1.9688977.9690773",3.19368626525861,3.59521582154987,3.46271186637982,0,0,2.6500186088653
"CM002236.1.9692169.9694340",2.43884849779448,2.6514808066934,2.45671267305594,0,0,2.79050289154754
"CM002236.1.9693631.9697675",1.7200993339011,2.57812416825231,2.35663714050452,-0.937284247165744,0,2.12396093208709
"CM002236.1.9758596.9762612",3.87986948947241,4.60643545384184,4.48507482622474,0,0,2.7074662731798
"CM002236.1.9770840.9773169",4.14633823831026,4.84068016772181,4.29545267073829,0,0,3.04115715681962
"CM002237.1.8926.12029",4.93384752006381,4.99982903420033,4.9564689395952,0,0,2.78316418895277
"CM002237.1.10641.12594",4.88763668370095,4.88746249792282,4.8621827277017,-0.860870439078146,0,1.47354615353082
"CM002237.1.12520.14311",4.09390757867361,4.88685862732004,4.33132755776001,0,0,2.43660960650285
"CM002237.1.15942.19173",3.91532001144293,4.40924361614677,4.08500026377128,-0.677041481985112,0,2.59990492020474
"CM002237.1.18041.19908",3.40040103583242,3.69252681894281,3.34389014399153,-1.08606796790067,0,2.29161145951407
"CM002237.1.34370.36627",3.54595293066264,3.85916391047586,3.66191649596132,-0.493466537833839,0,2.7576648967845
"CM002237.1.36176.39253",1.99636266042049,2.51118202463959,2.28363099715905,-0.973852703785218,0,1.22875286246801
"CM002237.1.40798.42401",2.04053013481935,2.78629554243804,2.61729853123099,-0.576695846305434,0,1.52891173288781
"CM002237.1.50942.53778",2.6584930250464,2.73315813064587,2.66904262402736,-0.777252302080662,0,1.53923240291823
"CM002237.1.55203.56983",2.86351295605276,3.0440448766295,3.12128213995941,0,0,2.23969973279497
"CM002237.1.69444.71887",2.38658377898253,2.40001927745824,2.54004559161077,-0.784025387044126,0,0
"CM002237.1.73201.75342",2.77179534834196,3.0456314627682,3.07501352755295,0,0,0
"CM002237.1.74558.76400",2.32558279141591,2.80126440831911,2.62870236759659,-0.787073380862454,0,0
"CM002237.1.75424.78257",2.10026283023333,2.85865596991764,2.6620029339632,-0.924001379359724,0,0
"CM002237.1.106019.108114",3.24839497866808,3.29990760493146,3.59231573899175,0,0,1.15394878992821
"CM002237.1.147606.149334",2.6643091165515,2.55073033419002,2.45329106413987,0,0,0.631231507936509
"CM002237.1.561860.563629",2.16745159336891,0.459813285497286,0,4.2589912417993,0,-0.702207118446248
"CM002237.1.563402.565440",2.69486846213386,0.850768710729206,0.517202191211546,4.85918869811297,0,0
"CM002237.1.565861.568505",2.58518991918702,0.727715754741851,0.567535396691171,4.71115610966905,0,-0.546338235720932
"CM002237.1.568989.571312",2.5487886539453,1.12483119326035,0.833383157270115,4.82333753284474,0,-0.566509514376229
"CM002237.1.584152.586019",1.29825768447689,0,0,4.14978558061312,0,0
"CM002237.1.1677866.1679593",3.20745964065121,1.2269700864556,2.20550840746677,3.06001326642372,0,1.3125267384401
"CM002237.1.1679516.1682564",2.91403119787993,0,1.34149982085916,3.43539903339508,0,0.659227671653491
"CM002237.1.1683361.1685546",2.45941935521516,-0.70011252858124,0,2.37300896371925,0,-0.646879291197906
"CM002237.1.1684913.1686735",2.40703663547326,-0.596519304431708,0,2.63044491441342,0,0
"CM002237.1.4044659.4047143",1.52802826965057,1.71623636946406,1.05208298413158,2.48014041172041,0,-0.92681517501845
"CM002237.1.4164713.4166274",1.84186505764809,2.29324250294808,2.29572785444193,4.16146127825517,0,0
"CM002237.1.4297462.4299228",1.76938334026408,0,0.563482711079664,0,0,2.36779501166456
"CM002237.1.4447139.4449862",3.45931513249448,3.68126595181338,3.34733662327314,-0.658002760114273,0,2.17117801597713
"CM002237.1.4451074.4453364",3.18706674471546,3.20455558529053,3.19381995767088,-0.722858745817328,0,1.24835378226286
