"","logFC_WT","logFC_cac1","logFC_cac2","logFC_cac3","logFC_set7","logFC_ash1"
"CM002236.1.2578.3378",3.47412773374078,4.05136425411685,3.84046525578988,0,0,2.14791005869782
"CM002236.1.2677.3477",3.24430429678305,3.78003216870965,3.59716467367021,0,0,1.86528712648667
"CM002236.1.15429.16229",3.12323813816663,4.19818627050163,3.38222029976605,0,0,2.05344520863036
"CM002236.1.16940.17740",1.20956566035721,1.81883538906783,0.741554896814526,-1.56850426059034,0,1.23088101352721
"CM002236.1.34480.35280",2.30210633278437,3.13340844548225,1.31947064303272,-0.984807426114417,0,1.90871492780158
"CM002236.1.42332.43132",3.78443935631718,3.02385552054333,2.88333909189573,-0.973427680111392,0,2.7019693680975
"CM002236.1.44251.45051",3.42568146307994,2.93627354675128,2.80505017544648,0,0,2.6940137334183
"CM002236.1.47854.48654",0.793547976862403,0.748516745253433,0,-1.24317315966113,0,0
"CM002236.1.58645.59445",2.53772142631408,2.78041147537044,2.67194881449091,0,0,2.60688640199569
"CM002236.1.90823.91623",3.55411726564276,3.67383712657118,3.49029610673072,0,0,2.77247766409531
"CM002236.1.180722.181522",2.12666321590487,0.885279323177026,0.989122697633694,0,0,1.72910263089132
"CM002236.1.184751.185551",3.87258639886308,2.57793341012808,3.13079991142942,1.79009668364443,0,3.39139344279278
"CM002236.1.185539.186339",3.20610851609318,1.87046723618285,2.46241701132463,0.825681933416669,0,2.82905610586903
"CM002236.1.189295.190095",4.05960465763822,2.08437350989923,2.51438707350663,1.29549901343036,0,3.11312387043208
"CM002236.1.189906.190706",3.94894651291204,1.96796447363918,2.29518387413016,0.801589646484342,0,2.9152201163541
"CM002236.1.193764.194564",1.94706394248048,0.67716871651104,0.811236403984375,0,0,1.67198189521217
"CM002236.1.195035.195835",3.45341827686898,1.11263973172689,1.08410216316562,0,0,2.87040900417813
"CM002236.1.195990.196790",3.75192835441379,1.45102843651192,1.39083521410273,0,0,3.09277398697257
"CM002236.1.197694.198494",4.23522676383015,2.91820062367601,2.96320793350343,0,0,3.23383003573437
"CM002236.1.209043.209843",3.85448815512124,2.89802319782306,2.84155961544614,0,0,2.64906705660129
"CM002236.1.209986.210786",3.82583762177674,2.23510088137896,2.68314636377593,0,0,2.5547736445772
"CM002236.1.214119.214919",4.15466394642842,2.72384436047655,3.05184969636725,2.48551050357854,0,2.71626119151321
"CM002236.1.216221.217021",4.3861044417781,3.24506295926206,3.53242584951342,3.63027950378769,0,2.912511639944
"CM002236.1.220679.221479",3.69743568893048,2.79049727087632,2.80824491697757,3.50059064742349,0,2.42450875188335
"CM002236.1.224161.224961",2.0394873766538,1.12649852434647,1.73175857753117,2.6614134605468,0,2.28219524031772
"CM002236.1.245948.246748",3.20255648003992,1.28678977905535,1.66296943753696,3.25148365714246,0,2.6837140762889
"CM002236.1.247178.247978",3.72591698799015,2.01864016219744,2.02102058677716,4.00288170001009,0,3.04757386731884
"CM002236.1.251644.252444",1.60512428879306,0,0,2.06634618946056,0,2.6469635412544
