"","logFC_WT","logFC_cac1","logFC_cac2","logFC_cac3","logFC_set7","logFC_ash1"
"CM002236.1.2878.3878",2.25082567612782,2.85472446709927,2.61843504548851,-1.11080545446372,0,0.810355330238686
"CM002236.1.2177.3177",4.09253281033961,4.70890844421089,4.47139724024148,0,0,2.60432561839765
"CM002236.1.14929.15929",3.3622155408502,4.24272693187835,3.60775490403452,0,0,2.38907869964493
"CM002236.1.16440.17440",0.861198062130407,1.90035909560063,0.779055710782286,-1.41356680311989,0,0
"CM002236.1.33980.34980",1.71896383695369,2.99083498347865,0.918074666648708,-0.852389688652762,0,1.51719590253312
"CM002236.1.42632.43632",3.6506839953411,2.90293132793598,2.92428169290077,-0.984823510535474,0,2.65038442988336
"CM002236.1.44551.45551",3.20325448016025,2.75479109806409,2.53616624708811,0,0,2.71522656788634
"CM002236.1.48154.49154",0.818078710406072,0.943086464316429,0,-1.21694055290441,0,0
"CM002236.1.58145.59145",2.14600921613209,2.46720893848939,2.25650528241488,0,0,2.14643532818782
"CM002236.1.90323.91323",3.24312326899789,3.6277618392138,3.15797294193876,0,0,2.48403956759532
"CM002236.1.180222.181222",1.81662800317896,0.606943929876074,0.805012370008893,0,0,1.39886726279456
"CM002236.1.185051.186051",3.45839101319111,2.15892022021039,2.68623936453856,1.27178607678028,0,3.14494152002997
"CM002236.1.185039.186039",3.45057730296705,2.16538559864867,2.70565491666278,1.28421984396311,0,3.14778253679003
"CM002236.1.189595.190595",3.9577631434579,1.84655111002741,2.30424941891349,0.820822145295401,0,2.98013971886628
"CM002236.1.189406.190406",4.03821560271938,1.96315966170766,2.45676405544384,1.09439997565016,0,3.02987357300058
"CM002236.1.194064.195064",1.84540264491243,0,0,0,0,1.37839707153828
"CM002236.1.195335.196335",3.83781307676565,1.40498305575354,1.46152219047704,0,0,3.15842923373513
"CM002236.1.196290.197290",3.38726035497992,1.40642459977443,1.496138322946,0,0,2.67365527580849
"CM002236.1.197194.198194",4.03564939472764,2.59344301992992,2.64798218520041,0,0,3.173212014629
"CM002236.1.209343.210343",3.52360499651542,2.39560717202558,2.42243726272241,0,0,2.28572087135067
"CM002236.1.209486.210486",3.5364047211537,2.33836138962376,2.44175840144359,0,0,2.29654452984192
"CM002236.1.213619.214619",4.00430533951791,2.54954504076467,2.66688662131709,2.10511229807936,0,2.5675496032453
"CM002236.1.216521.217521",4.36041352598456,3.31756451900054,3.49482970370661,3.58278159092915,0,2.94808942888884
"CM002236.1.220979.221979",3.59017655109247,2.82233709556866,2.86457497250219,3.64954845441637,0,2.52162902420395
"CM002236.1.223661.224661",2.42621717419676,1.36459726268777,2.03970934615834,2.90212334932254,0,2.32353252535254
"CM002236.1.246248.247248",3.33968457871716,1.40332707479614,1.71704985754738,3.49931912019745,0,2.6575458340235
"CM002236.1.247478.248478",3.61526890055649,1.95960284393144,2.0847502201879,3.93079342377868,0,3.1213275648342
"CM002236.1.251944.252944",1.01468871075286,0,0,1.33605184576435,0,1.89970533408214
"CM002236.1.255694.256694",3.32772926894871,2.80193658818586,2.620037333593,4.28072954396872,0,2.94746873061729
"CM002236.1.255165.256165",2.71287981388254,2.020091672464,1.91725766701789,3.52244972089984,0,2.83508379574797
"CM002236.1.256492.257492",3.93305562151559,3.38687943424318,3.23949351442014,4.82969418435877,0,3.03480310752796
"CM002236.1.263387.264387",4.31207487817887,3.58707100365249,3.80710145237231,4.12058871789038,0,2.49998059726001
"CM002236.1.265388.266388",2.50429004782289,2.92097942714574,2.35431306741218,2.84321491471383,0,1.40860161755494
"CM002236.1.290632.291632",4.75325903089686,4.55528666709103,4.64215587061521,4.78287430986133,0,3.17481061612601
