"","logFC_cac1","logFC_cac2","logFC_cac3","logFC_set7","logFC_ash1"
"CM002236.1.2878.3878",0,0,-3.36163113059154,-2.85231025915421,-1.44047034588913
"CM002236.1.2177.3177",0,0,-3.86832405983533,-4.65963383492619,-1.48820719194196
"CM002236.1.14929.15929",0.88051139102815,0,-4.03128440358333,-3.49614085730135,-0.973136841205276
"CM002236.1.16440.17440",1.03916103347022,0,-2.2747648652503,-1.81918387792226,0
"CM002236.1.33980.34980",1.27187114652496,-0.800889170304985,-2.57135352560646,-2.12101174019906,0
"CM002236.1.42632.43632",0,0,-4.63550750587657,-3.26531778756773,-1.00029956545774
"CM002236.1.44551.45551",0,0,-3.53499422362341,-3.07092690609066,0
"CM002236.1.48154.49154",0,0,-2.03501926331048,-1.38853224077514,0
"CM002236.1.58145.59145",0,0,-2.50400182273997,-1.91963405136947,0
"CM002236.1.90323.91323",0,0,-3.56041975533513,-2.79991513392761,0
"CM002236.1.180222.181222",-1.20968407330288,-1.01161563317006,-1.84524498962275,-1.20294879347361,0
"CM002236.1.185051.186051",-1.29947079298072,-0.77215164865255,-2.18660493641083,-3.11230853647656,0
"CM002236.1.185039.186039",-1.28519170431838,0,-2.16635745900395,-3.10442788766442,0
"CM002236.1.189595.190595",-2.11121203343049,-1.65351372454441,-3.1369409981625,-3.31462065339453,-0.977623424591614
"CM002236.1.189406.190406",-2.07505594101172,-1.58145154727554,-2.94381562706922,-3.36243958207137,-1.00834202971879
"CM002236.1.194064.195064",-1.57646630307121,-1.3921855051925,-2.19570872950703,-1.70371570392854,0
"CM002236.1.195335.196335",-2.4328300210121,-2.3762908862886,-4.07919934430197,-3.16739009790116,0
"CM002236.1.196290.197290",-1.98083575520549,-1.89112203203393,-3.5815351353259,-3.15821393196184,0
"CM002236.1.197194.198194",-1.44220637479772,-1.38766720952723,-4.18797135710823,-3.73974953879621,-0.862437380098637
"CM002236.1.209343.210343",-1.12799782448984,-1.10116773379301,-3.26315642557446,-3.1457337648919,-1.23788412516475
"CM002236.1.209486.210486",-1.19804333152995,-1.09464631971011,-3.19814469272755,-3.14795083869329,-1.23986019131178
"CM002236.1.213619.214619",-1.45476029875323,-1.33741871820082,-1.89919304143855,-3.61736661816805,-1.43675573627261
"CM002236.1.216521.217521",-1.04284900698402,-0.865583822277947,-0.777631935055413,-3.69852658720894,-1.41232409709572
"CM002236.1.220979.221979",0,0,0,-3.0559387181625,-1.06854752688852
"CM002236.1.223661.224661",-1.06161991150899,0,0,-2.2330038567,0
"CM002236.1.246248.247248",-1.93635750392102,-1.62263472116978,0,-2.82721920887904,0
"CM002236.1.247478.248478",-1.65566605662506,-1.53051868036859,0,-3.03959052682637,0
"CM002236.1.251944.252944",-0.906178798795594,-0.86413450175742,0,-0.970130680459764,0.885016623329281
"CM002236.1.255694.256694",0,0,0.953000275020011,-2.83469964595512,0
"CM002236.1.255165.256165",0,-0.795622146864648,0.809569907017294,-2.35522190677932,0
"CM002236.1.256492.257492",0,0,0.896638562843173,-3.29460591202421,-0.898252513987634
"CM002236.1.263387.264387",0,0,0,-3.92744066689874,-1.81209428091885
"CM002236.1.265388.266388",0,0,0,-2.48671577206861,-1.09568843026795
"CM002236.1.290632.291632",0,0,0,-4.09025307228815,-1.57844841477084
"CM002236.1.292166.293166",0,0,0,-4.24433143785785,-1.26196512566879
"CM002236.1.297770.298770",0,0,0,-3.86802079516618,-1.32856511365053
"CM002236.1.301352.302352",0,0,0,-3.38640873315703,-1.63021375994659
"CM002236.1.8867649.8868649",-2.30579491652468,-1.94127889477245,0,-1.36545632790037,0
"CM002236.1.9651509.9652509",0,0,-2.30344978097729,-1.92721494754307,-2.81783507291678
"CM002236.1.9688732.9689732",0,0,-3.44474682197358,-2.64480165116885,-1.06246961401445
"CM002236.1.9690543.9691543",0,0,-3.6878727881342,-3.00256388321981,0
"CM002236.1.9688977.9689977",0,0,-3.70058482380301,-2.80231884095216,0
"CM002236.1.9693340.9694340",0,0,-2.41035647343422,-1.46001613549353,0
"CM002236.1.9693631.9694631",0,0,-2.20725546870083,-0.930902086211486,0
"CM002236.1.9758596.9759596",0,0,-4.08958068624029,-3.64042710550979,0
"CM002236.1.9772169.9773169",0,0,-4.47323834516095,-4.08594698823968,0
"CM002237.1.11029.12029",0,0,-5.99501611541564,-4.78870101459332,-3.91956664358086
"CM002237.1.10641.11641",0,0,-5.77830009659264,-4.7639327738813,-3.12227909814264
"CM002237.1.13311.14311",1.28855215568226,0,-3.68315792473109,-2.94225502071205,-0.93300188137781
"CM002237.1.18173.19173",0,0,-4.31962308755673,-3.45442026498092,-1.74725523555361
"CM002237.1.18041.19041",0,0,-4.38782096318267,-3.46187450973895,-1.95365965430428
"CM002237.1.35627.36627",0,0,-3.8636627017111,-2.91376402799071,-1.14899962895518
"CM002237.1.38253.39253",0,0,-1.3403911399037,-0.941363490540885,0
"CM002237.1.41401.42401",0,0,-2.36636959590009,-1.49669744478756,0
"CM002237.1.50942.51942",0,0,-3.1885721045337,-2.03012540882745,-1.77124522978139
"CM002237.1.55203.56203",0,0,-3.40451205545119,-2.71523712371101,0
"CM002237.1.69444.70444",0,0,-2.54014855086714,-1.18172045233976,-2.02264839519842
