"","logFC_cac1","logFC_cac2","logFC_cac3","logFC_set7"
"CM002236.1.1150.3878",0,0,-3.67555166181623,-3.98841671099032
"CM002236.1.2177.6443",0,0,-4.06575495112452,-3.24068125757543
"CM002236.1.14929.16647",0,0,-3.4807598597166,-3.24942641673197
"CM002236.1.16440.19615",0,0,-3.0404064405454,-2.50226795399834
"CM002236.1.33980.39245",0,0,-3.79991278375439,-3.38879996544767
"CM002236.1.40949.43632",0,0,-4.30890486814853,-3.98449389079476
"CM002236.1.43708.45551",0,0,-3.85461048092449,-3.26381989847076
"CM002236.1.45331.49154",0,0,-3.35726104536925,-2.47790555731165
"CM002236.1.58145.61150",0,0,-2.812273549139,-1.93836409880566
"CM002236.1.90323.92593",0,0,-3.87971135928375,-3.02800282535884
"CM002236.1.180222.181975",-1.35827187409683,-1.46040302268698,-1.93354057561813,-1.93502341791854
"CM002236.1.182427.186051",-1.72614366929981,0,-2.35383628143119,-2.99939100674188
"CM002236.1.185039.188208",-1.98852871029045,-1.29784270323883,-2.80287063744529,-3.34639327284449
"CM002236.1.188530.190595",-2.33385077656132,-1.74352044235984,-3.35838405567909,-3.67263075377016
"CM002236.1.189406.191138",-2.27898404634355,-1.82843664324742,-3.4474102456498,-3.46843240385178
"CM002236.1.193143.195064",-1.54740738493851,-1.45431730839448,-2.36614704726065,-2.31522784154931
"CM002236.1.195020.196335",-2.3337286327322,-2.21489278418972,-3.71706566371954,-3.39386036640112
"CM002236.1.195780.197290",-2.13989174518535,-2.08682488350502,-3.67824508205013,-3.49277868852469
"CM002236.1.197194.198497",-1.50724963484333,-1.33509958120057,-3.98563640165336,-3.54172225474207
"CM002236.1.208394.210343",-1.15464819046949,-1.0725902343978,-3.38159159504147,-3.31694875366308
"CM002236.1.209486.212487",-1.70010842880271,-1.43774698300203,-3.50739587031113,-3.93491083036889
"CM002236.1.213619.215734",-1.53895442690402,0,-1.84526216026408,-3.9491431060182
"CM002236.1.216104.217521",-1.28764248615032,0,-1.20026526558026,-4.05916448966687
"CM002236.1.219395.221979",-1.13830458799244,0,0,-3.41612442042589
"CM002236.1.223661.224874",0,0,0,-2.39363752710424
"CM002236.1.243323.247248",-1.75679705365263,-1.48897880573608,0,-2.87381893125291
"CM002236.1.246886.248478",-1.9926403900317,-1.74114926403336,0,-3.54623571978572
"CM002236.1.249096.252944",-1.46351313310403,-1.26460148461226,0,-2.29349270109074
"CM002236.1.254974.256694",0,0,0,-3.12800881287173
"CM002236.1.255165.256694",0,0,0,-3.26374275272231
"CM002236.1.256492.259361",0,0,0,-4.01992104708733
"CM002236.1.262019.264387",0,0,0,-4.04045301648211
"CM002236.1.264035.266388",0,0,0,-3.32040760058897
"CM002236.1.290632.292877",0,0,0,-4.32598347040528
"CM002236.1.292166.294573",0,0,0,-4.22072451983024
"CM002236.1.296498.298770",0,0,0,-4.1498839795352
"CM002236.1.301352.303729",0,0,0,-3.46153260957144
"CM002236.1.8866489.8868649",-2.31277070355025,-2.24931930198206,0,0
"CM002236.1.9649954.9652509",0,0,0,0
"CM002236.1.9687687.9689732",0,0,-3.55677800835952,-2.41791734597204
"CM002236.1.9689584.9691543",0,0,-3.40271956222102,-2.7924069370729
"CM002236.1.9688977.9690773",0,0,-3.59224093983808,-2.81294596879566
"CM002236.1.9692169.9694340",0,0,-3.15670361283172,-2.23551151126136
"CM002236.1.9693631.9697675",0,0,-2.80824838243362,-2.06805006183414
"CM002236.1.9758596.9762612",0,0,-3.42793901436824,-2.98495463417981
"CM002236.1.9770840.9773169",0,0,-4.33114999199226,-3.60617677419127
"CM002237.1.8926.12029",0,0,-4.72260899586513,-4.60259764070029
"CM002237.1.10641.12594",0,0,-5.18082917212803,-4.891721478758
"CM002237.1.12520.14311",0,0,-4.09890679744558,-3.46559361260118
"CM002237.1.15942.19173",0,0,-4.4566602221849,-3.86731314420591
"CM002237.1.18041.19908",0,0,-4.40435247702314,-3.66161940522719
"CM002237.1.34370.36627",0,0,-3.92965954470242,-3.45904148956618
"CM002237.1.36176.39253",0,0,-2.86530360721321,-2.37006271272929
"CM002237.1.40798.42401",0,0,-2.57581744731654,-1.91523592321706
"CM002237.1.50942.53778",0,0,-3.46992145983514,-2.67922868323609
"CM002237.1.55203.56983",0,0,-3.46401187063886,-2.4733827372606
"CM002237.1.69444.71887",0,0,-3.53259270368627,-2.15764668586227
"CM002237.1.73201.75342",0,0,-3.63311822415857,-2.81695322653266
"CM002237.1.74558.76400",0,0,-3.50016070027436,-2.44526700011231
"CM002237.1.75424.78257",0,0,-3.04551429572523,-1.98172994284424
"CM002237.1.106019.108114",0,0,-3.6807329394182,-2.81412667271932
"CM002237.1.147606.149334",0,0,-3.29651414149585,-2.53911478992107
"CM002237.1.561860.563629",-1.56621324659506,-1.97317581006087,1.82237142884797,-2.0946800876549
"CM002237.1.563402.565440",-1.63097487621127,-2.06513937690064,1.87695957725448,-2.46314203036314
"CM002237.1.565861.568505",-1.70113752449182,-1.86976333778157,1.89785632925532,-2.20480824290252
"CM002237.1.568989.571312",-1.47708685901959,-1.69158182473367,1.87593836812153,-2.18307600949299
"CM002237.1.584152.586019",-1.18764092890547,-1.26562795092933,2.46152621260929,-1.02798981712496
