"","logFC_cac1","logFC_cac2","logFC_cac3","logFC_set7"
"CM002236.1.1201.1500",0.533305612913262,0.519401396181346,-3.18570655392183,-4.34010362074588
"CM002236.1.1501.1800",1.3067131827564,0.096015737709439,-3.37251189755278,-4.97910078772051
"CM002236.1.1801.2100",0.496971128102932,0.0780988396221098,-4.3474383315161,-5.09030644114013
"CM002236.1.2101.2400",0.524515962857236,0.349664597244178,-4.69442328660515,-4.14920198194488
"CM002236.1.2401.2700",0.322207369756391,0.0640263295482789,-4.68983825101089,-4.54686163000315
"CM002236.1.3301.3600",1.01005698466706,0.0310244836560946,-3.49736160258422,-1.1959813252421
"CM002236.1.3601.3900",0.618400858265901,0.601004751080459,-1.77686937707522,-0.948291458508197
"CM002236.1.3901.4200",0.459488081440046,0.436181717752108,-2.56292101110286,-1.2219653101031
"CM002236.1.4201.4500",0.325313666697362,0.290254979152139,-2.33213307181039,-1.60588238696844
"CM002236.1.4501.4800",0.525830091140059,0.817823949628181,-2.99852607599992,-2.06667139047487
"CM002236.1.4801.5100",0.686254671532554,0.78943228007291,-2.5154196061724,-1.59316491416491
"CM002236.1.5101.5400",0.976329877436045,0.126476517570134,-3.25615853031307,-3.07531758487854
"CM002236.1.5401.5700",0.658046765571706,0.169742453265821,-4.41675935311499,-3.02505167134459
"CM002236.1.5701.6000",-0.255739325711739,-0.0870318380686829,-4.40797565450315,-3.46744221805237
"CM002236.1.6001.6300",0.531506434794857,0.412921189571793,-4.41753597536832,-3.65444360032964
"CM002236.1.16201.16500",1.31021464524812,0.39148573181392,-2.9414828035297,-2.84305585340266
"CM002236.1.17701.18000",0.244743599969106,-0.822645615149609,-3.75080198644241,-2.39239072075595
"CM002236.1.18001.18300",0.414038607793594,-0.232245600752951,-3.78104815452783,-2.6833810907111
"CM002236.1.18301.18600",0.245299100110261,-0.649817857491769,-3.6527491831767,-3.07268549213224
"CM002236.1.18601.18900",-0.293160059813611,-0.757576594840156,-4.13067871707878,-3.41829679463436
"CM002236.1.18901.19200",-0.344733861082928,-1.13293127128,-4.18606812904912,-3.2986416423725
"CM002236.1.19201.19500",-0.114227219925838,-0.670099323983605,-2.72153929758635,-2.14581741365024
"CM002236.1.35101.35400",0.572267142178628,-0.861833964598237,-4.53831083174313,-3.36204391351044
"CM002236.1.35401.35700",0.221022401430014,-0.8123587406728,-3.76384974431275,-2.85298005708798
"CM002236.1.35701.36000",-0.222826224715311,-0.631831693908825,-4.68885987597912,-3.62345948118998
"CM002236.1.36001.36300",-0.00202079847953773,-0.0199843769629229,-3.84851595232921,-3.94461595469836
"CM002236.1.36301.36600",-0.603948175812953,-0.661056974228475,-3.46043664687407,-3.70433379247011
