"","logFC_cac1","logFC_cac2","logFC_cac3","logFC_set7"
"CM002236.1.2401.2700",0.322455943883572,0.0641323560693903,-4.68933145789529,-4.54692357071574
"CM002236.1.2701.3000",0.367350228689513,0.328194511194955,-3.8947088026003,-4.01530858936711
"CM002236.1.3001.3300",0.934063242134863,0.647448095883882,-1.81178431542554,-0.633049464041881
"CM002236.1.3301.3600",1.01047141542722,0.0311715943041643,-3.49800519662002,-1.19595100044228
"CM002236.1.15001.15300",0.197488280987123,0.0921560857472899,-3.60980892277212,-3.46622646014335
"CM002236.1.15301.15600",0.933362103188115,0.364664059174043,-3.90474763903319,-3.49073633597282
"CM002236.1.15601.15900",0.692437010602521,-0.407078765495825,-4.73405346980487,-4.26698737319502
"CM002236.1.16501.16800",1.24452400487749,0.320970528104451,-2.30819022675272,-1.92593922570421
"CM002236.1.16801.17100",1.45258640886463,0.496496221226268,-0.395795259044281,-1.42313329108789
"CM002236.1.34201.34500",1.64445080009327,-0.169344562496938,-2.6086244030483,-1.67432369845369
"CM002236.1.34501.34800",1.0053432295066,-0.418930418798345,-3.91859494526646,-2.0994692861258
"CM002236.1.42901.43200",-0.724927755609531,-0.506914173260293,-3.8854388009507,-3.73449939962156
"CM002236.1.43201.43500",-0.720229619670529,0.0935515187053318,-3.4315131214779,-3.60007404700599
"CM002236.1.44701.45000",-0.761456791099215,-0.349451552386477,-3.4190084483677,-3.1386483025193
"CM002236.1.45001.45300",-0.558811679900381,-0.540082886418601,-3.60200141986829,-2.82715824478504
"CM002236.1.48601.48900",0.434635692153837,0.134267943012563,-2.68434460473176,-0.785055549623096
"CM002236.1.58201.58500",0.296271738521452,-0.134555843037484,-2.21197157672713,-1.75810488582177
"CM002236.1.58501.58800",-0.249848720721979,0.193007933195291,-2.48398569338686,-1.62620453959984
"CM002236.1.58801.59100",-0.0265875279885699,0.000970135262669745,-2.75499217443749,-2.28234120295027
"CM002236.1.90601.90900",0.246206578227145,-0.503353187652173,-3.35865980578428,-2.47883401100544
"CM002236.1.90901.91200",-0.267416739099036,0.099514848207128,-3.70255139373909,-2.96942396886072
"CM002236.1.180301.180600",-1.0267344901656,-1.19801263231621,-1.70211687645852,-1.33017703974927
"CM002236.1.180601.180900",-1.54962997128406,-1.1388187751491,-2.78594051916838,-1.55451524273991
"CM002236.1.180901.181200",-1.47314725104622,-1.25671456465548,-1.65350282194751,-1.63423704834029
"CM002236.1.185101.185400",-1.69487268547263,-1.07054335669427,-2.64051258906494,-3.23521561861631
"CM002236.1.185401.185700",-1.74785054664409,-1.19820252033154,-2.97488027479364,-3.5566202316984
"CM002236.1.185701.186000",-0.967556145542887,-0.223805167308987,-1.51120330962349,-2.75778840992997
"CM002236.1.189601.189900",-2.56514544669124,-1.57487607335135,-2.91724373116225,-3.17600895901348
"CM002236.1.189901.190200",-2.15537789328968,-1.43826854777754,-2.8750757185951,-2.81267505865292
"CM002236.1.190201.190500",-2.36966950252615,-1.62525597264811,-3.44833055199899,-3.23808538252573
"CM002236.1.194101.194400",-1.41180278196664,-1.10330142380049,-1.84552130406584,-1.38639425389169
"CM002236.1.194401.194700",-1.01115178008698,-0.608483135973855,-1.22651483274259,-1.15575999463063
"CM002236.1.194701.195000",-0.944614634378393,-0.772563757045211,-2.17603223786753,-1.52434712809593
"CM002236.1.195601.195900",-2.65311841322359,-2.45676693886985,-3.80597027372993,-3.7145614795652
"CM002236.1.195901.196200",-2.63787335636442,-2.62312179445977,-4.02158746761608,-4.20317597965005
"CM002236.1.196501.196800",-2.13685109846426,-2.16652978016515,-3.43890751345789,-3.49744937199906
"CM002236.1.196801.197100",-1.59544109766629,-1.54122902847169,-2.70131394031706,-2.34230401517711
"CM002236.1.197401.197700",-1.71945546106708,-1.23875490791223,-3.78577525332905,-3.47573778800669
"CM002236.1.197701.198000",-1.57744398177875,-1.51128540167649,-4.51135455135117,-3.70762707733981
"CM002236.1.209401.209700",-1.19796557814928,-1.22505215977012,-4.04953674186637,-3.79408583771585
