"","logFC_WT","logFC_cac1","logFC_cac2","logFC_cac3","logFC_set7"
"CM002236.1.1201.1500",4.43937492746174,4.98090976124486,4.9605698765215,0,0
"CM002236.1.1501.1800",5.23149391291219,6.51866671596476,5.31404540920743,1.83845151270856,0
"CM002236.1.1801.2100",5.27071168521765,5.75452379502472,5.32863033139228,0,0
"CM002236.1.2101.2400",4.11176742943309,4.62933125131257,4.4481224087481,0,0
"CM002236.1.2401.2700",4.3277778687863,4.63703387099002,4.38645151380978,0,0
"CM002236.1.3301.3600",1.78420818847678,2.7748976079854,1.80779581660438,0,0
"CM002236.1.3601.3900",1.24533710048588,1.85551406876044,1.82027428601873,0,0
"CM002236.1.3901.4200",1.95793751047389,2.40722163941947,2.36599751921311,0,0
"CM002236.1.4201.4500",1.94690907415377,2.24173772420082,2.20396528363302,0,0
"CM002236.1.4501.4800",1.72364458879997,2.22609875487929,2.53201098132256,0,0
"CM002236.1.4801.5100",1.24633414470553,1.91445145297942,2.03629630740822,0,0
"CM002236.1.5101.5400",2.02292111478192,2.96021583541587,2.11643876045978,0,0
"CM002236.1.5401.5700",2.74585456026712,3.36287888124197,2.89451170565661,0,0
"CM002236.1.5701.6000",3.43454726054266,3.15136266896249,3.32650209454144,0,0
"CM002236.1.6001.6300",3.65722751194245,4.16609118334484,4.04875297058233,0,0
"CM002236.1.9301.9600",1.08159356776407,1.6313799264568,1.64757945281758,0,0
"CM002236.1.9601.9900",1.43837220016012,1.86913108194285,1.6765272371475,0,0
"CM002236.1.9901.10200",1.03100335994411,1.32637545029367,1.52994687067355,0,0
"CM002236.1.10201.10500",1.45452840960511,2.04126912217181,1.84388748786243,0,0
"CM002236.1.10501.10800",1.34144344253711,2.10012384862537,2.10246380015255,0,0
"CM002236.1.10801.11100",1.62416726107122,1.90787929443354,2.58770157260706,0,0
"CM002236.1.11101.11400",1.8518644288077,2.48918657887479,2.24605527378947,0,0
"CM002236.1.11401.11700",2.2162434008609,2.7346796924562,3.03202777532587,0,0
"CM002236.1.11701.12000",3.09217815345855,3.51344388717208,3.53501619783864,0,0
"CM002236.1.12001.12300",2.97268233443843,3.34863374828548,3.44109250879038,0,0
"CM002236.1.12301.12600",3.74506262126932,3.70944794631819,3.5417218655847,0,0
"CM002236.1.12601.12900",4.28789384904151,4.11366134383861,3.88741752961961,0,0
"CM002236.1.12901.13200",3.78008982410873,3.54723933926077,3.79226631314027,0,0
"CM002236.1.16201.16500",2.07207992535283,3.33303634935057,2.43464975646471,0,0
"CM002236.1.17701.18000",2.60276094258896,2.81970418552063,1.77034254153249,0,0
"CM002236.1.18001.18300",2.64027592074076,3.02098787088206,2.37401401199392,0,0
"CM002236.1.18301.18600",3.01834497481228,3.19543056872191,2.32350406197091,0,0
"CM002236.1.18601.18900",3.67158186853787,3.34602112442002,2.90347182600269,0,0
"CM002236.1.18901.19200",3.39555827525742,3.04012412557856,2.24919417199151,0,0
"CM002236.1.19201.19500",2.36838755195668,2.25679983594172,1.69983459357859,0,0
"CM002236.1.34801.35100",2.51128902613757,3.01486964925154,1.5475423401176,0,0
"CM002236.1.35101.35400",2.78166909141619,3.31254657967211,1.90128070912217,0,0
