"","logFC_cac1","logFC_cac2","logFC_cac3","logFC_set7"
"CM002236.1.1150.2878",0,0,-3.75370492889368,-4.5217987959662
"CM002236.1.3177.6443",0,0,-3.6572303165354,-2.57641411406993
"CM002236.1.9176.13334",0,0,-3.17323195960737,-2.54127693342828
"CM002236.1.15929.16647",0,0,-2.94356357991459,-2.95621062983827
"CM002236.1.17440.19615",0,0,-3.38678520249096,-2.63244230667496
"CM002236.1.34690.35418",0,0,-3.63089099822423,-3.06602501345268
"CM002236.1.34980.39245",0,0,-3.96443843551226,-3.53862549396096
"CM002236.1.40949.42632",-1.21633360566248,-1.25512814463659,-4.69396368016061,-4.21110635329587
"CM002236.1.43708.44551",0,0,-4.087371105268,-3.55295453360546
"CM002236.1.45331.48154",0,0,-3.59677754668134,-2.71050574528233
"CM002236.1.49236.52949",0,0,-2.01352251862552,-1.40890498110763
"CM002236.1.53113.54518",0,0,0,0
"CM002236.1.54881.57945",0,0,-1.43993094643417,0
"CM002236.1.59145.61150",0,0,-3.04106097291893,-2.1107820008562
"CM002236.1.62093.62950",0,0,-2.90053651806492,-2.24329982591138
"CM002236.1.91323.92593",0,0,-4.13841366031572,-3.28825662409429
"CM002236.1.93473.98954",0,0,-3.05372159232383,-2.10191930012064
"CM002236.1.99982.102134",0,0,-0.909902566572999,-0.668559650321329
"CM002236.1.102313.105940",0,0,0,0
"CM002236.1.102848.103781",0,0,-1.41193969601752,0
"CM002236.1.109910.112060",0,0,0,0
"CM002236.1.112096.113288",0,0,0,0
"CM002236.1.113612.117165",0,0,0,0
"CM002236.1.117749.119387",0,0,0,0
"CM002236.1.122927.128314",0,0,-0.834688030247062,0
"CM002236.1.128667.129912",0,0,0,0
"CM002236.1.130427.132364",0,0,0,0
"CM002236.1.133835.134464",0,0,-1.23767800445935,-0.849985092586129
"CM002236.1.134926.137208",0,0,-1.58937119961193,-0.914076982370276
"CM002236.1.137592.139980",0,0,0,0
"CM002236.1.139965.143960",0,0,0,0
"CM002236.1.144648.149497",0,0,0,0
"CM002236.1.149510.152241",0,0,0,0
"CM002236.1.152420.155040",0,0,0,0
"CM002236.1.155598.157284",0,0,0,0
"CM002236.1.158036.161116",0,0,0,0
"CM002236.1.162306.163765",0,0,0,0
"CM002236.1.163962.166034",0,0,0,0
"CM002236.1.169834.173197",0,0,0,0
"CM002236.1.173481.174938",0,0,0,0
"CM002236.1.175040.175128",0,0,0,0
"CM002236.1.175274.178146",0,0,0,0
"CM002236.1.178613.180242",0,-1.09501594704996,0,-0.769999727255427
"CM002236.1.181222.181975",-1.38795650579616,-1.63757625724547,-1.94497539809074,-2.60612287237477
"CM002236.1.182427.185051",-1.8219431641282,-1.09057720892176,-2.37009236545559,-3.01317703532164
"CM002236.1.186039.188208",-2.24052284048454,-1.51955267115615,-2.98354588765954,-3.32191304320994
"CM002236.1.188530.189595",-2.39855616207559,-1.74720003757789,-3.22969102592106,-3.88155301114409
"CM002236.1.190406.191138",-2.25282292009151,-1.96253557351736,-3.75868973604048,-3.56216657660405
"CM002236.1.193143.194064",-1.48298884247443,-1.56938785596852,-2.56356273303326,-2.52193899315266
"CM002236.1.195020.195335",-1.83848454094005,-2.06191008938804,-3.37433485775692,-2.97610747441681
"CM002236.1.195780.196290",-2.4491717555288,-2.53576711643284,-4.12514968477743,-3.90489495090672
"CM002236.1.198194.198497",0,0,-4.3182244941831,-4.14698711687215
"CM002236.1.208394.209343",0,-1.0890065851629,-3.421534971441,-3.29954136136961
"CM002236.1.210486.212487",-1.87270364119476,-1.57977682602655,-3.59135279777687,-4.15329549223858
"CM002236.1.214619.215734",-1.47148460246268,0,-1.68328443463989,-4.02518377314038
"CM002236.1.216104.216521",0,0,0,-3.99785698597606
"CM002236.1.219395.220979",-1.23484778224308,0,0,-3.59414700629399
"CM002236.1.224661.224874",0,0,0,-1.98968755760114
"CM002236.1.226934.227879",0,0,0,0
"CM002236.1.227817.228981",0,0,0,0
"CM002236.1.231495.232838",0,0,0,0
"CM002236.1.233027.234749",0,0,0,0
"CM002236.1.234735.237045",0,0,0,0
"CM002236.1.237548.238578",0,0,0,0
"CM002236.1.239111.240765",0,0,0,-0.679698128458272
"CM002236.1.240743.241840",0,-1.12036990602124,0,-1.57904884789107
"CM002236.1.243323.246248",-1.68888151633467,-1.46643801335364,0,-2.66207867091553
"CM002236.1.246886.247478",-2.0181547846052,-1.86858251150871,0,-3.47071816164594
"CM002236.1.249096.251944",-1.63421863210677,-1.42360850900529,0,-2.54460974714534
"CM002236.1.253455.254492",0,0,0,-1.69731059749079
"CM002236.1.254974.255694",0,0,0,-2.48062067348834
"CM002236.1.256165.256694",0,0,0,-3.75248966326083
"CM002236.1.257492.259361",0,0,0,-4.08688933019957
"CM002236.1.262019.263387",0,0,0,-4.04813866479393
"CM002236.1.264035.265388",0,0,0,-3.77353780697996
"CM002236.1.291632.292877",0,0,0,-4.34562593700083
"CM002236.1.293166.294573",0,0,0,-4.19981973405012
"CM002236.1.296498.297770",0,0,0,-4.19673866674107
"CM002236.1.302352.303729",0,0,0,-3.50570160430448
"CM002236.1.305341.308567",0,0,0,-0.93270286329437
"CM002236.1.309018.310364",0,0,0,0
"CM002236.1.311540.313460",0,0,1.29692909709982,-1.10829343658538
"CM002236.1.313929.315269",-1.7269156102718,0,1.12898195948132,-2.71695589452475
"CM002236.1.318872.321079",-2.1903484519669,-1.51684794714313,0,-2.42913305863753
"CM002236.1.325002.328569",0,0,0,0
"CM002236.1.328657.330088",-1.18794233465599,-1.07522657308942,1.06723161306543,-1.34269412694682
"CM002236.1.332174.334731",-1.16354300276535,-1.19942382974386,0.868977228066746,-0.776525991783884
"CM002236.1.335201.339433",0,0,0,0
"CM002236.1.340058.343487",0,0,0,0
"CM002236.1.343607.345535",0,0,0,0
"CM002236.1.345767.347031",0,0,0,0
"CM002236.1.348245.352922",0,0,0,0
"CM002236.1.351912.353209",0,0,0,0
"CM002236.1.356402.357891",0,0,0,0
"CM002236.1.359461.361343",0,0,2.13253550277309,0
"CM002236.1.363633.366043",0,0,1.28246637341798,0
"CM002236.1.366914.367463",0,0,0,0
"CM002236.1.367974.369313",0,0,1.23783669268947,0
"CM002236.1.377664.380825",0,0,0,0
"CM002236.1.381417.384072",0,0,0,0.720722916315965
"CM002236.1.386938.388761",0,0,0,0
"CM002236.1.388863.392501",0,0,0.958383230761581,0
"CM002236.1.393033.393131",0,0,0,0
"CM002236.1.393676.395053",0,0,1.77779889086271,0
"CM002236.1.397224.398634",0,-1.13875074012431,2.06530796897343,0
"CM002236.1.400254.401476",0,0,1.76580179874941,0
"CM002236.1.402098.406298",0,0,0.820694647366596,0.790750592197455
"CM002236.1.406509.408008",0,0,0.980051265057937,0
"CM002236.1.408523.415263",0,0,0,0.818766677388691
"CM002236.1.417351.419464",0,0,0,0
"CM002236.1.420029.420109",0,0,0,0
"CM002236.1.420176.421612",0,0,0,1.22138301073445
"CM002236.1.421556.423435",0,0,0,0.887367849085888
"CM002236.1.423884.427947",0,0,0,0.796154680433614
"CM002236.1.429104.431229",0,0,0,0.95830571730759
"CM002236.1.437278.441935",0,0,0,0.790697291709166
"CM002236.1.441088.441910",0,0,0,0
"CM002236.1.442099.442171",0,0,0,0
"CM002236.1.448858.451692",0,0,0,0
"CM002236.1.453918.454759",0,0,0,0.984707979605142
"CM002236.1.455181.456143",0,0,0,1.10073116277802
"CM002236.1.456741.461929",0,0,0,0
"CM002236.1.464410.467155",0,0,0,0.784978664386198
"CM002236.1.467140.469295",0,0,0,0.718644551897445
"CM002236.1.474068.478709",0,0,0.784602314366105,0.65195182387454
"CM002236.1.479575.482143",-1.31510978690586,-1.7577171212493,1.31676393440403,-1.30698156131993
"CM002236.1.486621.490547",-1.39419794847712,-1.55563655177467,0.941360826770927,-0.673029968001816
"CM002236.1.491365.493798",0,0,0,0.767223283883894
"CM002236.1.494637.499251",0,0,0,1.0780812451586
"CM002236.1.502477.504670",0,0,0,0.794137715063005
"CM002236.1.507933.509018",0,0,0,0.828013957615224
"CM002236.1.512383.513927",0,0,0,1.14727849840642
"CM002236.1.514505.519273",0,0,0,1.31191611279043
"CM002236.1.519492.521645",0,0,1.50202208897202,1.44726748380957
"CM002236.1.521931.523738",0,0,0,1.34636011497522
"CM002236.1.530628.533414",0,0,0,1.10026775527186
"CM002236.1.535654.538185",0,0,0,1.01828475658763
"CM002236.1.537095.538676",0,0,0,1.08811396700257
"CM002236.1.539195.541680",0,0,0,1.0416920601955
"CM002236.1.541585.543147",0,0,0,1.06349249118697
"CM002236.1.543681.546443",0,0,1.64461574814243,0
"CM002236.1.547789.548753",0,0,2.06249949360542,0
"CM002236.1.549632.552479",0,0,1.30022824932525,0
"CM002236.1.552867.555385",0,0,0,1.41961360404618
"CM002236.1.555963.558250",0,0,0,1.23543816597931
"CM002236.1.559255.560671",0,0,1.16584107650841,1.56131249192192
"CM002236.1.560707.562798",0,0,0,1.15957607775159
"CM002236.1.563725.566109",0,0,0,1.47149488250972
"CM002236.1.565190.567401",0,0,1.11616256475725,1.45716911102904
"CM002236.1.568087.569942",0,0,1.55655843071544,0.771990761182631
"CM002236.1.570731.573135",0,0,1.30025208708244,1.17714170267848
"CM002236.1.574310.576289",0,0,1.02069159385381,1.29514592622139
"CM002236.1.576061.577864",0,0,1.39288174958332,1.79358463652077
"CM002236.1.578782.581444",0,0,0,1.44771942625226
"CM002236.1.582487.583595",0,0,1.54640940441081,1.5378108724792
"CM002236.1.584436.585580",0,0,2.68374174056742,1.14013984258015
"CM002236.1.587089.588592",0,0,3.33024066932004,0.771509352893365
"CM002236.1.593882.596976",0,0,0,1.0472753281977
"CM002236.1.597622.600826",0,0,0,1.52211573074253
"CM002236.1.599619.602122",0,0,0,1.47324650204912
"CM002236.1.608823.615081",0,0,0,1.37605086089444
"CM002236.1.615713.618210",0,0,0,1.20672016280871
"CM002236.1.620562.621595",0,0,0,1.49067204105485
"CM002236.1.621600.624990",0,0,0,1.20773388528576
"CM002236.1.625038.625986",0,0,1.38942190006561,1.92771643437203
"CM002236.1.626351.629587",0,0,0,1.30117814526231
"CM002236.1.630032.632301",0,0,1.03280331974831,1.30031623657097
"CM002236.1.632557.634077",0,0,1.25714843995772,1.99751136688606
"CM002236.1.634193.636325",0,0,1.07820059741098,1.68241606200488
"CM002236.1.636649.638312",0,0,0,1.50917923522677
"CM002236.1.638339.642524",0,0,0,1.18516716098283
"CM002236.1.643276.643375",0,0,0,2.23108077151345
"CM002236.1.644062.646234",0,0,0,1.210664351679
"CM002236.1.652512.655451",0,0,0,1.33316752542118
"CM002236.1.658019.658981",0,0,0,1.28490767632669
"CM002236.1.661988.663664",0,0,0,1.45437797445279
"CM002236.1.666138.666602",0,0,0,0
"CM002236.1.698408.700075",0,0,0,0.872914659707748
"CM002236.1.710760.713665",0,0,0,1.47622524223091
"CM002236.1.716980.719354",0,0,0,1.54909852531823
"CM002236.1.720669.724628",0,0,0,1.41663916053722
"CM002236.1.726287.730970",0,0,0,1.52754486280793
"CM002236.1.739986.740998",0,0,0,1.60140697294498
"CM002236.1.741883.746951",0,0,0,1.33830651305248
"CM002236.1.747757.750244",0,0,0,1.56921201955568
"CM002236.1.750263.752527",0,0,0.98538632966273,1.52686025911922
"CM002236.1.753027.756753",0,0,0,1.37023794662904
"CM002236.1.758473.759986",0,0,0,1.49011168266763
"CM002236.1.761515.762264",0,0,1.18735495094995,1.71006094021484
"CM002236.1.763686.765163",0,0,0,1.15547395477558
"CM002236.1.764869.766051",0,0,0,0.936466318296247
"CM002236.1.766237.767152",0,0,0,1.21565203474149
"CM002236.1.767192.770372",0,0,1.12363036515196,1.4284574494622
"CM002236.1.770677.772001",0,0,0,1.40532626703194
"CM002236.1.771964.773374",0,0,1.28301909890863,1.79763056247858
"CM002236.1.774192.780044",0,0,0,1.32409747325151
"CM002236.1.791938.792235",0,0,0,1.22839142527936
"CM002236.1.793681.794386",0,0,0,1.46312390017251
"CM002236.1.798218.798824",0,0,0,1.90280044061136
"CM002236.1.804396.805159",0,0,0,1.3563790756257
"CM002236.1.805925.806591",0,0,1.38816088488633,1.52256063759482
"CM002236.1.808581.811110",0,0,0,0.900510330353213
"CM002236.1.810665.812203",0,0,0,0
"CM002236.1.815348.818956",0,0,0,1.42170618549125
"CM002236.1.819220.821372",0,0,0,1.7841366844301
"CM002236.1.821651.823194",0,0,0,1.41741438456886
"CM002236.1.823209.826355",0,0,0,1.50281673164527
"CM002236.1.826646.829000",0,0,0,1.57024436142035
"CM002236.1.829268.831784",0,0,0,1.63867367067977
"CM002236.1.831802.834075",0,0,0,1.71230415224221
"CM002236.1.836278.837803",0,0,0,2.09925365830636
"CM002236.1.837952.839866",0,0,0,1.37989546719338
"CM002236.1.841865.843028",0,0,0,1.77628394337148
"CM002236.1.843474.847155",0,0,0,1.20639532514695
"CM002236.1.847425.847497",0,0,0,0
"CM002236.1.847804.849962",0,0,0,1.38760829406091
"CM002236.1.851717.853021",0,0,0,1.72039037947442
"CM002236.1.853663.855156",0,0,1.10201972126409,1.70977299117836
"CM002236.1.855454.858451",0,0,0,1.37977052936263
"CM002236.1.858635.860920",0,0,0,1.49407094861605
"CM002236.1.860999.863156",0,0,0,1.00794584063883
"CM002236.1.863463.872329",0,0,0,1.13917528214998
"CM002236.1.926375.927148",0,0,0,1.64033317140378
"CM002236.1.928569.930752",0,0,0,1.29224251865676
"CM002236.1.937129.938177",0,0,1.18353999663546,1.9606132205283
"CM002236.1.937785.943577",0,0,0,1.61617424656836
"CM002236.1.951197.951623",0,0,0,1.80103325174094
"CM002236.1.952309.955257",0,0,0,1.16764018231755
"CM002236.1.955539.957970",0,0,0,1.21658013677623
"CM002236.1.960339.961628",0,0,1.26562169845372,1.50343849455554
"CM002236.1.965258.968393",0,0,1.01467894788537,1.530721864977
"CM002236.1.969498.974473",0,0,0,1.68081441953866
"CM002236.1.974674.976129",0,0,1.39303434599832,1.69953050654973
"CM002236.1.977121.978622",0,0,0,1.61640660964889
"CM002236.1.978694.980576",0,0,0,1.36904602565851
"CM002236.1.980459.980551",0,0,0,2.56187446831416
"CM002236.1.980956.982105",0,0,0,1.27084168398797
"CM002236.1.983861.987884",0,0,0,1.51499407477376
"CM002236.1.988180.988251",0,0,0,2.47041260665365
"CM002236.1.988543.989478",0,0,0,1.65544477864027
"CM002236.1.991776.993756",0,0,0,1.58985198970986
"CM002236.1.996276.1000626",0,0,0,1.2725299170071
"CM002236.1.1002283.1002378",0,0,0,0
"CM002236.1.1002514.1006983",0,0,0,1.50717853380323
"CM002236.1.1008854.1010430",0,0,0,1.78426183159162
"CM002236.1.1014236.1016969",0,0,0,1.31899726452781
"CM002236.1.1016976.1018546",0,0,0,1.50440601371767
"CM002236.1.1019424.1021505",0,0,0,1.27791508076092
"CM002236.1.1022194.1024977",0,0,1.16016855842304,1.85738122888476
"CM002236.1.1031189.1031840",0,0,0,1.54560626641627
"CM002236.1.1033948.1037601",0,0,0,1.47218741886883
"CM002236.1.1038404.1040827",0,0,1.10414147874876,1.80193691360379
"CM002236.1.1040527.1042071",0,0,0,1.41043502976261
"CM002236.1.1042246.1045920",0,0,0,1.41858874768515
"CM002236.1.1043584.1046396",0,0,0,1.52978145144559
"CM002236.1.1048322.1050458",0,0,0,1.4143578456712
"CM002236.1.1050814.1052780",0,0,0,1.50015143513423
"CM002236.1.1053692.1056629",0,0,0,1.36570773966469
"CM002236.1.1056827.1058196",0,0,0,1.2879688691951
"CM002236.1.1058024.1059163",0,0,0,1.62401191778935
"CM002236.1.1059591.1061748",0,0,0,1.23394288115735
"CM002236.1.1062037.1063387",0,0,0,1.65226753456021
"CM002236.1.1063533.1064640",0,0,0,1.3554583065762
"CM002236.1.1064555.1067144",0,0,0,1.42413211056873
"CM002236.1.1067738.1071303",0,0,0,1.39085905416428
"CM002236.1.1071692.1074448",0,0,0.988685667970909,1.73160386619248
"CM002236.1.1074707.1077243",0,0,0,1.46873228067008
