"","logFC_cac1","logFC_cac2","logFC_cac3","logFC_set7","logFC_ash1"
"CM002236.1.1501.1800",1.15377360324546,0.778869065320892,0.0224168631748508,0.9281472466084,-0.294707262925636
"CM002236.1.3901.4200",0.224473886991865,0.404678713249561,0.666205644866461,0.282418181838172,-0.229978466469368
"CM002236.1.4201.4500",0.100795456170462,0.0538984946025248,0.614379366717678,1.00745568307525,0.396314851409874
"CM002236.1.4501.4800",-0.340604563010683,-0.108522663400915,-0.108134577383096,-0.547043271585449,0.884605910466171
"CM002236.1.6001.6300",0.156613621591796,0.288279644905233,0.22003364363376,-0.113776573757574,-0.0541139987223293
"CM002236.1.18601.18900",-0.360520388295722,0.238134205406649,-0.36880078753596,0.426182336685168,-1.1916881403448
"CM002236.1.18901.19200",-0.204738654171778,-0.00559895406025285,-0.269395222846177,0.419419260435211,-1.12638934896308
"CM002236.1.36001.36300",-0.309467065165477,0.327043096400337,-0.0870719138491775,-0.276308909947159,-1.34322501709435
"CM002236.1.36301.36600",-0.921689556435157,-0.44254242811628,-0.388146355188382,-0.476993046492857,-1.21401814376824
"CM002236.1.36601.36900",0.167892133952465,0.185803097381807,0.393139015702025,0.918934458903524,-1.1364023078219
"CM002236.1.36901.37200",0.479843369674852,0.269326424327552,0.190202374338227,0.489007039154678,-0.745870509484018
"CM002236.1.37201.37500",-0.318089725976835,-0.265632964670664,-0.326029838791399,-0.0424482233526299,-1.16230480574385
"CM002236.1.37501.37800",-0.190735375732042,-0.308470121699231,-0.581354139550197,0.379946425411063,-0.824950926070629
"CM002236.1.37801.38100",-0.0761210830741758,0.100520597118583,0.213259499610267,0.880622200486814,-1.32902010987182
"CM002236.1.38101.38400",-0.298140205067319,0.0529516814785969,-0.0472146260242301,0.522802231751085,-1.36747391956787
"CM002236.1.38401.38700",-0.608928690037635,-0.203009786708272,-0.503014406708568,0.577772811666345,-1.41747433402017
"CM002236.1.38701.39000",-0.971249036950692,-0.600842997919411,-1.11516524238267,-0.214828407280849,-1.83971273024709
"CM002236.1.41401.41700",-1.57736601660149,-1.19071802551779,-0.77454352311523,-0.271307250414884,-1.22848145406352
"CM002236.1.41701.42000",-1.58271516396771,-1.80882474566316,-1.15397385375079,-0.302535552803796,-2.03815045104039
"CM002236.1.42301.42600",-1.52264994245237,-1.7232057768816,-2.21788612397649,-0.306147017916603,-1.71886130205426
"CM002236.1.43801.44100",-0.894567686585876,-1.16041813685473,-1.29102477615706,-0.470714584030154,-2.42017727647598
"CM002236.1.44101.44400",-0.623593621945715,-0.947835658176013,-0.714154631447911,0.339115056583456,-2.04564658911207
"CM002236.1.45601.45900",0.26254120827688,0.140045288480688,0.384259281760096,0.378076316482413,-0.810342420887297
"CM002236.1.45901.46200",-0.136690562379394,-0.2910506971523,0.125747816369896,0.388310265523696,-0.839603699680246
"CM002236.1.46201.46500",0.0189634027692336,0.0256513805657383,0.523108938475628,0.247244744918048,-0.820783096032049
"CM002236.1.46501.46800",-0.455881202494344,-0.397673427681526,-0.0330093128386721,-0.502711088628205,-2.02211222113653
"CM002236.1.46801.47100",-0.337082213669832,-0.260549668652788,-0.0669959981739408,-0.223395598348806,-1.36722655585295
"CM002236.1.59401.59700",-0.18459868723134,-0.525093368320928,-0.386494163881356,-0.0461168372160841,-0.360463292215506
"CM002236.1.91501.91800",-0.323013337902191,-0.446780282132857,-0.654483587424481,0.0522721453125485,-2.15761766178018
"CM002236.1.91801.92100",-0.0570823599126074,-0.359594657122799,-0.422219455859819,0.274230466892006,-2.63215869678502
"CM002236.1.92101.92400",-0.662052114726373,-0.537338136341155,-0.674485243045202,-0.324358547336196,-1.93877701097178
"CM002236.1.181501.181800",-0.415064735104714,-0.498742455594707,-0.0514175684863425,0.0585703064985986,-1.8511161873539
"CM002236.1.182701.183000",-0.15101152321958,-0.330120676279463,-0.619153472837525,0.15896014873966,-1.73160078895621
"CM002236.1.183001.183300",-0.383365373724926,-0.575004868857858,-0.50255942905637,0.170558730704744,-2.09887283858306
"CM002236.1.183301.183600",-0.595316064390442,-0.0936219489770974,-0.383633414946545,0.293558506600229,-1.95875190845367
"CM002236.1.183601.183900",-0.551608170233442,-0.328194603311895,-0.251975948904814,0.192650291259238,-1.43404219857876
"CM002236.1.183901.184200",-0.233073418195998,-0.246428973714279,-0.422020164814134,0.427333044123104,-1.94124329374818
"CM002236.1.184201.184500",-0.427545920240468,-0.382432875980672,-0.212616616738644,0.41510664568373,-1.70693657220844
"CM002236.1.184501.184800",-0.33217639839887,-0.370216143363625,-0.801653273008669,0.120915584582397,-1.56887157409115
"CM002236.1.186901.187200",-0.684549792665268,-0.476958945022627,-1.18816590644108,0.0521092402655024,-1.61600819267448
"CM002236.1.187201.187500",-0.335523492204689,-0.493572758266809,-1.06890450046479,-0.06489546248889,-1.55561655544405
"CM002236.1.187501.187800",-0.245889535043278,-0.661204938610212,-0.750861527228588,0.0567394612794819,-0.809743571343709
"CM002236.1.187801.188100",-0.604024419272847,0.0833672267121558,-0.767867397084423,0.692849069414212,-1.08430597027767
"CM002236.1.188701.189000",-0.582667102459888,-0.337410513967205,-0.817928255938775,0.436810404423338,-2.3380167430897
"CM002236.1.189001.189300",-0.430044023691683,-0.561056315718552,-0.64745868398844,0.333558952296881,-2.18461151558215
"CM002236.1.190501.190800",-0.982818157240889,-1.17927568861757,-1.59435745201228,-0.206649696551127,-1.71207245266631
"CM002236.1.190801.191100",-1.39540757872624,-1.39058039057744,-2.67501554758484,-0.606965713592115,-2.01066806975936
"CM002236.1.211201.211500",-1.82516297698988,-2.20335046142795,-3.68938742757076,-0.759481742636788,-1.93280073980237
"CM002236.1.211801.212100",-1.14963771052175,-1.5766291269531,-2.82031706800764,0.142972790447989,-2.02323939306935
"CM002236.1.214801.215100",-0.838281614840856,-0.74784639333076,-1.5704337235805,-0.461130977332378,-1.91652247599113
"CM002236.1.215101.215400",-0.621110525793609,-0.463656374844827,-0.800496108719857,0.517212977626694,-1.65763882486361
"CM002236.1.215401.215700",-0.424204970534865,-1.00346243205452,-1.37456340485547,-0.24606359706496,-1.98902599548374
"CM002236.1.219601.219900",0.079993821847922,-0.37834350645989,-0.853642284376496,0.555978344216443,-1.10160388663126
