"","logFC_cac1","logFC_cac2","logFC_cac3","logFC_set7","logFC_ash1"
"CM002236.1.2701.3000",0,0,0,0,0
"CM002236.1.3001.3300",0,0,0,0,0
"CM002236.1.15601.15900",0,0,0,0,0
"CM002236.1.15901.16200",0,0,0,0,0
"CM002236.1.17101.17400",0,0,0,0,3.30377856740082
"CM002236.1.17401.17700",0,0,0,0,0
"CM002236.1.34501.34800",0,0,0,0,0
"CM002236.1.34801.35100",0,0,0,0,0
"CM002236.1.42601.42900",0,0,0,0,-1.68542955951599
"CM002236.1.44401.44700",0,0,0,0,-1.88685143671892
"CM002236.1.44701.45000",0,0,0,0,0
"CM002236.1.48001.48300",0,0,0,0,0
"CM002236.1.48301.48600",0,0,0,0,1.9374135529801
"CM002236.1.58801.59100",0,0,0,0,0
"CM002236.1.59101.59400",0,0,0,0,0
"CM002236.1.90901.91200",0,0,-1.56724666849796,0,-2.3817304445381
"CM002236.1.91201.91500",0,0,-1.64874329657403,0,-2.7266084554086
"CM002236.1.180901.181200",0,0,0,0,-1.73692247230862
"CM002236.1.181201.181500",0,0,0,0,-2.14547387339189
"CM002236.1.184801.185100",0,0,0,0,-1.76475539744574
"CM002236.1.185101.185400",0,0,0,0,-1.86628826645817
"CM002236.1.185701.186000",0,0,0,0,0
"CM002236.1.186001.186300",0,0,0,0,0
"CM002236.1.189301.189600",0,0,0,0,-1.48032799112693
"CM002236.1.189601.189900",0,0,-1.66557445638213,0,-1.73023026678108
"CM002236.1.190201.190500",0,0,-1.85110554031217,0,-1.9842644301609
"CM002236.1.193801.194100",0,0,0,0,0
"CM002236.1.194101.194400",0,0,0,0,0
"CM002236.1.195301.195600",0,-2.12525038825168,-2.09905026444295,0,0
"CM002236.1.196201.196500",0,0,-1.83213956461069,0,0
"CM002236.1.197701.198000",0,0,-1.8297797870469,0,0
"CM002236.1.198001.198300",0,0,0,0,0
"CM002236.1.209101.209400",0,0,0,0,0
"CM002236.1.209401.209700",0,0,0,0,0
"CM002236.1.210001.210300",0,0,0,0,0
"CM002236.1.210301.210600",0,0,-1.74815319376893,0,0
"CM002236.1.214201.214500",0,0,-2.03072159781554,0,0
"CM002236.1.214501.214800",0,0,0,0,0
"CM002236.1.216301.216600",0,0,0,0,-1.99344153809808
"CM002236.1.216601.216900",0,0,0,0,-2.62154201476748
"CM002236.1.220801.221100",0,0,0,0,0
"CM002236.1.221101.221400",0,0,0,0,-1.97832602846696
"CM002236.1.224401.224700",0,0,0,0,0
"CM002236.1.246001.246300",0,0,0,0,-2.01053616808292
"CM002236.1.246301.246600",0,0,0,0,-2.13688704933811
"CM002236.1.247201.247500",0,0,0,0,-2.32438349739606
"CM002236.1.247501.247800",0,0,0,0,-1.80923764242009
"CM002236.1.251701.252000",0,0,0,0,0
"CM002236.1.252001.252300",0,0,0,0,0
"CM002236.1.255601.255900",0,0,0,0,0
"CM002236.1.255901.256200",0,0,0,0,0
"CM002236.1.257101.257400",0,0,0,0,-1.36058246786074
"CM002236.1.257401.257700",0,0,0,0,-2.23779054111364
"CM002236.1.263101.263400",0,0,0,0,0
"CM002236.1.263401.263700",0,0,0,0,-1.44126250798758
"CM002236.1.265201.265500",0,0,0,0,0
"CM002236.1.265501.265800",0,0,0,0,0
"CM002236.1.291301.291600",0,0,-2.09928741998735,0,-2.04476105015782
"CM002236.1.291601.291900",0,0,-2.08723760451646,0,-1.50055270188712
"CM002236.1.292801.293100",0,0,0,0,-2.14652786332532
"CM002236.1.293101.293400",0,0,0,0,-1.55540740529398
"CM002236.1.297601.297900",0,0,0,0,0
"CM002236.1.297901.298200",0,0,0,0,-2.09412483127673
"CM002236.1.302101.302400",0,0,-1.47940022153473,0,-2.53251446930272
"CM002236.1.8867401.8867700",0,0,0,0,-1.97819981281851
"CM002236.1.8867701.8868000",0,0,0,0,-3.04079906719775
"CM002236.1.9651301.9651600",0,0,0,0,-2.24519185028994
"CM002236.1.9651601.9651900",0,0,0,0,0
"CM002236.1.9688501.9688800",0,0,0,0,0
"CM002236.1.9688801.9689100",0,0,0,0,0
"CM002236.1.9689701.9690000",0,0,0,0,0
"CM002236.1.9690301.9690600",0,0,0,0,0
"CM002236.1.9690601.9690900",0,0,0,0,0
"CM002236.1.9693301.9693600",0,0,0,0,0
"CM002236.1.9694201.9694500",0,0,0,0,0
"CM002236.1.9694501.9694800",0,0,0,0,0
"CM002236.1.9759301.9759600",0,0,0,0,0
"CM002236.1.9771901.9772200",0,0,0,0,0
"CM002236.1.9772201.9772500",0,0,0,0,0
"CM002237.1.10801.11100",0,0,0,0,0
"CM002237.1.11101.11400",0,0,0,0,0
"CM002237.1.11401.11700",0,0,-1.86937365206344,0,0
"CM002237.1.13201.13500",0,0,0,0,0
