"","logFC_cac1","logFC_cac2","logFC_cac3","logFC_set7","logFC_ash1"
"CM002236.1.16501.16800",1.28439299162263,1.13394368781653,-0.00546157693055416,-0.542805368436428,2.1769383465346
"CM002236.1.17101.17400",1.38517779745565,1.51231880863282,1.09542035088738,0.182154212914675,3.30373295562079
"CM002236.1.34201.34500",-0.355673817927245,-0.547516508613827,-1.80882905101696,-3.65661068157724,0.523461198247191
"CM002236.1.42901.43200",-0.920440496687931,-1.41175826814867,-2.25615362954754,-0.822843637767481,-1.72160184005498
"CM002236.1.45001.45300",-0.917846879443869,-0.627992927415924,-0.804420329730557,-0.338619676112695,-2.02124804741381
"CM002236.1.48301.48600",0.977339123069389,0.174297867365579,-0.0492174727162751,0.197329511228564,1.93756230137865
"CM002236.1.58201.58500",0.0973678724272803,-0.275163922521709,-0.0867370888780575,-0.0495276998345188,-1.40514984131868
"CM002236.1.90601.90900",-0.034474069256171,-0.487828396396917,-1.31253611807361,-0.196004222302519,-1.50705882155999
"CM002236.1.90901.91200",-0.550634947289665,-0.0258418293165947,-1.56742918659752,-0.494879786001598,-2.38169682353466
"CM002236.1.180301.180600",-0.180770682823828,-0.0765903658768965,-0.563163342746787,0.197974957056832,-1.68706693309402
"CM002236.1.180601.180900",-0.699792230087435,-0.829336264991161,-1.69953853843203,-0.247665084417747,-1.01844570107991
"CM002236.1.180901.181200",-0.600453547063853,-0.857741713565523,-1.35749058965974,-0.0158375335277891,-1.7370342756078
"CM002236.1.185101.185400",-0.859242534721941,-1.36593474459576,-1.2354514709895,-0.37221271028445,-1.86625674786083
"CM002236.1.189601.189900",-1.08738597769273,-0.714298465092723,-1.66576231096937,0.114228886562819,-1.73030899079423
"CM002236.1.189901.190200",-1.22548461290852,-1.42494382207102,-2.20438040447544,-0.100583739033064,-1.69221933593828
"CM002236.1.190201.190500",-1.05174907145102,-1.07489697616224,-1.85063917518354,0.32823176946852,-1.98400620170335
"CM002236.1.195601.195900",-2.25679372761428,-2.6398435203891,-2.88825679559548,-0.476056386182786,-2.02690245239083
"CM002236.1.195901.196200",-1.64346084089774,-1.81921440727245,-2.27557109989782,-0.617290488489107,-1.87319046519966
"CM002236.1.197701.198000",-1.15001379103146,-1.43708916047162,-1.82961130265855,-0.680831482220273,-1.114636158475
"CM002236.1.214201.214500",-1.05237422867041,-0.963939354764267,-2.03030998718601,-0.205577712857022,-0.995302162509849
"CM002236.1.216601.216900",-0.562578291194646,-0.842692736496256,-1.20562363413045,0.0243157744785504,-2.62146899866103
"CM002236.1.216901.217200",-0.482813989769917,-0.511748889965688,-0.819821649500283,0.319041312324558,-1.79023745930068
"CM002236.1.217201.217500",0.0880568998617868,-0.284857649792699,-1.12746805836376,0.26345825709418,-2.20954662453169
"CM002236.1.221101.221400",-0.155901918407168,-0.244487305700906,-0.771520558638099,-0.0588126937295516,-1.97833395885643
"CM002236.1.221401.221700",-0.143454022032705,-0.313958957776171,-0.78759918629193,0.396682463819588,-1.9429598880031
"CM002236.1.223801.224100",-0.326510126732859,0.114436112984036,-0.434547737943521,0.189261054596698,-1.42334606623898
"CM002236.1.246301.246600",-0.509573852388292,-0.458101815502986,-0.5080337162243,-0.126882143257079,-2.13686299783343
"CM002236.1.246601.246900",-0.854598137938894,-0.468978137356717,-0.806747749341459,-0.57053210736187,-1.73886099413109
"CM002236.1.246901.247200",-1.23520960508964,-1.4813295307058,-1.03482407850607,-0.508701591142318,-2.14862091759884
