"","logFC_WT","logFC_cac1","logFC_cac2","logFC_cac3","logFC_set7"
"CM002236.1.1201.1500",-2.27223137373082,-2.76628317645088,-1.94037587616069,0,0
"CM002236.1.1501.1800",-1.3143894423076,0,0,2.38598819179634,3.05794817369086
"CM002236.1.1801.2100",-1.25138882892718,-1.26149334258732,0,1.98326128018587,1.97260892720342
"CM002236.1.2101.2400",-1.94790086215399,-2.54215562339197,-2.40625928781353,0,0
"CM002236.1.2401.2700",-2.05964472292118,-2.31891326853707,-1.68807330645902,-1.99174003376423,-1.38209598105248
"CM002236.1.2701.3000",-2.75774579457757,-2.53858456581742,-2.61784604480529,-1.83869387374348,-2.53296407543349
"CM002236.1.3001.3300",0,0,0,-1.42846227036427,0
"CM002236.1.3301.3600",1.79200738064652,1.78108564194902,1.59003113425461,0,2.29163122587632
"CM002236.1.3601.3900",2.25155848383577,1.59752250000108,2.08068258282069,1.19140682198277,2.40763282107027
"CM002236.1.3901.4200",3.15149988625204,2.67214501354134,3.08326748906532,2.89105931501126,3.46307124411722
"CM002236.1.4201.4500",2.81526887255114,2.446910393181,2.54116730993456,3.28484887197369,3.91284391739282
"CM002236.1.4501.4800",1.38953734203006,0,0.826294256485834,1.75941966173575,1.07199550679525
"CM002236.1.4801.5100",-0.991508658511064,-0.938544083711842,-1.20909480475282,0,0
"CM002236.1.5101.5400",-1.37690227588285,0,-1.32021931063088,0,-1.25880220113904
"CM002236.1.5401.5700",-1.66504378631061,-1.26522554744931,-1.15117891928919,0,0
"CM002236.1.5701.6000",-1.27003134165688,-2.00569021900914,-1.73333302973878,0,-1.01985427883103
"CM002236.1.6001.6300",-1.59803825541774,-1.21788763298541,-1.06957799190036,0,0
"CM002236.1.15001.15300",-2.20522410141811,-2.06931886950906,-1.95979285426524,-1.34661502481124,-1.60392493886275
"CM002236.1.15301.15600",-2.40022065457641,-1.74674184068513,-1.96018782520531,-1.00819655662854,-1.33957450913431
"CM002236.1.15601.15900",-2.19955039415665,-1.49464949847209,-1.89141388533222,0,-1.40061666283479
"CM002236.1.15901.16200",-1.97169414354837,-1.24953287579119,0,1.0518983978178,0
"CM002236.1.16201.16500",-2.23294442190789,-1.04428981833592,0,0,-1.80990096120192
