"","logFC_WT","logFC_cac1","logFC_cac2","logFC_cac3","logFC_set7"
"CM002236.1.1150.2878",-1.82461178690098,-1.81511746780792,-1.41401019163896,0.829776205885727,0.833774178109678
"CM002236.1.3177.6443",1.11046650813869,0.850192539016366,0.960240816708052,1.28252717085162,1.40662510616256
"CM002236.1.15929.16647",-1.99886546806471,-1.10240866045072,-0.949802414871758,0,-1.13746057978359
"CM002236.1.17440.19615",-1.59812257724415,-2.2748597916599,0,0.776799313945312,0
"CM002236.1.34980.39245",-2.0369066568756,-2.40289596801319,-1.53678167237918,0,0
"CM002236.1.40949.42632",-1.86816802744738,-2.15557701107567,-1.64972767451914,0,-1.48664487725161
"CM002236.1.43708.44551",-2.03642048720079,-2.00804817963043,-1.68907667904889,-1.58051466108471,-1.49676450607495
"CM002236.1.45331.48154",-1.63397631663159,-1.27885767271361,0,1.49831881296215,0
"CM002236.1.59145.61150",-1.86695096847733,-2.07509573890341,-1.71099752008724,-1.30534001899917,-1.1650088117149
"CM002236.1.91323.92593",-1.83705501792961,-2.11566860603267,-1.68505609059503,-1.22599408964474,-1.35668379611296
"CM002236.1.181222.181975",-1.86750265913773,-1.58973806175558,-1.56061660605326,-1.57547917645662,-1.17279046216727
"CM002236.1.182427.185051",-1.81604310380652,-1.97723904412013,-1.66753187318366,-2.00232740451732,-1.47679234144763
"CM002236.1.186039.188208",-1.85134011007159,-2.17746976659286,-1.64722987726252,-2.0953806773458,-1.44441098816849
"CM002236.1.188530.189595",-1.70092229093508,-1.94616719076049,-1.52558840006163,-1.75607605129903,-1.29766922779735
"CM002236.1.190406.191138",-1.86551943876435,-2.00439866185497,-1.7420165462227,-1.91293681727077,-1.13227954287364
"CM002236.1.193143.194064",-1.94596879922301,-2.0884271304336,-1.98648075861096,-2.46763855571498,-1.67294637498289
"CM002236.1.195020.195335",-1.66684021903016,-1.71033669880133,-1.5108235015668,-2.19099046262353,-1.13399041560815
"CM002236.1.195780.196290",-1.82181674978094,-1.61148412151453,-1.51733820853353,-1.75554624956223,-1.00065523176197
"CM002236.1.198194.198497",-1.98967444735098,-1.83952067506393,-1.30189143173582,-2.07587353738707,-1.5913800460933
"CM002236.1.208394.209343",-2.04643011364534,-2.32887658790406,-1.98453362151749,-2.11548096711983,-1.65428964960439
"CM002236.1.210486.212487",-2.14256807190337,-2.47815587338345,-1.92120384083828,-2.5240270874183,-1.55798849753358
"CM002236.1.214619.215734",-2.0854178024115,-1.32735592420838,-0.887057488365037,-0.824763812370554,-0.844940471558314
"CM002236.1.216104.216521",-2.09819796084439,-1.70099311776324,-1.20047830137567,-1.62790395980313,-1.22679287156099
"CM002236.1.219395.220979",-1.97633510134004,-1.75775859724859,-1.91921710357089,-1.9217654402966,-1.56966549156412
"CM002236.1.224661.224874",-1.5778036960293,-1.57208931859117,0,0,0
"CM002236.1.243323.246248",-2.07923214672059,-1.78881847276924,-1.51553611605219,-1.91261918823942,-1.19478826325724
"CM002236.1.246886.247478",-1.57822142380137,-1.83973553281837,-1.39944168432842,-1.76333585380049,-1.43627686942059
"CM002236.1.249096.251944",-2.04079913650045,-2.08204826041875,-1.63492270385946,-2.00680002381719,-1.5525339002871
"CM002236.1.254974.255694",-1.5033016717347,-1.88341652133361,-1.62298139189006,-1.75566930996933,-1.44630210142644
"CM002236.1.256165.256694",-1.79886272687416,-1.87578130508892,-1.22261778866299,-1.46334995360625,-1.09374590950207
"CM002236.1.257492.259361",-2.19901471913745,-2.42857604764845,-1.72157112247024,-2.0760742688123,-1.65552686498825
"CM002236.1.262019.263387",-2.05052370405315,-1.76393971201312,-1.46020223166542,-1.90210921843334,-1.21336227325684
