"","logFC_cac1","logFC_cac2","logFC_cac3","logFC_set7"
"CM002236.1.1501.1800",0.688675975472826,0.978758744695061,3.70095333671874,4.37347314341215
"CM002236.1.1801.2100",-0.01139739689436,0.389648150826707,3.23545242365572,3.22535950597504
"CM002236.1.3301.3600",-0.011079991683719,-0.20213623215339,-1.31341791011719,0.499842512553115
"CM002236.1.3601.3900",-0.654149527587699,-0.171286998233817,-1.06015978234891,0.156503255012543
"CM002236.1.3901.4200",-0.478711648912906,-0.068643812106436,-0.26047881129781,0.31153403127204
"CM002236.1.4201.4500",-0.367998687521346,-0.274274813555017,0.470058365095526,1.09812431461481
"CM002236.1.4501.4800",-0.731644545957702,-0.563345070845837,0.370216688923486,-0.317120679809081
"CM002236.1.17701.18000",-0.778218038882305,2.02596961262301,3.20442616320819,2.90233815787606
"CM002236.1.18001.18300",-0.652755848278009,1.85546682997059,2.93509388151927,2.93504168622524
"CM002236.1.18301.18600",-0.790310496182566,0.877111968380746,2.19050702944709,2.36330642348952
"CM002236.1.18601.18900",-0.985100976566479,1.34093950754967,1.87334011034224,2.36800159699741
"CM002236.1.36001.36300",-0.076878495642976,1.85505834805589,2.61635037992603,3.06374940278195
"CM002236.1.45901.46200",-0.0378635168953101,0.427455576847441,2.75988814769806,1.55901639528103
"CM002236.1.46201.46500",0.874650354080707,1.42985212430603,3.91556393327222,2.23018054619319
"CM002236.1.46501.46800",1.09996812600722,2.01754670356765,4.38674186620989,2.82950310516891
"CM002236.1.46801.47100",0.315822230454241,0.778012849969942,3.34798765922418,2.25324173736907
"CM002236.1.47101.47400",0.527410209710682,1.93155831252076,3.47895576397889,2.73502392691813
"CM002236.1.47401.47700",-0.638805594504289,0.691960076961024,2.64426169247997,1.74823937975627
"CM002236.1.47701.48000",0.802975631534158,1.37967480109512,2.98059171518207,1.94917170482823
"CM002236.1.9650101.9650400",0.00598115829634989,0.038162586472101,0.325565451041463,0.00172970280661684
"CM002236.1.9650401.9650700",-0.00216352451295056,0.12266162206313,0.0502233382797552,-0.301184369801701
"CM002236.1.9650701.9651000",-0.537808751733136,-0.0396761584757822,-0.267887528627403,-0.332263557411863
"CM002236.1.9651001.9651300",0.672424623953608,0.515514275631184,0.0923652010984314,0.451337679184369
"CM002237.1.9901.10200",-0.0447750239483841,0.370849563376046,3.52907411719999,3.10749466324189
"CM002237.1.10201.10500",-1.01612336865885,0.134171158783307,3.61120972804561,3.11142506283336
"CM002237.1.10501.10800",-0.27690015536277,0.757913924512543,3.89463288079729,2.90206864881809
"CM002237.1.11701.12000",0.220110756448486,1.03623159754604,3.03881153549135,2.9399598307487
"CM002237.1.12001.12300",0.932411427635193,1.18956067735278,3.7008440147248,3.41647590202419
"CM002237.1.12601.12900",0.4433846808583,1.38953114221711,5.03383374757927,4.14626658311188
"CM002237.1.12901.13200",0.51540855960649,0.90597396341948,4.16291325734478,3.3596036534413
"CM002237.1.36901.37200",-0.17256452468236,0.110925212144725,2.22307975914067,1.22295396958751
"CM002237.1.37201.37500",0.495805638093021,0.230562138560136,3.49830692675387,2.56976777374667
"CM002237.1.37501.37800",-0.238578989480658,-0.156744470783434,3.03907333018335,1.18485146783489
"CM002237.1.37801.38100",-0.0448440562424708,-0.233206670910168,2.7233486368808,1.16040749532962
"CM002237.1.4451401.4451700",0.0326848275905738,0.873961610854423,3.85676812965291,3.53977018824578
"CM002237.1.4451701.4452000",0.156004776061202,1.19963977995389,4.18816413047483,4.10817618476708
"CM002237.1.4452001.4452300",-0.795768477697269,-0.0368574945695836,2.74203330175591,2.45005813382018
"CM002237.1.4467301.4467600",-0.0800731585524197,0.676620627614496,3.04257200406647,3.00221342994459
"CM002237.1.4467601.4467900",0.193113577889049,0.637838912990569,2.62982569099677,2.825762755116
"CM002237.1.4467901.4468200",0.600448073699551,0.566118593297451,1.76830754730187,2.5739982118466
"CM002238.1.9301.9600",-0.679494374540587,-0.298858150130242,0.157804476464099,0.828482202435947
"CM002238.1.9601.9900",-0.163932249459314,0.20014596348964,0.899270638345508,1.99221519032641
