"","logFC_WT","logFC_cac1","logFC_cac2","logFC_cac3","logFC_set7"
"CM002236.1.15901.16200",0,0,0,1.05179635931497,0
"CM002236.1.34801.35100",0,0,0,0.879143016565887,0
"CM002237.1.10801.11100",0,0,0,1.83907891919919,1.39093703828489
"CM002237.1.11101.11400",0,0,0,1.46574709011251,1.1908643283749
"CM002237.1.4468201.4468500",0,0,0.879717244083056,0,0
"CM002238.1.4873501.4873800",0,0,0,0,2.19434434671356
"CM002238.1.4873801.4874100",0,0,1.13617863325229,1.13931057337653,2.34635143426543
"CM002238.1.4962601.4962900",0,0,0,1.77263779107711,0
"CM002238.1.5254201.5254500",0,0,0,2.00804868384769,0
"CM002238.1.5258401.5258700",0,0,0,1.97883947995533,0
"CM002238.1.5265601.5265900",0,0,0,0.985290042337751,0.886846966714193
"CM002238.1.5269801.5270100",0,1.00421765146371,1.13031987718387,1.49193606022563,1.59907239404385
"CM002239.1.70801.71100",0,0,0,0.779901113997589,0
"CM002239.1.71101.71400",0,0,1.60518890002922,2.25551459776103,2.0353575736212
"CM002239.1.312601.312900",0,2.64962717656309,2.74317642096452,2.24033697494373,2.39035877921523
"CM002239.1.360301.360600",0,0,0,1.43100327313893,0
"CM002239.1.595801.596100",0,0,0,0.988623946752241,0
"CM002239.1.841801.842100",0,0,0,1.00496129911453,0
"CM002239.1.5822101.5822400",0,0,0.830248899840407,1.0935576361087,0
"CM002239.1.5949601.5949900",0,0,0,1.65692115131563,0
"CM002240.1.6085801.6086100",0,0,0,0,1.47903190854924
"CM002240.1.6088501.6088800",0,0,0,0,2.18241645473251
"CM002240.1.6161701.6162000",0.856980845242284,0,0.805042026065635,0,0
"CM002240.1.6234301.6234600",0,0,0,0,0.870142684605099
"CM002240.1.6412801.6413100",0,0,0,1.5770410850694,0
"CM002240.1.6414301.6414600",0,0,0,1.12106978038283,0
"CM002240.1.6417301.6417600",0,0,0,1.52782707177485,1.03336996230287
"CM002240.1.6417601.6417900",0,0,0,2.18934570792663,1.21533232292734
"CM002240.1.6422101.6422400",0,0,0,2.32974806416639,1.64398908053106
"CM002240.1.6422401.6422700",0,0,0,2.65248078172025,1.52691010362727
"CM002241.1.3001.3300",0,0,0,1.22789072359879,1.34476949747841
"CM002241.1.3474301.3474600",0.863887547351511,0,0.738066872420465,2.17753444329945,2.77574508371914
"CM002241.1.3474601.3474900",0,0,0,0,0.934389973067195
"CM002241.1.3736501.3736800",1.08334688409401,0,1.51657406811823,1.15268223399486,1.34490623747482
"CM002241.1.3749401.3749700",0,0,0,0.853602785997371,1.11081415221089
"CM002242.1.2101.2400",0,0,0,0.842388553330971,0
