"","logFC_WT","logFC_cac1","logFC_cac2","logFC_cac3","logFC_set7"
"CM002236.1.3301.3600",1.79211050220745,1.78113073137579,1.59007614512737,0,2.2918141801321
"CM002236.1.9651901.9652200",0,0,0,2.06018268627318,0
"CM002236.1.9652201.9652500",0,1.61565985195467,1.50366051957633,3.01560097501328,0
"CM002236.1.9772801.9773100",2.67298694212823,2.0410926893378,1.75779737692354,0,3.12147353448765
"CM002237.1.10801.11100",0,0,0,1.83946845446763,1.39121251417131
"CM002237.1.11101.11400",0,0,0,1.46593798675352,1.19131635945973
"CM002237.1.11701.12000",0,0,0,1.25693289178889,1.15771560516474
"CM002237.1.42001.42300",0,0,0,1.48144025859056,0
"CM002237.1.4467901.4468200",1.0138355739374,1.61416139230071,1.58013314795781,2.78198643456965,3.58788471387387
"CM002237.1.4468201.4468500",0,0,0.879538037386911,0,0
"CM002238.1.4727101.4727400",0,0,0,1.29953783679186,0
"CM002238.1.4873201.4873500",0,0,0,0,1.00872151034827
"CM002238.1.4873501.4873800",0,0,0,0,2.19447684187009
"CM002238.1.4963201.4963500",0,0,0,1.62051251618449,0
"CM002238.1.4963501.4963800",0,0,0,2.66173378209656,0
"CM002238.1.5269801.5270100",0,1.00411984711692,1.13016799223378,1.49218970795718,1.59937830527071
"CM002238.1.5270101.5270400",1.50557198620998,1.4215445326016,1.93365185041166,1.47636774738534,1.82995794941754
"CM002239.1.19801.20100",0,0,0,1.31476991502677,0
"CM002239.1.20101.20400",0,0,0,2.56130838443178,2.90834926881148
"CM002239.1.71101.71400",0,0,1.60525254917628,2.2556240084972,2.03559062994558
"CM002239.1.71401.71700",0,0,1.88163755307477,2.67389443826089,2.08475120026197
"CM002239.1.71701.72000",0,0,0.919835465429093,2.42861815795817,1.60779962239598
"CM002239.1.311701.312000",0,0,0,0.960637471585949,0
"CM002239.1.360901.361200",0,0,0,1.0080793196126,0
"CM002239.1.506101.506400",0,0.922563259628916,0,0,0
"CM002239.1.506401.506700",0,2.35375705598734,2.02250299971028,2.28685092806554,0
"CM002239.1.548401.548700",0,1.27122712599315,1.24952758421631,1.71963472275829,0
"CM002239.1.569701.570000",0,0,0,1.21148704532629,0
"CM002239.1.595501.595800",0,0,0,0.865581139482214,0
"CM002239.1.595801.596100",0,0,0,0.988451646927014,0
"CM002239.1.699601.699900",0,0,0,1.64290123429612,0
"CM002240.1.6049501.6049800",0,0,0,0,0.911311062053656
"CM002240.1.6049801.6050100",0,0,0,0,2.95641659134004
"CM002240.1.6160501.6160800",0,0,0,1.01683348107526,0
"CM002240.1.6411901.6412200",0,0,0,0.795373769025783,0
"CM002240.1.6412801.6413100",0,0,0,1.57721495486689,0
"CM002240.1.6416701.6417000",0,0,0,1.98217609895642,1.00944501920413
"CM002240.1.6417001.6417300",0,0,0,2.32659108950418,2.06979079628609
"CM002240.1.6417301.6417600",0,0,0,1.52809895046069,1.03415274716529
"CM002240.1.6421501.6421800",0,0,0,1.38950339405062,0
"CM002240.1.6421801.6422100",0,0,0,0.905582177766919,0
"CM002240.1.6422101.6422400",0,0,0,2.32999679531516,1.64432793979507
"CM002240.1.6422401.6422700",0,0,0,2.65273435281147,1.5268798738552
"CM002240.1.6422701.6423000",0,0,0,2.15330625917036,0
"CM002240.1.6423001.6423300",0,0,0,0.991309852126257,0
"CM002241.1.2701.3000",0,0,0,1.95739508731645,1.98004514839287
"CM002241.1.3001.3300",0,0,0,1.22797973925462,1.34520901681147
"CM002241.1.3601.3900",0,0,1.38459399794218,2.17351209487052,2.17797467757826
"CM002241.1.3901.4200",0,0,1.23761285501175,2.61289692164427,1.54370414529458
"CM002241.1.19501.19800",0,0,0,1.22581342299181,0
"CM002241.1.148801.149100",2.3497049723978,2.34270678250125,3.14544828380658,2.7142277320385,3.43175415335591
"CM002241.1.149101.149400",0,1.20412362095882,1.57009937304299,2.19379637098848,2.11312718318273
"CM002241.1.149401.149700",0,0,0,0.747824006745074,0
"CM002241.1.3474601.3474900",0,0,0,0,0.934923258053613
