"","logFC_cac1","logFC_cac2","logFC_cac3","logFC_set7"
"CM002236.1.3301.3600",-0.0109797708316641,-0.202034357080086,-1.31346457490659,0.499703677924648
"CM002236.1.9651901.9652200",0.666371235738045,0.943572311536314,2.64164103891114,0.545543936729953
"CM002236.1.9652201.9652500",0.671554746455577,0.559555414077242,2.07149586951419,0.2651639908324
"CM002236.1.9772801.9773100",-0.631894252790431,-0.915189565204691,-1.35041063906248,0.448486592359416
"CM002237.1.10801.11100",0.107072784625624,1.12003382007639,4.01984126794167,3.57158532764536
"CM002237.1.11101.11400",0.160658649911819,0.945245052655995,3.47384559547004,3.19922396817625
"CM002237.1.11701.12000",0.220435596711314,1.03621094852772,3.03847902524961,2.93926173862546
"CM002237.1.42001.42300",-0.447138154653863,0.271370878984117,2.90094712648529,2.10055997792686
"CM002237.1.4467901.4468200",0.600325818363313,0.56629757402041,1.76815086063224,2.57404913993646
"CM002237.1.4468201.4468500",0.141954809617477,0.725113145099073,0.462964175845418,0.575894851677801
"CM002238.1.4727101.4727400",-0.353783941471682,0.577729620362538,3.28448729400398,1.15414435329471
"CM002238.1.4873201.4873500",0.145233544832765,2.10176961843482,2.33404136077573,2.82088052377363
"CM002238.1.4873501.4873800",0.0706151487320306,1.70595166237992,1.78428102784769,3.45897622701383
"CM002238.1.4963201.4963500",0.0048658569479852,0.916457239127379,2.66574434736264,0.0983586973274002
"CM002238.1.4963501.4963800",-0.44740829797319,0.565370467548627,3.15154154111563,0.326980129099153
"CM002238.1.5269801.5270100",0.556788902087465,0.682837047204329,1.04485876292773,1.15204736024126
"CM002238.1.5270101.5270400",-0.0840274536083876,0.428079864201678,-0.0292042388246491,0.324385963207559
"CM002239.1.19801.20100",0.836301846630336,0.877716662686218,3.44363151547764,2.79148778012318
"CM002239.1.20101.20400",0.405858593873151,0.650834569328793,3.28387236068247,3.63091324506217
"CM002239.1.71101.71400",-0.608945015128411,1.20952980028303,1.85990125960395,1.63986788105234
"CM002239.1.71401.71700",-0.49929142495483,1.3573553288408,2.14961221402693,1.56046897602801
"CM002239.1.71701.72000",-1.02160337956134,0.981288987367038,2.49007167989611,1.66925314433393
"CM002239.1.311701.312000",1.33979214292788,1.75429145728007,3.02717159880367,1.83843904208232
"CM002239.1.360901.361200",0.180686370852118,0.587812836045195,2.6599246229446,0.489777341215722
"CM002239.1.506101.506400",3.30533490539578,2.73030415055172,2.73284429308396,0.116746387132123
"CM002239.1.506401.506700",3.61974013813665,3.28848608185959,3.55283401021485,-0.0908014749898731
"CM002239.1.548401.548700",3.08579974143222,3.06410019965538,3.53420733819736,-0.289856848763591
"CM002239.1.569701.570000",1.5290074110074,2.26895132427729,3.12412879160764,2.01374073198472
"CM002239.1.595501.595800",1.86871177141007,1.35900998297053,3.50041070773453,-0.274430022953417
"CM002239.1.595801.596100",1.36525527803638,1.80554357660024,3.08000980644537,0.57613244795995
"CM002239.1.699601.699900",0.158498431225866,0.942899558310298,2.90607764046333,0.844277238254214
"CM002240.1.6049501.6049800",-0.701535331737261,-0.188496216868868,0.0176154054941193,2.07879413991882
"CM002240.1.6049801.6050100",-0.86254137115005,-0.896025571976312,-0.325594561137845,2.66945273778804
"CM002240.1.6160501.6160800",0.0904858448579566,0.0554467677588412,1.90251018874235,0.487364371411138
"CM002240.1.6411901.6412200",0.203119634019961,0.878668354557716,2.9987243162084,1.02027233828896
"CM002240.1.6412801.6413100",0.523310680198641,0.859466150142254,4.06728650896252,2.77391279939489
"CM002240.1.6416701.6417000",-0.20597953549756,-0.473948697373143,4.18941008149999,3.21667900174771
"CM002240.1.6417001.6417300",-0.206400432157209,0.771218201601277,4.77093026625173,4.51412997303364
"CM002240.1.6417301.6417600",0.174219714777305,-0.15261850938124,4.08293976216813,3.58899355887274
"CM002240.1.6421501.6421800",-0.377115148502738,-0.0217121618733457,3.31542136423778,2.66766978396101
"CM002240.1.6421801.6422100",0.371522053467401,0.191059963149502,4.07668736748474,2.96941879811853
"CM002240.1.6422101.6422400",0.99836129494343,0.480677919425329,5.10130119353813,4.41563233801805
"CM002240.1.6422401.6422700",-0.505277897793637,0.251122148284523,4.79166384289003,3.66580936393377
"CM002240.1.6422701.6423000",-0.0689357274264498,0.403119769718897,4.34763416502957,2.60312314790457
"CM002240.1.6423001.6423300",0.235256044204509,0.326243900491804,3.31936228771494,1.53258076058533
"CM002241.1.2701.3000",0.0154986440121536,0.489471496714676,3.07308358449663,3.09573364557306
"CM002241.1.3001.3300",-0.481339143814866,0.0176530208566426,2.41530224020684,2.5325315177637
"CM002241.1.3601.3900",0.250911353738617,1.59137478499586,2.38029288192421,2.38475546463195
"CM002241.1.3901.4200",0.431418929171106,1.44788831628654,2.82317238291906,1.75397960656937
"CM002241.1.19501.19800",0.653622293042683,0.635016774399099,3.47448002581891,0.89817154639109
"CM002241.1.148801.149100",-0.00699818989655189,0.795743311408776,0.364522759640699,1.0820491809581
"CM002241.1.149101.149400",0.468581414894713,0.834557166978878,1.45825416492437,1.37758497711862
"CM002241.1.149401.149700",0.538154326526615,0.564772734268424,1.27255073950335,1.12804956934187
"CM002241.1.3474601.3474900",0.278227835625773,0.235907067059508,1.01776189882489,1.46280676682312
