"","logFC_cac1","logFC_cac2","logFC_cac3","logFC_set7"
"CM002236.1.1501.1800",0.715417897059105,0.977401633774807,3.7185224174517,4.40788927583424
"CM002236.1.1801.2100",-0.0490858626786282,0.393630511578145,3.25989489024072,3.26739886327617
"CM002236.1.3301.3600",-0.0144329034028286,-0.208050282113527,-1.31117992991777,0.505969862027715
"CM002236.1.3601.3900",-0.657682863302643,-0.184622534344103,-1.06056390906181,0.169649957676584
"CM002236.1.3901.4200",-0.459107603903204,-0.0812508346713562,-0.261912584943773,0.310152068107932
"CM002236.1.4201.4500",-0.355698416305168,-0.279259737419096,0.485960901784898,1.11531622172119
"CM002236.1.4501.4800",-0.728403082747144,-0.566060041219267,0.381877056441406,-0.302354834273308
"CM002236.1.9301.9600",-0.470243173390949,0.044354485858784,-0.26996656543491,-0.235868103355666
"CM002236.1.9601.9900",-0.495082986752892,-0.0731247036767114,-0.622567738100183,0.0853449070617853
"CM002236.1.9901.10200",-0.335542264675853,-0.0679414172907806,-0.576274461378352,0.297994550369719
"CM002236.1.10201.10500",-0.390158983490618,-0.0273355044678727,-0.257868688973908,0.893463069027781
"CM002236.1.10501.10800",-0.623445180590331,-0.627249418424029,0.681829606392354,0.893378864956995
"CM002236.1.10801.11100",-1.08370439959003,-0.65006400963943,1.05493507134113,1.28697852763594
"CM002236.1.11101.11400",-0.574671533180554,-0.616308836340434,1.9268240134078,0.987005784110599
"CM002236.1.11401.11700",0.145210306856023,-0.530951186663344,2.23474530708974,1.58973383896084
"CM002236.1.11701.12000",-0.222739963302999,0.100067766335507,2.70823862513543,1.09093733943446
"CM002236.1.12001.12300",0.0871938720520083,0.33209336061895,2.96635830831185,1.5199726997398
"CM002236.1.17701.18000",-0.829101958063388,2.00080501641083,3.19005686592118,2.8837855464063
"CM002236.1.18001.18300",-0.739769928021699,1.81991418079805,2.91594540819713,2.91365800175311
"CM002236.1.18301.18600",-0.841616235609421,0.828698044175189,2.15608650956853,2.3281956508757
"CM002236.1.18601.18900",-1.00410367058456,1.32707275698309,1.88960994859618,2.38286238676582
"CM002236.1.34801.35100",0.19474928423444,0.168990846002573,2.83506243840765,1.90528042386624
"CM002236.1.36001.36300",-0.130647676623978,1.83596421357362,2.62044707934114,3.04203982842989
"CM002236.1.45901.46200",0.00294168029586324,0.419960366771176,2.75408846210247,1.57106286855789
"CM002236.1.46201.46500",0.849503737306352,1.37950271062794,3.87301514787022,2.19724643239451
"CM002236.1.46501.46800",1.10291058791455,2.01370196562584,4.39623956760501,2.85369601192168
"CM002236.1.46801.47100",0.312706212143284,0.776014199413274,3.36429526583764,2.26223500757401
"CM002236.1.47101.47400",0.529361372685671,1.9179290262288,3.4862096677789,2.74890722033102
"CM002236.1.47401.47700",-0.650966660609264,0.706570730485868,2.67551869550189,1.77990599845668
"CM002236.1.47701.48000",0.792372919666674,1.35307104194271,2.96056380697126,1.93549983038629
"CM002236.1.51301.51600",0.976607502856022,0.653121154932816,2.76798214100391,1.43050698404675
"CM002236.1.51601.51900",-0.240808239557322,-0.325406513203385,1.76758630592233,0.926335651310773
"CM002236.1.52201.52500",0.477837490629035,-0.08854112718044,1.47970506068424,0.974469000468682
"CM002236.1.52501.52800",-0.3218161338313,-0.475159298603015,0.981804381876048,0.328739462001813
"CM002236.1.53401.53700",-0.682499924606848,-0.270357761782695,-0.836574312130605,-0.312462845433492
"CM002236.1.53701.54000",-0.206639289517972,-0.0411910993234466,-0.309175972286518,0.510032036919708
"CM002236.1.54001.54300",-0.480682247967064,-0.131160314203262,0.15631619973411,0.573950488995086
"CM002236.1.54901.55200",-0.49087303427549,-0.325633677862663,-0.795307086117772,-0.0271329929456899
"CM002236.1.55201.55500",0.382798965923586,-0.140050893250183,-1.11631783988781,0.569297247745275
"CM002236.1.55501.55800",0.43882590551987,0.035916408041007,-1.13113053556737,0.101349686500401
"CM002236.1.55801.56100",-0.157643045974349,0.0317449544379645,-0.179657889447212,0.390966086352135
"CM002236.1.56101.56400",-0.226392140931805,-0.381481044121776,0.279165909929095,0.15791375443474
"CM002236.1.56401.56700",-0.126367923308006,-0.293407124599128,1.14443416558242,0.285834776949326
"CM002236.1.56701.57000",-0.118605043795449,-0.352820752975627,1.52505484968162,0.754134694344289
"CM002236.1.57001.57300",-0.0602559859510073,-0.652890099785783,1.63118991429975,0.475365981854826
