"","logFC_WT","logFC_cac1","logFC_cac2","logFC_cac3","logFC_set7"
"CM002236.1.1501.1800",1.16304571567984,1.66337723654217,1.27670348206813,1.52478713475455,1.72636144326467
"CM002236.1.1801.2100",1.49361098934782,1.37755831174409,1.11934129247378,1.4622474319266,1.61167412944183
"CM002236.1.2401.2700",0.987917513873065,0.689757010033748,0.66138238717456,-0.194548806755668,0.340923075669492
"CM002236.1.3301.3600",0.475804206867788,0.959538002154441,0.402543336555524,1.03952535435783,0.436490735469519
"CM002236.1.3901.4200",1.3773377822849,1.00437228106912,1.03553487986033,1.20635379054511,0.82322654673754
"CM002236.1.4201.4500",1.01664193178072,0.502919507519159,0.593917791497187,0.636616141247269,0.981627342030399
"CM002236.1.18001.18300",0.449526294726013,0.308746177771876,0.757024481928589,0.378488610385197,1.13266624345139
"CM002236.1.18301.18600",1.35237657501931,0.943998320983973,0.676674613156444,0.293523528420674,0.927943095951254
"CM002236.1.18601.18900",1.50398228271895,1.36050909792373,1.37487164119843,0.82417642940572,1.33607677090153
"CM002236.1.18901.19200",1.26812901626808,0.861214276026152,0.767078446535731,0.80022821975069,0.875671343609173
"CM002236.1.36001.36300",0.230330459247056,0.346050381906287,0.898441001425862,0.300146462744441,1.23352143738975
"CM002236.1.41701.42000",0.0729338501905403,0.563071669363097,0.571640614088786,1.14621985727146,1.00434402194313
"CM002236.1.42001.42300",0.167115831338208,0.398478218621032,0.455254291675471,0.998961955769221,0.911432213736013
"CM002236.1.42301.42600",0.35868056397922,1.15416202501899,0.73551866650853,1.00812174427375,0.734387790788318
"CM002236.1.42901.43200",0.182232063505408,1.05696118733504,0.842675196960854,1.09244156713935,0.368288673462363
"CM002236.1.43801.44100",0.211192859416009,0.793335312197943,0.874713218118612,1.20723333923228,0.587155305063495
"CM002236.1.44101.44400",-0.114216362272125,1.21298873297109,1.35557586162662,1.44642236701949,1.29429442282555
"CM002236.1.46201.46500",0.133217604057366,0.299759434689054,0.618401956332248,1.05033761121987,0.653356820775144
"CM002236.1.46501.46800",0.635111060349196,0.875850378608699,0.565153769547904,1.14982257022391,0.64515869999151
