"","logFC_cac1","logFC_cac2","logFC_cac3","logFC_set7"
"CM002236.1.1501.1800",0.500331520862327,0.113657766388283,0.361741419074704,0.563315727584824
"CM002236.1.1801.2100",-0.116052677603724,-0.374269696874032,-0.031363557421216,0.118063140094018
"CM002236.1.2401.2700",-0.298160503839317,-0.326535126698505,-1.18246632062873,-0.646994438203573
"CM002236.1.3301.3600",0.483733795286653,-0.0732608703122632,0.563721147490044,-0.0393134713982685
"CM002236.1.3901.4200",-0.37296550121578,-0.341802902424568,-0.17098399173979,-0.554111235547362
"CM002236.1.4201.4500",-0.513722424261559,-0.422724140283531,-0.380025790533449,-0.03501458975032
"CM002236.1.18001.18300",-0.140780116954137,0.307498187202576,-0.0710376843408151,0.683139948725376
"CM002236.1.18301.18600",-0.408378254035334,-0.675701961862863,-1.05885304659863,-0.424433479068053
"CM002236.1.18601.18900",-0.14347318479522,-0.129110641520528,-0.679805853313233,-0.167905511817426
"CM002236.1.18901.19200",-0.406914740241932,-0.501050569732353,-0.467900796517393,-0.392457672658911
"CM002236.1.36001.36300",0.115719922659231,0.668110542178806,0.0698160034973843,1.00319097814269
"CM002236.1.41701.42000",0.490137819172556,0.498706763898246,1.07328600708092,0.931410171752591
"CM002236.1.42001.42300",0.231362387282824,0.288138460337263,0.831846124431013,0.744316382397805
"CM002236.1.42301.42600",0.795481461039766,0.37683810252931,0.649441180294533,0.375707226809098
"CM002236.1.42901.43200",0.874729123829632,0.660443133455446,0.910209503633945,0.186056609956955
"CM002236.1.43801.44100",0.582142452781934,0.663520358702603,0.996040479816272,0.375962445647485
"CM002236.1.44101.44400",1.32720509524322,1.46979222389875,1.56063872929161,1.40851078509768
"CM002236.1.46201.46500",0.166541830631688,0.485184352274882,0.917120007162502,0.520139216717778
"CM002236.1.46501.46800",0.240739318259503,-0.0699572908012918,0.514711509874718,0.0100476396423142
"CM002236.1.46801.47100",0.195976553704538,0.0858436080380891,0.278687052677265,-0.0658116027163366
"CM002236.1.47401.47700",-0.229001386011272,-0.127311273205265,0.217037548854956,-0.505579746970856
"CM002236.1.59701.60000",0.881023813107638,0.243093633569885,0.255123339749734,-0.0922774890488093
"CM002236.1.60001.60300",0.184804048444999,0.208862019181458,-0.0507218744136818,0.640958047538964
"CM002236.1.60301.60600",-0.443443572398204,-0.114772126032862,-0.0723617228998918,-0.163316677397161
"CM002236.1.181201.181500",0.489344529054487,0.388414879192935,0.82466597706492,-0.337120731657155
"CM002236.1.220201.220500",0.720635715376473,0.644316958832735,0.226165372953017,0.694350632232181
"CM002236.1.224401.224700",0.357506224151531,1.21002797361186,0.285428452690577,0.605691530912514
"CM002236.1.9688801.9689100",0.227531495576109,0.406952874775178,0.880813765199693,0.210868990334339
"CM002236.1.9694801.9695100",-0.0317723902834729,-0.156648984589832,-0.802387934733389,-0.415067919814637
"CM002236.1.9695101.9695400",-0.415136008363456,-0.542183801359927,0.474958802748594,0.464519508880372
"CM002236.1.9695401.9695700",-0.249041775920604,-0.484498279677026,-0.331359292662883,0.205336986054754
"CM002236.1.9696601.9696900",0.562983921967189,-0.217131196100244,-0.381208040270731,-0.210848059181739
"CM002237.1.9001.9300",-0.282233777385002,-0.111811868655683,0.0713396034630499,0.691792045573558
"CM002237.1.9301.9600",-0.455910597833278,-0.263551187744035,-0.379156912499818,0.0121257807459467
"CM002237.1.10801.11100",0.106372153441873,0.484770119718273,1.12062324678217,0.943326039497918
"CM002237.1.11101.11400",0.99816161537725,1.07514381156448,1.75502572151935,1.54413685991638
"CM002237.1.11701.12000",0.67269100528142,0.838059078266815,1.23175261491904,0.80377274014624
"CM002237.1.12001.12300",0.264010971287474,0.608437917161727,0.770341052174806,0.0379166125500982
"CM002237.1.12601.12900",0.251957332828728,0.265362294416696,0.811789069389174,0.383351524942985
"CM002237.1.17401.17700",0.556212447522651,0.454377519676298,0.580336340002989,0.95296466294726
"CM002237.1.18901.19200",0.144927111138655,-0.0160679763538302,0.55744264805741,0.52242028281856
"CM002237.1.19201.19500",-0.207167725233142,-0.0418244722473329,0.0530364570721356,0.396529564442302
"CM002237.1.35401.35700",-0.482078287686741,-0.0699374512497447,0.708334169870874,0.682001370246604
"CM002237.1.37201.37500",0.345722216514259,0.124686600980796,0.40195431996382,0.232551696795988
"CM002237.1.37501.37800",-0.31539915566869,-0.00936926205161833,-0.0636664509504571,-0.298882530200989
"CM002237.1.37801.38100",-0.105824866481371,-0.279550301003936,-0.191894141808994,-0.315790535284582
"CM002237.1.41101.41400",-0.249444707655748,0.0710636217859315,0.646053301848629,0.498853276691455
"CM002237.1.42001.42300",-0.520155870993402,-0.0840347122476488,-0.00388665735653924,0.526107067174733
"CM002237.1.56401.56700",0.343994861345355,0.450360347622437,0.715812033114204,0.438859741583691
"CM002237.1.71101.71400",0.44737900022554,0.449877347392073,0.751038476932909,0.706818409798451
"CM002237.1.71401.71700",-0.468260744741985,0.172583973848652,0.609079801671289,0.716035582986766
"CM002237.1.76201.76500",0.562000354154353,0.904379198410482,0.798609334639634,1.21209233375385
"CM002237.1.76501.76800",0.568500776468024,0.345411291453128,0.779505289371584,0.966712978966438
"CM002237.1.76801.77100",0.362059781115482,0.912591326484702,0.809977079115603,0.854869427068121
"CM002237.1.77101.77400",0.606810234812538,0.574975832174376,0.965683847545541,1.18682568815017
"CM002237.1.147901.148200",0.341256010128912,0.148606910473832,0.351783327723551,0.536622856947635
"CM002237.1.562801.563100",0.408368377664663,0.682434264800842,0.273009413412043,0.854840431018502
"CM002237.1.569701.570000",0.449527131116455,0.284322243830201,0.116447256986748,1.1522992968628
"CM002237.1.1683901.1684200",0.00838166725278363,0.535940850795067,-0.161937498640986,0.235440999013746
"CM002237.1.1686001.1686300",0.335300014384143,0.588205181558208,0.240914640498959,0.193734649469329
"CM002237.1.1686301.1686600",0.766439983745914,0.382490930215747,0.348650121124848,0.732026652444276
"CM002237.1.4044901.4045200",0.405701098331376,0.424055328842646,0.488144336218958,0.515998930309331
"CM002237.1.4045201.4045500",0.114952161011161,0.2467478594987,0.25817272967502,0.655908243508082
"CM002237.1.4045501.4045800",-0.380530051940658,0.236741230815696,-0.420839661896863,0.0500296830502241
"CM002237.1.4451401.4451700",0.307073560966834,0.732710361742934,0.816578700767299,0.553153808676882
"CM002237.1.4451701.4452000",0.570744523058692,0.629489570197074,0.716326603921871,1.023763879746
"CM002237.1.4452001.4452300",0.668832426270602,0.177943596977416,0.283433765010575,0.282207263038825
"CM002237.1.4467001.4467300",-0.210108793424204,0.155591451543429,0.158256464152571,0.241231549091469
"CM002237.1.4467301.4467600",0.21047692921117,-0.114354027175429,-0.124075523854278,0.064020567618262
"CM002237.1.4467601.4467900",-0.123212059813915,-0.110491886652758,-0.472488332271552,-0.289375772831007
"CM002237.1.4467901.4468200",-0.292858128347903,-0.634900569743589,-0.342166775013881,0.016328712766903
"CM002237.1.4468201.4468500",-0.392647082601101,-0.00608289592892526,-0.0726839340956447,-0.489059943621543
"CM002237.1.4468501.4468800",-0.162242629480817,-0.304428855468845,-0.0344039857341357,0.10058160085935
"CM002237.1.4468801.4469100",-0.370055084034776,-0.430963992903875,-0.252903668319768,-0.430168368803188
"CM002237.1.4469401.4469700",0.323903212799393,0.35796889000241,0.972233300456858,0.869536221193892
"CM002237.1.4469701.4470000",0.0604320719613205,-0.0832444617863641,0.0566525704862645,0.502076428347695
"CM002237.1.4470001.4470300",0.229502833596409,0.403620234585223,0.278820422951644,0.509417111543855
"CM002238.1.9301.9600",-0.209918950629399,-0.433445653930794,0.181679266337509,-0.101597544548388
"CM002238.1.9601.9900",-0.273820465571111,-0.525129885352548,0.500421727556444,0.292626274017166
"CM002238.1.29401.29700",-0.223941275315878,-0.323067413093929,0.0223069609059454,0.833462292051826
"CM002238.1.159901.160200",1.23267189315002,1.14835149034853,1.38793018079782,0.600203814991135
"CM002238.1.160201.160500",0.668201399519037,1.16657112268351,1.14681702145457,0.826532869878996
"CM002238.1.160501.160800",1.05472735877137,0.718931436025967,0.725901939461179,0.507409877179885
"CM002238.1.199801.200100",0.287488825777231,0.121705555040933,0.341349147419856,0.0711513725866071
"CM002238.1.220201.220500",0.592993287410645,0.638106565606228,1.07116958073535,0.460107481357824
"CM002238.1.220801.221100",0.85457302039635,0.639211370751651,0.504624401092923,0.446428368037156
"CM002238.1.237901.238200",0.52143044678263,0.306921589871606,-0.0443738194278079,0.656542449946138
"CM002238.1.239701.240000",0.20872390276752,0.15951901904635,-0.0491157525931241,0.454082231589918
"CM002238.1.242401.242700",1.03566831140033,0.466817722182861,0.227388601151701,0.163685073645075
"CM002238.1.246301.246600",0.988492654692511,0.715289891497278,0.555022693006315,0.0384611784297453
"CM002238.1.270301.270600",-0.194345346237578,0.120160548806859,0.165179291492004,0.504455947282047
"CM002238.1.276901.277200",-0.254297227340344,-0.0481166532106157,0.147183667705178,0.0343243184543003
"CM002238.1.284401.284700",0.191196958324241,-0.0228845575123205,-0.305557516856944,0.0837005058855029
"CM002238.1.292201.292500",-0.223337416099588,-0.0158904957854805,-0.266972179444761,0.248333715219357
"CM002238.1.385501.385800",-0.180774254045501,-0.742683511919842,-0.471560501526194,-0.25457312942168
"CM002238.1.392101.392400",-0.18725123171239,-0.570468235818595,-0.720381423720301,-0.50698462706699
"CM002238.1.392701.393000",0.494369653918299,0.589094435681957,0.710198155973453,1.15798492002536
"CM002238.1.451801.452100",-0.00337565410358849,0.281971965201926,0.112847035058791,0.86930410085161
"CM002238.1.4657201.4657500",0.353899985332316,0.692619701101319,0.196213715600011,-0.0317378386558901
"CM002238.1.4657501.4657800",1.04130588159943,0.545955500345983,0.141887408053469,0.334472405598967
"CM002238.1.4723201.4723500",0.690754632705361,0.8555835754004,1.06351147669291,0.621745999534412
"CM002238.1.4762201.4762500",0.828330800530028,1.06521880422618,0.890889996730984,0.74302244188019
"CM002238.1.4870801.4871100",0.629303377287627,0.681635674394333,0.837188886856467,1.23879645772271
"CM002238.1.4872601.4872900",-0.0218781753579653,0.133648370004717,-0.172734042987523,0.0358287965129301
"CM002238.1.4872901.4873200",0.610288644868045,0.855306577446365,0.74835506041344,0.63734505931739
"CM002238.1.4873801.4874100",0.92437743252764,0.818616993658542,1.24244592564586,1.08551206478092
"CM002238.1.4874101.4874400",0.229408534497066,0.400743315603728,0.361211951416782,1.28065610047837
"CM002238.1.4927501.4927800",0.537917419008073,0.752634023766451,0.851547943503305,0.772536853847645
"CM002238.1.4927801.4928100",0.747008807273114,1.18947546590109,0.763703138058283,0.728304057474092
"CM002238.1.4928701.4929000",0.315121734163263,0.897311596953935,1.63487473532043,0.67146784796398
"CM002238.1.4962001.4962300",0.234470321297099,0.259407503710828,-0.270478567033819,0.203611728531609
"CM002238.1.4962301.4962600",0.271941968446168,-0.0375691381425957,0.0511654944816384,0.487124558233322
"CM002238.1.4963201.4963500",-0.112011405160244,-0.679346715803712,-0.569789465324968,0.0473786169054748
"CM002238.1.4965301.4965600",1.06641556926585,1.40809273234614,1.09877503464459,1.07013970572751
"CM002238.1.4965601.4965900",1.0769282010769,1.439113330725,1.14360409081206,0.791037152070663
"CM002238.1.4967101.4967400",0.477904005072854,0.118350927874344,0.155463843548107,0.207372553837973
"CM002238.1.4986901.4987200",-0.669552293213106,-0.607573937443974,-1.06302458657819,-0.672046605587011
"CM002238.1.5024401.5024700",0.434230983614861,1.05468352241467,0.902837613144993,0.431474987411561
"CM002238.1.5053801.5054100",0.459857911131496,0.329961797925982,-0.0515943037362406,0.175861628955471
"CM002238.1.5054101.5054400",0.5707296659677,-0.200854499808775,0.207810064650435,0.564804043800214
"CM002238.1.5054401.5054700",0.293121251573506,-0.182724524033933,-0.154092131087384,0.0477606118329901
"CM002238.1.5056501.5056800",0.559542344789498,0.765726298174273,0.65813673208356,0.542672228829262
"CM002238.1.5056801.5057100",-0.123105951189592,0.366198655896506,0.394981561711716,0.00160635312603646
"CM002238.1.5058301.5058600",-0.348247862845197,0.263806478687014,-0.0770908701715006,0.165037582941102
"CM002238.1.5119501.5119800",0.128176456525407,0.59926012324056,0.749438242474242,0.263423009642041
"CM002238.1.5130301.5130600",0.854715276004223,0.673919593270535,0.697773266345715,0.771145528592103
"CM002238.1.5130601.5130900",0.80796326349309,0.937456609661754,0.750512824846732,0.172034432830508
"CM002238.1.5145901.5146200",0.334569908795593,0.551580326214537,0.644890190065663,0.680960742131832
"CM002238.1.5146201.5146500",-0.0172322734871917,0.75568379753947,0.773662782721909,0.303144970555736
"CM002238.1.5230201.5230500",0.199987334383628,0.504230408868014,0.666837898966099,1.03574443817013
"CM002238.1.5253601.5253900",0.349872180794806,0.931201002371397,1.38325197534237,0.567201851453448
"CM002238.1.5253901.5254200",0.35386827058377,0.586644779923031,1.73297940407977,0.176025916559655
"CM002238.1.5254201.5254500",0.761737403851219,0.791961778129394,1.50830823554433,0.594694187731449
"CM002238.1.5263501.5263800",0.278035435077598,0.177843572798581,0.674651244492818,0.804943433138578
"CM002238.1.5263801.5264100",0.394694343671714,0.0256588184739618,0.706471917825049,0.606964845704133
"CM002238.1.5264101.5264400",0.208174439818856,0.171598081358585,0.484462922637506,0.152286597635788
"CM002238.1.5264701.5265000",0.128205732751543,-0.139948290473642,-0.202390899818654,-0.216216276679577
