"","logFC_cac1","logFC_cac2","logFC_cac3","logFC_set7"
"CM002236.1.1501.1800",0,0,0,0
"CM002236.1.1801.2100",0,0,0,0
"CM002236.1.3301.3600",0,0,0,0
"CM002236.1.3901.4200",0,0,0,0
"CM002236.1.18301.18600",0,0,0,0
"CM002236.1.18601.18900",0,0,0,0
"CM002236.1.18901.19200",0,0,0,0
"CM002236.1.36001.36300",0,0,0,0
"CM002236.1.41701.42000",0,0,0,0
"CM002236.1.42001.42300",0,0,0,0
"CM002236.1.42301.42600",0,0,0,0
"CM002236.1.43801.44100",0,0,0,0
"CM002236.1.44101.44400",0,0,0,0
"CM002236.1.46201.46500",0,0,0,0
"CM002236.1.46501.46800",0,0,0,0
"CM002236.1.46801.47100",0,0,0,0
"CM002236.1.47401.47700",0,0,0,0
"CM002236.1.59701.60000",0,0,0,0
"CM002236.1.60001.60300",0,0,0,0
"CM002236.1.60301.60600",0,0,0,0
"CM002236.1.220201.220500",0,0,0,0
"CM002236.1.9694801.9695100",0,0,0,0
"CM002236.1.9695101.9695400",0,0,0,0
"CM002236.1.9695401.9695700",0,0,0,0
"CM002236.1.9696601.9696900",0,0,0,0
"CM002237.1.11701.12000",0,0,0,0
"CM002237.1.12001.12300",0,0,0,0
"CM002237.1.12601.12900",0,0,0,0
"CM002237.1.17401.17700",0,0,0,0
"CM002237.1.19201.19500",0,0,0,0
"CM002237.1.37201.37500",0,0,0,0
"CM002237.1.37501.37800",0,0,0,0
"CM002237.1.37801.38100",0,0,0,0
"CM002237.1.41101.41400",0,0,0,0
"CM002237.1.56401.56700",0,0,0,0
"CM002237.1.71101.71400",0,0,0,0
"CM002237.1.71401.71700",0,0,0,0
"CM002237.1.76501.76800",0,0,0,0
"CM002237.1.76801.77100",0,0,0,0
"CM002237.1.77101.77400",0,0,0,0
"CM002237.1.147901.148200",0,0,0,0
"CM002237.1.569701.570000",0,0,0,0
"CM002237.1.1683901.1684200",0,0,0,0
"CM002237.1.1686001.1686300",0,0,0,0
"CM002237.1.1686301.1686600",0,0,0,0
"CM002237.1.4044901.4045200",0,0,0,0
"CM002237.1.4045201.4045500",0,0,0,0
"CM002237.1.4045501.4045800",0,0,0,0
"CM002237.1.4451401.4451700",0,0,0,0
"CM002237.1.4451701.4452000",0,0,0,0
"CM002237.1.4452001.4452300",0,0,0,0
"CM002237.1.4467001.4467300",0,0,0,0
"CM002237.1.4467301.4467600",0,0,0,0
"CM002237.1.4467601.4467900",0,0,0,0
"CM002237.1.4467901.4468200",0,0,0,0
"CM002237.1.4468801.4469100",0,0,0,0
"CM002237.1.4469401.4469700",0,0,0,0
"CM002237.1.4469701.4470000",0,0,0,0
"CM002237.1.4470001.4470300",0,0,0,0
"CM002238.1.9601.9900",0,0,0,0
"CM002238.1.29401.29700",0,0,0,0
"CM002238.1.159901.160200",0,0,0,0
"CM002238.1.160201.160500",0,0,0,0
"CM002238.1.160501.160800",0,0,0,0
"CM002238.1.199801.200100",0,0,0,0
"CM002238.1.220201.220500",0,0,0,0
"CM002238.1.220801.221100",0,0,0,0
"CM002238.1.237901.238200",0,0,0,0
"CM002238.1.242401.242700",0,0,0,0
"CM002238.1.246301.246600",0,0,0,0
"CM002238.1.270301.270600",0,0,0,0
"CM002238.1.276901.277200",0,0,0,0
"CM002238.1.284401.284700",0,0,0,0
"CM002238.1.292201.292500",0,0,0,0
"CM002238.1.385501.385800",0,0,0,0
"CM002238.1.392701.393000",0,0,0,0
"CM002238.1.451801.452100",0,0,0,0
"CM002238.1.4657201.4657500",0,0,0,0
"CM002238.1.4657501.4657800",0,0,0,0
