"","logFC_WT","logFC_cac1","logFC_cac2","logFC_cac3","logFC_set7"
"CM002236.1.3001.3300",-1.72400014408783,-1.34001144797911,-1.84593530373331,-1.04787505527609,-2.3631012536644
"CM002236.1.17101.17400",-1.7806154477664,-2.23699673343078,-1.91205650077986,-3.13687682730381,-2.10205461375595
"CM002236.1.34501.34800",-0.713839942746697,-0.684599596076043,-1.16566320485313,-1.22339777628304,-0.90258707413193
"CM002236.1.42601.42900",-0.120730751133671,1.00790531404866,0.824441156308163,0.82296716648505,1.14326014497635
"CM002236.1.44701.45000",-1.0182032697417,-1.54827944879908,-0.8209307378016,-0.705650170926274,-0.550832683417012
"CM002236.1.48001.48300",-0.583893849125589,-0.338980942686212,-0.478448475602073,-1.1213043590893,-1.08216327439335
"CM002236.1.48301.48600",-2.11056812791125,-1.91796578480407,-2.00782094718514,-2.00189521362016,-1.45446700655366
"CM002236.1.181201.181500",0.269459663884255,0.75900404670767,0.657883416833052,1.09403462275528,-0.0678589719127887
"CM002236.1.185701.186000",-1.31468287173396,-1.34838878644011,-1.07800264605111,-1.82769905641848,-1.18189905980218
"CM002236.1.189601.189900",-1.02848181003174,-0.659393415329933,-0.370556063253328,-0.494092659802552,-0.78474475593465
"CM002236.1.195301.195600",-0.468781334354297,-0.823062162423464,-0.617882858595729,-1.06353297564106,-0.0618497765072037
"CM002236.1.196201.196500",-0.89674595037663,-1.32524394004367,-0.735367170098029,-1.15914194916114,-0.82334709911164
"CM002236.1.197701.198000",-1.2806578236109,-1.3164855375891,-1.47702164825506,-1.07269537190833,-0.605411771440271
"CM002236.1.198001.198300",-1.16673558823045,-1.18566133411067,-0.548309404312919,-1.36188204023991,-0.598499264498304
"CM002236.1.209101.209400",-0.481731564055534,-0.710039050514299,0.0250418482601605,-1.15290060882294,-0.134521735495515
"CM002236.1.209401.209700",-0.24525076322676,-0.211036890965628,-0.226431962319554,-1.04371779603598,0.0397162970218555
"CM002236.1.210001.210300",-1.55754990453568,-1.49363785264365,-0.756500992089947,-1.32029366953672,-1.23381424860376
"CM002236.1.224401.224700",-0.215113717117309,0.142497929013825,0.995058154607079,0.0702580434483604,0.390269802161637
"CM002236.1.255601.255900",-0.997255923208435,-1.07077490971787,-0.702961147584524,-1.34509679749044,-0.915822661784341
"CM002236.1.255901.256200",-0.741535651801404,-0.901260474384615,-1.12715530541064,-0.560858681776479,-0.276291903139391
"CM002236.1.263401.263700",-0.87288035893446,-0.485669794058559,-0.217750057926807,-1.21419200585296,-0.699449849351166
"CM002236.1.291301.291600",-0.666707658443349,-1.28760041401381,-0.685682552690746,-1.21916978609176,-0.329200017080926
"CM002236.1.292801.293100",-0.651230010841863,-1.19153570194279,-0.534110109359589,-0.701607401607358,-0.155040028112768
"CM002236.1.293101.293400",-1.35718604196741,-1.81549514593402,-1.00705446416222,-1.91166358144083,-0.761589665397004
"CM002236.1.9688801.9689100",0.227145989096627,0.454858885288324,0.634024941810612,1.10794547204349,0.43785273091274
"CM002236.1.9694201.9694500",-1.56405100146209,-1.75349615872298,-1.64707765116341,-2.12626459007434,-1.63126531279792
"CM002236.1.9694501.9694800",-0.296585655070564,0.265783120399235,0.100895371530162,-1.07161727928529,-0.291116786319177
"CM002237.1.10801.11100",0.292694366877861,0.399105329662475,0.777458162416289,1.41314646699854,1.23591545207694
"CM002237.1.11101.11400",-0.340518679753385,0.657806674593915,0.734772223006116,1.41448105124359,1.20352186384136
"CM002237.1.13201.13500",-3.02835644607109,-2.33668727024808,-2.19658300340196,-1.73095182300247,-2.27043515751859
"CM002237.1.13501.13800",-2.48325827222294,-3.2360194932362,-1.74255984960213,-2.24008928926563,-1.25353427242722
"CM002237.1.18001.18300",0.307969192199619,0.633304205206168,0.386022550226993,-0.588350266584801,-1.12774979087483
"CM002237.1.18901.19200",0.78279281393311,0.927783410098267,0.766786405953053,1.34023737508785,1.30513029509547
"CM002237.1.35401.35700",0.618478369168352,0.136229874734099,0.548555672821888,1.3267553222509,1.30058101844154
"CM002237.1.41101.41400",0.551582312910779,0.302081739341547,0.622776216730684,1.19753978751116,1.05036266850726
"CM002237.1.76201.76500",0.217078313205479,0.779070116165669,1.12162976530924,1.01567343955874,1.42900321230022
"CM002237.1.562801.563100",0.525587152128624,0.934084786038506,1.2079507233452,0.798511173665676,1.38027976818929
"CM002237.1.567601.567900",-1.36852960805895,-0.676168344190031,-0.576170521951029,-1.17619161685939,0.0517647692645158
"CM002237.1.585001.585300",-0.381388500379232,-1.00602687338264,-0.622648268015245,-0.777135792536237,-0.243370274236993
"CM002237.1.1684501.1684800",-1.24918193973894,-1.0643809684484,-0.210145923566124,-0.99414873310877,-0.11515599736276
"CM002237.1.4468201.4468500",1.54747730016661,1.15487663201001,1.54151209760063,1.47456605398803,1.05821682982676
"CM002237.1.4468501.4468800",1.43617072046059,1.27411501472199,1.13186599959359,1.40175700039316,1.53670136608847
"CM002238.1.9001.9300",-1.90231605638069,-1.37716711648113,-1.53208587119216,-2.62216861832498,-2.60853056151533
"CM002238.1.12601.12900",-0.982048307310839,-0.973811299706089,-1.57538987620264,-1.30780140188657,-1.26441527928097
"CM002238.1.28801.29100",-1.14859759676115,-0.519562802930384,-0.694628508069346,-0.754449825387927,-0.0832999141615321
"CM002238.1.31201.31500",-1.39665899043271,-1.38611033883061,-1.05127384305852,-1.31279242737929,-0.78382753584649
"CM002238.1.31501.31800",-1.76226811941065,-2.58416269806419,-1.89917861874558,-2.23137219248849,-1.17551577374801
"CM002238.1.166801.167100",-1.69392383545505,-1.45066463523055,-0.49077837993352,-1.0973244168168,-0.81865791758169
"CM002238.1.167101.167400",-1.59087049063761,-1.36381336860075,-0.536340502902977,-0.757932173379252,-0.937059304723313
"CM002238.1.223801.224100",-0.990958091749773,-1.32994691138696,-0.906057798268903,-1.6916177858693,-1.19379265081062
"CM002238.1.224101.224400",-2.07027304399543,-2.36656860396601,-2.01400203554121,-2.50252792642371,-1.89665178608545
"CM002238.1.229501.229800",-1.08335241830078,-0.856275585805065,-0.0816774938807926,-0.40820144729289,-0.500853123521006
"CM002238.1.238501.238800",-1.72218389099903,-2.03122467770164,-1.86229183577357,-3.32344136902945,-2.84307867554734
"CM002238.1.239101.239400",-1.33990948962299,-2.01712607540746,-0.680767529286855,-1.77134513936742,-1.18637000387914
"CM002238.1.252301.252600",-1.00287895057549,-0.876671856904449,-0.693113419286113,-1.05611324363343,-0.584688406750799
"CM002238.1.266401.266700",-1.68864901130669,-1.32871136689183,-1.18834829502153,-2.6090283989793,-1.71263228476183
"CM002238.1.266701.267000",-1.16581320317875,-0.938918539917218,-0.716558829109444,-1.07597357945115,-0.926487678343078
"CM002238.1.276301.276600",-1.02966349011747,-1.22135065251928,-1.02842492851026,-1.87142341976044,-1.10102378713116
"CM002238.1.276601.276900",-1.38379374883652,-1.06658641146292,-1.09956481290167,-0.98754988175369,-1.46942756112966
"CM002238.1.279001.279300",-1.48441890839548,-1.57410121858045,-1.58231278081451,-1.62766585808373,-2.25148553338347
"CM002238.1.279301.279600",-1.75302056417391,-1.63673295429987,-1.06440006164922,-1.85478869598942,-0.972036520190796
"CM002238.1.280501.280800",-1.19307090945277,-0.829680494744368,-0.223960875132773,-0.628858565667358,-0.828831164787671
"CM002238.1.285001.285300",-0.818629444929898,-0.664895529173682,-0.846958455467085,-1.39495319542368,-1.57272695290329
"CM002238.1.285301.285600",-0.0759898275073192,0.147706009866432,-0.321906827070414,-1.05038256692928,-0.431761464117659
"CM002238.1.291601.291900",-1.78818699630445,-2.2738473354203,-2.10412285115567,-2.39665266776746,-2.15554924707225
