"","logFC_WT","logFC_cac1","logFC_cac2","logFC_cac3","logFC_set7"
"CM002236.1.2401.2700",0.987910852280891,0,0,0,0
"CM002236.1.3301.3600",0,0.95942505329479,0,1.0396672461149,0
"CM002236.1.42901.43200",0,1.05678065009519,0,1.09253628564207,0
"CM002236.1.252301.252600",0,0.901291701756547,0,0,0
"CM002236.1.9688801.9689100",0,0,0,1.10789684333152,0
"CM002237.1.10801.11100",0,0,0,1.41353694679007,1.23619147130031
"CM002237.1.11101.11400",0,0,0,1.4146344234069,1.20379652555625
"CM002237.1.11401.11700",0,0,0,0.932026040984051,0
"CM002237.1.11701.12000",0,1.12562425356975,1.29106975461014,1.68486950188128,1.25706857033067
"CM002237.1.42001.42300",0,0,0,0,1.27934816605096
"CM002237.1.74701.75000",0,0,0,0.978849763224834,0
"CM002237.1.75001.75300",0,0,0,0.89761371781884,0
"CM002237.1.4467901.4468200",2.52977760762411,2.2371046877653,1.89482021624236,2.18775113539785,2.54613131318538
"CM002237.1.4468201.4468500",1.54749983162096,1.15481898230469,1.54133134898557,1.474981515056,0
"CM002238.1.4723201.4723500",0,0,0,1.13040436417815,0
"CM002238.1.4764901.4765200",0,0,0,1.0129571855034,0
"CM002238.1.4963201.4963500",1.00306815999836,0,0,0,0
"CM002238.1.4986901.4987200",1.35661327013295,0,0,0,0
"CM002238.1.5229901.5230200",0.959878256841008,0,0,0,0
"CM002238.1.5230201.5230500",0,0,0.993755413839078,1.1564100471943,1.52549256006484
"CM002238.1.5254501.5254800",0,0,0,0.950071226804157,0
"CM002238.1.5264701.5265000",0.985812673707579,1.11410427192657,0,0,0
"CM002238.1.5269801.5270100",0,1.11726862941442,0,0,0
"CM002238.1.5270101.5270400",1.27029414138916,1.28876625405594,1.2201507165714,1.65913575843,1.55802760703834
"CM002239.1.20101.20400",0.897353634565562,0,0,0,1.18957606341174
"CM002239.1.30901.31200",1.26561359276163,1.38773627973001,1.05359022852206,1.02812336275696,1.39355218787918
"CM002239.1.71101.71400",0,0.994628695158527,0,1.27307240321393,1.44894856089917
"CM002239.1.191101.191400",0,0,1.37315028226424,0,1.24320036872396
"CM002239.1.194701.195000",0,0,1.09538051283052,0,1.40267675120854
"CM002239.1.307201.307500",0,1.19003043451132,0,1.20774864180784,1.23354649000493
"CM002239.1.307501.307800",0,0,0,0.847605159523244,1.44598330448317
"CM002239.1.359701.360000",0,0,0,1.01129037419294,0
"CM002239.1.360901.361200",0,0,0,1.19344325158885,0
"CM002239.1.506401.506700",0,0.92397893466741,0,1.26606177598766,0
"CM002239.1.507901.508200",0,0,1.24998783132136,0,0
"CM002239.1.545701.546000",0,1.05265326142745,0,1.09482267576809,0
"CM002239.1.548401.548700",0,1.12667322421699,1.28402929366781,1.48013559612396,0
"CM002239.1.548701.549000",0,0,1.04239321467328,1.24433878205836,0
"CM002239.1.557701.558000",0,0,0,1.06002089226332,0
"CM002239.1.558001.558300",0,0,0,0.887472405029159,0
"CM002239.1.576301.576600",1.04967360533606,0,0.997038762018482,0,0
"CM002239.1.582001.582300",0,1.15807796176033,1.10372467071148,0,0
"CM002239.1.699601.699900",0.999769939479158,1.15036795525696,1.31398238956624,1.61471290716278,1.30276433874942
"CM002239.1.741301.741600",1.14662056123322,0,0.978430419656294,1.11711415792532,0
"CM002239.1.741601.741900",1.20985970289975,0,0,0,0
"CM002239.1.741901.742200",0,0,1.0009677823739,0,1.14671240441444
"CM002239.1.800101.800400",0,0.952959142465452,0,0,0
"CM002239.1.800401.800700",0,0.961913529422684,0,0,0
"CM002239.1.838501.838800",0,1.20764903662319,0,0,0
"CM002239.1.842401.842700",0.924444578317195,0,0.976286272705236,1.11181198344997,1.1040045364027
"CM002239.1.5154901.5155200",0,0.957150087205309,0,0,0
"CM002239.1.5938201.5938500",0,0,0,0,1.45222931211052
"CM002240.1.678601.678900",0,1.05243718929887,0,0,0
"CM002240.1.6049801.6050100",1.07118732456729,0,0,0,0
"CM002240.1.6162301.6162600",1.08334334005244,0,0,1.12010415211675,1.3247336916484
"CM002240.1.6173101.6173400",0.981620396522944,1.27296244311485,0,0,0
"CM002240.1.6411901.6412200",0,0,0,1.07849914739331,0
"CM002240.1.6412801.6413100",0,0,0,1.90565855357959,1.40955506026133
"CM002240.1.6414001.6414300",0,0,0,1.02877657928628,0
"CM002240.1.6416701.6417000",0,0,0,1.36146718289137,1.13417660635275
"CM002240.1.6417001.6417300",0,0,0,1.77319655669201,1.68625238314709
"CM002241.1.2701.3000",0,0,0,1.00275894232925,1.14945585556003
"CM002241.1.3001.3300",0,0,0,0.997283106125318,1.23890349609438
"CM002241.1.3601.3900",1.42548572395657,1.20826724216855,1.3075627882184,2.05258487692298,2.3821627706399
"CM002241.1.3901.4200",0.939687159041654,1.17232847044505,0,0.975561861308538,1.18802443355071
"CM002241.1.19501.19800",1.06302806786633,1.20414562515869,0,1.15245479952489,1.74137257219309
"CM002241.1.28801.29100",0,0.917760018753161,0,0,0
"CM002241.1.48301.48600",0,0,0,0.904383127222795,0
"CM002241.1.148801.149100",0,0,0,0,1.27486503163117
"CM002241.1.212101.212400",0,1.28700531263794,1.31535560509792,0,0
"CM002241.1.357601.357900",1.37627504782353,1.53987843508135,1.1449076202745,1.62202063366832,1.70564089167204
"CM002241.1.413401.413700",0,0,0,0,1.31179866091411
"CM002241.1.413701.414000",0,0,0,0,1.21991379260262
"CM002241.1.414901.415200",0,0,0,0,1.19501011556929
"CM002241.1.432001.432300",0,1.11584942872674,0.99782933920281,0,0
"CM002241.1.467101.467400",0,0,0,0.975402332498517,0
"CM002241.1.467401.467700",0,0,1.07947532946923,0,1.40183438699934
"CM002241.1.3503701.3504000",0,0.940045117170785,0,0,0
"CM002241.1.3504001.3504300",0.994700703735792,1.12828281080593,0,0,1.23683936239474
"CM002241.1.3542101.3542400",0.898692751666887,0,0,1.17130815793822,1.44259186082672
"CM002241.1.3708301.3708600",1.0886764452724,0,0,0,0
"CM002241.1.3773101.3773400",1.0028563621559,0,0,0,1.14672405935216
"CM002241.1.4057501.4057800",0,0,1.13541197467232,0,1.15718471975098
"CM002242.1.2701.3000",0,0,0,1.134917006108,0
"CM002242.1.108001.108300",0,0,1.04433348533385,0,0
"CM002242.1.308101.308400",0,0,0.984192957467654,0,0
"CM002242.1.309001.309300",0,0.934769547474068,0,0,0
"CM002242.1.317101.317400",1.06028188072984,1.42988686278104,1.2797300211702,0.966936853496919,1.20948032286372
