"","logFC_cac1","logFC_cac2","logFC_cac3","logFC_set7"
"CM002236.1.2401.2700",-0.298242705425558,-0.326589375417811,-1.18235204927851,-0.646853361181817
"CM002236.1.3301.3600",0.483564758323321,-0.0732703836219888,0.563806951143433,-0.0392086995306511
"CM002236.1.42901.43200",0.874515944542803,0.66033883722153,0.910271580089683,0.186145487508271
"CM002236.1.252301.252600",0.220671638174979,0.100927087503796,0.0326166945890841,0.216346099094555
"CM002236.1.9688801.9689100",0.227400012426629,0.407006676188781,0.880824131937518,0.21098711536407
"CM002237.1.10801.11100",0.106343827901206,0.484774675716563,1.12074789697794,0.943402421488192
"CM002237.1.11101.11400",0.998042576131803,1.07503677967196,1.75504471621481,1.54420681836415
"CM002237.1.11401.11700",0.0965616633238186,-0.0912449087639401,0.316606545917509,-0.0143272358349367
"CM002237.1.11701.12000",0.672559979554366,0.838005480594754,1.23180522786589,0.804004296315285
"CM002237.1.42001.42300",-0.520143200393357,-0.08388588515706,-0.00386313953005183,0.526214922443987
"CM002237.1.74701.75000",0.195560241602973,-0.0618325999599012,0.700624016438565,0.413953674671969
"CM002237.1.75001.75300",0.397084021939318,0.430143117812741,0.849585893438431,0.559471848978014
"CM002237.1.4467901.4468200",-0.292672919858811,-0.634957391381746,-0.342026472226255,0.0163537055612686
"CM002237.1.4468201.4468500",-0.392680849316267,-0.0061684826353852,-0.0725183165649559,-0.488913869089452
"CM002238.1.4723201.4723500",0.690741249824398,0.855558928350758,1.06346385422574,0.621898981381905
"CM002238.1.4764901.4765200",0.158606318810441,0.518192185045813,0.739026971014457,0.758351058468809
"CM002238.1.4963201.4963500",-0.112151888541113,-0.679384263132458,-0.569683453971922,0.0474495874279446
"CM002238.1.4986901.4987200",-0.669598627063306,-0.60754709441727,-1.06299809636612,-0.671978512257603
"CM002238.1.5229901.5230200",-0.285130932889638,-0.491159393994664,-0.120301534149309,0.169781453146586
"CM002238.1.5230201.5230500",0.200080471806607,0.504137092583828,0.666791725939046,1.03587423880959
"CM002238.1.5254501.5254800",0.207754341997173,0.665808503664096,1.1046589658966,0.144924568832647
"CM002238.1.5264701.5265000",0.12829159821899,-0.140043764008002,-0.202346159218169,-0.216134041919507
"CM002238.1.5269801.5270100",0.256260990055394,-0.65194557254199,-0.0520770743678917,-0.465000534292918
"CM002238.1.5270101.5270400",0.0184721126667861,-0.050143424817759,0.388841617040847,0.287733465649178
"CM002239.1.20101.20400",-0.081196412184037,-0.502951839799347,-0.618796761084033,0.292222428846181
"CM002239.1.30901.31200",0.122122686968386,-0.212023364239572,-0.237490230004669,0.127938595117555
"CM002239.1.71101.71400",0.433756003010896,0.345604159759855,0.712199711066302,0.888075868751536
"CM002239.1.191101.191400",-0.0943554859686673,0.486588097103346,-0.358464179250898,0.356638183563071
"CM002239.1.194701.195000",0.582940523783801,0.79506345420623,0.46757343230093,1.10235969258425
"CM002239.1.307201.307500",0.73820903699068,0.307979317463864,0.7559272442872,0.781725092484289
"CM002239.1.307501.307800",-0.271854037455914,0.210102750752551,0.220058810199859,0.81843695515979
"CM002239.1.359701.360000",0.269723299812275,0.891166788013366,1.23026270340591,0.822937859804322
"CM002239.1.360901.361200",1.14017049318381,1.05982886414641,1.54651602374564,1.07783318907387
"CM002239.1.506401.506700",1.24115029219565,1.1505743137528,1.5832331335159,1.27725988428768
"CM002239.1.507901.508200",0.842644016070354,1.52343574436606,0.798546670016071,0.261621459576765
"CM002239.1.545701.546000",1.09979526035843,0.858324262023408,1.14196467469907,0.460074892852216
"CM002239.1.548401.548700",1.21816941979959,1.37552548925041,1.57163179170656,0.282129586558226
"CM002239.1.548701.549000",0.918396345861595,1.15955191781677,1.36149748520185,0.501205292138636
"CM002239.1.557701.558000",0.614236835135416,1.46509907666991,1.82409847242254,1.19936685895696
"CM002239.1.558001.558300",0.360948723866618,0.747711634054227,1.46438381091289,0.714343736168738
