"","logFC_cac1","logFC_cac2","logFC_cac3","logFC_set7"
"CM002236.1.1501.1800",0.487606750545364,0.105704435989737,0.368944724201605,0.588912666980596
"CM002236.1.1801.2100",-0.123167692897188,-0.390946735245717,-0.0215594651741043,0.145785261543258
"CM002236.1.2401.2700",-0.305225207425491,-0.331393919279139,-1.17167310264891,-0.633702044840718
"CM002236.1.3301.3600",0.469363829753842,-0.0743797596171132,0.57204122179264,-0.0304845655420536
"CM002236.1.3901.4200",-0.358383646612991,-0.353205210969117,-0.17083690659272,-0.554373199230714
"CM002236.1.4201.4500",-0.509463442403955,-0.430871534355797,-0.366879142734445,-0.0202452196533424
"CM002236.1.9601.9900",-0.086354968257507,-0.190052247550354,0.384302057430388,-0.525556455772363
"CM002236.1.9901.10200",-0.100816750293758,0.155049984626463,0.211865870272529,-0.396471903129065
"CM002236.1.10201.10500",0.316040524105208,0.259310948053008,-0.300441515816522,-0.151996489546767
"CM002236.1.10501.10800",0.163246380997388,-0.330710647342562,0.0173486925583444,0.144239483343714
"CM002236.1.11701.12000",0.12408279990246,0.341664968027187,0.806403872815715,0.499932738369646
"CM002236.1.17701.18000",-0.636735861726256,-0.318295121075046,-0.730504203490294,0.279570387985709
"CM002236.1.18001.18300",-0.143641294411406,0.299747446214127,-0.0650515259107338,0.684555123062966
"CM002236.1.18301.18600",-0.431081949707618,-0.68463466563729,-1.05720849207114,-0.426853975731057
"CM002236.1.18601.18900",-0.151524230397264,-0.136248946752557,-0.66542617976628,-0.155891851999824
"CM002236.1.18901.19200",-0.395150213093851,-0.504655243743404,-0.460467844230834,-0.385722196138602
"CM002236.1.36001.36300",0.115303461052548,0.666808980136807,0.0859088477792696,0.991482495882061
"CM002236.1.41701.42000",0.488293524981432,0.497694881325783,1.09153436157812,0.949225416704474
"CM002236.1.42001.42300",0.224658284781454,0.278661068559739,0.835445638779951,0.765161868199327
"CM002236.1.42301.42600",0.784975801343299,0.371986565367274,0.675724544008568,0.397112297746528
"CM002236.1.43801.44100",0.578229683167903,0.658770282690648,1.0032795424103,0.37813515370383
"CM002236.1.44101.44400",1.3190108220394,1.46002516750716,1.5606865563416,1.42425863663916
"CM002236.1.46201.46500",0.161253065157707,0.47527511213595,0.919008715633962,0.528413434752938
