"sample_id","library_size","detected_genes","pct_zero","size_factor"
"cac2_rep1",44349348,9540,2.22,1.85085226112356
"cac2_rep2",39715300,9548,2.14,1.65537413331177
"cac2_rep3",42426991,9539,2.23,1.71761795282825
"cac3_rep1",38791993,9499,2.64,1.61535029440156
"cac3_rep2",47706249,9520,2.43,2.02473086472974
"cac3_rep3",45686024,9503,2.6,1.91055572801746
"naf1_rep1",33722766,9210,5.61,1.01682218960737
"naf1_rep2",33819113,9224,5.46,1.02534209871815
"naf1_rep3",46908594,9232,5.38,1.39326694568634
"asf1_rep1",17790091,9121,6.52,0.674794816983123
"asf1_rep2",13827236,9028,7.47,0.50432960302004
"asf1_rep3",13775831,9035,7.4,0.489287286690101
"naf2_rep1",40232156,9257,5.12,1.68809264817892
"naf2_rep2",39271132,9267,5.02,1.73459833254968
"naf2_rep3",31254754,9224,5.46,1.28758615093572
"atrx_rep1",22162187,9170,6.02,0.805082783153611
"atrx_rep2",25859986,9200,5.71,0.937130278713235
"atrx_rep3",20085943,9123,6.5,0.763680495420465
"WT_rep1",67372780,9270,4.99,2.82428428806884
"WT_rep2",82488872,9298,4.7,3.46442244894819
"WT_rep3",82006240,9301,4.67,3.4380953291396
"WT_rep4",66838780,9267,5.02,2.79834766547451
"set7_rep1",13725559,9114,6.59,0.492005659063549
"set7_rep2",13436849,9144,6.28,0.501175906467459
"set7_rep3",17125942,9238,5.32,0.59996475108543
"cac1_new_rep1",7989915,9265,5.04,0.238897100259279
"cac1_new_rep2",25315143,9538,2.24,0.794695692793208
"cac1_new_rep3",20803776,9483,2.81,0.610885866960475
"ash1_rep1",5311453,9305,4.63,0.18751030095667
"ash1_rep2",5270825,9335,4.33,0.229369301729305
