"","logFC_cac1","logFC_cac2","logFC_cac3","logFC_set7"
"CM002236.1.191701.192000",1.71482952438211,0.9856395461454,1.60624640405682,1.33387692995889
"CM002236.1.210001.210300",0.757418604926233,0.838241367965885,1.95946935891517,0.934955983567527
"CM002236.1.211201.211500",1.34388848554212,0.972395088872691,1.80253461684024,0.865265060359461
"CM002236.1.213001.213300",1.22296123688732,0.645965416710997,1.88054885019205,0.797526891869234
"CM002236.1.240601.240900",-1.82493939697567,0.00220618186137547,-1.0756775628427,-0.537020039779776
"CM002236.1.408001.408300",-0.561674241405975,0.133617637612459,-0.963990210014161,2.19507461676214
"CM002236.1.408301.408600",-0.453201512304017,0.0504451488637029,-0.250150800368861,2.05639303130873
"CM002236.1.525601.525900",-1.03874105408631,0.094649290924918,-2.05232120069909,-0.534360745995672
"CM002236.1.526501.526800",-1.84205319046895,0.189575590119315,-1.4401696965877,0.0912285657947891
"CM002236.1.623401.623700",-0.918826415124019,-0.213386582981107,-1.65776445419196,-0.311280148212275
"CM002236.1.813901.814200",-1.77716973369265,-0.541928055372796,-1.6356156927475,-0.449179701128971
"CM002236.1.982201.982500",-1.74375071710858,-0.558145018323686,-0.71271078051657,-1.33972821997523
"CM002236.1.1174501.1174800",-1.0241941896454,-0.331561741026394,-1.7020807564424,-0.330652738140618
"CM002236.1.1502101.1502400",-1.67534607195534,-0.608834162886933,-1.88047528212535,-1.25512202806943
"CM002236.1.1584901.1585200",0.754911714339031,0.27168360423296,1.25911047281552,0.551001631403945
"CM002236.1.1770001.1770300",1.88575217118993,1.44965558487962,1.7614026060439,0.350123842269123
"CM002236.1.1770301.1770600",2.70241639079464,1.68686774573627,2.09204220895624,0.860142105656726
"CM002236.1.1770601.1770900",2.27402632090711,1.26561825129081,1.52266382185858,0.41949662887023
"CM002236.1.1891501.1891800",-1.74408397227478,-0.751630481060354,-1.33704010587927,-1.02477003146155
"CM002236.1.2678101.2678400",-1.17008089173945,0.326484984519484,-1.81906230884023,-0.517199736125511
"CM002236.1.3007201.3007500",-0.669718303238143,0.261979509473883,-1.79211645459365,-0.42179541636691
"CM002236.1.3104101.3104400",-0.361395672344296,-0.450135355065231,-1.60143521185265,-0.62677517872161
"CM002236.1.3406801.3407100",-0.732637796300132,-0.0979046194826669,-1.54188488717189,-0.13063213894621
"CM002236.1.3416101.3416400",-1.51831591197537,-0.679287926484277,-1.19907845615133,-0.536266978648418
"CM002236.1.3424201.3424500",-1.12083063886892,-0.306427323972107,-1.62046083677464,-0.339293341420555
"CM002236.1.4227901.4228200",-1.51894812433452,-0.767579268431798,-1.66376599130937,-0.379719296230448
"CM002236.1.4228501.4228800",-1.83163969626543,-0.754397761023915,-1.17783226125657,-1.47494977162845
"CM002236.1.4797301.4797600",-1.54208125673116,-0.53199557693598,-1.77190127633433,-0.524312591423016
"CM002236.1.4830001.4830300",-1.08280982095089,-1.00643165251588,-2.10666259154222,-0.94632336265218
"CM002236.1.4835401.4835700",-1.63279289879155,-0.330862393303133,-1.18387950241897,-0.237965948830519
"CM002236.1.4835701.4836000",-1.64201730659138,-0.251468263169265,-1.00843263929145,-0.421013103033034
"CM002236.1.4932301.4932600",-1.62903589369495,-1.4318581311157,-3.55055518004834,-2.16732981462206
"CM002236.1.5076901.5077200",-0.720502156357507,0.129878540483664,-2.76313352009621,-1.28019080771501
"CM002236.1.5077201.5077500",-0.116609159076729,0.255150623924374,-1.88570723144808,-1.05276671323665
"CM002236.1.5361001.5361300",-1.54366008021997,0.0128909357343151,-0.703743893742673,-0.357291693236307
"CM002236.1.5644501.5644800",-0.282873079007608,9.23512032395225,-0.724979521362254,-0.120818937746414
"CM002236.1.5644801.5645100",-0.195662850855376,7.50669160876004,-0.533798375223569,0.33080765680573
"CM002236.1.5645101.5645400",-0.128442252974185,9.12019139741773,-0.583545336524683,0.432127025647881
"CM002236.1.5645401.5645700",-1.00557366025189,9.14553176158051,-1.44067858362761,-0.236555783664915
"CM002236.1.5645701.5646000",-0.588836584633472,9.15292325252639,-0.809347921210765,0.294362354675225
"CM002236.1.5646001.5646300",-0.576342496271222,8.96620495661534,-1.02724550538872,-0.498399255585302
"CM002236.1.5646301.5646600",-0.275217485136819,9.57316623913428,-0.715236456251213,0.21561156952996
"CM002236.1.5646601.5646900",-0.739610836199039,8.89846376672411,-0.991783665741403,-0.344957663002028
"CM002236.1.5646901.5647200",-0.319253860577282,9.28254935845402,-0.426941956385006,0.266037483903225
"CM002236.1.5647201.5647500",-0.369016552969892,7.74652575473919,-0.963168369857562,-0.0586214183988569
"CM002236.1.5647501.5647800",-0.731938629493826,9.40458376308909,-1.14407190647893,0.0562073126273184
"CM002236.1.5652601.5652900",-0.12566966382779,-10.2361967358097,-0.247256980301061,0.280033051917659
"CM002236.1.5652901.5653200",0.00154894220139308,-4.62013896040453,-0.669767370764463,0.0180408332205199
