"","logFC_cac1","logFC_cac2","logFC_cac3","logFC_set7"
"CM002236.1.1150.3878",0,0,0,0
"CM002236.1.2177.6443",0,0,0,0
"CM002236.1.14929.16647",-0.90422781014849,0,0,0
"CM002236.1.16440.19615",0,0,0,0
"CM002236.1.33980.39245",0,0,0,0
"CM002236.1.40949.43632",0,0,0,0
"CM002236.1.43708.45551",0,0,0,0
"CM002236.1.45331.49154",0,0,0,0
"CM002236.1.58145.61150",0,0,0,0
"CM002236.1.90323.92593",0,0,0,0
"CM002236.1.180222.181975",0,0,0,0
"CM002236.1.182427.186051",0,0,0,0
"CM002236.1.185039.188208",0,0,0,0
"CM002236.1.188530.190595",0,0,0,0
"CM002236.1.189406.191138",0,0,0,0
"CM002236.1.193143.195064",0,0,0.778951854826294,0
"CM002236.1.195020.196335",1.14932779286633,0,1.17768157725303,0
"CM002236.1.195780.197290",0,0,1.03167826866455,0
"CM002236.1.197194.198497",0,0,0,0
"CM002236.1.208394.210343",0,0,1.23915431590681,0
"CM002236.1.209486.212487",0.838664330610748,0,1.44153042010265,0
"CM002236.1.213619.215734",0,0,0.910547056869243,0
"CM002236.1.216104.217521",0,0,0,0
"CM002236.1.219395.221979",0,0,0,0
"CM002236.1.223661.224874",0,0,0,0
"CM002236.1.243323.247248",0,0,0,0
"CM002236.1.246886.248478",0,0,0,0
"CM002236.1.249096.252944",0,0,0,0
"CM002236.1.254974.256694",0,0,0,0
"CM002236.1.255165.256694",0,0,0,0
"CM002236.1.256492.259361",0,0,0,0
"CM002236.1.262019.264387",0,0,0,0
"CM002236.1.264035.266388",0,0,0,0
"CM002236.1.290632.292877",0,0,0,0
"CM002236.1.292166.294573",0,0,0,0
"CM002236.1.296498.298770",0,0,0,0
"CM002236.1.301352.303729",0,0,0,0
"CM002236.1.8866489.8868649",0,0,0,0
"CM002236.1.9649954.9652509",0,0,0,0
"CM002236.1.9687687.9689732",0,0,0,0
"CM002236.1.9689584.9691543",0,0,0,0
"CM002236.1.9688977.9690773",0,0,0,0
"CM002236.1.9692169.9694340",0,0,0,0
"CM002236.1.9693631.9697675",0,0,0,0
"CM002236.1.9758596.9762612",0,0,0,0
"CM002236.1.9770840.9773169",0,0,0,0
"CM002237.1.8926.12029",0,0,0,0
"CM002237.1.10641.12594",0,0,0,0
"CM002237.1.12520.14311",0,0,0,0
"CM002237.1.15942.19173",0,0,0,0
"CM002237.1.18041.19908",0,0,0,0
"CM002237.1.34370.36627",0,0,0,0
"CM002237.1.36176.39253",0,0,0,0
"CM002237.1.40798.42401",0,0,0,0
"CM002237.1.50942.53778",0,0,0,0
"CM002237.1.55203.56983",0,0,0,0
"CM002237.1.69444.71887",0,0,0,0
"CM002237.1.73201.75342",0,0,0,0
"CM002237.1.74558.76400",0,0,0,0
"CM002237.1.75424.78257",0,0,0,0
"CM002237.1.106019.108114",0,0,0,0
"CM002237.1.147606.149334",0,0,0,0
"CM002237.1.561860.563629",0,0,0,0
"CM002237.1.563402.565440",0,0,0,0
"CM002237.1.565861.568505",0,0,0,0
"CM002237.1.568989.571312",0,0,0,0
"CM002237.1.584152.586019",0,0,0,0
"CM002237.1.1677866.1679593",0,0,0,0
"CM002237.1.1679516.1682564",0,0,0,0
"CM002237.1.1683361.1685546",0,0,0,0
"CM002237.1.1684913.1686735",0,0,0,0
"CM002237.1.4044659.4047143",0,0,0,0
"CM002237.1.4164713.4166274",0,0,0,0
"CM002237.1.4297462.4299228",0,0,0.829892387805954,0
"CM002237.1.4447139.4449862",0,0,0,0
"CM002237.1.4451074.4453364",0,0,0,0
"CM002237.1.4465317.4468439",0,0,0,0
"CM002237.1.4467612.4470618",0,0,0,0
"CM002238.1.8256.12729",0,0,0,0
"CM002238.1.11870.14169",0,0,0,0
"CM002238.1.28170.30638",0,0,0,0
"CM002238.1.30599.31686",0,0,0,0
"CM002238.1.159464.162404",0,0,0,0
"CM002238.1.162882.164706",0,0,0,0
"CM002238.1.165972.168007",0,0,0,0
"CM002238.1.199774.201169",0,0,0,0
"CM002238.1.218438.219552",0,0,0,0
"CM002238.1.219918.222618",0,0,0,0
"CM002238.1.223109.224199",0,0,0,0
"CM002238.1.223365.225339",0,0,0,0
"CM002238.1.224708.227571",0,0,0,0
"CM002238.1.228015.230458",0,0,0,0
"CM002238.1.230216.234968",0,0,0,0
"CM002238.1.233920.236971",0,0,0,0
"CM002238.1.237023.239377",0,0,0,0
"CM002238.1.238407.241233",0,0,0,0
"CM002238.1.241500.244748",0,0,0.881060880795283,0
"CM002238.1.245252.248405",0,0,0,0
"CM002238.1.250618.253198",0,0,0,0
"CM002238.1.263454.265422",0,0,0,0
"CM002238.1.265739.267175",0,0,0,0
"CM002238.1.268061.271142",0,0,0,0
"CM002238.1.271106.273360",0,0,0,0
"CM002238.1.272674.274366",0,0,0,0
"CM002238.1.273858.275686",0,0,0,0
"CM002238.1.275772.277640",0,0,0,0
"CM002238.1.277683.280201",0,0,0,0
"CM002238.1.279999.282805",0,0,0,0
"CM002238.1.282888.286185",0,0,0,0
"CM002238.1.284489.287797",0,0,0,0
"CM002238.1.287850.291825",0,0,0,0
"CM002238.1.291002.295031",0,0,0,0
"CM002238.1.295247.296350",0,0,0,0
"CM002238.1.296326.299561",0,0,0,0
"CM002238.1.298935.301267",0,0,0,0
"CM002238.1.341948.344583",0,0,0,0
"CM002238.1.343837.345608",0,0,0,0
"CM002238.1.381226.382889",0,0,0,0
"CM002238.1.384221.387039",0,0,0,0
"CM002238.1.386020.387656",0,0,0,0
"CM002238.1.388932.391336",0,0,0,0
"CM002238.1.391093.394053",0,0,0,0
"CM002238.1.393403.394979",0,0,0,0
"CM002238.1.395310.397505",0,0,0,0
"CM002238.1.398176.399894",0,0,0,0
"CM002238.1.400170.401661",0,0,0,0
"CM002238.1.401180.403426",0,0,0,0
"CM002238.1.425597.427575",0,0,0,0
"CM002238.1.427249.429547",0,0,0,0
"CM002238.1.429336.431124",0,0,0,0
"CM002238.1.448519.450458",0,0,0,0
"CM002238.1.449716.453595",0,0,0,0
"CM002238.1.453711.455278",0,0,0,0
"CM002238.1.454998.456457",0,0,0,0
"CM002238.1.456204.457978",0,0,0,0
"CM002238.1.458930.460470",0,0,0,0
"CM002238.1.554278.557222",0,0,0,0
"CM002238.1.4573917.4576576",0,0,0,0
"CM002238.1.4605354.4606862",0,0,0,0
"CM002238.1.4626604.4627922",0,0,0,0
"CM002238.1.4630534.4633728",0,0,0,0
"CM002238.1.4634181.4637013",0,0,0,0
"CM002238.1.4638294.4640296",0,0,0,0
"CM002238.1.4639145.4641315",0,0,0,0
"CM002238.1.4644660.4646491",0,0,0,0
"CM002238.1.4646676.4648252",0,0,0,0
"CM002238.1.4648489.4650239",0,0,0,0
"CM002238.1.4649975.4653197",0,0,0,0
"CM002238.1.4652961.4655746",0,0,0,0
"CM002238.1.4655559.4657093",0,0,0,0
"CM002238.1.4657090.4659449",0,0,0,0
"CM002238.1.4672730.4674312",0,0,0,0
"CM002238.1.4675408.4677370",0,0,0,0
"CM002238.1.4676767.4678879",0,0,0,0
"CM002238.1.4679232.4682796",0,0,0,0
"CM002238.1.4683041.4685305",0,0,0,0
"CM002238.1.4723182.4724256",0,0,0,0
"CM002238.1.4725646.4727429",0,0,0,0
"CM002238.1.4725808.4727471",0,0,0,0
"CM002238.1.4731541.4733660",0,0,0,0
"CM002238.1.4734925.4738698",0,0,1.03081146478419,0
"CM002238.1.4740151.4743400",0,0,0.984857699257852,0
"CM002238.1.4742261.4743806",0,0,0,0
"CM002238.1.4744492.4746995",0,0,1.01494127414195,0
"CM002238.1.4748855.4750347",1.25446233056913,0,0,0
"CM002238.1.4751018.4752486",0,0,0,0
"CM002238.1.4753827.4756339",0,0,0.966801641050533,0
"CM002238.1.4756558.4758706",0,0,1.1094713201108,0
"CM002238.1.4758636.4760743",0,0,1.15349927200026,0
"CM002238.1.4761940.4765324",1.57422622967215,1.13299141389589,2.01623110165595,0
"CM002238.1.4764576.4767164",1.01883120102929,0,1.6214238134029,0
"CM002238.1.4767459.4770023",0,0,0,0
"CM002238.1.4768936.4770464",0,0,0,0
"CM002238.1.4772092.4773442",0,0,0,0
"CM002238.1.4772153.4773851",0,0,0,0
"CM002238.1.4774945.4776607",0,0,0,0
"CM002238.1.4777022.4779106",0,0,0,0
"CM002238.1.4779590.4781498",0,0,0,0
"CM002238.1.4781347.4783813",0,0,1.39058652618427,0
"CM002238.1.4786332.4788613",0,0,1.05878184702254,0
"CM002238.1.4787657.4789684",0,0,1.34189477267459,0
"CM002238.1.4788837.4791187",0,0,0.87787930760544,0
