"","logFC_WT","logFC_cac1","logFC_cac2","logFC_cac3","logFC_set7"
"CM002236.1.2401.2700",1.18668640648973,0.269440426110774,1.27919774102864,1.48679959100904,1.10169320085866
"CM002236.1.2701.3000",1.04457305840326,0.689656613506381,0.900782228025858,1.55658935477627,0.642485111672393
"CM002236.1.3001.3300",0.813536732194319,0.792108224313828,0.892553597275462,1.09411108902716,0.941583725275862
"CM002236.1.3301.3600",0.913436085051803,0.776956942806531,1.13436415577758,0.529664947230724,1.56625909452138
"CM002236.1.15001.15300",-0.336324412084411,-1.68983789121195,-0.828327710971265,-0.407011856495945,0.384743184691143
"CM002236.1.15301.15600",-0.608894201941954,-1.11768956256555,-0.487395490802228,-0.904144552788646,0.618141414821417
"CM002236.1.15601.15900",-0.0404794831066871,-0.832683867928382,-0.323083801459288,-0.227311970354109,0.570957298573925
"CM002236.1.16501.16800",1.20715580883554,0.120188652392809,0.825467498060331,1.00619533369019,1.54960897667968
"CM002236.1.16801.17100",1.19155173867834,1.12525569444072,1.29653514040708,1.64545716604513,1.39946878569436
"CM002236.1.17101.17400",1.18885730883069,1.07496532423395,1.45754229440419,1.38919804760043,1.71006561720055
"CM002236.1.34201.34500",0.563757273245609,0.286290578901245,0.133938599887585,0.652077163523992,0.648943308392712
"CM002236.1.34501.34800",0.43203687098097,0.401242289767903,0.976369378951399,0.984268582336947,1.37017456714513
"CM002236.1.42901.43200",-0.477711907534634,-0.339388791482522,-0.210228276853689,-0.851482611312491,-0.428794571045941
"CM002236.1.43201.43500",-0.641131384505184,-0.803381368895961,-0.364904134839289,-1.00306367422006,-0.493472499456644
"CM002236.1.44701.45000",-1.59466821331597,-2.29605680008974,-1.48742417071926,-1.76591121797259,-1.13823997162737
"CM002236.1.45001.45300",-1.16167047427188,-2.42987186976689,-0.806507074880478,-1.74648735627385,-0.879930965229012
"CM002236.1.48301.48600",1.12020237282868,1.56600826551117,0.854512566989902,1.61425653174476,1.25422515825623
"CM002236.1.48601.48900",0.789009410492412,0.671342420427155,0.426196394124837,1.02019357227145,0.841479212923903
"CM002236.1.58201.58500",-1.21447381546746,-1.27272951688594,-0.739041726883678,-1.07183569703883,-0.737567940125891
"CM002236.1.58501.58800",-0.458558236033928,-1.21001231064776,-0.409476029074325,-1.06699367115442,-0.5048074849756
"CM002236.1.58801.59100",-0.951356453371755,-0.971006447959824,-0.448884160215765,-0.967357096514885,-0.389399107682576
"CM002236.1.90601.90900",-0.777044497371434,-0.678934483073488,-0.400041802266435,0.212815587226751,-0.0875886779513835
"CM002236.1.90901.91200",-0.743133320906865,-0.90231010407183,-0.0780167293580318,-0.474806153241809,-0.0379132735282193
"CM002236.1.180601.180900",-0.146849989851597,-0.650770504191768,-0.171822694129455,-0.692745595426911,-0.0794548792345979
"CM002236.1.180901.181200",-1.05070984376937,-1.6927910101839,-0.718517502167261,-1.39868808044355,-0.887502237499006
"CM002236.1.185101.185400",-1.02500756226118,-0.571546442649044,-1.51990680448748,-0.807315202372004,-0.469424103118377
"CM002236.1.185401.185700",-0.560333763935167,-0.645150124146653,-0.0652139535089838,-0.722031778560687,-0.0599838453115368
"CM002236.1.185701.186000",-0.796104940288956,-0.342797001885425,-0.30735808499684,0.0296912386802693,-0.264875947672104
"CM002236.1.189601.189900",-0.532567839825825,-0.963110687668146,-0.907330547407266,-0.963026614617169,-1.10055722029759
"CM002236.1.189901.190200",-1.64427600355067,-1.04790937892851,-1.3273760478556,-1.53226321179713,-1.79635261649881
"CM002236.1.190201.190500",-0.946757264638029,-0.939052937840509,-0.502771928310797,-0.557691222347167,-0.7256437564421
"CM002236.1.194701.195000",-0.896932458718895,-0.556595842356321,-0.698460787643959,-0.507516485873303,-0.681489229140728
"CM002236.1.195601.195900",-0.916638662499555,-0.633633164380009,-0.244513314536524,-0.248641300447479,-0.514445316875331
"CM002236.1.195901.196200",-1.09913661827005,0.272736420613547,-0.0691421481879382,0.520857100910351,-0.0738497294247043
"CM002236.1.196501.196800",-0.310013698194579,0.0642040218613343,-0.0232061435332922,0.627916681410271,-0.217470892695582
"CM002236.1.196801.197100",-0.0994290760495743,0.199180300706067,-0.0137662285851309,0.942153397508254,-0.230912822849652
"CM002236.1.197401.197700",-0.741533115335079,-0.785605088959494,-0.37544028169121,-0.245720802357561,-0.844424212877422
"CM002236.1.197701.198000",-0.894407809206509,-0.263094900574926,-0.456451556564014,0.0840276912740212,-0.701620452317643
"CM002236.1.209401.209700",-0.759977133775867,-0.40534590169033,-0.279022557702388,-0.177974357512899,-0.784398739681742
"CM002236.1.209701.210000",-0.362101723542895,0.526795586190125,0.447371195564504,1.06094530776399,0.595216740504203
"CM002236.1.210001.210300",-0.732214978295347,0.0377687074583292,0.121896962022595,1.20145429640859,0.165317846019249
"CM002236.1.213901.214200",-1.27077440079571,-0.110831641828861,-0.436068339328343,0.2841793344403,-0.553412537867861
"CM002236.1.216601.216900",-1.07889519107203,-1.33607972121125,-1.32746338212458,-1.24287312024457,-0.990765079095188
"CM002236.1.216901.217200",-1.29376103352326,-1.53601372805129,-0.962711925639333,-1.62002299679656,-0.585663024079719
"CM002236.1.217201.217500",-1.52542932853722,-1.69234813132653,-1.17940545725043,-1.44618376979891,-0.857530273829832
"CM002236.1.221101.221400",-1.17610408744273,-1.14147815370368,-1.51592030243571,-1.2487470953546,-1.39405878204106
"CM002236.1.221401.221700",-0.895838921985554,-1.32322458036194,-1.1758901738465,-1.43455866197766,-1.09772280427685
"CM002236.1.223801.224100",-1.3213353351995,-1.91067334675372,-1.10245230846563,-1.58900806092986,-0.68709535085547
"CM002236.1.224101.224400",-1.1348148227563,-1.48982887206136,-0.108584067571984,-0.800345309192142,-1.15842686859203
"CM002236.1.246301.246600",-1.43378162941664,-1.75463631180007,-1.39454881438228,-1.18896111038339,-1.21305550865904
"CM002236.1.246601.246900",-0.953673393904873,-1.18713966924002,-0.576392144889733,-0.850435679799243,-1.11144966436503
"CM002236.1.247501.247800",-1.01618910357098,-0.647085220832564,-0.506745211518961,-0.883000642513425,-0.256941957958319
"CM002236.1.247801.248100",-0.813538439823125,-0.241116334204164,-0.475164029690344,-0.348632923839011,0.0532203848295915
"CM002236.1.248101.248400",-0.666309930484783,-1.37548915397025,-0.726812400326763,-0.989724469607539,-0.552685032985255
"CM002236.1.252301.252600",-1.1092668244524,-0.679507701491383,-0.374009341436626,-0.50428116360106,-0.483976866235294
"CM002236.1.252601.252900",-0.745090961854929,-0.365599528228179,-0.443346984176713,-0.183024016152498,-0.692261858651285
"CM002236.1.255301.255600",-0.634252156311814,-0.695505166424749,0.397028474589481,-0.799957275551748,0.274075313697807
"CM002236.1.255601.255900",-1.2549847116948,-1.49118942651235,-0.544239088892411,-1.65659199190765,-0.855747886131088
"CM002236.1.255901.256200",-0.886162493856594,-1.27588054494202,-1.04759173586848,-1.20727392975158,-0.226245678961695
"CM002236.1.256201.256500",-1.45006668602944,-1.74732901695333,-1.18882249503725,-1.64321952596343,-0.702265009393298
"CM002236.1.256501.256800",-1.12240572485976,-0.898230531329784,-0.846250970433968,-0.823424164693502,-0.90783158891824
"CM002236.1.256801.257100",-0.714917814960097,-1.37410868310977,-0.791852624202606,-0.754191262843591,-0.953626591378087
"CM002236.1.257101.257400",-1.50113439618742,-2.0233909936183,-2.0149807587072,-2.08102497399342,-1.21324755163293
"CM002236.1.263401.263700",-1.46893728623598,-0.959556313463489,-0.424085670350983,-0.869721178280655,-0.528213608346646
"CM002236.1.263701.264000",-1.15788284979555,-1.53510209544559,-0.660451024301212,-0.99764064808124,-0.861415419146209
"CM002236.1.264001.264300",-1.30398553831277,-1.24640031709486,-0.814922638922526,-0.875700846164188,-0.968820427000619
"CM002236.1.265501.265800",-0.839170835324727,-0.746451878094346,-0.541180474399467,-0.502332838247647,-0.315670546228133
"CM002236.1.265801.266100",0.522125738235153,0.424049227987809,0.675965850378578,0.916151375224816,1.06881720686515
"CM002236.1.290701.291000",-1.855726641924,-1.84745981533721,-1.58111679648248,-1.2573976720431,-1.22165274344145
"CM002236.1.291001.291300",-1.45808747562216,-1.70605170367245,-1.81342205030239,-1.08992387600363,-1.94616834286296
"CM002236.1.291301.291600",-0.923474010202875,-1.79021982573866,-1.23700738557748,-1.00673851093828,-0.831857730328834
"CM002236.1.292201.292500",-0.990271022782725,-1.3651315569862,-1.15678576372914,-0.38437605787302,-1.02253237182338
"CM002236.1.292501.292800",-1.78993570664065,-1.93374296107124,-1.67355758630062,-0.938408173378134,-0.750177068506575
"CM002236.1.292801.293100",-1.57942590761433,-1.37615572166711,-1.15877376691312,-0.887524395799242,-0.904867801170716
"CM002236.1.297901.298200",-1.92798285718454,-1.60254621037919,-1.69892024279354,-1.49807341147278,-1.67809029309978
"CM002236.1.298201.298500",-1.82483138971322,-1.74763033818644,-2.0692307892511,-1.43957587265582,-1.54123730262842
"CM002236.1.301501.301800",-1.14239709025838,-1.82368748517685,-1.21491182231149,-1.63490166781528,-0.933332121010087
"CM002236.1.301801.302100",-0.835699855409104,-1.70083975345235,-1.07962906781198,-1.38332506832377,-1.02031860872159
"CM002236.1.8867701.8868000",-1.30706087573307,-1.29761584704507,-1.34379298775285,-1.27101869830532,-1.5850788644687
"CM002236.1.8868001.8868300",-1.6391885952158,-1.43668878833928,-1.31997755507758,-2.43149598097181,-1.85868842159945
"CM002236.1.8868301.8868600",-1.75277983146553,-1.41353029262224,-0.834909338213758,-1.9329115200431,-0.662103331550233
"CM002236.1.9688801.9689100",-0.783873367829447,-0.728839392900129,-0.321681868764395,-0.899542947202524,-0.720378286843538
"CM002236.1.9689101.9689400",-0.839344274205683,-1.05314477242317,-0.485835522096883,-0.922454781645289,-0.961765985305688
"CM002236.1.9689401.9689700",-0.706485602042243,-1.02354026299013,-0.527906760261194,-0.512437430541096,-0.281286063035468
"CM002236.1.9690901.9691200",-1.44821391493851,-1.28725672620624,-1.37763433913714,-1.30674732303982,-0.917160703850972
"CM002236.1.9691201.9691500",-0.637092541480614,-1.43033816392322,-0.831633463090385,-1.30672337155225,-0.517604969034792
"CM002236.1.9693601.9693900",0.513185709235159,0.639952292561798,0.668293369017212,0.807164289601447,0.580933755116439
"CM002236.1.9693901.9694200",0.0610863549086108,0.199085314733941,0.161153970145883,0.636291666785023,0.186433639175596
"CM002236.1.9758701.9759000",-4.55141701220719,-6.08944472671805,-4.55628938227514,-6.07040999507019,-6.80579860041447
"CM002236.1.9759001.9759300",-5.65996236821318,-6.32802181823036,-8.85871031842836,-6.45859441724826,-5.53223155792166
"CM002236.1.9772201.9772500",1.43816323051616,1.5119690818724,0.96206936098391,1.21444816620318,1.3958088201886
"CM002236.1.9772501.9772800",1.27840659373057,0.673497647273989,0.656021248153562,1.49880489822616,1.22519882918444
"CM002237.1.10801.11100",0.0158782835458202,-1.08803343350234,0.0146132013818951,-0.783906346337642,0.101019092640168
"CM002237.1.13501.13800",-2.07272832318921,-2.45215045585776,-2.11335713691268,-1.5212857849245,-1.13070869083659
"CM002237.1.13801.14100",-1.72685715655286,-3.378777204312,-2.6865924492446,-2.58459601686605,-2.46967290982517
"CM002237.1.18301.18600",0.738083978562703,0.802796658410434,0.931983646469139,1.23923389836806,1.014987484888
"CM002237.1.18601.18900",0.202750018616143,0.137083942540765,0.522759473846124,0.661560085934022,0.77332889598798
"CM002237.1.35701.36000",-0.884939319205619,-1.46270068070543,-1.08433851787918,-1.23924263400786,-0.937739695877545
"CM002237.1.36001.36300",-1.26838918705039,-1.29812986017218,-1.31425971825751,-1.08375090641638,-1.21571415287466
"CM002237.1.36301.36600",-1.3620188378396,-1.49991772593324,-0.992916411687322,-1.15012425058878,-0.641334789849301
"CM002237.1.38401.38700",0.495041182606527,1.0221863638187,0.230581166948645,1.09811401586902,0.449965712376637
"CM002237.1.38701.39000",0.80487647304577,1.35390237303922,1.02271901475191,1.21871505620954,1.38780685534892
"CM002237.1.41401.41700",-0.108252052835816,-1.10055854212536,-0.597143519718077,-1.35793735815453,-0.599367732486298
"CM002237.1.41701.42000",-0.379608027543799,-1.52775571584239,-1.01498957589333,-1.50809514212947,-0.29283733342134
"CM002237.1.42001.42300",-0.462341822645743,-1.26162647645176,-0.656861987032602,-1.17123304485623,0.213071774502377
"CM002237.1.51001.51300",-0.275198890051785,-1.10620255687057,0.0893572367576018,-0.0670685599180742,-0.153044859683885
"CM002237.1.51301.51600",-0.629558395170502,-1.341951809396,-0.288721271673163,0.419062672542199,-0.125437130703106
"CM002237.1.51601.51900",-0.560015421521463,-0.755148432223691,-0.0510005736798306,0.296044642125132,0.056335092157762
"CM002237.1.55501.55800",-0.784959716894913,-1.11888583881287,-0.474168194243391,-1.05220899212206,-0.870324723960055
"CM002237.1.55801.56100",-1.35706583834782,-1.54400459900983,-1.11663020147268,-0.960016181042295,-0.436774467961915
"CM002237.1.69601.69900",-0.951191424308339,-1.64053887333334,-1.48779834883341,-1.76508067872984,-0.97666491126033
"CM002237.1.69901.70200",-0.619262331358048,-1.36841744577108,-0.412749713400251,-0.470886882077061,0.345593555374194
"CM002237.1.74401.74700",-0.578149786210288,-0.834874890818595,-0.545465775954266,-0.985994537349901,-0.2600596337612
"CM002237.1.74701.75000",-0.528795107224203,-1.12020609272177,-0.666397600578826,-1.16982146192433,-0.618306189446079
"CM002237.1.75001.75300",-1.40992796671442,-0.896859311839211,-0.78675651670067,-1.33299661328014,-1.09585053525631
"CM002237.1.75601.75900",-0.600958152801233,-0.980654282155651,-0.774296082976846,-0.315343880204993,-0.356392805607658
"CM002237.1.75901.76200",-0.333095991345014,-0.967634935524352,-0.173574013556694,0.125952338403111,0.0541455569614257
"CM002237.1.106201.106500",-0.936813928669646,-1.20493645173134,-1.2104409793522,-1.95596947184713,-0.83232478987365
"CM002237.1.106501.106800",-0.485812012038057,-1.46195639742575,-0.277899600512433,-1.4964759572286,-0.470913984692127
"CM002237.1.148501.148800",-1.03390601859419,-1.56086710580227,-0.978873511842955,-1.28076738997984,-0.526116084931551
"CM002237.1.148801.149100",-0.927710828503476,-1.27713855152365,-0.549558765523901,-0.904501300498425,-0.604829638039012
"CM002237.1.561901.562200",-1.75768394944277,-2.14394174456818,-1.7351512673387,-1.81575810510437,-1.59322618920089
"CM002237.1.562201.562500",-1.06969560325817,-1.19487388125046,-0.92896647086555,-0.566315928670868,-1.5851295416795
"CM002237.1.562501.562800",-0.790269681589819,-0.554049453079774,-0.843795048290769,-0.637501367626841,-0.956693648370686
"CM002237.1.563701.564000",-0.666977420650898,-1.14137990128722,-0.973121506953092,-1.28298791012833,-0.713826402220806
"CM002237.1.564001.564300",-1.0398474723389,-1.50105296568241,-1.13425064020625,-1.10717470484464,-0.67334801378652
"CM002237.1.567601.567900",-1.62604167656958,-2.16965709194703,-1.74651151453851,-2.42404404619903,-1.13947667786618
"CM002237.1.567901.568200",-1.04877034687415,-1.71812906882736,-0.995271927363777,-1.63249983016221,-0.944974975169641
"CM002237.1.568201.568500",-1.23967037644849,-1.94036251370361,-1.11233870598665,-2.04178270919889,-1.7630027014797
