"","logFC_cac1","logFC_cac2","logFC_cac3","logFC_set7"
"CM002236.1.211201.211500",1.34877074757323,0.974408182941216,1.78964938688428,0.847493804575797
"CM002236.1.1770001.1770300",1.89302492577336,1.45047263110409,1.74574099658194,0.319419348771123
"CM002236.1.1770301.1770600",2.69423858272583,1.67625881732513,2.07387011775742,0.859690895704406
"CM002236.1.1770601.1770900",2.27223056197837,1.24791417927614,1.4881777756354,0.346976247258648
"CM002236.1.3007201.3007500",-0.674149494526867,0.260367929187855,-1.80214114935257,-0.437493787500033
"CM002236.1.4932301.4932600",-1.67233206986317,-1.47389476309305,-3.60325598790411,-2.21543639874041
"CM002236.1.5076901.5077200",-0.746694150689459,0.117559896031586,-2.77275825807496,-1.28132329102063
"CM002236.1.5077201.5077500",-0.134829352862469,0.23421639665835,-1.9086556698651,-1.07559956989053
"CM002236.1.5406301.5406600",-1.04064794414711,-1.27857945248972,-3.29607649817275,-6.51385872781518
"CM002236.1.5644501.5644800",-0.282709322205971,9.22857185653186,-0.743971104214625,-0.149868939221382
"CM002236.1.5644801.5645100",-0.180580888156986,7.521650224614,-0.540601562269389,0.330279089513166
"CM002236.1.5645101.5645400",-0.129972082664064,9.10660857548531,-0.603989140387193,0.42408912101377
"CM002236.1.5645401.5645700",-1.04616268396287,9.10517816284703,-1.48676442522752,-0.302788322468461
"CM002236.1.5645701.5646000",-0.595052804936364,9.13223469956778,-0.828220330732296,0.313090155022925
"CM002236.1.5646001.5646300",-0.609345757114756,8.94475142713956,-1.05036415098548,-0.52255099105146
"CM002236.1.5646301.5646600",-0.292071732345921,9.54257449584217,-0.75667646200992,0.186682971681578
"CM002236.1.5646601.5646900",-0.7595578877222,8.87255231333634,-1.01679942356108,-0.383759784701113
"CM002236.1.5646901.5647200",-0.324038486340107,9.28022940364992,-0.449085177496275,0.241528135934538
"CM002236.1.5647201.5647500",-0.387054961045244,7.73341345022255,-1.00639500239972,-0.0995921461093944
"CM002236.1.5647501.5647800",-0.740570329560529,9.38526618096247,-1.17978413145013,0.025960270917856
"CM002236.1.5652901.5653200",-0.00281489407817705,-4.61490837993584,-0.686363650349617,0.0153962939668254
"CM002236.1.5653201.5653500",-0.0633424605026657,-8.50874494601177,-0.299669632063404,0.549529459913877
"CM002236.1.5653501.5653800",0.117001174206351,-8.55250878197184,-0.422460015517523,0.105216676036298
"CM002236.1.5653801.5654100",-0.0577570095999544,-8.15916439981845,-0.651007664078958,0.263869105974679
"CM002236.1.5654101.5654400",-0.238296131744929,-8.4624936306719,-1.00746831503327,0.30138169678181
"CM002236.1.5654701.5655000",-0.374864268671624,-8.38389503021157,-0.123543532608257,-0.0196115159030157
"CM002236.1.5655001.5655300",-0.37150640103378,-8.52480204689412,-0.222480853029431,0.497502898459794
"CM002236.1.5655301.5655600",-0.493781234173993,-8.50803185397202,-0.793838644885728,-0.0962171684397396
