"","logFC_cac1","logFC_cac2","logFC_cac3","logFC_set7"
"CM002236.1.1150.3878",0.735639770197526,0.429869130355334,-3.28880702922238,-4.60352935003754
"CM002236.1.2177.6443",0.587875144765881,0.409567950330573,-3.66701394107156,-3.37137263669476
"CM002236.1.14929.16647",0.988549148041831,0.268230722222735,-3.6283594019322,-3.25059508299643
"CM002236.1.16440.19615",0.443395836130384,-0.483812125394596,-3.08591442266282,-2.41379650755734
"CM002236.1.33980.39245",0.117843903254336,-0.554609604657273,-4.05106624703819,-3.3090672874984
"CM002236.1.40949.43632",-1.11277769778267,-1.23157319720071,-4.63126393264655,-3.47409168036986
"CM002236.1.43708.45551",-0.491494448559618,-0.590305784174696,-3.80941467827367,-3.34240035985634
"CM002236.1.45331.49154",-0.22189075306081,-0.621015453206563,-3.16892253603205,-2.32121661634838
"CM002236.1.58145.61150",0.383542399955672,0.177732583993304,-2.37334238850956,-1.74794999480547
"CM002236.1.90323.92593",0.0580449826790245,-0.183694278053437,-3.77252156980764,-2.93531248306226
"CM002236.1.180222.181975",-1.32487787116235,-1.19611370899451,-1.82780125992797,-1.53013603767755
"CM002236.1.182427.186051",-1.48381880908229,-0.963202933101997,-2.19001804330468,-2.91973951682921
"CM002236.1.185039.188208",-1.72735905195271,-1.20373100397607,-2.66099672757755,-3.13234662859471
"CM002236.1.188530.190595",-2.0943418126103,-1.6617714916547,-3.05322992399424,-3.47233795682522
"CM002236.1.189406.191138",-1.99095046904201,-1.64233659035785,-3.13894366928917,-3.39086263243773
"CM002236.1.193143.195064",-1.49391879781194,-1.44117141815302,-2.60419802329304,-2.08827372034212
"CM002236.1.195020.196335",-2.34139083879337,-2.35060617224318,-3.88079127265273,-3.06572184953553
"CM002236.1.195780.197290",-2.12723153399775,-2.07803621386916,-3.86648418430973,-3.26673858322774
"CM002236.1.197194.198497",-1.39606081922695,-1.32000580525939,-4.11078976448486,-3.63529072032269
"CM002236.1.208394.210343",-0.940388900703007,-1.05810025468045,-3.17486577417561,-3.15477943456975
"CM002236.1.209486.212487",-1.60876753918997,-1.41129176272404,-3.75919268206953,-3.72520953272182
