"","logFC_WT","logFC_cac1","logFC_cac2","logFC_cac3","logFC_set7"
"CM002236.1.2578.3378",3.47400202366171,4.05152326519599,3.84054202069526,-0.54344160372377,-0.663269819592545
"CM002236.1.2677.3477",3.24416228315115,3.7800768101361,3.59723870041464,-0.627264948162263,-0.629494943647613
"CM002236.1.15429.16229",3.12317095051126,4.19829366446306,3.38231379565047,-0.50156980979218,-0.363899472857746
"CM002236.1.16940.17740",1.20956371488947,1.81889092774152,0.742118586200975,-1.57181912218947,-0.767350971948028
"CM002236.1.34480.35280",2.30209518403596,3.1335576936438,1.32002765860362,-0.986471230543776,-0.607108468299035
"CM002236.1.42332.43132",3.78431291035862,3.02395425876457,2.88369363157907,-0.975888272375242,0.422762899173647
"CM002236.1.44251.45051",3.42556625009141,2.93614325430189,2.80521719927154,-0.0997269576262718,0.0334354977546721
"CM002236.1.47854.48654",0.793730737379307,0.748285165096656,0.418066946469422,-1.24283265275383,-0.816474263736415
"CM002236.1.58645.59445",2.53768296591087,2.78023358265527,2.67214654314536,-0.254320166864874,0.443420059560349
"CM002236.1.90823.91623",3.55402895775327,3.67354374031517,3.4905424362165,-0.0910667392166105,0.591369250480704
"CM002236.1.180722.181522",2.12658298793808,0.885181245168424,0.989106194394137,0.366087672594011,0.387135951464923
"CM002236.1.184751.185551",3.87245648962039,2.57801237185658,3.13115213547417,1.78983765839129,0.619421310679592
"CM002236.1.185539.186339",3.20603539834911,1.8706109374541,2.46263818363694,0.822990279874651,0.212872006517715
"CM002236.1.189295.190095",4.05955764839568,2.08409883856635,2.51447154704908,1.29768038451611,0.527330568660636
"CM002236.1.189906.190706",3.94886809248708,1.96789169615591,2.2951628857018,0.802289484871931,0.596142341799088
"CM002236.1.193764.194564",1.94699115862981,0.677027897840735,0.811407689298226,-0.238950084327785,0.180491592140721
"CM002236.1.195035.195835",3.45332996146785,1.1126721303535,1.08422809245756,-0.15520005558324,0.55508806789335
"CM002236.1.195990.196790",3.75176990467282,1.45089445697279,1.39086224885997,-0.448471484896596,0.392190537185978
"CM002236.1.197694.198494",4.23503348597243,2.91802616103027,2.96339958928809,-0.158465544561148,0.43785540016578
"CM002236.1.209043.209843",3.85433892829337,2.89752337941296,2.84156877541581,0.28068623886797,0.557380568657364
"CM002236.1.209986.210786",3.82571723778376,2.23517350234251,2.68326209821494,0.518082483049953,0.330197826071914
"CM002236.1.214119.214919",4.15448932854775,2.72385064823075,3.05201720978809,2.4850361040603,0.382926836239385
"CM002236.1.216221.217021",4.38597497331469,3.24491581562078,3.53266985883972,3.63019689268662,0.69491436180125
"CM002236.1.220679.221479",3.6972911259493,2.79041555971333,2.80829150955843,3.50036941109481,0.899041086782076
"CM002236.1.224161.224961",2.03929570545355,1.12624608260939,1.73213914105127,2.66171743223266,0.238643965538408
"CM002236.1.245948.246748",3.20245546120191,1.28655844915557,1.66343279446251,3.25197852958296,0.429824371709002
"CM002236.1.247178.247978",3.72577085565674,2.01888697198842,2.02117234587052,4.00317378554448,0.579895655467235
"CM002236.1.251644.252444",1.60505101710269,0.421146857607967,0.54817149755003,2.06692145052835,0.578835479362892
"CM002236.1.255394.256194",2.9451370612162,2.26289550493761,2.17884435807834,3.83762338140267,0.405860024895884
"CM002236.1.255665.256465",3.23547053971166,2.57767977849897,2.39003230176192,4.14057188729985,0.426175173110374
"CM002236.1.256992.257792",4.22205373690671,3.60198723272073,3.50841091080715,4.8470019284666,0.658659911949678
"CM002236.1.263087.263887",4.32217962960122,3.6503279796,3.84012256974609,4.28427634944382,0.387136061047758
"CM002236.1.265088.265888",3.39648255971014,3.48624220451679,3.06897646347228,3.55524701822202,0.475399412093518
"CM002236.1.291132.291932",4.82651719704817,4.56235921255368,4.63307828376554,4.96550136998602,0.804539336816661
"CM002236.1.292666.293466",4.54569025068145,4.33854924427558,4.2674940760973,5.03146052718244,0.495731145248513
"CM002236.1.297470.298270",4.79055473781432,4.29192804180453,4.34415073873597,4.96806301420435,0.914891025191681
"CM002236.1.301852.302652",4.22245091720341,3.62730132106816,3.60201155553845,4.5884121609336,0.765706668083327
"CM002236.1.8867349.8868149",1.83229967322115,-0.508446149771425,-0.013658719653249,1.14063760427688,0.521724073527139
"CM002236.1.9651209.9652009",2.19761672932221,2.81401073219019,2.78136796398451,-0.0924237333571205,0.217792953000641
"CM002236.1.9688432.9689232",2.57814046147364,3.2170693190919,2.93862144657667,-0.82525077048232,0.117152779822098
"CM002236.1.9690243.9691043",3.53911468767037,3.78463774103834,3.63969332983474,-0.352320416635793,0.59049989535074
"CM002236.1.9689477.9690277",3.33809058686315,3.72519030811546,3.62756662660835,-0.591841512198825,0.552146748015951
"CM002236.1.9693040.9693840",2.38842728871821,2.59003849640944,2.56158038140311,-0.559570671192738,0.284819743760332
"CM002236.1.9694131.9694931",0.382570347458767,1.05576387993225,0.934347257825582,-1.49715694565977,-0.229540664490854
"CM002236.1.9759096.9759896",4.03366740704172,4.9062316401742,4.68667801575908,-0.18784944707022,0.0491469921299808
"CM002236.1.9771869.9772669",4.10488870208801,5.01161018408004,4.29215385382774,-0.853000318816011,-0.539840905399619
"CM002237.1.10729.11529",4.94831316406684,4.88482076810042,4.9956297879204,-0.845474021145196,0.164457653404517
"CM002237.1.11141.11941",4.86622344953808,4.89846196456496,4.91847115649164,-1.30155954662342,0.28146563725858
"CM002237.1.13011.13811",3.902371287337,4.85621347938683,4.33692979879039,-0.3781949535615,0.462123684585165
"CM002237.1.17873.18673",3.0275180326731,3.33400454595294,2.85535889638314,-1.28152435844417,-0.479475738875225
"CM002237.1.18541.19341",3.42272675178532,3.7137944112732,3.38709324461191,-0.943204297994407,-0.0119269439223039
"CM002237.1.35327.36127",3.6456271917796,4.06298164681615,3.79371465258184,-0.370691111321482,0.303567492433604
"CM002237.1.37953.38753",0.130639945436905,0.602116168932884,0.493606563011623,-1.08340505504006,-0.698312763222715
"CM002237.1.41101.41901",2.22130819298174,2.93589231530788,2.95468092553643,-0.310221617561869,0.384131554062603
"CM002237.1.51442.52242",2.58643630283457,2.78796468114158,2.53685513275325,-0.729507568822333,0.287038056048597
"CM002237.1.55703.56503",3.0200212293207,3.17649019768536,3.24493831235355,-0.141723653485379,0.567326455657233
"CM002237.1.69944.70744",1.98259137384701,2.15024365845439,2.35823296161564,-0.780655165703684,0.585049217235534
"CM002237.1.74042.74842",2.96456036287402,3.39816408513887,3.22663141414346,-0.20280069790204,0.541121342481391
"CM002237.1.75100.75900",2.1493483211223,2.74441550302323,2.57523892055182,-0.827347010941917,0.276858706337681
"CM002237.1.75924.76724",2.20165817056383,2.77326072578043,2.5895815513054,-0.819566724443709,0.477088731607246
"CM002237.1.106519.107319",3.37754297991663,3.50788396076051,3.79061900550524,-0.298689948253114,0.636888026482878
"CM002237.1.148034.148834",2.80437083887344,2.6552683757281,2.66857316600553,-0.356825654451463,0.605148572157903
"CM002237.1.562360.563160",2.30541543905401,0.582609848492644,0.248592718952588,4.3682735686926,0.291093565133598
"CM002237.1.563902.564702",2.84603647587491,0.772605203865374,0.451732231104151,4.89772516302158,0.824813206551428
"CM002237.1.567205.568005",2.80588847848966,1.08365114327922,0.708103361683112,4.98062458432996,0.738504366815811
"CM002237.1.570012.570812",2.67832717023877,1.30377496749537,0.689965972986617,5.06970030147901,0.887896280749003
"CM002237.1.584652.585452",1.37584406767953,0.0983617411851433,-0.0326489876936131,4.42429392216913,0.435370449710696
"CM002237.1.1678293.1679093",3.26508935331005,1.1820257770121,2.11075086944804,3.1108030336954,0.368365756233602
"CM002237.1.1680016.1680816",2.87677306488056,0.119890527044619,1.52546865560301,3.59819838699014,0.687991983408918
"CM002237.1.1684246.1685046",2.39740660700758,-0.757842222134963,-0.446757923097572,2.10987552411232,0.487433827965122
"CM002237.1.1685413.1686213",2.32758967482105,-0.75991660431343,-0.233927093429091,2.59435245299981,0.703177597766827
"CM002237.1.4045843.4046643",2.05988827597449,2.3808753690623,1.65330532909345,3.07461633158547,0.148604954834047
"CM002237.1.4164974.4165774",1.82131985917893,2.40883035931726,2.3481101248217,4.22438042771978,0.556907791207781
"CM002237.1.4297962.4298762",1.92648615543303,0.448479670971187,0.653702876873624,0.194172779356722,0.602339400796927
"CM002237.1.4448562.4449362",3.5703899040538,3.55957306979889,3.41357176216117,-0.564334629761118,0.462481515075906
"CM002237.1.4452064.4452864",3.39868612492862,3.54845664664885,3.47799695993939,-0.517542563320281,0.622192375094765
"CM002237.1.4465817.4466617",3.70546051398228,3.57235485449643,3.35908692635626,-0.575748902500613,0.181121246166318
"CM002237.1.4468112.4468912",2.03483171800319,2.33347956529288,2.10058792811818,-1.15822219073995,-0.290536705927075
"CM002238.1.8756.9556",3.80805425994443,4.98136971792159,4.44503971142775,-0.0128411133823219,0.0716967688937897
"CM002238.1.12370.13170",3.33716631427898,3.85653547173697,3.49375980681439,-1.1780453444625,-0.419664048866536
"CM002238.1.28670.29470",2.26596500412162,1.98691977735815,1.5683551993788,-0.645848629967956,-0.0830633860659797
"CM002238.1.31099.31899",2.82289271847251,2.90456525817833,2.75402556769334,-0.897540766053829,-0.122815966582038
"CM002238.1.161104.161904",2.78985021266794,2.62487162416573,2.5101873942343,-0.336734267737974,0.32077582256536
"CM002238.1.163382.164182",2.56801736739804,1.96972388239481,2.00282249206986,-0.416733174897246,0.522562844441961
"CM002238.1.166707.167507",2.70558225724961,2.70903133252623,2.90284649741943,-0.249819292918642,0.272256123312347
"CM002238.1.199869.200669",2.91881936767545,2.66099178815621,2.25787385791053,0.136747271632858,0.316751333627071
"CM002238.1.218938.219738",3.63284808090227,3.81098952147436,3.70550860312659,1.77856188557611,-0.142472529464551
"CM002238.1.221318.222118",3.35787903590519,3.11044493898435,2.91634333309907,0.116564469738044,0.27659507265285
"CM002238.1.223609.224409",2.22289948108557,2.64027510145274,2.38875283674653,0.113881948717388,-0.328726135249396
"CM002238.1.223865.224665",2.66055338380573,3.00134703734139,2.7869359625825,0.623970904416161,-0.575335381485614
"CM002238.1.225208.226008",4.32992183858134,3.94872676992966,4.13899411170797,1.853628796766,0.370037698296196
"CM002238.1.229158.229958",4.25122858234088,3.89071440130477,3.86363758820536,2.86762283101145,0.346192914127707
"CM002238.1.233668.234468",4.19729516574881,4.15559479299204,4.10791610443896,2.82933428681988,0.338558763853567
"CM002238.1.234420.235220",4.02670109123665,3.99109307688248,3.80503709836786,2.3409943516885,0.0457500209558659
"CM002238.1.238077.238877",3.83861569880331,3.63591375636075,3.304230846459,1.46202083303393,-0.463264303778245
"CM002238.1.238907.239707",3.94736465499356,3.84308647770845,3.33616084607749,0.910864812256694,0.0601525685837055
"CM002238.1.243448.244248",4.15354399995649,2.93701032654367,2.99643561332818,0.696637083233509,0.729228098983164
"CM002238.1.247105.247905",4.13402687161221,3.55712208948215,3.41388352838371,1.58736746987805,0.617848806005879
"CM002238.1.251898.252698",2.91997972146429,2.84924315501421,2.33464746137242,-0.318503357880487,-0.169403074236473
"CM002238.1.264122.264922",4.55252039065818,4.79720863804978,4.87509521938487,4.23053191638982,0.546959771247496
"CM002238.1.266239.267039",3.05166573604743,3.88927624900275,3.44449324435943,1.13151133335999,-0.119778755452384
"CM002238.1.268561.269361",4.70686239386697,4.82134011416433,4.26186924662572,2.56271443706689,0.0472809511040648
"CM002238.1.271606.272406",4.80704201832848,5.15081238709504,4.98116062285762,4.63624735948057,0.370445796573382
"CM002238.1.273174.273974",4.70882737032575,4.98763751836079,5.07053383699577,4.94994368930585,0.339253764751223
"CM002238.1.274358.275158",4.72691272840181,5.24266616258037,5.25937813763989,4.52916402651539,0.499494995414651
"CM002238.1.276272.277072",0.469453912331953,0.567328503665069,0.588968391341094,-0.394624417832866,-0.939339256190272
"CM002238.1.278901.279701",3.56709217516523,3.71058393446958,3.68228402285582,0.350846747213524,-0.102891672760722
"CM002238.1.280499.281299",4.53126217887154,4.55945948812709,4.91395621691055,3.30550100796224,0.617261052220902
"CM002238.1.284885.285685",1.85182366133062,2.21905509551506,2.11484121794489,0.540985689432754,-0.542656920250755
"CM002238.1.284989.285789",1.98227214673725,2.38781562616293,2.3701297585892,0.541820306471353,-0.699262830304819
"CM002238.1.290525.291325",3.74627084791705,4.04316766583793,3.82256353811885,3.20880274111193,0.141515195577541
"CM002238.1.291502.292302",2.07112903069353,2.27476311584306,1.78475130796328,1.71817253755582,-0.823679326402384
"CM002238.1.295050.295850",3.68818666857743,4.07507394706383,3.91051381475011,3.31918661697653,-0.215232602959281
"CM002238.1.298261.299061",3.88193185119888,4.24285654146428,4.19830582285917,4.43704942230148,0.551676909488223
"CM002238.1.299435.300235",4.25873299014504,4.50355911379191,4.56160660533218,4.77770723200685,0.697551999299772
"CM002238.1.343283.344083",2.83381195216885,3.40989955373181,3.57382043664431,3.55794166875682,0.553568123519205
"CM002238.1.344337.345137",3.59237316954771,4.29283582080148,4.22569100120857,4.39806632370845,0.584059174465506
"CM002238.1.381726.382526",4.39031166887368,4.57215545272265,4.62058938923717,5.06862580703305,0.950122193222926
"CM002238.1.385739.386539",3.55095815212446,3.59251613812388,3.67905968102447,4.50977066914013,0.691359444149633
"CM002238.1.386520.387320",3.75835998275547,4.07014813895983,4.20052085013444,4.77421657363676,0.441064369934624
"CM002238.1.390036.390836",4.36189155656491,4.54403546768856,4.7724681565476,5.37071110942404,0.543909528496168
"CM002238.1.392753.393553",3.20605242221571,3.35602141449953,3.49911789378789,4.06273060950525,0.452698867389858
"CM002238.1.393903.394703",3.96767321707023,4.43391875456556,4.29081166744476,4.83094061926974,0.653465459669744
"CM002238.1.395810.396610",4.11686167212644,4.35084589359229,4.35311634119159,5.01435991536139,0.428325807853172
"CM002238.1.398676.399476",3.93946950715341,4.62379147353474,4.41900196426797,4.8363140107495,0.190917285003776
"CM002238.1.400670.401470",2.5517540239898,2.6694663594072,3.06537531979403,3.11868739351277,0.357276786562554
"CM002238.1.401680.402480",1.07360769809142,0.739535165396206,1.08343744380286,2.59313674640604,-0.193253103732559
"CM002238.1.426275.427075",2.7498953356049,3.01475131419682,3.27392870945244,3.73451453137693,0.584767033354662
