"","logFC_cac1","logFC_cac2","logFC_cac3","logFC_set7","logFC_ash1"
"CM002236.1.2701.3000",0.542225887376661,0.353265235415419,-3.62482415809711,-4.28333345307379,-0.56610927909853
"CM002236.1.3001.3300",0.808026897067282,0.351804407541591,-2.97847304263661,-2.16312971717418,-0.338667700825315
"CM002236.1.15601.15900",1.01457261276768,-0.100508103334201,-4.01562780928684,-3.89349674603901,-0.705193066744229
"CM002236.1.15901.16200",1.16956831859885,0.619945131891309,-3.14119392467963,-2.96742086358504,-0.782976340796429
"CM002236.1.17101.17400",0.790582632802569,-0.242218700411037,-1.97890223750155,-1.18701713842594,1.25747772812138
"CM002236.1.17401.17700",0.797243060199074,-0.160744322447198,-2.57573007508319,-2.15817102870237,0.72634030910825
"CM002236.1.34501.34800",1.16772939458548,-0.767765239066113,-2.814409923944,-2.10525355192242,-0.10276107717198
"CM002236.1.34801.35100",0.615286280707869,-1.17102017367128,-2.93213111795674,-2.92299673367375,0.125551981475618
"CM002236.1.42601.42900",-0.947947862139538,-0.898690212648503,-4.88435106115781,-2.85199104560596,-0.85360878627154
"CM002236.1.44401.44700",-0.291996074524938,-0.756538345444245,-3.28441877018312,-3.40092675694231,-0.253024625392307
"CM002236.1.44701.45000",-0.728924028141145,-0.671869215676279,-3.60737051731813,-3.15291539337809,-0.291342203911064
"CM002236.1.48001.48300",-0.180406677957959,-0.461143434575925,-2.58015671117928,-1.80929014099889,-0.317770239415304
"CM002236.1.48301.48600",0.258355644648767,-0.110574554125137,-1.03804606518799,-1.10255437810306,0.106338022849388
"CM002236.1.58801.59100",0.257625357532409,0.0579838835526474,-2.4029147168413,-2.25160238047644,0.47973922814741
"CM002236.1.59101.59400",0.58073455466078,0.109239009472945,-2.77467190323033,-2.48963949714279,0.428341138087213
"CM002236.1.90901.91200",0.12339157811347,0.313799221428838,-3.45789340218476,-2.88796180973306,-0.49564074446802
"CM002236.1.91201.91500",0.139791104790276,-0.0744640141918417,-3.70519850341781,-2.76855301644084,-0.262318321508526
"CM002236.1.180901.181200",-1.05960738536032,-0.584458929220442,-1.78908866239905,-0.869222772253706,-0.000461752562150434
"CM002236.1.181201.181500",-1.53654644728905,-1.3321987726286,-1.79186279258656,-2.70014086466766,0.00758883307469227
"CM002236.1.184801.185100",-1.39214275238381,-0.641346756153864,-1.9638989699802,-3.21983482372362,-0.0778839484994092
"CM002236.1.185101.185400",-1.21375244538896,-1.10230681353797,-2.00803495949582,-2.94657520743275,-0.0146490133457916
"CM002236.1.185701.186000",-1.10196202559772,-0.8269011642679,-1.94046032732983,-2.98660863351569,0.293977848260836
"CM002236.1.186001.186300",-1.49286859768159,-1.09809791382676,-2.38846181374478,-2.20914701407978,0.637308776272069
"CM002236.1.189301.189600",-1.85163402766643,-1.35855277139996,-2.88304765058201,-3.6376404381596,-0.505888893936272
