"","logFC_cac1","logFC_cac2","logFC_cac3","logFC_set7"
"CM002236.1.2878.3878",0.605305566541208,0,-3.27683829906998,-2.7030872033455
"CM002236.1.2177.3177",0.675652231586531,0,-3.77977127474792,-4.42497746169539
"CM002236.1.14929.15929",0.820191633826949,0,-4.14935145961625,-3.41496353760926
"CM002236.1.16440.17440",0.901143262559304,0,-2.2773230674771,-1.52980122231467
"CM002236.1.33980.34980",1.11287648803079,-0.660640284828486,-2.5733083055898,-1.94704593937893
"CM002236.1.42632.43632",-0.730181656660388,-0.75977813901455,-4.41120522643689,-3.29249961561404
"CM002236.1.44551.45551",0,-0.564743358431526,-3.58019282448826,-3.21501332173013
"CM002236.1.48154.49154",0,0,-1.91111720362054,-1.17708198961191
"CM002236.1.58145.59145",0,0,-2.64939470956473,-2.11083937186448
"CM002236.1.90323.91323",0,0,-3.57851543207438,-2.94465095709858
"CM002236.1.180222.181222",-1.13283958178479,-0.904370174507231,-1.70698452378621,-1.3236312624624
"CM002236.1.185051.186051",-1.30420159377124,-0.76178467953207,-2.25703640786628,-3.30107105728199
"CM002236.1.185039.186039",-1.30354187274639,-0.759146118205478,-2.25905991621689,-3.31684625215787
"CM002236.1.189595.190595",-1.94395507474755,-1.57696739765841,-3.08009063814758,-3.52880652496467
"CM002236.1.189406.190406",-1.93024986673681,-1.53282362267603,-2.97257950700709,-3.58220640564881
"CM002236.1.194064.195064",-1.45230897255137,-1.35477507864694,-2.20746174993143,-1.79573898040986
"CM002236.1.195335.196335",-2.16610402635236,-2.21934845693457,-3.96248628653959,-3.38802142161252
"CM002236.1.196290.197290",-1.71151377397468,-1.61931293529199,-3.57573462837708,-3.19444688723763
"CM002236.1.197194.198194",-1.17014396906079,-1.100730726231,-4.04588436399646,-3.77147928186954
"CM002236.1.209343.210343",-1.01911915230498,-1.12897835144259,-3.35404571957268,-3.37281989511285
"CM002236.1.209486.210486",-1.08148351538075,-1.15437290437503,-3.31216641582574,-3.36872869551917
"CM002236.1.213619.214619",-1.34924895246183,-1.29159972815878,-1.95112769163081,-3.84673589369243
"CM002236.1.216521.217521",-0.985570880915465,-0.77936538706462,-0.702853245457651,-3.96804933459026
"CM002236.1.220979.221979",-0.932015063968418,-0.708138182472441,0,-3.41198360683325
"CM002236.1.223661.224661",-0.981999154676693,0,0,-2.27668971933052
"CM002236.1.246248.247248",-1.78601016951733,-1.56485724299874,0,-2.89996568780252
"CM002236.1.247478.248478",-1.71097819047512,-1.39989365499761,0,-3.23732629943199
"CM002236.1.251944.252944",-1.02291538222096,-0.845974325878927,0,-1.15100442802836
"CM002236.1.255694.256694",-0.559001381010963,-0.766467257102049,0.821755868735898,-3.00124442773
"CM002236.1.255165.256165",-0.604915083376982,-0.778970260096926,0.674014714822544,-2.44645305092465
"CM002236.1.256492.257492",-0.579854768353544,-0.739877413049766,0.813072709919296,-3.52070563445359
"CM002236.1.263387.264387",0,0,0,-3.96151885896509
"CM002236.1.265388.266388",0,0,0,-2.66114647680665
"CM002236.1.290632.291632",0,0,0,-4.30230177367871
"CM002236.1.292166.293166",0,0,0,-4.44896907293612
"CM002236.1.297770.298770",0,0,0,-4.00937906437446
"CM002236.1.301352.302352",0,0,0,-3.75716737070581
"CM002236.1.8867649.8868649",-2.1977234500368,-1.80645434052178,-0.539289620842958,-1.50509344113935
"CM002236.1.9651509.9652509",0,0,-2.47551720904355,-2.13484214530503
"CM002236.1.9688732.9689732",0,0,-3.47765755317701,-2.58871194674394
"CM002236.1.9690543.9691543",0,0,-3.69428742514356,-3.05695405203583
"CM002236.1.9688977.9689977",0,0,-3.71081911577003,-2.75402540567802
"CM002236.1.9693340.9694340",0,0,-2.45958135753201,-1.489554231711
"CM002236.1.9693631.9694631",0,0,-2.15311198220386,-0.977926692416582
"CM002236.1.9758596.9759596",0,0,-4.19764688790842,-3.60414622248315
"CM002236.1.9772169.9773169",0,0,-4.37028023794243,-3.88486567431966
"CM002237.1.11029.12029",0,0,-5.76906011612397,-4.78732246766113
"CM002237.1.10641.11641",0,0,-5.55588515023802,-4.70871577195401
"CM002237.1.13311.14311",1.2765850514552,0,-3.86857638591807,-2.97975609729696
"CM002237.1.18173.19173",0,0,-4.23028672749233,-3.39744807664064
"CM002237.1.18041.19041",0,0,-4.25448792193344,-3.36633769322669
