"","logFC_cac1","logFC_cac2","logFC_cac3","logFC_set7"
"CM002236.1.1150.3878",0.647179496997531,0.307701504599814,-3.6750782988679,-3.98826092060624
"CM002236.1.2177.6443",0.518277736064651,0.223408986507206,-4.0668454039241,-3.24040815717966
"CM002236.1.14929.16647",0.891680597901204,0.135254968342179,-3.48121729287444,-3.24883224091604
"CM002236.1.16440.19615",0.427083392305531,-0.420731271927266,-3.0393476751451,-2.50176309329893
"CM002236.1.33980.39245",-0.0356452019270712,-0.555805693424164,-3.79959503885109,-3.38853132267205
"CM002236.1.40949.43632",-1.04280431747457,-0.957884532441069,-4.30844659074203,-3.98426076177338
"CM002236.1.43708.45551",-0.552521166896747,-0.446199002591481,-3.85434263800517,-3.26349375054419
"CM002236.1.45331.49154",-0.261268270395944,-0.441579722851638,-3.3579498393231,-2.47756828851047
"CM002236.1.58145.61150",0.18677913634515,-0.126552452228068,-2.81273231587054,-1.93797314632795
"CM002236.1.90323.92593",-0.225955802192526,-0.270806653577312,-3.87970980089187,-3.02768571599485
"CM002236.1.180222.181975",-1.35749254435161,-1.46018337844821,-1.93197666028953,-1.93424844644786
"CM002236.1.182427.186051",-1.72587635778944,-1.04478656512883,-2.35290007536772,-2.99910276129087
"CM002236.1.185039.188208",-1.98828562335668,-1.29780955666676,-2.80208819639109,-3.34611798597823
"CM002236.1.188530.190595",-2.33377863595137,-1.74351389335913,-3.35748258192163,-3.67249328754125
"CM002236.1.189406.191138",-2.27884177657537,-1.82850717617072,-3.44688928482266,-3.4682879183653
"CM002236.1.193143.195064",-1.54724442046585,-1.45384617550885,-2.36381652641026,-2.31493045294874
"CM002236.1.195020.196335",-2.33335397863587,-2.21440066316399,-3.71544204641686,-3.39370774408296
"CM002236.1.195780.197290",-2.13975273151967,-2.08652340120517,-3.67699683616165,-3.4925457621925
"CM002236.1.197194.198497",-1.50716741023001,-1.33505546766887,-3.98591519197786,-3.54173982829869
"CM002236.1.208394.210343",-1.15449668121388,-1.07239944970505,-3.38104810383882,-3.31674945100021
"CM002236.1.209486.212487",-1.69995406318763,-1.43763555331223,-3.50656616339545,-3.93480848158501
"CM002236.1.213619.215734",-1.53872913003143,-1.03018746790834,-1.84464184692462,-3.94899783099324
"CM002236.1.216104.217521",-1.28741695784531,-0.850117104199866,-1.19973204498796,-4.05895422999902
"CM002236.1.219395.221979",-1.13807844542208,-0.788982559795245,-0.644217041797294,-3.41599511603241
"CM002236.1.223661.224874",-0.987794686165075,-0.367854670015101,0.235626410672004,-2.39298628189724
"CM002236.1.243323.247248",-1.75659815760455,-1.48890176799342,-0.261030013209581,-2.87363729741058
"CM002236.1.246886.248478",-1.99230397408975,-1.74112532739501,-0.298990374130078,-3.546168046223
"CM002236.1.249096.252944",-1.46320191972847,-1.26440932364558,0.0219803754143593,-2.29323101996408
"CM002236.1.254974.256694",-0.945514700490634,-0.739666421268939,0.332664319373388,-3.12792904245931
"CM002236.1.255165.256694",-0.940511687488661,-0.734348713591471,0.376250278020849,-3.26369550873395
"CM002236.1.256492.259361",-0.805184133871838,-0.53893345774715,0.239987469032974,-4.01984060479215
"CM002236.1.262019.264387",-0.785058689544696,-0.493737247685378,-0.435850970978869,-4.04036055194195
"CM002236.1.264035.266388",-0.363691074385499,-0.32788449244665,-0.338811143915884,-3.32021583160733
"CM002236.1.290632.292877",-0.363181057770434,-0.16444510427558,-0.360437296070423,-4.32589757041332
"CM002236.1.292166.294573",-0.563354997103958,-0.270010632900396,-0.0802408373787473,-4.220675168363
"CM002236.1.296498.298770",-0.776502089729163,-0.552587747142716,-0.341962729248132,-4.14985966953278
"CM002236.1.301352.303729",-0.830823908712825,-0.60530921933849,0.0846908095047082,-3.46137651603979
"CM002236.1.8866489.8868649",-2.31060105722477,-2.24863566017161,-0.656561387040575,-0.938829566765148
"CM002236.1.9649954.9652509",0.562806803431544,0.558515133735019,-2.08369356767371,-1.59950710617803
"CM002236.1.9687687.9689732",0.582697821041365,0.34801107928196,-3.55596083875202,-2.41682361382334
"CM002236.1.9689584.9691543",0.0370848430921123,-0.0671631507149585,-3.40189133943478,-2.79170737334673
"CM002236.1.9688977.9690773",0.201105587964708,0.0737224021272415,-3.59153703526329,-2.81220473274278
"CM002236.1.9692169.9694340",0.246879981167403,0.0975782585497744,-3.15711670114362,-2.23421840285137
"CM002236.1.9693631.9697675",0.53832706927954,0.468519826224778,-2.80971035144811,-2.06783950608461
"CM002236.1.9758596.9762612",0.588932971225504,0.499186663613462,-3.4264327958804,-2.98432486519716
"CM002236.1.9770840.9773169",0.577862356685265,0.193835534708401,-4.33136268823216,-3.60566734532063
"CM002237.1.8926.12029",-0.035525124950409,0.0118875822740171,-4.72268544556366,-4.6025433866243
"CM002237.1.10641.12594",-0.101359635428564,-0.119035069405397,-5.18288084155244,-4.8917040541589
"CM002237.1.12520.14311",0.541133656417957,0.320357647583975,-4.10073733066527,-3.46518355135498
"CM002237.1.15942.19173",0.351761205582527,0.136826457115636,-4.4566272305393,-3.86713031095714
"CM002237.1.18041.19908",0.228553474366244,-0.0374948095996777,-4.40273535885401,-3.66131049417702
"CM002237.1.34370.36627",0.048894415210757,0.0962178370279282,-3.92906289538333,-3.45876102763092
"CM002237.1.36176.39253",0.492369710605303,0.386326839678261,-2.86487744146665,-2.36964886280808
"CM002237.1.40798.42401",0.65118861134613,0.353683026081006,-2.57388988480155,-1.9144026401625
"CM002237.1.50942.53778",-0.0852398425377768,-0.0258588167930341,-3.47023415971676,-2.67891990229887
"CM002237.1.55203.56983",0.03477401840065,0.237564937369667,-3.46428426827721,-2.47301096435903
"CM002237.1.69444.71887",-0.29255255664076,0.0884668706234795,-3.53226352347064,-2.15732692755887
"CM002237.1.73201.75342",0.110553426550522,0.222097623341067,-3.63362004595213,-2.81665730294473
"CM002237.1.74558.76400",0.239224353639016,0.236304531675016,-3.49997475547377,-2.44485924163879
"CM002237.1.75424.78257",0.410667310279357,0.459819462656138,-3.04616861472046,-1.98136620271777
"CM002237.1.106019.108114",-0.0846501609007919,0.275813825134464,-3.68121100952629,-2.81383810182752
"CM002237.1.147606.149334",-0.277266110041364,-0.280599152494139,-3.29858316263322,-2.53879600965017
"CM002237.1.561860.563629",-1.56541323382606,-1.97254130537603,1.82318983921336,-2.09407195180665
"CM002237.1.563402.565440",-1.63037368762272,-2.06442934237769,1.87754350705776,-2.46273563580813
"CM002237.1.565861.568505",-1.70066247286971,-1.86948737169876,1.89834610605186,-2.20439706059734
"CM002237.1.568989.571312",-1.47678842993214,-1.69155259952247,1.87631138914726,-2.18276224349863
"CM002237.1.584152.586019",-1.18678325269443,-1.26396346099653,2.46229394758075,-1.02743641383239
"CM002237.1.1677866.1679593",-2.22375656734147,-1.18394268775578,-0.390652420770673,-3.13313543255213
"CM002237.1.1679516.1682564",-2.99805285346388,-1.771713939368,0.363470506701005,-2.62928538418184
"CM002237.1.1683361.1685546",-3.30968429309156,-2.68715600543501,-0.368413114790113,-2.58975644693377
"CM002237.1.1684913.1686735",-2.94144357564557,-2.79442727120986,-0.136303631213244,-2.46016725580946
"CM002237.1.4044659.4047143",-0.144374436801868,-0.753634349252096,0.558187482021004,-1.52879274072187
"CM002237.1.4164713.4166274",0.149550852388081,0.340895584853628,1.78254502501096,-1.43116745303152
"CM002237.1.4297462.4299228",-1.35214468643416,-1.29527205064629,-1.9899113106043,-1.49505728690547
"CM002237.1.4447139.4449862",0.0526153489231661,-0.0787428279075106,-4.1718929141777,-3.3982227329163
"CM002237.1.4451074.4453364",-0.112211713311012,0.0387019587176375,-4.13999858689815,-3.2081454503226
"CM002237.1.4465317.4468439",-0.1829362526646,-0.0786610829934309,-4.04356105968638,-3.26869245290288
"CM002237.1.4467612.4470618",0.532335040070341,0.38144662051002,-4.17542554252718,-3.75058271600507
"CM002238.1.8256.12729",0.494795116832674,0.405072544898373,-4.3829017214363,-3.76100004715413
"CM002238.1.11870.14169",0.188466641584383,0.147117346861475,-4.71227937806834,-3.78265213420463
"CM002238.1.28170.30638",-0.232036442372629,-0.508435813418918,-3.58038408349823,-2.72248733314005
"CM002238.1.30599.31686",0.0202799088952458,-0.0044640469248008,-3.66386701892068,-2.74251167836389
"CM002238.1.159464.162404",-0.19201876025468,-0.364370059337088,-2.95757926062727,-2.28082419187762
"CM002238.1.162882.164706",-0.463556439286072,-0.420145486602213,-2.98779871164288,-2.24996156916428
"CM002238.1.165972.168007",-0.0459211364120065,0.121337728989556,-2.39203272221811,-2.35478347075325
"CM002238.1.199774.201169",-0.421854466250853,-0.547404895977829,-2.69921854293958,-2.59572012704079
"CM002238.1.218438.219552",0.0558618109554861,0.0901493062915128,-1.57772419545829,-3.49652805686635
"CM002238.1.219918.222618",-0.303999977594154,-0.332613729449711,-2.61206586119862,-3.46758192859821
"CM002238.1.223109.224199",0.167373954613954,0.161886310215194,-2.35857273707165,-2.51053473506747
"CM002238.1.223365.225339",-0.0772312616095753,-0.0966653649675604,-2.35013122975612,-3.59442933274091
"CM002238.1.224708.227571",-0.440633578130744,-0.299998704422603,-2.45814739083788,-4.28501686709652
"CM002238.1.228015.230458",-0.405771843184178,-0.191887910142382,-1.76820252234435,-3.90158098939303
"CM002238.1.230216.234968",-0.309132558306308,-0.0604034258616377,-1.71956639047062,-3.92313216332889
"CM002238.1.233920.236971",-0.0427768006236034,-0.00596626617819591,-1.4421037583899,-4.18864788744641
"CM002238.1.237023.239377",-0.0159746099480029,-0.255404596758718,-2.00357481243298,-3.88274205171539
"CM002238.1.238407.241233",-0.409169907457071,-0.466215124801037,-3.27334323040889,-4.12394057636772
"CM002238.1.241500.244748",-1.03115363184554,-0.701160651098427,-3.42053081215725,-4.0400244201588
"CM002238.1.245252.248405",-0.807600089262479,-0.527445380641191,-2.98534176208004,-3.96162285065888
"CM002238.1.250618.253198",-0.223869867515863,-0.40087645316843,-3.21622167220648,-3.21133494929522
"CM002238.1.263454.265422",0.141458145863492,0.198273780277732,-0.859093055617733,-4.0769038538617
"CM002238.1.265739.267175",0.565257496960201,0.109166684351327,-1.68712541630239,-3.62036193923603
"CM002238.1.268061.271142",0.37878837844033,-0.00689286513385996,-1.90467836571969,-3.75294578072314
"CM002238.1.271106.273360",0.150222383087672,0.162525207375866,-0.348726671974769,-4.47177000904103
"CM002238.1.272674.274366",0.113415388803521,0.157135187213278,-0.300318939568856,-4.61204457903685
"CM002238.1.273858.275686",0.426527440117355,0.382647656469343,-0.420303607645327,-4.05887014015216
"CM002238.1.275772.277640",0.542416152474086,0.329608246501062,-0.911892871698096,-1.92382735685957
"CM002238.1.277683.280201",0.178289779126291,0.0999133666293249,-2.66737699752975,-3.6132317234217
"CM002238.1.279999.282805",0.0338647877441941,0.338637798772785,-1.33115476496232,-3.96500390386208
"CM002238.1.282888.286185",0.120660607973539,0.313950983911927,-1.79124716057144,-3.57331916592393
"CM002238.1.284489.287797",0.0869442898238045,0.248479278416038,-1.28161836569719,-3.84518721845307
"CM002238.1.287850.291825",-0.0495527393796266,0.147140875548534,-0.603911828526637,-3.72589677955137
"CM002238.1.291002.295031",0.292731988169671,0.184202364331812,-0.428337147189301,-3.72169267354437
"CM002238.1.295247.296350",0.222433262208491,0.192079945428071,-0.536701436462151,-3.661059885998
"CM002238.1.296326.299561",0.10998739255984,0.213119025439454,0.0496534898566379,-3.71098262689
"CM002238.1.298935.301267",0.172394170655887,0.370727712522705,0.259657813615603,-3.73741526464887
"CM002238.1.341948.344583",0.38778704507674,0.586022511724231,0.19509542936644,-2.73198745931374
"CM002238.1.343837.345608",0.433001708932567,0.611120066660548,0.222392367548042,-2.70835098314743
"CM002238.1.381226.382889",0.00557665262792687,0.385361644423834,0.32672095513714,-3.71579455650709
"CM002238.1.384221.387039",-0.264912977433337,0.0997793215463566,0.335296396000777,-3.37320128992444
"CM002238.1.386020.387656",-0.00884735598251179,0.312552546962869,0.572423997865085,-3.36162370098618
"CM002238.1.388932.391336",0.0755026337757217,0.401823203986412,0.537253015785654,-3.93954556039351
"CM002238.1.391093.394053",0.0359519156476205,0.282261384786642,0.361032978519359,-3.47405012101825
"CM002238.1.393403.394979",0.268880478854071,0.356609404941765,0.618705305564482,-3.5987866723199
"CM002238.1.395310.397505",0.176642159518555,0.315953109989943,0.615574559493816,-3.61391648133249
"CM002238.1.398176.399894",0.264075521265717,0.326198144220798,0.409694705491203,-3.64082444195928
"CM002238.1.400170.401661",0.350036608160574,0.50679692352554,0.428219858366925,-2.84202308001343
"CM002238.1.401180.403426",0.129064020599863,0.229515266519688,0.826351575405813,-1.95142285611414
"CM002238.1.425597.427575",0.0930764494517559,0.315557336760175,0.416605316187379,-2.47101260075002
"CM002238.1.427249.429547",-0.139900367001806,0.202760538659497,0.601765591571946,-3.08761765575601
"CM002238.1.429336.431124",0.136541219107689,0.211048848561487,0.841784422830116,-2.72941858739586
"CM002238.1.448519.450458",-0.183032893342382,0.245043670566139,0.755057073760109,-3.31284240481663
"CM002238.1.449716.453595",-0.14348806953345,0.385605188348531,0.852988472431086,-3.06883754356841
"CM002238.1.453711.455278",0.153580357224829,0.505243324931221,1.09640019790924,-2.85958819066778
"CM002238.1.454998.456457",0.110700808156935,0.577120187141289,1.14653010216883,-2.5409365968139
"CM002238.1.456204.457978",0.0937463064361534,0.535863799330939,1.19031996477702,-2.38432425557924
"CM002238.1.458930.460470",0.0164768415917221,0.676101903485584,1.01640026384759,-2.56451816679581
"CM002238.1.554278.557222",0.918649576695167,0.965455493176093,1.91186579393858,-1.53237931036172
"CM002238.1.4573917.4576576",0.0549183810807174,0.103533803026999,-0.584210348651226,-3.14520934391891
"CM002238.1.4605354.4606862",0.9155237532544,0.638928302944274,0.521820043686439,-1.57948307159523
"CM002238.1.4626604.4627922",-0.316461994862704,-0.165108211687179,-0.0243648855000474,-2.88332419210631
"CM002238.1.4630534.4633728",-0.377277319448292,-0.425121274654168,-0.385407717593151,-3.39031020506355
"CM002238.1.4634181.4637013",-0.548760956054449,-0.365043680674697,-0.867706377846384,-3.52041932583319
"CM002238.1.4638294.4640296",-0.613449791211201,-0.75158763250557,-1.20200796773787,-3.40942533791591
"CM002238.1.4639145.4641315",-0.79527220198154,-0.74110194789699,-1.11177053025272,-3.80621359824487
"CM002238.1.4644660.4646491",-0.88582717367639,-0.596935803542457,-0.826619853302271,-3.42867489654279
"CM002238.1.4646676.4648252",-0.476064136081909,-0.3026465929828,-0.400512522481048,-3.87451380536287
"CM002238.1.4648489.4650239",-0.478825776655327,-0.136989867290403,-0.130535021031784,-3.94571217418095
"CM002238.1.4649975.4653197",-0.493943985010368,-0.0810911626960684,-0.0530616529777084,-4.00909417447792
"CM002238.1.4652961.4655746",-0.356769235312386,-0.127585326758418,-0.0797661588689135,-3.82590398683347
"CM002238.1.4655559.4657093",-0.462127702855575,-0.351174828244135,-0.392928176973326,-3.76238737844932
"CM002238.1.4657090.4659449",-0.500700213278097,-0.291043493947693,-0.854112112021628,-3.83097146119345
"CM002238.1.4672730.4674312",-0.330097566193391,-0.0409377388634701,-1.98890420594861,-3.72077961056995
"CM002238.1.4675408.4677370",-0.358404102701833,-0.0081397347576101,-0.320627629882617,-3.83367473779744
"CM002238.1.4676767.4678879",-0.2209365743387,-0.00562960834483127,-0.243197475748291,-3.97648801384919
"CM002238.1.4679232.4682796",-0.154769280710546,0.119919817759987,-0.264664077042489,-3.75606347302177
"CM002238.1.4683041.4685305",0.239908125046019,0.114510015738285,-0.718947499510543,-3.47411608128907
"CM002238.1.4723182.4724256",0.391211697567712,0.0705289720239281,-1.22624835055496,-2.57625379446346
"CM002238.1.4725646.4727429",-0.239851972784704,-0.219750451885424,-2.06503530199167,-3.48471579352247
"CM002238.1.4725808.4727471",-0.247658951251774,-0.277205325398168,-2.09009269826378,-3.51936184302567
"CM002238.1.4731541.4733660",-0.623264923563129,-0.29921665729051,-1.22019949567203,-3.78609092103732
"CM002238.1.4734925.4738698",-0.596124197094499,-0.328783702852415,-1.41065615092952,-4.12690036118808
"CM002238.1.4740151.4743400",-0.573023869397608,-0.34836612749192,-1.48007101521631,-4.29396036500824
"CM002238.1.4742261.4743806",-0.435807938588282,-0.296325267312542,-1.4693311365179,-4.57007266727574
"CM002238.1.4744492.4746995",-0.396601801761335,-0.210671826116366,-1.48462909084196,-4.69820455073475
"CM002238.1.4748855.4750347",-0.51097651601164,-0.579139245527508,-2.06079910756505,-4.03904283275615
"CM002238.1.4751018.4752486",-0.439476351715247,-0.470589430847424,-1.29851401048375,-4.41771468932253
