"","logFC_WT","logFC_cac1","logFC_cac2","logFC_cac3","logFC_set7"
"CM002236.1.1150.2878",4.5132064161267,5.17949402846423,4.82342681807828,0.77064673746503,-0.0071715236306532
"CM002236.1.3177.6443",2.50028793427795,3.03198295677587,2.86756325473567,-1.17828950241682,-0.0695509825343041
"CM002236.1.15929.16647",2.52938259819357,3.70850898709339,2.45093783565749,-0.383757140542665,-0.402037738134647
"CM002236.1.17440.19615",2.58975396124727,2.74370834046613,2.00917775957989,-0.773734345678875,-0.0346010970379942
"CM002236.1.34980.39245",3.6040355732639,3.39841255450917,3.0554649235475,-0.360036721661162,0.0682394255157241
"CM002236.1.40949.42632",4.07573534139063,2.86352682396712,2.82345872144491,-0.619755890466849,-0.133532076121271
"CM002236.1.43708.44551",3.91517352486038,3.4248430379957,3.53293112754766,-0.14477833269692,0.368100219175048
"CM002236.1.45331.48154",2.80435472958972,2.41233679787897,2.36623707176341,-0.805800189023173,0.098327699497297
"CM002236.1.59145.61150",2.34169360353513,2.57985658458897,2.07411269708895,-0.709182314810214,0.237554493868163
"CM002236.1.91323.92593",3.73648985205454,3.278506444467,3.43122619060519,-0.405873368037079,0.455162158541401
"CM002236.1.181222.181975",2.66726691888609,1.30424852855818,1.03755699619379,0.770880716387092,0.077969638899127
"CM002236.1.182427.185051",3.37771333462702,1.562566117973,2.28991541482361,1.03086377054762,0.368082669725251
"CM002236.1.186039.188208",3.55369309494732,1.31988021198405,2.03268902521355,0.584584917797609,0.23545920867552
"CM002236.1.188530.189595",4.33304177322217,1.93588254020553,2.58787738351957,1.13424983361958,0.452965867800771
"CM002236.1.190406.191138",4.18965895085856,1.9432652872482,2.22589878626995,0.43775290288302,0.629739299830877
"CM002236.1.193143.194064",2.91979205189387,1.439247566895,1.36480664181428,0.410324990409354,0.402267512988847
"CM002236.1.195020.195335",3.58478333439638,1.75645753603935,1.54395799004694,0.262783931569029,0.610918578124396
"CM002236.1.195780.196290",4.34685033937734,1.91018349329829,1.82854669437544,0.243357735837262,0.448263666168475
"CM002236.1.198194.198497",4.31741151424401,3.09154069672286,2.90791161808412,-0.0128171701176532,0.152297915643996
"CM002236.1.208394.209343",3.70896067989164,2.72898374331745,2.62581202439306,0.283272901764049,0.413812236847346
"CM002236.1.210486.212487",4.30708050740874,2.4390403738297,2.72976270449496,0.732134631905117,0.151906996121935
"CM002236.1.214619.215734",4.24784549077875,2.78149941085141,3.28255739280749,2.5835363426183,0.22489205208151
