"","logFC_WT","logFC_cac1","logFC_cac2","logFC_cac3","logFC_set7"
"CM002236.1.2578.3378",3.25416263524054,3.85836704988129,3.26068818707545,-0.928164586381779,0
"CM002236.1.2677.3477",3.07665584999334,3.64062195681705,3.0456968588369,-1.18272625986713,0
"CM002236.1.15429.16229",3.18114454297395,4.10372907954913,3.16281404844536,0,0
"CM002236.1.16940.17740",1.57174846231629,2.18592395536005,1.06931606234168,-0.752876258373633,0
"CM002236.1.34480.35280",2.312912203064,3.13398341910512,1.41287096415056,-0.99014825747235,0
"CM002236.1.42332.43132",3.92601893771069,3.22526670296958,3.20561849519758,0,0
"CM002236.1.44251.45051",3.36021078946842,2.93264855097799,2.94187041594994,0,0
"CM002236.1.47854.48654",1.20800037446147,1.1609888968226,0.879291885253533,-1.00823852466296,0
"CM002236.1.58645.59445",2.86111104581751,2.83477558578918,2.53239526330804,0,0
"CM002236.1.90823.91623",3.66225623493087,3.4748213273619,3.29033772045231,0,0
"CM002236.1.180722.181522",2.31499405544301,0.923364232030983,0.727530372066548,0,0
"CM002236.1.184751.185551",3.78507089697111,2.13525454607253,2.77379688388356,1.34881421912644,0
"CM002236.1.185539.186339",3.23435359999425,1.6573552993032,2.01762347644824,0.653117811110812,0
"CM002236.1.189295.190095",4.1785418798062,1.82207020295899,2.32330209933425,0.931422574701675,0
"CM002236.1.189906.190706",3.97089377342059,1.85122725474612,2.13815744650146,0,0
"CM002236.1.193764.194564",2.42204151686896,0.994990645241816,0.983762551974284,0,0
"CM002236.1.195035.195835",3.69134806424844,1.48268559699907,1.56685676218602,0,0
"CM002236.1.195990.196790",3.94718618507146,1.62666391646679,1.59740204248987,0,0
"CM002236.1.197694.198494",4.31954991383057,2.86619334590244,2.93407839155148,0,0
"CM002236.1.209043.209843",3.87898121002093,2.66331526333712,2.6638946054194,0,0
"CM002236.1.209986.210786",3.90323209646969,2.10693665768107,2.52318933740716,0,0
"CM002236.1.214119.214919",4.13845462750969,2.59515782597192,3.12910507950515,2.19996188185743,0
"CM002236.1.216221.217021",4.42931100457994,3.06746947248322,3.50818567161644,3.33192555610402,0
"CM002236.1.220679.221479",3.79180411870929,2.69514323919395,2.96431326189293,3.09182196515814,0
"CM002236.1.224161.224961",2.34543902817885,1.50025414428731,2.03270964524999,2.59307336221141,0
"CM002236.1.245948.246748",3.41747303608298,1.36509688749779,1.82237760501862,2.99117884951121,0
"CM002236.1.247178.247978",3.95885623149757,2.04651445297372,1.99036939179332,3.74684932121708,0
"CM002236.1.251644.252444",2.03549567398631,1.11502710128739,0.982625843295071,2.06615037427251,0
