"","logFC_cac1","logFC_cac2","logFC_cac3","logFC_set7"
"CM002236.1.2701.3000",0.367537735805009,0.328103870044693,-3.89511726282286,-4.01517127979237
"CM002236.1.3001.3300",0.933654358193868,0.646013025316404,-1.81298530763201,-0.633906008865167
"CM002236.1.15601.15900",0.693278587982254,-0.406568017053577,-4.73338952355622,-4.2661060978428
"CM002236.1.15901.16200",0.989463136780056,0.139460049161184,-2.63718338870944,-2.65566700748137
"CM002236.1.17401.17700",0.242275856518163,-0.349893597595829,-2.76150919071229,-2.66553960704981
"CM002236.1.34501.34800",1.00628662201396,-0.418322954579081,-3.91727570220415,-2.09870868918897
"CM002236.1.34801.35100",0.546856225964176,-0.929279175448228,-2.57247119176419,-2.99379048947241
"CM002236.1.42601.42900",-0.831049581058437,-0.662884147119964,-3.7952649791187,-3.49668167823065
"CM002236.1.44401.44700",-0.297495357718238,-0.334904106464583,-3.76501490903277,-3.15636163933626
"CM002236.1.44701.45000",-0.761117809466608,-0.349788237272132,-3.4191026587278,-3.13817247736103
"CM002236.1.48001.48300",-0.194431652361177,0.132946126764969,-1.59661234073995,-1.40576255175756
"CM002236.1.48301.48600",0.259093923805722,-0.176600489833122,-1.73854803094589,-0.541317881301932
"CM002236.1.58801.59100",-0.0263258247420657,0.000982435942213821,-2.75320330451149,-2.28203316744529
"CM002236.1.59101.59400",0.105627483699884,-0.415745863598374,-3.73326163207374,-3.02859565940558
"CM002236.1.90901.91200",-0.26701712951362,0.0997106221365451,-3.70260886722932,-2.96914762874971
"CM002236.1.91201.91500",-0.406267567887629,-0.270055163394657,-4.38743661612994,-3.2679092954281
"CM002236.1.180901.181200",-1.47198618958521,-1.25596833283524,-1.65046521515298,-1.63329699173864
"CM002236.1.181201.181500",-1.25781262208656,-1.69457516904254,-1.95856915683163,-2.64882333493722
"CM002236.1.184801.185100",-1.85165206808008,-0.648846812466372,-2.46709204105806,-3.14982044920319
"CM002236.1.185101.185400",-1.69439714544494,-1.07016991318737,-2.63922022584237,-3.23541681454105
"CM002236.1.185701.186000",-0.966446526273216,-0.223648960878722,-1.51037268432198,-2.7565281382084
"CM002236.1.186001.186300",-1.52461911780465,-1.00507084332391,-1.85449639442862,-2.2275561244184
"CM002236.1.189301.189600",-2.21136027711094,-1.6247502977596,-3.35291343946151,-3.63930650531836
"CM002236.1.189601.189900",-2.56491153491329,-1.57558234686638,-2.91618197786139,-3.17617742999574
"CM002236.1.190201.190500",-2.36933666540192,-1.62539123171422,-3.44771574828564,-3.2378982785342
"CM002236.1.193801.194100",-1.15380964800708,-1.38567669685875,-2.52128174559159,-2.20972649616903
"CM002236.1.194101.194400",-1.41187896063105,-1.10341372187364,-1.84580349445693,-1.38677771176113
"CM002236.1.195301.195600",-2.32716326063925,-1.93322740965313,-3.38980371916492,-3.06302797482311
"CM002236.1.196201.196500",-2.54989391238814,-2.20077706189498,-4.03115620939219,-3.44195706022345
"CM002236.1.197701.198000",-1.57696581272622,-1.51093241517868,-4.51105593026839,-3.70731916119759
"CM002236.1.198001.198300",-1.59889015030804,-1.42632667818976,-4.5370971400927,-4.14447520504951
"CM002236.1.209101.209400",-1.43431889102098,-1.22599985455073,-4.18154986262811,-3.67032615237406
"CM002236.1.209401.209700",-1.19807960114271,-1.22496928538788,-4.05026762661406,-3.79381083479121
"CM002236.1.210001.210300",-1.35580216425737,-0.92582643461846,-2.66595018409223,-3.20398926096402
"CM002236.1.210301.210600",-1.75033099347586,-1.20204960894062,-3.27519872577467,-3.70865031313356
"CM002236.1.214201.214500",-1.85776779753048,-1.3722664433643,-2.25283490893799,-3.75101066403736
"CM002236.1.214501.214800",-1.52317045270989,-0.83623736318893,-1.76914976788049,-4.27017944666208
"CM002236.1.216301.216600",-1.48543032977703,-0.660598040110666,-0.987440598676424,-3.47968376671822
"CM002236.1.216601.216900",-1.4404708694366,-1.20138993229908,-1.54942743750066,-4.40770605843793
"CM002236.1.220801.221100",-1.08508251086978,-0.498007230713786,-0.68471249619312,-2.72408064208293
"CM002236.1.221101.221400",-0.968497261757445,-0.41850216339491,-0.636338802545325,-3.50135450797416
"CM002236.1.224401.224700",-1.24923734348656,-0.560311604103367,-0.120542641543123,-2.2644618677572
"CM002236.1.246001.246300",-1.99163481304293,-1.39452683887284,-0.226770810514848,-2.93022004247381
"CM002236.1.246301.246600",-1.97488110661562,-1.32334745847983,-0.532884038187554,-3.57919710511713
"CM002236.1.247201.247500",-2.04756086901971,-1.85284155865841,-0.0147015422683095,-3.65888771084553
"CM002236.1.247501.247800",-1.86797859755667,-1.78712910726576,-0.350773735567769,-3.15870985949774
"CM002236.1.251701.252000",-1.15042330542858,-1.14772342872281,-0.224540620441115,-1.94937857192551
"CM002236.1.252001.252300",-0.874548652442703,-1.05355372810425,0.127713763620911,-1.09096131402457
"CM002236.1.255601.255900",-1.13493792630604,-0.483368656487056,0.181924953994295,-2.81583923417264
"CM002236.1.255901.256200",-1.05490994001619,-0.78173536489475,0.215473085760971,-2.89355548959516
"CM002236.1.257101.257400",-1.04769559912948,-0.904850335897014,-0.253980664223889,-3.8826242338149
"CM002236.1.257401.257700",-0.845367578888218,-0.752350087577843,0.0240596760243727,-4.04713784076144
"CM002236.1.263101.263400",-1.18625914826038,-0.581141835708925,-0.129879643346228,-4.18703960244341
"CM002236.1.263401.263700",-0.982877258382872,-0.218731090422498,-0.625073343094884,-3.8380903269853
