"","logFC_cac1","logFC_cac2","logFC_cac3","logFC_set7"
"CM002236.1.2878.3878",0.79186760528089,0,-3.38336064275825,-2.05018588896923
"CM002236.1.2177.3177",0,0,-4.3845232392921,-3.99047020852198
"CM002236.1.14929.15929",0.724878151851333,0,-3.88796911281775,-3.41346751918292
"CM002236.1.16440.17440",1.02875963760493,0,-2.2568806567972,-1.84178970597131
"CM002236.1.33980.34980",0.915929977193717,-0.692801200832172,-2.93972378793196,-2.33200305608716
"CM002236.1.42632.43632",0,0,-3.58139844236972,-3.73006430565999
"CM002236.1.44551.45551",0,0,-3.77477198086696,-3.16902758186778
"CM002236.1.48154.49154",0,0,-2.05871138326857,-1.2416404428177
"CM002236.1.58145.59145",0,0,-2.93023366174041,-2.23071591789302
"CM002236.1.90323.91323",0,0,-3.69835030102162,-3.00328617933309
"CM002236.1.180222.181222",-1.1703697489048,-1.33833012322849,-1.76275287903918,-1.72757494189916
"CM002236.1.185051.186051",-1.57520275479468,-1.00626583276169,-2.55012139137831,-3.45018824035675
"CM002236.1.185039.186039",-1.5748698909323,-0.993503839253632,-2.55109260009021,-3.49132757214589
"CM002236.1.189595.190595",-2.06402804590185,-1.72881572914151,-3.53117420809901,-3.67325661850865
"CM002236.1.189406.190406",-2.09767427902683,-1.79760511077131,-3.44705720369631,-3.74029248944209
"CM002236.1.194064.195064",-1.3860359521763,-1.31584358175264,-2.34800148051768,-2.24334530343765
"CM002236.1.195335.196335",-2.20005957467339,-2.15883639299603,-3.7514087828375,-3.82700846601101
"CM002236.1.196290.197290",-1.76992368387194,-1.71474995733253,-3.62532015930732,-3.38546772592951
"CM002236.1.197194.198194",-1.29533013171341,-1.15675581676631,-3.89641286690825,-3.58117428371562
"CM002236.1.209343.210343",-1.17410358824141,-1.27569851314882,-3.68088501603181,-3.79139058866607
"CM002236.1.209486.210486",-1.2509045114207,-1.34713394177722,-3.75314642039119,-3.87177622645804
"CM002236.1.213619.214619",-1.47342801448805,-1.14429324567587,-2.16211293260331,-4.26340457039246
"CM002236.1.216521.217521",-1.19906443536329,-0.847502681580045,-1.18259176972681,-4.31435976148895
"CM002236.1.220979.221979",-1.15432340169403,-0.781082880406298,0,-3.54357775075509
"CM002236.1.223661.224661",-0.999877420390989,0,0,-2.64926558704856
"CM002236.1.246248.247248",-1.803384996161,-1.5711942663084,0,-3.5178695063308
"CM002236.1.247478.248478",-2.02379962658115,-1.66248797072263,0,-3.79192174376077
"CM002236.1.251944.252944",-0.903436713938147,-0.744425771118183,0,-1.63508959384741
"CM002236.1.255694.256694",-0.91341639427187,-0.812200748329555,0,-3.70327868799512
"CM002236.1.255165.256165",-0.828183457420235,-0.70277356274476,0,-2.95708403909504
"CM002236.1.256492.257492",-0.868476991798936,-0.86817581504147,0,-4.14275371211607
"CM002236.1.263387.264387",0,0,0,-4.08135746823318
"CM002236.1.265388.266388",0,0,0,-2.83722810977821
"CM002236.1.290632.291632",0,0,0,-4.61725234914953
"CM002236.1.292166.293166",0,0,0,-4.61303872113817
"CM002236.1.297770.298770",0,0,0,-4.20641313285036
"CM002236.1.301352.302352",0,0,0,-3.90683272230813
"CM002236.1.8867649.8868649",-2.41852945436173,-2.45649905620207,-0.97278693446864,-1.27648313916619
"CM002236.1.9651509.9652509",0,0,-2.74561510437806,-1.95813713694667
"CM002236.1.9688732.9689732",0,0,-3.98799159684558,-2.3181777859778
"CM002236.1.9690543.9691543",0,0,-3.57324300964786,-2.88496290381304
"CM002236.1.9688977.9689977",0,0,-3.72011546793079,-2.61065321410745
"CM002236.1.9693340.9694340",0,0,-2.7727124760771,-1.67988604769602
"CM002236.1.9693631.9694631",0,0,-2.50226496960703,-1.44282225198289
"CM002236.1.9758596.9759596",0,0,-3.02094324940238,-2.6096408800989
"CM002236.1.9772169.9773169",0,0,-3.99113549910392,-3.08099857211785
"CM002237.1.11029.12029",0,0,-4.94006750623383,-4.96688346358533
"CM002237.1.10641.11641",0,0,-4.92400907313536,-5.06076707663047
"CM002237.1.13311.14311",1.11572597381524,1.00054305410999,-3.20161581408924,-2.60773941563396
"CM002237.1.18173.19173",0,0,-4.53024944968492,-3.54406901525534
"CM002237.1.18041.19041",0,0,-4.50933446420468,-3.45979567713128
"CM002237.1.35627.36627",0,0,-3.54690336683994,-3.3450035730285
"CM002237.1.38253.39253",0.841216515147399,0,-1.50653705494417,-1.23589296213491
"CM002237.1.41401.42401",0.759628237553827,0,-2.51744553623455,-1.74567125752563
"CM002237.1.50942.51942",0,0,-2.94235091770261,-2.48566361377489
"CM002237.1.55203.56203",0,0,-3.38946873385094,-2.82731598044691
"CM002237.1.69444.70444",0,0,-2.9833245339849,-1.91278162279145
