"","logFC_cac1","logFC_cac2","logFC_cac3","logFC_set7","logFC_ash1"
"CM002236.1.7501.7800",-0.980295313137503,-0.723336980398929,-1.17233089071803,-1.34934871509471,-1.74718606620469
"CM002236.1.7801.8100",-0.627493719835691,-0.428976871414287,-0.91719692401963,-1.64125288772276,-1.48153760121313
"CM002236.1.8101.8400",-0.393216667877341,-0.384152741645428,-1.29099771079466,-1.37279535108254,-2.45078421752096
"CM002236.1.19801.20100",1.19678585338449,1.3966571150246,0.53496330323569,-0.384029635650158,2.25880513255893
"CM002236.1.37801.38100",-0.105058910357438,0.0860901592266892,0.236227510987989,0.925995761605064,-1.3361945752242
"CM002236.1.38101.38400",-0.286989044202627,0.0576051885615097,-0.0383312865357471,0.545521071921843,-1.35831120276436
"CM002236.1.38401.38700",-0.579633374668155,-0.208555145210564,-0.491665089333916,0.584418316010357,-1.41694693882629
"CM002236.1.38701.39000",-0.950864535904656,-0.598978085730161,-1.117645243513,-0.201195928264278,-1.8388058606044
"CM002236.1.39301.39600",-0.629668568804809,-0.732975425462739,-2.05717187833529,-2.45902045670191,-1.00010157410366
"CM002236.1.40801.41100",-1.15908878529943,-1.04293810586145,-0.277847740637711,-1.18407285489175,-1.23767088442099
"CM002236.1.41701.42000",-1.58482575886208,-1.8101352780455,-1.11098326133865,-0.266621496888945,-2.04159197925135
"CM002236.1.42301.42600",-1.52713553953797,-1.72923650152215,-2.19321122512965,-0.321852344433439,-1.7156685262227
"CM002236.1.42601.42900",-0.987914391148079,-1.174551142376,-1.50214140672563,0.35906091000083,-1.68287473851092
"CM002236.1.42901.43200",-0.946908942077873,-1.41649087157487,-2.25446768473437,-0.807988336507731,-1.71365031464284
"CM002236.1.43801.44100",-0.896800726965167,-1.17046076798396,-1.26763348901528,-0.473478641196574,-2.41735425338511
"CM002236.1.44101.44400",-0.633861776069191,-0.969948724599377,-0.724044981995311,0.365423505674157,-2.05605879356011
"CM002236.1.44401.44700",-0.716109720603504,-1.21238187971789,-0.872910019225099,-0.180554989751014,-1.87560057118532
"CM002236.1.45001.45300",-0.932320500094862,-0.644326764776938,-0.796017698005708,-0.300369343641932,-2.02147907856653
"CM002236.1.45301.45600",-0.777321313379069,-0.677941093915164,-0.684696536375618,-0.38547766842842,-1.38145930507556
"CM002236.1.46501.46800",-0.477768213354128,-0.396662711823823,-0.00107094471405304,-0.5182645292722,-2.01917542141173
"CM002236.1.46801.47100",-0.345517423693383,-0.253114934346581,-0.0305380437824842,-0.231434638644616,-1.35165200354594
"CM002236.1.57901.58200",-0.78636512606361,-0.441464581452011,-0.702706730504935,-0.562183661850157,-1.38014984169953
"CM002236.1.58201.58500",0.0826500923587835,-0.287731026958524,-0.0860167733539307,-0.0279517175927904,-1.39769906248424
"CM002236.1.88801.89100",0.739584218941868,1.00819149741314,0.65074720995413,0.0809676291633142,1.82448907178739
"CM002236.1.90301.90600",-0.514853078431498,-1.06198106217671,-1.93264069514399,-1.21281507613366,-1.78118770745659
"CM002236.1.90601.90900",-0.0186482309411398,-0.483509650778003,-1.31980353566728,-0.137375271593424,-1.50683281564165
"CM002236.1.90901.91200",-0.559650911523241,-0.0421365463137104,-1.58002434244258,-0.491226402090059,-2.37881792986181
"CM002236.1.91201.91500",-0.552313365579886,-0.734877408571385,-1.64085825975235,-0.981992319125369,-2.72982646386205
"CM002236.1.91501.91800",-0.344021523826169,-0.469331763742702,-0.646488839982218,0.06619399579857,-2.16730265140972
"CM002236.1.91801.92100",-0.060479648246361,-0.361682288192829,-0.421087037534297,0.288349692943935,-2.6432414837311
"CM002236.1.92101.92400",-0.675663942022465,-0.531480750555165,-0.660583654469624,-0.276354468418731,-1.93625129331521
"CM002236.1.92401.92700",0.322374522129078,0.15729986564559,-0.0503322824532542,0.480012688867196,-1.63735217345073
"CM002236.1.92701.93000",-0.638715684991459,-0.406417453749221,-0.153483138773694,-0.165929790076494,-1.5956704028322
"CM002236.1.93001.93300",-0.477124902018905,-0.292861064929802,-0.31935661106957,-0.177616194340821,-2.6359615539166
"CM002236.1.100501.100800",0.0745567665080684,-0.336944283586839,0.0128318076356925,-0.0767382866329649,-1.18444211915339
"CM002236.1.107701.108000",0.327578244959002,1.17555779593254,0.669182327026828,0.284540986315606,2.37480307982635
"CM002236.1.110701.111000",0.169950144287493,0.102683955195526,0.17080658024604,0.349852293642883,1.09999180457177
