"","logFC_WT","logFC_cac1","logFC_cac2","logFC_cac3","logFC_set7","logFC_ash1"
"CM002236.1.1501.1800",0.201074010310956,1.35523719628237,0.980125253672906,0.223104350061974,1.12858079842473,-0.0936481754410961
"CM002236.1.2101.2400",-1.51451049758647,-1.65119095972752,-1.16059317884799,-2.2160490034922,-1.68562052522908,-0.711708253761546
"CM002236.1.2401.2700",-2.62933140343472,-1.54401226209224,-0.771102043903552,-2.42294523503247,-4.55979216697568,-1.15218855217246
"CM002236.1.2701.3000",-1.75140805469266,-2.49906044051662,-1.77708037982036,-2.22421286032868,-2.80058087511739,-2.26083066792226
"CM002236.1.3001.3300",-3.45041855057276,-2.53730252672823,-2.46972599759766,-2.69653177807627,-4.26681362156281,-1.56547805920529
"CM002236.1.3301.3600",-1.32821495769737,0.190671549627668,-0.74355370766324,-0.563749609354689,-1.45427856333567,-0.197272116350837
"CM002236.1.3901.4200",1.31362810310672,1.53744586011436,1.71854771350904,1.97955768998958,1.5961285620895,1.08352774604038
"CM002236.1.4201.4500",1.23849866361147,1.33912695014111,1.29262779813409,1.85236577745454,2.24541641626652,1.6348382983947
"CM002236.1.4501.4800",0.482477081307935,0.142596396970873,0.374305696003347,0.37405111358189,-0.0645431434215766,1.36726047703976
"CM002236.1.4801.5100",-1.10772653513947,-0.955735095944358,-0.62460434926496,-1.37841916076789,-1.1621328995111,0.32740772096503
"CM002236.1.5101.5400",-1.47450239676391,-0.716974162981202,-0.750498126633909,-0.89187017179874,-2.18288909577173,0.292649991628551
"CM002236.1.6001.6300",0.740049090845126,0.896708529312883,1.02855451783832,0.959920414895162,0.626708736145448,0.685969466488425
"CM002236.1.15001.15300",-0.251267529894532,-0.479452051594018,-0.371823856020215,-0.782009680786217,-1.9108951010657,-1.31951786595035
"CM002236.1.15301.15600",-0.830738544566525,-0.547887160259544,-0.400135199650514,-1.09806027093058,-1.91214440254843,-1.2942919936526
"CM002236.1.15601.15900",-0.630453660595061,-0.518014125695366,-0.464773391914799,-1.16115828474856,-2.69083054041017,-0.36019654606392
"CM002236.1.15901.16200",-1.1874630374224,-1.11538942434409,-0.836412848405395,-1.18499097391857,-2.77679335942368,-1.23855491482802
"CM002236.1.16201.16500",-1.60293669071974,-1.01110818591094,-1.41145193708978,-2.27183895606514,-3.78470600204293,-1.19174350801309
"CM002236.1.16501.16800",-3.40658739536778,-2.12215158018324,-2.27275536938988,-3.41232791320275,-3.94908315375615,-1.22968041383358
"CM002236.1.16801.17100",-2.61055784435525,-2.37134891397664,-2.28009036494313,-3.13575398585416,-3.69684184268812,-1.39251143621843
"CM002236.1.17101.17400",-4.80203099274944,-3.41670348420951,-3.28957273336944,-3.70657839184254,-4.61978154054743,-1.49827875270217
"CM002236.1.17401.17700",-2.01918801114753,-1.88848054282354,-1.80717666934788,-1.61473167917893,-3.02164435132977,-1.35393173571007
"CM002236.1.17701.18000",-1.05461571877078,-1.29551716512369,-1.23084109843952,-1.35040401822534,-2.58324150181867,-1.17477631185562
"CM002236.1.18001.18300",-0.694552373586656,-0.375305210629002,-0.402720107766883,-0.35681113906103,-0.344718226223005,-1.51479134920606
"CM002236.1.18601.18900",0.938752060663747,0.578147295946133,1.17704511926253,0.569598458888044,1.36577846453565,-0.25298784665976
"CM002236.1.18901.19200",0.703944629632251,0.498623742120171,0.698433221800789,0.434417597358884,1.12305835227094,-0.422422719120554
"CM002236.1.19201.19500",-0.197133548474017,-0.259698435160845,-0.0919409864945379,-0.247130706591703,0.372182568321509,-0.787513325348243
"CM002236.1.34201.34500",-1.92880098057476,-2.28459934735896,-2.47639635577109,-3.73747921822426,-5.58551068174783,-1.40536422696486
"CM002236.1.34501.34800",-2.06367784493736,-2.31735115006658,-2.88496028995079,-2.83263037302245,-3.64504555048218,-1.59669587135418
"CM002236.1.34801.35100",-1.80685603826714,-2.06642130326224,-2.00204371775243,-1.7616248235238,-5.32652357630989,-0.786129860152454
"CM002236.1.35101.35400",-1.12257856474789,-1.99581354111372,-2.1404899863941,-1.98997814016078,-3.05715381248532,-1.00992982272601
"CM002236.1.35401.35700",-0.359652237192052,-1.38726080018158,-1.27080859874513,-1.30733627643473,-3.0409385252671,-1.38809201822071
"CM002236.1.35701.36000",0.470528966261005,-0.498723752814897,-0.00994567779493949,-0.841274249581226,-0.947552570998397,-0.938148215691254
