"","logFC_cac1","logFC_cac2","logFC_cac3","logFC_set7","logFC_ash1"
"CM002236.1.3001.3300",0.912912515237828,0.980671362728783,0.753726550530165,-0.81628442262213,1.88482712907733
"CM002236.1.17101.17400",1.3855342917274,1.51264972970369,1.09549788695732,0.182381248056478,3.30377856740082
"CM002236.1.34801.35100",-0.259091224156918,-0.194882237427801,0.0450918278926128,-3.51950237122455,1.02093539963346
"CM002236.1.42601.42900",-0.989828390036975,-1.15754720184069,-1.54116061123861,0.313723715546484,-1.68542955951599
"CM002236.1.44401.44700",-0.729202017173254,-1.2127645560339,-0.874208485019016,-0.164686009492675,-1.88685143671892
"CM002236.1.48301.48600",0.977152044178366,0.174059205002388,-0.0480071439265568,0.196826021152947,1.9374135529801
"CM002236.1.90901.91200",-0.550530522011089,-0.0256146557533177,-1.56724666849796,-0.49488988135231,-2.3817304445381
"CM002236.1.91201.91500",-0.541104132121832,-0.712194952921282,-1.64874329657403,-1.02056561083412,-2.7266084554086
"CM002236.1.180901.181200",-0.600333724040136,-0.857500183774753,-1.35790420974238,-0.0164229334065222,-1.73692247230862
"CM002236.1.181201.181500",-0.11688283481173,-0.317250451006566,-0.27441287579053,-0.166003080405445,-2.14547387339189
"CM002236.1.184801.185100",-0.622301529335729,-0.472170029836043,-0.674089316097442,0.298196359937682,-1.76475539744574
"CM002236.1.185101.185400",-0.859051096111387,-1.36571046227162,-1.23544242454067,-0.373468304371725,-1.86628826645817
"CM002236.1.189301.189600",-0.361509874946427,-0.732396578800466,-0.789275640260362,0.568461717869433,-1.48032799112693
"CM002236.1.189601.189900",-1.08736906901731,-0.714160238521669,-1.66557445638213,0.113302946007889,-1.73023026678108
"CM002236.1.190201.190500",-1.05178815232258,-1.07499295859187,-1.85110554031217,0.327654789053977,-1.9842644301609
"CM002236.1.195301.195600",-1.88897942407086,-2.12525038825168,-2.09905026444295,-0.358367886439146,-1.04699107007491
"CM002236.1.196201.196500",-1.72052744455606,-1.48747272112159,-1.83213956461069,-0.369001277841249,-0.656835547838657
"CM002236.1.197701.198000",-1.14966800087595,-1.43681893950504,-1.8297797870469,-0.680414506016892,-1.11454385107348
"CM002236.1.209401.209700",-0.464834950432195,-0.806615069009323,-1.51587011648837,-0.00686984759306308,-0.0993395155647673
"CM002236.1.210301.210600",-1.19696854494117,-0.828949686333462,-1.74815319376893,0.222174674174288,-0.357078642961296
"CM002236.1.214201.214500",-1.05250400475718,-0.9638634228998,-2.03072159781554,-0.206071940010619,-0.995505645560038
"CM002236.1.214501.214800",-0.364898660347238,-0.160026507066256,-0.988358092333006,0.147076737270516,-1.11537558997321
"CM002236.1.216301.216600",-0.536291948617381,-0.356986034109397,-0.751286150391378,0.0564675694665803,-1.99344153809808
"CM002236.1.216601.216900",-0.562519769556472,-0.842686813059502,-1.20620116602004,0.0244165500913758,-2.62154201476748
"CM002236.1.220801.221100",-0.119189287482225,-0.602189545223961,-0.818726569517033,0.891405285438775,-1.13562609012597
"CM002236.1.221101.221400",-0.155782413091973,-0.244432479375662,-0.771720416914761,-0.0596499686653826,-1.97832602846696
"CM002236.1.246001.246300",-0.258250797408829,-0.0431359035652176,-0.402142209225726,0.385206545920951,-2.01053616808292
"CM002236.1.246301.246600",-0.509362930602182,-0.457847793660329,-0.50831961423352,-0.128040952613876,-2.13688704933811
"CM002236.1.247201.247500",-0.637797966389847,-0.826870248286431,-0.72182673057484,-0.205798653314346,-2.32438349739606
"CM002236.1.247501.247800",-0.262229947185509,-0.631039126451748,-0.48121181236995,0.603677037233478,-1.80923764242009
"CM002236.1.251701.252000",0.184171178455732,-0.34257140430538,-0.267273998395977,0.354873615920432,-1.08567185860678
"CM002236.1.255601.255900",-0.0807042645273359,0.229093238502567,0.269284947073887,0.101860123088586,-1.01069139960859
"CM002236.1.257101.257400",-0.661993792966928,-0.788263304713126,-1.07752098457756,-0.301157637882963,-1.36058246786074
"CM002236.1.257401.257700",0.122700385971931,-0.175417474110762,-0.547640077315768,-0.00384388742031986,-2.23779054111364
"CM002236.1.263101.263400",-0.712431576063203,-0.553579470985403,-1.030755424343,-0.184178939635957,-1.24348746926041
