"","logFC_cac1","logFC_cac2","logFC_cac3","logFC_set7"
"CM002236.1.1201.1500",-0.494051802720064,0.331855497570134,2.10922580645276,2.05074404431729
"CM002236.1.1501.1800",0.687740991300701,0.978760417096555,3.70037763410395,4.37233761599847
"CM002236.1.1801.2100",-0.0101045136601386,0.389470801746092,3.23465010911306,3.22399775613061
"CM002236.1.2101.2400",-0.594254761237973,-0.458358425659533,1.48231291645692,1.66180523982152
"CM002236.1.3301.3600",-0.010921738697505,-0.201976246391918,-1.31349132612719,0.499623845229802
"CM002236.1.4801.5100",0.0529645747992224,-0.217586146241754,1.53252667195771,0.631327576435627
"CM002236.1.5101.5400",0.894359149258337,0.0566829652519745,1.5930943433036,0.118100074743814
"CM002236.1.5401.5700",0.399818238861306,0.51386486702142,2.45808325523462,0.87348046890446
"CM002236.1.5701.6000",-0.73565887735226,-0.463301688081897,1.81456561106196,0.250177062825845
"CM002236.1.6001.6300",0.380150622432326,0.528460263517381,1.6890046459508,1.18883544733262
"CM002236.1.15601.15900",0.704900895684567,0.30813650882443,2.28972850138124,0.798933731321869
"CM002236.1.15901.16200",0.722161267757175,1.1051528549111,3.02359254136617,1.5858897454375
"CM002236.1.16201.16500",1.18865460357196,1.41604311421258,2.88639695408037,0.423043460705969
"CM002236.1.16501.16800",0.363481115748227,0.798097036746228,1.64948203730319,-0.401719600735428
"CM002236.1.17401.17700",0.227008690554074,0.937154555577956,2.89759995120761,1.21373155533796
"CM002236.1.17701.18000",-0.776333861353358,2.0268463281821,3.20496586758391,2.90301212118858
"CM002236.1.18001.18300",-0.649692438379769,1.85663690762449,2.93577813061669,2.93579353766103
"CM002236.1.18301.18600",-0.788528865726035,0.878793115503791,2.19175939730209,2.3645839018842
"CM002236.1.18601.18900",-0.984424299614579,1.3413767872493,1.87286239074496,2.36753899853575
"CM002236.1.19201.19500",-1.33953447607107,0.48574619666152,1.37513080549575,0.839676740400826
"CM002236.1.34501.34800",0.255519517457285,0.119824708035571,1.94083927758928,1.00085609794913
"CM002236.1.34801.35100",0.251620256296633,0.176063995881668,2.83352504878269,1.92453251176709
"CM002236.1.35101.35400",-0.940027098596063,0.0968933221200514,2.55060784343492,1.80634415763129
"CM002236.1.35401.35700",-0.221819857154452,0.373115338825416,2.07882417031273,1.65315874457561
"CM002236.1.35701.36000",-0.736937039838255,0.468498328386383,1.89085222130925,1.80910038127739
"CM002236.1.36001.36300",-0.0748907757983988,1.85575176732305,2.61634971574302,3.06454558859546
"CM002236.1.36301.36600",-0.729695725551933,0.975452461007247,2.39321506544414,2.76942348631517
"CM002236.1.36601.36900",-0.914985415755709,0.494993622987216,1.50939212521241,1.67173943643655
"CM002236.1.41701.42000",0.390371099517321,0.156411542519772,2.7757511693897,0.465569886972425
"CM002236.1.42001.42300",-0.92097607883751,-0.230806832912158,2.13436723554836,-0.468774620845666
"CM002236.1.42301.42600",-0.50235493375559,0.22657587021261,2.34718938160721,-0.256874212005442
"CM002236.1.42601.42900",-0.366495813910738,0.350164642522384,1.96217204059067,0.294725358964839
"CM002236.1.42901.43200",0.272347012037155,0.570900676570412,1.98525227732731,-0.703061423538362
"CM002236.1.45601.45900",-0.164052885227255,0.676802561680895,1.55304970140317,0.728983780615266
"CM002236.1.45901.46200",-0.0394679529256632,0.427735565485413,2.76012289826681,1.55868060620803
"CM002236.1.46201.46500",0.875625623550286,1.43171028276916,3.91717680545913,2.2314861893535
"CM002236.1.46501.46800",1.09986939159481,2.01768501102808,4.38645927085765,2.82875828878418
"CM002236.1.46801.47100",0.315923595366375,0.778064549632871,3.34747108368197,2.25294388023619
"CM002236.1.47101.47400",0.527340048685466,1.93200500092435,3.47875425127028,2.73459238400771
"CM002236.1.47401.47700",-0.638403933200244,0.691475733924511,2.6432665735142,1.74724405058219
