"","logFC_WT","logFC_cac1","logFC_cac2","logFC_cac3","logFC_set7"
"CM002236.1.1150.2878",-1.82479273576612,-1.81439572861372,-1.41408615258869,0.829539683161462,0.833719493233889
"CM002236.1.3177.6443",1.11030677523092,0.84997507411767,0.96018423247134,1.28229884986035,1.40654219293643
"CM002236.1.15929.16647",-1.99784471365307,-1.10137774639828,-0.949936011050549,0.665127725403915,-1.13704221236055
"CM002236.1.17440.19615",-1.59855365786575,-2.27348733539431,0,0.776519922628208,0
"CM002236.1.34980.39245",-2.03723529227222,-2.40266694348141,-1.53690285564637,0,0
"CM002236.1.40949.42632",-1.8689101786856,-2.15525723269355,-1.64991336045748,0,-1.48711983111861
"CM002236.1.43708.44551",-2.03519114934282,-2.00771129167677,-1.68946470504541,-1.5808964084092,-1.49730024951315
"CM002236.1.45331.48154",-1.63443431686398,-1.27908242492615,0,1.4980409537804,0
"CM002236.1.59145.61150",-1.86704640167952,-2.0744100044304,-1.71116056554567,-1.30559442936493,-1.16493101743605
"CM002236.1.91323.92593",-1.8377120964753,-2.11374941605674,-1.68543640722559,-1.22613953097176,-1.35660576572035
"CM002236.1.181222.181975",-1.86674566699741,-1.59063484845864,-1.56077733082054,-1.57591631436816,-1.17284392911719
"CM002236.1.182427.185051",-1.81595093606641,-1.97653629536257,-1.6677690304736,-2.00279739048107,-1.47694926937491
"CM002236.1.186039.188208",-1.85193618258449,-2.17697147970489,-1.64744144863436,-2.09557439646386,-1.44463424986938
"CM002236.1.188530.189595",-1.70096224068019,-1.94568559327367,-1.52579584988338,-1.75656282365652,-1.29749293131531
"CM002236.1.190406.191138",-1.86573856186536,-2.00183001443785,-1.74233790276381,-1.91395311960247,-1.13224909257521
"CM002236.1.193143.194064",-1.94562280125253,-2.08766781379429,-1.98678999297496,-2.46835284031184,-1.67295669170995
"CM002236.1.195020.195335",-1.66289954100075,-1.70950283927071,-1.51106857899776,-2.19152353665637,-1.13398378472125
"CM002236.1.195780.196290",-1.82334697300796,-1.60908816116212,-1.51782730399825,-1.75678262415371,-1.00041026295559
"CM002236.1.198194.198497",-1.99096290814705,-1.83887140500448,-1.30171969382473,-2.0766083245552,-1.59423485535418
"CM002236.1.208394.209343",-2.04613705931875,-2.32760854230033,-1.98521836905615,-2.11609992920996,-1.65450978136553
"CM002236.1.210486.212487",-2.1429607259001,-2.47744705927817,-1.92149501161301,-2.52413722565954,-1.55839476028511
"CM002236.1.214619.215734",-2.08451158841534,-1.32701984776371,-0.887149836350864,-0.82522887898384,-0.844935144468699
"CM002236.1.216104.216521",-2.09812136655256,-1.6998447410919,-1.20025347252858,-1.62880749454206,-1.22749009649976
"CM002236.1.219395.220979",-1.97674518675482,-1.75754596485218,-1.91952825224862,-1.92208783618135,-1.5694772201088
"CM002236.1.224661.224874",-1.57956546704337,-1.5724236173188,-0.771721986708538,-0.88351585215262,0
"CM002236.1.243323.246248",-2.07929648292164,-1.78834829716895,-1.51572349562386,-1.9127792547206,-1.19500537495415
"CM002236.1.246886.247478",-1.57745255581065,-1.8367094473492,-1.3995731595592,-1.76393496188971,-1.43688796024469
"CM002236.1.249096.251944",-2.04118371008726,-2.08225122106468,-1.6351452864198,-2.00725728628469,-1.55297725363741
"CM002236.1.254974.255694",-1.50124247798211,-1.88230584455382,-1.62321650226179,-1.7564410729772,-1.44707650615546
"CM002236.1.256165.256694",-1.8011412183797,-1.87497512896635,-1.22293091331199,-1.46377948758249,-1.09441178802899
"CM002236.1.257492.259361",-2.19949618871494,-2.42768288669718,-1.72171215716956,-2.07610944837417,-1.65574716405135
"CM002236.1.262019.263387",-2.05079091340036,-1.76321720272472,-1.46046901983894,-1.90262619423405,-1.21357625381433
"CM002236.1.264035.265388",-1.62680548684698,-1.85619677524779,-1.26142554880962,-1.77143972777371,0
"CM002236.1.291632.292877",-2.14633596822329,-2.03546389952145,-1.6723348768053,-2.02538101846447,-1.4802585444266
"CM002236.1.293166.294573",-1.72528884250664,-2.20298146865365,-1.75297174090263,-1.82153610710101,-1.24064341179857
"CM002236.1.296498.297770",-1.80094396577033,-2.06768428251685,-1.75350876081085,-2.19485101986217,-1.49534951436636
"CM002236.1.302352.303729",-1.7385038866291,-2.20280397882624,-1.73052590159588,-1.86530345909004,-1.32055188851427
"CM002236.1.8866489.8867649",-2.28384254749253,-2.31927218525864,-1.85005814857633,-1.89406451634183,-1.38875134524619
"CM002236.1.9649954.9651509",1.5281848900182,1.54404140019828,1.58107002519399,1.77256202709933,1.58877830967949
"CM002236.1.9687687.9688732",-2.71744080280224,-2.06102799554946,-1.96969791977455,-2.25003048804291,-2.46932388292326
"CM002236.1.9689584.9690543",-2.20875037931192,-2.18452452838412,-1.78481931956181,-1.74577130121434,-1.54539988488164
"CM002236.1.9689977.9690773",-2.02649882013285,-2.34412156846501,-1.89529564258381,-1.67765733539665,-1.27748700612219
"CM002236.1.9692169.9693340",-1.33195832383403,-1.54865912316944,-1.25678164462347,0,0
"CM002236.1.9694631.9697675",-2.37968327411866,-2.15390445369077,-1.89098361478791,0,-1.60526596884553
"CM002236.1.9759596.9762612",-2.5985595592748,-2.48297268933198,-2.91897384025686,-2.64478391851019,-4.12951517962124
"CM002236.1.9770840.9772169",-1.86363439052337,-1.68539576657831,-1.59770219326244,-1.92060799064726,-1.90775850957514
"CM002237.1.8926.11029",-2.25829754511657,-2.11338464702443,-1.48933058276112,1.18828877135641,0.750703870393137
"CM002237.1.11641.12594",-1.76908702831058,-1.09182317856346,0,2.27290026281646,1.91101601810962
"CM002237.1.12520.13311",-2.30229452474628,-1.50753050764199,-0.98550686336798,2.43731989156451,1.57146509656171
"CM002237.1.15942.18173",-2.48855226166785,-2.51525362923814,-1.76106733961444,-0.94100854747719,-1.76778183196565
"CM002237.1.19041.19908",-2.21358212664995,-2.1657700986488,-1.75560567769554,-1.66251305539732,-1.96809077103044
"CM002237.1.34370.35627",-1.85694484690623,-1.87269609897036,-2.02134158730677,-0.826324886911284,-1.42390127049784
"CM002237.1.36176.38253",-1.88586822853371,-1.68992504122243,-1.50575363519506,0.895171621465924,0
"CM002237.1.40798.41401",-2.11100994225508,-1.62122339825057,-1.50590588040435,-1.17533757331299,-1.31412705865474
"CM002237.1.51942.53778",-1.87326655758448,-2.27897425096819,-1.60846442434072,-0.89787369948161,-1.24858350986436
"CM002237.1.56203.56983",-1.71711578978595,-1.77334815440668,-1.59821324092095,-1.54252076762888,-1.42219185840096
"CM002237.1.70444.71887",-1.71174246056123,-2.14731864085401,-1.53051896998884,-1.5300080083302,-1.25892875459692
"CM002237.1.73201.74342",-2.00513653364072,-1.91255874026625,-1.36267588284714,-1.43104215355295,-1.46241139124662
"CM002237.1.74558.75400",-1.75900187798327,-1.38357676162905,-1.68223658508844,-1.32217550815304,-1.33325739765853
"CM002237.1.76424.78257",-1.82772591121562,-1.81702721721088,-1.74821024715407,-0.71433345619806,-1.2968614568092
"CM002237.1.107019.108114",-1.59946044970952,-1.85633249332311,-1.31086918039832,-0.999465260993774,-0.991190725633593
"CM002237.1.147606.148334",-1.84769552181912,-2.03533205765817,-1.32532029267289,-1.28471829394888,-1.08680982736792
"CM002237.1.562860.563629",-1.82918119296839,-1.30063795792172,-0.862841684806544,-1.40325901801216,-0.994566645386722
"CM002237.1.564402.565440",-1.96352344482328,-1.56755342914239,-1.88327818081111,-1.54997533108164,-1.63127710054876
"CM002237.1.565861.567505",-1.78574738906983,-2.1211226789506,-1.89270226626272,-2.04331563247694,-1.42766646712393
