"","logFC_WT","logFC_cac1","logFC_cac2","logFC_cac3","logFC_set7"
"CM002236.1.2578.3378",0,0,0,-0.803271156032806,0
"CM002236.1.2677.3477",0,0,0,0,0.665981681489169
"CM002236.1.15429.16229",-1.8966564905751,-1.13283481087609,-1.21743236655157,0.607981713633597,-0.84426657681274
"CM002236.1.16940.17740",-2.53118805318925,-2.18537769963729,-1.1508947548276,0,0
"CM002236.1.34480.35280",-2.08682439169508,-2.06121335539608,-1.97691083673418,0,0
"CM002236.1.42332.43132",-1.86591349765307,-1.82015483116976,-1.29149753658406,0,-1.7376260565339
"CM002236.1.44251.45051",-2.42922100033161,-2.3053786583988,-1.9551808069751,-1.58604323853739,-1.74050686129747
"CM002236.1.47854.48654",-2.45223945866118,-1.9940992305201,-1.52466318249581,0,-1.07776272890782
"CM002236.1.58645.59445",-1.71363267883844,-1.92169944409366,-1.42080131882058,-1.37885206204141,-0.995575553361339
"CM002236.1.90823.91623",-1.88893064735609,-1.93016563233222,-1.51719901061562,-1.27381691844381,-1.17421352522112
"CM002236.1.180722.181522",-1.93889963789015,-1.71815904542771,-1.54928750148425,-1.77122846514159,-1.23757631733622
"CM002236.1.184751.185551",-1.87092748138702,-1.94959241736424,-1.69550115913946,-1.7422119575957,-1.06418442734102
"CM002236.1.185539.186339",-2.05449161626449,-2.20569293587672,-1.86488809497004,-1.90834274837589,-1.59744657904095
"CM002236.1.189295.190095",-1.6291112233025,-2.10533645427601,-1.56428730756828,-1.71980145820116,-1.6731597805263
"CM002236.1.189906.190706",-1.97162624183566,-2.05507183908668,-1.6187396055836,-1.80372960459383,-1.5416873847006
"CM002236.1.193764.194564",-2.22293218001123,-2.44597606928353,-2.24202659700297,-2.55568014465606,-2.15648287935096
"CM002236.1.195035.195835",-1.90180631919216,-1.97254199365493,-1.77344479020333,-2.35628344079926,-1.2054019333345
"CM002236.1.195990.196790",-2.19573545617018,-1.90262681720839,-1.88463535606045,-2.00049133494517,-1.52574990879647
"CM002236.1.197694.198494",-1.96524750862319,-2.04839617206765,-1.49331231771683,-2.12511139902552,-1.56286726428401
"CM002236.1.209043.209843",-1.97741856511223,-2.77316253463611,-1.98938679867735,-2.33598126169533,-1.59443175495368
"CM002236.1.209986.210786",-2.39585576213515,-3.07860840035079,-2.05450789545305,-2.54312321964577,-2.30995096348777
"CM002236.1.214119.214919",-2.04697724469331,-1.63806188810314,-0.99880164537354,-0.975941983518659,-0.8441982043085
"CM002236.1.216221.217021",-2.01541726795151,-1.82548056442219,-1.3644544844653,-1.73358464842884,-1.30907934073923
"CM002236.1.220679.221479",-2.31938560457595,-1.7078423220975,-1.8022221798103,-1.75914148165984,-1.23074211030667
"CM002236.1.224161.224961",-1.84641470369469,-1.95029083203264,-1.46581802949982,-1.6242816544702,-1.45587936964952
"CM002236.1.245948.246748",-1.90660036413515,-1.877397931119,-1.38927372102527,-2.19940776366153,-1.6160045830184
"CM002236.1.247178.247978",-1.4497175177886,-1.60945442093837,-1.47848723612303,-1.92705431576395,-1.29990271676491
"CM002236.1.251644.252444",-2.35872624370629,-1.89728919239712,-1.89868206231247,-1.90617219671311,-1.42098487103597
"CM002236.1.255394.256194",-1.65713463185985,-1.96494274526683,-1.34621194547551,-1.79676814844639,-1.26259749584373
"CM002236.1.255665.256465",-2.04495114196731,-1.90341619751092,-1.39898274934663,-1.73538178964552,-1.19852758588938
"CM002236.1.256992.257792",-1.94307682274723,-2.0814242183145,-1.56083226964052,-2.2610523298551,-1.46723024437409
"CM002236.1.263087.263887",-2.18047985345867,-2.14445015716312,-1.475121412444,-1.89137069771291,-1.68624603464001
"CM002236.1.265088.265888",-1.90101212754002,-1.668839849045,-1.2862292229121,-1.97332864219381,0
"CM002236.1.291132.291932",-2.27861929357606,-2.12039935015044,-1.74519609554103,-2.24075346172556,-1.61644134492575
"CM002236.1.292666.293466",-1.68031536958152,-2.39399318462952,-1.87870079323464,-1.99608873175706,-1.31028023384048
"CM002236.1.297470.298270",-1.78616817103881,-1.97839372166977,-1.56690283005028,-2.02265332523434,-1.59335452196006
"CM002236.1.301852.302652",-1.76170127001463,-2.6642891863306,-1.84496636113417,-2.01568947943931,-1.60294901743686
"CM002236.1.8867349.8868149",-2.21531597785348,-2.19366911937628,-2.03320658713173,-2.17984528255762,-1.88838016182651
"CM002236.1.9651209.9652009",0,0,0,1.14060110693227,0
"CM002236.1.9688432.9689232",-1.80769841315683,-2.01069756658635,-1.62180602260096,-1.75383857552025,-1.63818111018977
"CM002236.1.9690243.9691043",-2.04713457039858,-2.49872255700614,-1.99692547341538,-1.72550610387441,-1.49614234309647
"CM002236.1.9689477.9690277",-2.09415413299414,-2.11087470376097,-1.77554373982341,-1.72172593974168,-1.50594015585372
"CM002236.1.9693040.9693840",-1.79584147521576,-1.92922613861609,-1.51279209564467,0,0
"CM002236.1.9694131.9694931",-2.72181722134277,-2.2084763121893,-2.11279751162845,-0.723356408879391,-2.13277204638977
"CM002236.1.9759096.9759896",-2.41574618948719,-1.8255989440616,-2.40377980626931,-2.53283437236809,-3.62365914381983
"CM002236.1.9771869.9772669",0,0,0,0,0
"CM002237.1.10729.11529",-1.75334485047103,-1.74847667329439,-0.875085611295298,1.90988186243036,1.46641072795584
"CM002237.1.11141.11941",-1.71171520280806,-1.39116442571955,-0.731261943755869,1.73212888668969,1.66175148880249
"CM002237.1.13011.13811",-2.43073210958856,-1.61603004000181,-1.48005113035208,1.07026947053828,0
"CM002237.1.17873.18673",-2.91026368154334,-2.86257635305163,-2.16902974909133,-1.83053273863799,-2.70297069624268
"CM002237.1.18541.19341",-2.69854772731336,-2.52911957208182,-1.88296691516713,-1.95021254450167,-2.16984925378447
"CM002237.1.35327.36127",-1.72019077173185,-1.93003204901946,-1.85832104456421,-1.15133797142509,-1.46152656042955
"CM002237.1.37953.38753",-2.81822201320192,-2.261180008194,-2.60399418982277,0,-1.87811887701158
"CM002237.1.41101.41901",-1.93216588814259,-1.66200857428391,-1.40108013806857,0,-0.740322902206103
"CM002237.1.51442.52242",-1.64523133266872,-2.27624626143779,-1.73849598418393,-0.962450497307419,-1.30024900524318
"CM002237.1.55703.56503",-1.71991949505562,-1.96946634277119,-1.53563530671983,-1.35782698223318,-1.35279128546002
"CM002237.1.69944.70744",-1.87445610461351,-1.8703845284541,-1.71271936404263,-1.71930103523237,-1.56804663300751
"CM002237.1.74042.74842",-1.87498275268112,-1.46854579371075,-1.35258353012073,-1.04999777864845,-1.11505080837271
"CM002237.1.75100.75900",-1.83621895101133,-1.494985305985,-1.81497466494142,-1.63436731052715,-1.51346316885937
"CM002237.1.75924.76724",-1.5470992328081,-1.47049479984547,-1.41471695195136,0,-1.04443835330068
"CM002237.1.106519.107319",-1.80987542764317,-1.68956451967728,-1.3771562571999,-1.40675098633121,-0.92629536453958
"CM002237.1.148034.148834",-1.77347231793888,-2.2363227521076,-1.46580774696676,-1.42384009113192,-1.27464676360911
"CM002237.1.562360.563160",-1.6974752440595,-1.56628344585051,-1.0494862644705,-1.81660578503579,-1.1945792104204
"CM002237.1.563902.564702",-1.81887169810903,-1.6048163482586,-1.73535046207815,-1.86937874148886,-1.33260549827218
"CM002237.1.567205.568005",-2.05658825509903,-1.77508225453398,-1.94065533653342,-2.05103631938236,-1.36910488486274
"CM002237.1.570012.570812",-2.11303125408667,-2.28471719027088,-1.7785732319557,-1.9154409159019,-1.27627925445507
"CM002237.1.584652.585452",-1.86822018659107,-2.27663271576338,-1.3330270592926,-1.79055428880195,-1.41674850116455
"CM002237.1.1678293.1679093",-1.39893310422714,-1.47479097625153,-1.33183542769141,-1.72822258089865,-1.30449975257692
"CM002237.1.1680016.1680816",-1.9795703358977,-1.87202600475438,-1.39350586207546,-1.56438200953587,-1.58519220115141
"CM002237.1.1684246.1685046",-2.0585689209006,-2.07163342670599,-1.68682674101239,-1.97675196550077,-1.70103517492676
"CM002237.1.1685413.1686213",-1.9983118553414,-1.89956178178734,-1.29073256746472,-1.4750397794138,-1.10156313101043
"CM002237.1.4045843.4046643",-2.03333941162112,-2.31539395233517,-2.03295406027349,-2.17604011692603,-2.19051758364554
"CM002237.1.4164974.4165774",-2.32345221680244,-2.16881816306169,-1.7150491285655,-2.05883604869256,-1.60279157517487
"CM002237.1.4297962.4298762",-2.049998931935,-2.40972427365361,-1.72883103005491,-2.00348564736817,-1.61293120162201
"CM002237.1.4448562.4449362",-1.79184189116948,-1.92100991009371,-1.51640027160922,-1.45222587324153,-1.14769883514029
"CM002237.1.4452064.4452864",-1.35685285074007,-1.79696716336703,-1.18386441476221,1.10880175795249,0.917735540335734
"CM002237.1.4465817.4466617",-1.8064016097823,-1.65805885315568,-1.51120886222985,-1.43512197113082,-1.42543042022266
"CM002237.1.4468112.4468912",0,0,0.586371094280317,1.23292930934917,1.74117276028941
"CM002238.1.8756.9556",0,0,0,0.705163301086298,1.46490166519096
"CM002238.1.12370.13170",-2.22743839354609,-2.08827262957927,-2.42845035745557,-1.49926988898896,-1.7776635250352
"CM002238.1.28670.29470",-0.73229933648987,0,0,0.723122108383522,1.10422121083159
"CM002238.1.31099.31899",-2.21923818713626,-2.08088244159303,-1.85540052259038,-1.96508466714533,-2.14346806160366
"CM002238.1.161104.161904",-1.86654482905499,-1.96658914207654,-1.75902844643809,-1.48790683054549,-1.94404557082618
"CM002238.1.163382.164182",-1.58235223413134,-2.10795959836755,-1.70445968302108,-1.77285150901996,-1.39631127796707
"CM002238.1.166707.167507",-1.71200488496484,-1.61261875293086,-1.56266973636436,-1.82851514493522,-1.3848822579415
"CM002238.1.199869.200669",-2.03598745183113,-1.63252059715083,-1.51043683978173,-1.78996272711026,-1.44402298430536
"CM002238.1.218938.219738",-2.9305375330055,-2.19411543544047,-2.20313867387154,-2.26795000093266,-2.00658555170822
"CM002238.1.221318.222118",-2.05068813799918,-2.03221360256779,-1.73025323628848,-2.11153641622617,-1.54724653410164
"CM002238.1.223609.224409",-2.80154473539643,-2.26109439346396,-2.30404961579635,-2.69294427200664,-2.90600746538397
"CM002238.1.223865.224665",-2.84473306455592,-2.53472675016383,-2.34080205647234,-2.80404549384423,-3.03164908875074
"CM002238.1.225208.226008",-2.13669769026879,-2.56968814239133,-1.68898354939199,-1.83168525773252,-1.62950604055377
"CM002238.1.229158.229958",-2.09807724172266,-2.1294873517506,-1.77754654689526,-2.05857644181554,-1.76356626806969
"CM002238.1.233668.234468",-2.15850355747736,-2.17100149295036,-1.78761268330773,-2.02461790291885,-1.6722484222105
"CM002238.1.234420.235220",-2.22638839612066,-2.51498934467893,-2.02556160459011,-2.44640967806335,-1.72850423672769
"CM002238.1.238077.238877",-2.48577899264208,-2.43019754280904,-2.3327146108085,-1.27894929626825,-1.56258415632213
"CM002238.1.238907.239707",-2.42288873761499,-2.37898481551765,-2.48059559218195,-2.17245305909954,-1.9446828017479
"CM002238.1.243448.244248",-2.27727087415804,-2.50097714490554,-2.03284417571557,-2.20612250016448,-1.76142122865441
"CM002238.1.247105.247905",-2.07968401432575,-2.19332415742964,-1.83283994212024,-1.96918390649896,-1.67312800432031
"CM002238.1.251898.252698",-2.66432609788616,-2.10590449244304,-1.86280547183836,-2.17680439412271,-2.42690773724673
"CM002238.1.264122.264922",-2.1474190036777,-2.12124980346096,-1.73752001460175,-1.57980427757691,-1.77209821211708
"CM002238.1.266239.267039",-2.53618093127085,-2.23372095800119,-2.04004770875371,-2.25205220502993,-2.36092356455565
"CM002238.1.268561.269361",-1.79879062954824,-2.07387383379989,-1.86038646856148,0,0
"CM002238.1.271606.272406",-2.39899267818288,-1.96738334243005,-1.79253404545521,-2.12306178071861,-1.69478073066315
