"","logFC_cac1","logFC_cac2","logFC_cac3","logFC_set7"
"CM002236.1.2578.3378",-0.267549798011158,-0.24109019591927,-0.950587795735405,0.169238368563922
"CM002236.1.2677.3477",-0.2485085683262,-0.17402334934698,-0.954027095413649,0.16716548054679
"CM002236.1.15429.16229",0.763821679699004,0.679224124023531,2.5046382042087,1.05238991376236
"CM002236.1.16940.17740",0.345810353551955,1.38029329836164,2.82162760320423,2.03228752903608
"CM002236.1.34480.35280",0.0256110362989978,0.109913554960893,2.39373564690743,1.64594218288022
"CM002236.1.42332.43132",0.0457586664833122,0.57441596106901,2.26339130275536,0.128287441119175
"CM002236.1.44251.45051",0.12384234193281,0.474040193356507,0.84317776179422,0.688714139034141
"CM002236.1.47854.48654",0.458140228141073,0.927576276165371,2.23694754998505,1.37447672975336
"CM002236.1.58645.59445",-0.208066765255227,0.292831360017855,0.334780616797029,0.718057125477099
"CM002236.1.90823.91623",-0.0412349849761394,0.371731636740461,0.615113728912272,0.714717122134968
"CM002236.1.180722.181522",0.220740592462434,0.389612136405899,0.167671172748555,0.701323320553928
"CM002236.1.184751.185551",-0.07866493597722,0.175426322247559,0.128715523791319,0.806743054045994
"CM002236.1.185539.186339",-0.151201319612237,0.189603521294444,0.146148867888594,0.457045037223535
"CM002236.1.189295.190095",-0.47622523097351,0.0648239157342222,-0.0906902348986643,-0.0440485572237975
"CM002236.1.189906.190706",-0.0834455972510187,0.352886636252063,0.167896637241829,0.429938857135057
"CM002236.1.193764.194564",-0.223043889272294,-0.0190944169917416,-0.332747964644827,0.0664493006602732
"CM002236.1.195035.195835",-0.0707356744627653,0.128361528988834,-0.454477121607101,0.696404385857668
"CM002236.1.195990.196790",0.29310863896179,0.311100100109725,0.195244121225014,0.669985547373707
"CM002236.1.197694.198494",-0.0831486634444612,0.471935190906364,-0.159863890402327,0.402380244339179
"CM002236.1.209043.209843",-0.795743969523871,-0.0119682335651178,-0.3585626965831,0.382986810158551
"CM002236.1.209986.210786",-0.682752638215643,0.341347866682098,-0.147267457510621,0.0859047986473769
"CM002236.1.214119.214919",0.408915356590174,1.04817559931978,1.07103526117466,1.20277904038481
"CM002236.1.216221.217021",0.18993670352932,0.650962783486206,0.281832619522666,0.706337927212281
"CM002236.1.220679.221479",0.611543282478448,0.517163424765654,0.560244122916113,1.08864349426928
"CM002236.1.224161.224961",-0.103876128337957,0.380596674194866,0.222133049224485,0.390535334045163
"CM002236.1.245948.246748",0.029202433016146,0.517326643109881,-0.292807399526387,0.290595781116745
"CM002236.1.247178.247978",-0.159736903149771,-0.0287697183344338,-0.477336797975351,0.149814801023693
"CM002236.1.251644.252444",0.461437051309175,0.460044181393825,0.452554046993182,0.937741372670324
"CM002236.1.255394.256194",-0.307808113406982,0.310922686384337,-0.139633516586544,0.39453713601612
"CM002236.1.255665.256465",0.141534944456388,0.645968392620681,0.309569352321787,0.846423556077928
"CM002236.1.256992.257792",-0.13834739556727,0.382244553106717,-0.317975507107861,0.475846578373143
"CM002236.1.263087.263887",0.036029696295559,0.705358441014671,0.289109155745766,0.494233818818669
"CM002236.1.265088.265888",0.23217227849502,0.614782904627925,-0.0723165146537852,1.74571903188929
"CM002236.1.291132.291932",0.158219943425612,0.53342319803503,0.0378658318504992,0.66217794865031
"CM002236.1.292666.293466",-0.713677815047996,-0.198385423653113,-0.315773362175535,0.370035135741043
"CM002236.1.297470.298270",-0.192225550630955,0.219265340988532,-0.236485154195533,0.192813649078748
"CM002236.1.301852.302652",-0.902587916315969,-0.0832650911195409,-0.253988209424672,0.158752252577769
"CM002236.1.8867349.8868149",0.0216468584772025,0.182109390721756,0.0354706952958612,0.326935816026968
"CM002236.1.9651209.9652009",0.354424173103217,0.24449473762244,0.70346436527769,0.491314850848493
"CM002236.1.9688432.9689232",-0.202999153429517,0.185892390555872,0.0538598376365812,0.169517302967063
"CM002236.1.9690243.9691043",-0.45158798660756,0.0502090969832046,0.321628466524179,0.550992227302115
"CM002236.1.9689477.9690277",-0.0167205707668224,0.318610393170738,0.372428193252462,0.588213977140425
"CM002236.1.9693040.9693840",-0.133384663400336,0.283049379571089,1.76907062293351,1.11454443242681
"CM002236.1.9694131.9694931",0.513340909153466,0.609019709714313,1.99846081246338,0.589045174952999
"CM002236.1.9759096.9759896",0.590147245425588,0.0119663832178819,-0.117088182880895,-1.20791295433264
"CM002236.1.9771869.9772669",-0.21094880273922,-0.314942679225159,-0.983614215755978,-0.0561868778584609
"CM002237.1.10729.11529",0.00486817717663455,0.878259239175729,3.66322671290139,3.21975557842687
"CM002237.1.11141.11941",0.320550777088511,0.980453259052193,3.44384408949775,3.37346669161055
"CM002237.1.13011.13811",0.81470206958675,0.950680979236481,3.50100158012685,2.78541514492892
"CM002237.1.17873.18673",0.0476873284917065,0.741233932452014,1.07973094290535,0.207292985300656
"CM002237.1.18541.19341",0.169428155231547,0.815580812146231,0.748335182811696,0.528698473528899
"CM002237.1.35327.36127",-0.209841277287607,-0.138130272832361,0.568852800306754,0.258664211302296
"CM002237.1.37953.38753",0.557042005007922,0.214227823379146,2.69161718929754,0.940103136190344
"CM002237.1.41101.41901",0.270157313858684,0.531085750074023,1.89427005375012,1.19184298593649
"CM002237.1.51442.52242",-0.631014928769061,-0.0932646515152096,0.682780835361306,0.344982327425546
"CM002237.1.55703.56503",-0.249546847715572,0.184284188335793,0.362092512822438,0.367128209595603
"CM002237.1.69944.70744",0.00407157615941089,0.161736740570888,0.155155069381145,0.306409471606003
"CM002237.1.74042.74842",0.406436958970376,0.522399222560394,0.824984974032676,0.759931944308413
"CM002237.1.75100.75900",0.341233645026332,0.0212442860699089,0.201851640484177,0.32275578215196
"CM002237.1.75924.76724",0.076604432962626,0.132382280856738,1.47169703033733,0.502660879507425
"CM002237.1.106519.107319",0.120310907965894,0.432719170443273,0.403124441311956,0.883580063103589
"CM002237.1.148034.148834",-0.462850434168719,0.307664570972119,0.349632226806952,0.498825554329771
"CM002237.1.562360.563160",0.131191798208987,0.647988979588997,-0.119130540976295,0.502896033639099
