"","logFC_WT","logFC_cac1","logFC_cac2","logFC_cac3","logFC_set7"
"CM002236.1.2878.3878",1.43384587307902,1.13124125271958,1.30708134099666,0.570704972199262,1.62213997216042
"CM002236.1.2177.3177",-1.20130123251955,-1.39554439303104,-1.39028949687593,0,0
"CM002236.1.14929.15929",-2.01802832835347,-1.47295837200289,-1.60895968849773,0,-1.09579755511012
"CM002236.1.16440.17440",-2.61388998718485,-1.98985196630048,-1.52961545871161,0,-2.04157797086375
"CM002236.1.33980.34980",-2.41320993930866,-2.18077333802466,-2.28446134468836,0,-1.02555331814814
"CM002236.1.42632.43632",-1.94613978797137,-2.09373864557853,-1.61954652620445,0,-1.93009870846478
"CM002236.1.44551.45551",-2.46547174262239,-2.45275220942059,-2.04732104097753,-1.49178135776396,-2.07433117089081
"CM002236.1.48154.49154",-2.59771498811595,-2.1868610226723,-2.20826105396042,-1.71051833644724,-2.15869305195134
"CM002236.1.58145.59145",-1.85206977933156,-1.86438181419493,-1.5360057443507,-1.43151236128114,-1.05160356714595
"CM002236.1.90323.91323",-2.21168887026878,-1.98048916560294,-1.60687341905509,-1.7385007406471,-1.58872235296726
"CM002236.1.180222.181222",-1.9662902682454,-1.58004137280623,-1.42078747776607,-1.67669942032156,-1.28071869728596
"CM002236.1.185051.186051",-1.99408230433592,-2.21132023050986,-1.97323120545879,-2.02704124427943,-1.73012541069807
"CM002236.1.185039.186039",-2.02407289639961,-2.22773626240349,-1.95886548215528,-2.0412748159198,-1.72837117298615
"CM002236.1.189595.190595",-1.91239086191063,-2.13288987892463,-1.71356461632756,-1.90124118173861,-1.68156022086423
"CM002236.1.189406.190406",-1.84023627222715,-2.22248333343586,-1.65663066464205,-1.85862611287778,-1.52613473377455
"CM002236.1.194064.195064",-2.18128733533909,-2.85007880752429,-2.09345205003505,-2.61205373867618,-2.17674638543506
"CM002236.1.195335.196335",-1.9253110176401,-1.82873535886093,-1.65382063451043,-2.13786876784907,-1.06285135907827
"CM002236.1.196290.197290",-2.4274979801213,-2.26826880424762,-2.16923097067405,-2.34937735148456,-1.85785398256368
"CM002236.1.197194.198194",-2.1076388229442,-2.12128631249145,-2.00028820725475,-2.21025713610936,-1.86511766092917
"CM002236.1.209343.210343",-2.22737095402816,-3.13815685321874,-2.2504974815872,-2.71519918769983,-2.02056742818491
"CM002236.1.209486.210486",-2.11498484864918,-3.09231568670806,-2.21694892900794,-2.64292254897564,-2.0710339158969
"CM002236.1.213619.214619",-2.04369936672914,-2.05500387639441,-1.43953765276295,-1.61265929362176,-1.22984133080442
"CM002236.1.216521.217521",-2.17563455836218,-1.77092555925084,-1.5377004223057,-1.93394986378354,-1.42536426158897
"CM002236.1.220979.221979",-2.09245101173701,-1.90466805568585,-1.782242515522,-1.74790911058696,-1.38118855734711
"CM002236.1.223661.224661",-1.90861573255044,-1.8024932897089,-1.48822349826936,-1.7006894261765,-1.61023958076261
"CM002236.1.246248.247248",-1.79574278214086,-1.89009581129867,-1.38738605549345,-2.06018962078606,-1.63858825553956
"CM002236.1.247478.248478",-1.78975186099752,-1.92150659668707,-1.54604755229083,-2.14377893401861,-1.18219565232734
"CM002236.1.251944.252944",-2.88206401454005,-2.41813179194353,-2.24897715975675,-2.32425403193749,-2.14486727767753
"CM002236.1.255694.256694",-2.04521571483625,-1.99938947086101,-1.43545525346507,-1.73914598112204,-1.33245637695905
"CM002236.1.255165.256165",-1.62317197967833,-1.83051287191247,-1.50597756063137,-1.74763839869131,-1.39042857565009
"CM002236.1.256492.257492",-2.07419846173993,-1.96576457152662,-1.43808660043421,-1.89485122283573,-1.2666951291928
"CM002236.1.263387.264387",-2.01080514765833,-2.27229636569681,-1.57454556601588,-1.94563888477063,-1.75826080163356
"CM002236.1.265388.266388",-2.31500321541227,-2.3556108428914,-1.74519331695085,-2.31767808954926,-0.95928169576744
"CM002236.1.290632.291632",-2.30219827675801,-2.33769063103768,-1.75148387173372,-2.4926517698881,-1.89326909318667
"CM002236.1.292166.293166",-2.07238840984811,-2.20693721991236,-1.73028532057695,-2.02316445474247,-1.58447474465566
"CM002236.1.297770.298770",-2.14761991001289,-2.19460361258444,-1.79980699165667,-2.2016889383819,-1.61192011383337
"CM002236.1.301352.302352",-2.11411708590327,-2.55040768533924,-1.85421462948697,-2.13474727428236,-1.48155472959228
