"","logFC_cac1","logFC_cac2","logFC_cac3","logFC_set7"
"CM002236.1.2878.3878",-0.302604620359446,-0.126764532082358,-0.86314090087976,0.188294099081397
"CM002236.1.2177.3177",-0.194243160511492,-0.188988264356375,0.65014703698577,0.899141251642259
"CM002236.1.14929.15929",0.545069956350576,0.409068639855737,1.87573688023532,0.922230773243345
"CM002236.1.16440.17440",0.624038020884366,1.08427452847324,2.31295274824865,0.572312016321095
"CM002236.1.33980.34980",0.232436601284002,0.128748594620298,2.08038476875489,1.38765662116052
"CM002236.1.42632.43632",-0.147598857607163,0.326593261766925,1.68868246551137,0.0160410795065913
"CM002236.1.44551.45551",0.0127195332018014,0.418150701644866,0.973690384858438,0.391140571731583
"CM002236.1.48154.49154",0.410853965443654,0.389453934155531,0.887196651668712,0.439021936164615
"CM002236.1.58145.59145",-0.0123120348633769,0.316064034980855,0.420557418050412,0.8004662121856
"CM002236.1.90323.91323",0.231199704665841,0.60481545121369,0.473188129621673,0.622966517301512
"CM002236.1.180222.181222",0.386248895439173,0.545502790479334,0.289590847923844,0.685571570959439
"CM002236.1.185051.186051",-0.21723792617394,0.0208510988771278,-0.0329589399435089,0.26395689363785
"CM002236.1.185039.186039",-0.203663366003877,0.0652074142443278,-0.0172019195201909,0.295701723413454
"CM002236.1.189595.190595",-0.220499017014006,0.198826245583067,0.0111496801720166,0.230830641046402
"CM002236.1.189406.190406",-0.382247061208709,0.183605607585101,-0.0183898406506226,0.314101538452602
"CM002236.1.194064.195064",-0.6687914721852,0.0878352853040409,-0.430766403337086,0.00454094990403231
"CM002236.1.195335.196335",0.0965756587791709,0.271490383129664,-0.212557750208975,0.862459658561826
"CM002236.1.196290.197290",0.15922917587368,0.258267009447253,0.0781206286367412,0.56964399755762
"CM002236.1.197194.198194",-0.0136474895472564,0.10735061568945,-0.102618313165164,0.242521162015024
"CM002236.1.209343.210343",-0.910785899190582,-0.0231265275590436,-0.487828233671674,0.206803525843249
"CM002236.1.209486.210486",-0.977330838058877,-0.101964080358759,-0.527937700326457,0.0439509327522812
"CM002236.1.213619.214619",-0.0113045096652725,0.604161713966188,0.43104007310738,0.813858035924726
"CM002236.1.216521.217521",0.404708999111345,0.637934136056479,0.241684694578642,0.750270296773209
"CM002236.1.220979.221979",0.18778295605116,0.310208496215012,0.344541901150054,0.711262454389905
"CM002236.1.223661.224661",0.106122442841542,0.420392234281078,0.207926306373945,0.298376151787838
"CM002236.1.246248.247248",-0.0943530291578055,0.408356726647415,-0.264446838645196,0.157154526601301
"CM002236.1.247478.248478",-0.131754735689552,0.243704308706689,-0.35402707302109,0.607556208670177
"CM002236.1.251944.252944",0.463932222596516,0.6330868547833,0.557809982602557,0.737196736862521
"CM002236.1.255694.256694",0.0458262439752367,0.609760461371181,0.306069733714215,0.712759337877202
"CM002236.1.255165.256165",-0.207340892234147,0.117194419046955,-0.124466419012978,0.232743404028238
"CM002236.1.256492.257492",0.108433890213303,0.636111861305712,0.1793472389042,0.807503332547127
"CM002236.1.263387.264387",-0.261491218038474,0.436259581642456,0.0651662628877084,0.252544346024772
"CM002236.1.265388.266388",-0.0406076274791348,0.569809898461418,-0.0026748741369866,1.35572151964483
"CM002236.1.290632.291632",-0.0354923542796718,0.550714405024288,-0.190453493130088,0.408929183571343
"CM002236.1.292166.293166",-0.134548810064249,0.342103089271161,0.0492239551056415,0.487913665192453
"CM002236.1.297770.298770",-0.0469837025715476,0.347812918356222,-0.0540690283690075,0.53569979617952
"CM002236.1.301352.302352",-0.436290599435974,0.259902456416292,-0.0206301883790967,0.632562356310988
"CM002236.1.8867649.8868649",-0.0140482460010821,0.110064919406721,0.0314810130545797,0.247351186433658
"CM002236.1.9651509.9652509",0.522052252243986,0.462898961377576,1.88542208423442,0.336126974020537
"CM002236.1.9688732.9689732",-0.0847276186964235,0.38597147261757,0.173534275414844,0.307380538064869
"CM002236.1.9690543.9691543",-0.471711302222627,0.032086457119076,0.615115879617979,0.176165103661383
"CM002236.1.9688977.9689977",-0.03238310174893,0.382595589949742,0.270027036397041,0.498641162573012
"CM002236.1.9693340.9694340",0.306248488234854,0.675893327646541,1.58716484065546,0.905903390005607
"CM002236.1.9693631.9694631",0.483220849201573,0.715594645844797,1.23451227239549,0.590380656847506
"CM002236.1.9758596.9759596",0.827415000324881,0.471411344090197,0.168864792946504,-0.77722299595616
"CM002236.1.9772169.9773169",-0.440265948619309,-0.673324402187156,-1.12913369990489,-0.0207345802984629
"CM002237.1.11029.12029",0.249814649296419,0.973272743017177,3.52674735177367,3.33290255464446
"CM002237.1.10641.11641",-0.18555619558355,0.781919482662188,3.62876474472323,3.17100978108575
"CM002237.1.13311.14311",0.925361941374895,0.548300482773553,1.72509913841233,0.74105720152338
"CM002237.1.18173.19173",0.213153339561854,0.85072701179122,0.672734127288625,0.345625405245787
"CM002237.1.18041.19041",0.0119602218827494,0.652205252378901,0.633493216958246,0.193656846469062
"CM002237.1.35627.36627",-0.00422116714661054,0.333837813710067,0.54225767788467,0.395961036233318
"CM002237.1.38253.39253",0.672319163862997,0.411047916168337,1.34982764893425,0.579200775027882
"CM002237.1.41401.42401",-0.270965281082889,0.352049166503276,2.52783253654108,1.40969109424394
"CM002237.1.50942.51942",-0.386736393704257,0.0882751593290769,0.118902962954938,0.534822384855264
"CM002237.1.55203.56203",-0.419010851771517,0.00632432107260273,0.042213231076282,0.303140611159565
"CM002237.1.69444.70444",-0.00489057858949829,0.18790441692456,-0.0239901908216871,0.03365216029751
"CM002237.1.74342.75342",0.281161238979182,0.130533267297413,0.445337867017889,0.362079957623823
"CM002237.1.75400.76400",0.221971354796187,0.291500541970953,1.16053176397096,0.770615312733966
"CM002237.1.75424.76424",0.10370077600418,0.147020360786321,1.10356498728896,0.698996711733354
"CM002237.1.106019.107019",0.164059321542563,0.307637957467682,0.260208012597379,0.73783475095265
"CM002237.1.148334.149334",-0.631946016964698,0.0534823256304191,0.111960161797325,0.137883599840611
