"","logFC_cac1","logFC_cac2","logFC_cac3","logFC_set7"
"CM002237.1.11101.11400",0.99816161537725,1.07514381156448,1.75502572151935,1.54413685991638
"CM002238.1.4928701.4929000",0.315121734163263,0.897311596953935,1.63487473532043,0.67146784796398
"CM002238.1.5253901.5254200",0.35386827058377,0.586644779923031,1.73297940407977,0.176025916559655
"CM002238.1.5271601.5271900",-0.887547142006439,-0.159148819935868,-2.483629375639,-1.09064075912447
"CM002239.1.360301.360600",0.795449611889175,1.14917200672201,1.72229036497898,1.11255347453044
"CM002239.1.361501.361800",0.671899130299063,0.915627513039982,1.58015661714103,1.18510586671091
"CM002239.1.361801.362100",0.543077537134222,0.760526492052036,1.62357323604537,1.09999437820489
"CM002239.1.465901.466200",1.57471381996127,1.83578983696204,1.74023460297666,1.27773628389608
"CM002239.1.466201.466500",1.05196579292787,1.58962203269727,1.61617339295737,0.882883613822474
"CM002239.1.467401.467700",1.92695577967794,1.61654379546486,1.73309502916373,1.41349067549086
"CM002239.1.506401.506700",1.24133124096064,1.15064028542398,1.58325296980771,1.27714743984634
"CM002239.1.509101.509400",1.14206562820148,1.52171041220892,1.66092038903274,0.823503725358973
"CM002239.1.548401.548700",1.21831187494221,1.37563698261362,1.57155676812119,0.281848670974004
"CM002239.1.557701.558000",0.614240199837385,1.46521904565556,1.82417727854078,1.19924132685312
"CM002239.1.591001.591300",0.656105087341168,1.3081380916997,1.81369594746642,1.05332688658066
"CM002239.1.591301.591600",0.725501925358563,1.11991421727759,1.56288206179836,0.378142388968131
"CM002239.1.5867401.5867700",-0.569162228204441,-0.271659767523631,-3.77341103997719,-0.0550027073668006
"CM002239.1.5867701.5868000",0.151037420104281,-0.431299090834613,-1.84334237207798,-0.68338776525164
"CM002240.1.6214801.6215100",0.69522970826516,1.08009365447775,1.96824192724448,1.28359543295499
"CM002240.1.6231301.6231600",0.883097869793819,1.19624401329569,1.63394388671015,1.21834230185796
"CM002240.1.6411601.6411900",0.5723085953401,0.489804745953581,1.87485263863067,0.820749762134984
"CM002240.1.6412801.6413100",0.286059048434685,0.115185295825378,1.87552359758978,1.37936450801012
"CM002240.1.6414601.6414900",0.248731466562114,0.713472246679285,1.89493138443584,2.04176270157082
"CM002240.1.6414901.6415200",0.415609977460616,0.457944062572297,1.76134639450634,1.74311586125727
"CM002240.1.6416701.6417000",0.637189131437791,0.564539328779614,1.54780455748448,1.3205999657649
"CM002240.1.6417001.6417300",0.423251423168197,0.499126304109029,1.8309417319346,1.74391087086888
"CM002240.1.6417601.6417900",0.437200728764165,0.690258053134972,1.72382445759898,2.1399599975248
"CM002240.1.6420301.6420600",-0.0426674980514211,0.294518611656798,1.79522222510112,1.91665242226121
"CM002240.1.6435301.6435600",0.159447466042451,0.201341551767471,1.549674866474,0.139764384050315
"CM002241.1.3721801.3722100",0.14806941177284,0.0850638073584872,1.64677749496891,1.14642447623085
"CM002241.1.3896401.3896700",0.880704271653727,1.78004403517401,1.80675312812075,1.45922957246109
"CM002242.1.4801.5100",0.0430493442541485,-0.661335073481827,-1.50641750127043,-0.7282578062655
"CM002242.1.661501.661800",0.902916926444672,1.64308362345383,0.943540720983542,2.79577587581189
