"","logFC_WT","logFC_cac1","logFC_cac2","logFC_cac3","logFC_set7"
"CM002236.1.1150.2878",0,0,0,0,0
"CM002236.1.3177.6443",0,0,0,0,0
"CM002236.1.15929.16647",0,0,0,0,0
"CM002236.1.17440.19615",0,0,0,0,0
"CM002236.1.34980.39245",0,0,0,0,0
"CM002236.1.40949.42632",0,0,0,0,0
"CM002236.1.43708.44551",0,0.801208194488715,0.891720455825055,1.22286664960274,0
"CM002236.1.45331.48154",0,0,0,0,0
"CM002236.1.59145.61150",0,0,0,0,0
"CM002236.1.91323.92593",0,0,0,0,0
"CM002236.1.181222.181975",0,0.916438070996116,0,0.861522321495023,0
"CM002236.1.182427.185051",0,0,0,0,0
"CM002236.1.186039.188208",0,0,0,0,0
"CM002236.1.188530.189595",0,0,0,0,0
"CM002236.1.190406.191138",0,0,0,0,0
"CM002236.1.193143.194064",0,0,0,0,0
"CM002236.1.195020.195335",0,0,0,0,0
"CM002236.1.195780.196290",0,0,0,0,0
"CM002236.1.198194.198497",0,0,0,-1.18303796710319,0
"CM002236.1.208394.209343",0,0,0,-0.888041475953217,0
"CM002236.1.210486.212487",0,0,0,0,0
"CM002236.1.214619.215734",0,0,0,0,0
"CM002236.1.216104.216521",0,0,0,0,0
"CM002236.1.219395.220979",0,0,0,0,0
"CM002236.1.224661.224874",0,0,1.322891477558,0,1.32233314521779
"CM002236.1.243323.246248",0,0,0,0,0
"CM002236.1.246886.247478",0,0,0,0,0
"CM002236.1.249096.251944",0,0,0,0,0
"CM002236.1.254974.255694",0,0,0,0,0
"CM002236.1.256165.256694",0,0,0,0,0
"CM002236.1.257492.259361",0,0,0,0,0
"CM002236.1.262019.263387",0,0,0,0,0
"CM002236.1.264035.265388",0,0,0,0,0
"CM002236.1.291632.292877",0,0,0,0,0
"CM002236.1.293166.294573",0,0,0,0,0
"CM002236.1.296498.297770",0,0,0,0,0
"CM002236.1.302352.303729",0,0,0,0,0
