"","logFC_cac1","logFC_cac2","logFC_cac3","logFC_set7"
"CM002238.1.5253901.5254200",0.353537390063878,0.586403835750471,1.73275274295259,0.176254043057559
"CM002239.1.361801.362100",0.543061211740273,0.760173624548936,1.6236685376656,1.10094403168704
"CM002239.1.466201.466500",1.05194468256199,1.58935808019283,1.61678334938088,0.883209305496686
"CM002239.1.467401.467700",1.92682707417156,1.61635576419455,1.73337546165817,1.41361925751485
"CM002239.1.509101.509400",1.14195323740915,1.52155907016219,1.66086594781459,0.823681037247225
"CM002240.1.6411601.6411900",0.57275940517588,0.489448983265778,1.87484285713326,0.821238479003121
"CM002240.1.6414601.6414900",0.248519046121132,0.713296917652693,1.89523790980271,2.04233772595394
"CM002240.1.6414901.6415200",0.415006908794742,0.457549291283124,1.76131514480503,1.74327265822805
"CM002240.1.6420301.6420600",-0.0425236913326386,0.294541509931046,1.79539729519924,1.91708736289899
"CM002240.1.6435301.6435600",0.159116885267134,0.20124868028273,1.54970154336051,0.139800087231882
"CM002241.1.3721801.3722100",0.147724010142646,0.084972699052887,1.64702868746438,1.14617597603341
"CM002241.1.3762901.3763200",0.665651376691923,1.46299358099274,1.24410750570293,1.87748152800581
"CM002241.1.3896401.3896700",0.881243256366893,1.78024186159408,1.80691776663067,1.45951023615417
"CM002242.1.661501.661800",0.903058663551702,1.64290014353882,0.943843622829697,2.7961395179752
