"","logFC_WT","logFC_cac1","logFC_cac2","logFC_cac3","logFC_set7"
"CM002236.1.2578.3378",0.128627690560311,0.157204842877523,-0.133128940996218,0.069436845948899,-0.178267861490782
"CM002236.1.2677.3477",0.133095906919396,0.165889970721911,-0.0322296866411856,0.254678847400739,-0.134890463845366
"CM002236.1.15429.16229",0.569405714395733,0.474241198347401,0.291701082792859,0.588193311926872,0.573194736357789
"CM002236.1.16940.17740",-0.263491836203777,-0.375083723067883,-0.197061177946404,-0.62091746062616,-0.238573004839212
"CM002236.1.34480.35280",-0.441568463178954,-0.463160040685511,-0.592976634731068,-0.614241174172354,-0.799490575821807
"CM002236.1.42332.43132",0.212674738580872,1.14318317901292,0.861574370770485,1.06814592789092,0.920984730679432
"CM002236.1.44251.45051",-0.497265619411565,-0.101605235152753,0.102620003119485,0.421912872284197,0.25409169766646
"CM002236.1.47854.48654",-0.597887103603649,-0.573200487221553,-0.553249712068889,-0.642054339614086,-0.482197912705002
"CM002236.1.58645.59445",-0.0846815885149395,0.219145358858819,0.240346453917935,0.0342686927828101,0.00754760203984768
"CM002236.1.90823.91623",-0.267775748088125,-0.114275631568792,-0.0328622298598324,0.22501420042217,0.511973699801048
"CM002236.1.180722.181522",-0.0343638473470472,0.524182686622654,0.440710175320863,0.577375516614626,0.0603042745723866
"CM002236.1.184751.185551",-0.398299524490532,-0.406155585396198,-0.129484426159034,-0.286733630494439,0.215234297521198
"CM002236.1.185539.186339",-0.30881383008183,-0.185005035333348,-0.115993821897255,-0.682201904661334,0.207779893054779
"CM002236.1.189295.190095",-0.459004275629003,0.00227597667641409,0.122303673406537,-0.00277788737882399,-0.00208549363554741
"CM002236.1.189906.190706",-0.549555369047809,-0.131630436510924,0.231406913972305,-0.391303506657954,0.0435642706005375
"CM002236.1.193764.194564",-0.412880227609324,-0.567152042440415,-0.306200552186114,-0.608717443907729,-0.291140405002622
"CM002236.1.195035.195835",-0.288764668268599,-0.60475290759218,-0.0658086814093955,-0.254570185928855,0.140800627410129
"CM002236.1.195990.196790",-1.04445911627681,-1.16037908223543,-0.790405016795402,-1.0268636290515,-0.371500242287867
"CM002236.1.197694.198494",-0.83844679451546,-1.1630152221481,-0.749366476968127,-1.23297315379242,-0.573743267046606
"CM002236.1.209043.209843",-0.387521644079618,-0.395075786866998,-0.072499977450096,-0.740988881004132,0.185070698031826
"CM002236.1.209986.210786",-0.610237855414911,-0.760425487406099,-0.0528411330123675,-0.384404676627572,0.0503525672238542
"CM002236.1.214119.214919",-0.313918773785888,-0.186258052502633,0.406892245872338,-0.0912742354211584,0.465227662816652
"CM002236.1.216221.217021",-0.139569109791164,-0.1510491002018,0.0522860241947414,-0.114031113021332,0.509411108888537
"CM002236.1.220679.221479",-0.354971449167723,0.104089828500257,-0.081394320553994,-0.335413069250773,0.643434376077185
"CM002236.1.224161.224961",-0.0701235049351317,0.276868519816986,0.668258091050665,0.308311363047085,0.495423335988088
"CM002236.1.245948.246748",-0.274989533788739,-0.0356706229311944,0.329670628934115,-0.166443851676253,-0.241564649807341
"CM002236.1.247178.247978",-0.0493968488562958,0.275885812619005,0.254259856894781,-0.0521258703714816,0.039565248568027
"CM002236.1.251644.252444",0.0102794647450209,0.510200168622892,0.4530977102763,0.0897176713750461,0.471828682467833
"CM002236.1.255394.256194",-0.402700261054538,-0.455601261133635,-0.161185348574707,-0.234797033470654,-0.145742798057412
"CM002236.1.255665.256465",-0.456180909356608,-0.434676748513625,-0.245253300165108,-0.172393755622192,-0.1584354583057
"CM002236.1.256992.257792",-0.293966786170263,-0.287505493424168,-0.092787994323413,-0.457964232153333,0.14653902771188
"CM002236.1.263087.263887",-0.268824078397225,-0.100044349694305,0.19966717552433,-0.34540807152466,0.313708182849775
"CM002236.1.265088.265888",-0.211110393527413,-0.0673954097257445,0.0947057401635931,-0.319649996122879,0.409894722162367
"CM002236.1.291132.291932",-0.770682581964935,-0.752269607266472,-0.240036023094622,-0.590269704666084,-0.0255622854703745
"CM002236.1.292666.293466",-0.827349888833469,-0.944017355464285,-0.694119718311163,-1.09875911435889,-0.0767587468464443
"CM002236.1.297470.298270",-0.212858140477569,-0.0805071913720483,0.107321536065952,-0.15003680248142,-0.103171685216993
"CM002236.1.301852.302652",-0.141211125662932,0.0660754977088981,0.272230039389964,-0.0995190989479414,0.471669872733791
"CM002236.1.8867349.8868149",-0.503964955423261,-0.642147464093938,-0.146371444947611,-0.482417882624967,-0.34390457415996
"CM002236.1.9651209.9652009",-0.616661759279763,-0.568651665982757,0.0100418945746295,0.445150758816224,0.0121531388347938
"CM002236.1.9688432.9689232",0.160912923370109,0.370256041367234,0.317869384546677,0.761469845892688,0.491606094696438
"CM002236.1.9690243.9691043",-0.787063322239096,-0.709734342352271,-0.54438543373729,-0.316016552692395,-0.203782395590191
"CM002236.1.9689477.9690277",-0.0801881680165225,0.23805751046794,0.191491032723014,0.636160745906427,0.5575554229159
"CM002236.1.9693040.9693840",0.222088630683575,0.480982875573592,0.311347692637573,-0.142219021462264,0.251635854841303
"CM002236.1.9694131.9694931",0.372431789629774,0.499553614585186,0.416541195798315,-0.386376954484788,0.269619803394925
"CM002236.1.9759096.9759896",-0.162310590841741,0.223183213101986,0.311044630065974,0.154065683369211,0.241653101992201
"CM002236.1.9771869.9772669",-0.208698599970452,-0.420201215386823,-0.469779303579586,-0.190474415576662,-0.0733109356998938
"CM002237.1.10729.11529",0.254728460350513,0.783660340938691,0.880341722293013,1.32610331767385,1.06436299610768
"CM002237.1.11141.11941",0.528164370228357,1.01634334413027,1.11386230455502,1.61330093761385,1.34082023210648
"CM002237.1.13011.13811",-1.20414065769108,-1.24229046755041,-1.1108172476795,-0.521089166017003,-0.616937387288593
"CM002237.1.17873.18673",0.358152757101107,0.476022416911345,0.378995786763572,-0.228882033701473,-0.114818415905807
"CM002237.1.18541.19341",0.646753289647343,0.734137397045443,0.652757303833082,0.7516109489377,0.990761400756555
"CM002237.1.35327.36127",0.063839363783244,0.104437860535582,-0.0522630859232254,0.731145953255561,0.82613101381674
"CM002237.1.37953.38753",0.589711545230019,0.615595301036208,0.380864734977539,0.498604521534008,0.1853081872533
"CM002237.1.41101.41901",0.461880251948791,0.248781909338696,0.595595269655741,0.752052534866304,0.948151695518332
"CM002237.1.51442.52242",0.178251960324937,0.323728814684192,0.613875279421923,0.640371366421039,0.594906283204662
"CM002237.1.55703.56503",-0.00155047684252841,-0.00272210470574529,0.443719511767261,0.458063516801461,0.571386158534556
"CM002237.1.69944.70744",-0.00992315011527849,0.517770057567363,0.719398715994045,0.691522723709257,0.553435045702649
"CM002237.1.74042.74842",0.258600339573677,0.549466221171965,0.356421229497176,0.903527154148202,0.704479255388786
"CM002237.1.75100.75900",0.223816654199135,0.419380603138438,0.545972508776563,0.823600830372924,0.75536363431547
"CM002237.1.75924.76724",0.54179442438892,0.997661610202771,1.02110195806822,1.13183658397614,1.41745436564436
"CM002237.1.106519.107319",-0.419700087412349,-0.50816617633231,-0.0265004685962426,-0.0402433054207389,0.115196225079551
"CM002237.1.148034.148834",0.233023270509914,0.484959847184278,0.612750730051424,0.697846900028014,0.71151864061138
"CM002237.1.562360.563160",0.341191298050981,0.591080906013097,0.633762568386033,0.291355306728405,0.880399768106234
"CM002237.1.563902.564702",-0.228369716832186,-0.114761379837046,-0.00484964514915998,-0.523388574919252,0.443772668099568
"CM002237.1.567205.568005",-0.564271890085768,-0.158878859958853,-0.381285446327593,-0.626197351410073,0.0640749914718143
"CM002237.1.570012.570812",-0.130511627621146,0.137792959830174,0.272844969929008,-0.136798100229555,0.671708665042006
"CM002237.1.584652.585452",-0.318647366787058,-0.520890101481009,-0.350829685606439,-0.540544517668294,-0.171730225093246
"CM002237.1.1678293.1679093",0.0446633344306113,0.196991045939691,0.442646839424439,0.111666737246778,0.587038986568212
"CM002237.1.1680016.1680816",-0.653763742604169,-0.54784501898695,-0.248215904061012,-0.60643776449819,-0.078367909647594
"CM002237.1.1684246.1685046",-0.409166719069158,-0.358353475824076,0.198426354459064,-0.367817829418978,0.120908560360556
"CM002237.1.1685413.1686213",0.0954690206170334,0.291932717848961,0.505045247977723,0.391988153390519,0.604147095634134
"CM002237.1.4045843.4046643",0.245378633772888,0.254661104151758,0.438473549193755,0.230674378023002,0.669450850029388
"CM002237.1.4164974.4165774",-0.107666398321238,-0.137655072097656,0.181226289725384,0.029093617514582,0.241503214945918
"CM002237.1.4297962.4298762",-0.344603603036591,-0.235981774232841,-0.0895628533543753,0.115454077354456,0.0685285507383862
"CM002237.1.4448562.4449362",-0.3197482906476,0.0713629901198292,0.342717849936928,0.388653927837691,0.373565039115107
"CM002237.1.4452064.4452864",0.263321693361997,0.561299538379403,0.624162005804115,0.717400807157986,0.60370715804491
"CM002237.1.4465817.4466617",-0.0343610230648268,0.279019769389384,0.413374449847865,0.405483091395266,0.379486257105476
"CM002237.1.4468112.4468912",1.8627088520354,1.52255408432788,1.55764847712011,1.67320900132739,1.69993815911726
"CM002238.1.8756.9556",-0.113003029434244,0.0182119783659763,-0.217522890891539,0.31155817497737,0.0262692037344083
"CM002238.1.12370.13170",-1.14740832310493,-0.92055052519194,-1.21010553240012,-1.39753938628142,-0.853788669139127
"CM002238.1.28670.29470",0.248818619942216,0.371513459135869,0.235551193559265,0.528808692234916,0.919398038496727
"CM002238.1.31099.31899",-1.16513779063757,-1.30880267628721,-0.555294610601879,-0.749226725902652,-0.349010724078196
"CM002238.1.161104.161904",-0.585989251394197,-0.27005637003492,0.133828254578059,0.390678207082783,-0.113794358737934
"CM002238.1.163382.164182",-0.496734560078488,-0.10651575372657,0.115531761283845,0.0648460508321609,-0.0215580354559761
"CM002238.1.166707.167507",-1.31509752121964,-1.01298076735833,-0.494813325222407,-0.891540253326853,-0.750192270831079
"CM002238.1.199869.200669",0.314849018764655,0.547480753109997,0.507683705418401,0.291865241744463,0.536310987599849
"CM002238.1.218938.219738",-0.562309516442971,-0.553624789339276,-0.297118308579467,-0.431919569666053,-0.00201521449505023
"CM002238.1.221318.222118",-0.326787903681319,-0.123878781505407,0.0149880591840814,-0.17653302540221,-0.0111794275489099
"CM002238.1.223609.224409",-0.868229849185084,-0.789933756089645,-0.559636342447757,-0.687064745089256,-0.505299537375956
"CM002238.1.223865.224665",-0.774928795143574,-0.646252795192443,-0.676095823826684,-0.842727006837313,-0.519693955521148
"CM002238.1.225208.226008",0.137843455952885,0.375524772981359,0.404043949238637,0.261712567596545,0.733420757793986
"CM002238.1.229158.229958",-0.228679818548919,-0.00448149757394307,0.0751093932734234,0.286140968635589,0.19050168214397
"CM002238.1.233668.234468",-0.17288254650101,0.152390835717907,0.26603499167905,0.312298317685368,0.58633925277848
"CM002238.1.234420.235220",-0.0819580389974481,0.0830482523504218,0.0236031953688562,-0.0837551986116703,0.278752983723872
"CM002238.1.238077.238877",0.057906955450154,0.148948633378079,-0.0103000386484119,-0.366039601149154,0.0391480417777466
"CM002238.1.238907.239707",-0.301945937271116,-0.162099179376453,-0.0196797782150883,-0.451061094118012,0.109027905201328
"CM002238.1.243448.244248",-0.125826541452911,0.42105482474127,0.467547534092381,0.469631734615164,0.299515011565798
"CM002238.1.247105.247905",-0.575026796554253,-0.17427497863742,0.0485183411642552,-0.0964590217391829,0.0957009707384773
"CM002238.1.251898.252698",-0.722503115120247,-0.682259231999576,-0.426051050948937,-0.738869570585546,-0.526922259495561
"CM002238.1.264122.264922",-0.39339128965871,-0.528237013299252,-0.373458931702369,-0.267073614272411,-0.0665212289172616
"CM002238.1.266239.267039",-0.577834268395943,-0.356669456059517,-0.320862115755204,-0.792385675042875,-0.433211694675548
"CM002238.1.268561.269361",0.0205076683140139,-0.137747978205043,-0.0360399314662843,0.0250214651506942,0.498962409954143
"CM002238.1.271606.272406",-0.343439364229077,-0.292767967643486,-0.200468471717861,-0.618702361678294,0.530438635947361
"CM002238.1.273174.273974",0.0599207311859993,0.152749810557689,0.399000368905113,0.472963831693007,0.545098000704342
"CM002238.1.274358.275158",0.474954321611962,0.197154780099577,0.342085774913135,0.0177966965225908,0.402709571058785
"CM002238.1.276272.277072",-0.123791880618649,-0.217311603274241,-0.102930469823166,-0.115849270402604,-0.178263191284927
"CM002238.1.278901.279701",-1.19390210638618,-1.00189406233628,-0.854796567733591,-1.22723080018008,-1.00276073769877
"CM002238.1.280499.281299",-0.503571265488471,-0.472507149622525,0.300117006628018,0.119460513189347,-0.318120872284514
"CM002238.1.284885.285685",-0.158914003557443,-0.0107298380918695,-0.416711004941504,-0.761091479570956,-0.465699426212852
"CM002238.1.284989.285789",-0.302984693399925,-0.200526038970182,-0.57606020191947,-0.992574334531664,-0.651291639051486
"CM002238.1.290525.291325",-0.0662550306359162,0.0513130766165277,0.202453331947095,-0.273662153478695,0.565543444416736
"CM002238.1.291502.292302",0.131073369272818,0.16229542937899,0.0936868248958323,-0.0579236307521296,0.251877423715296
"CM002238.1.295050.295850",-1.19194488167016,-0.790655815994043,-0.808250812414235,-1.15774252092061,-0.463298218646518
"CM002238.1.298261.299061",-0.0825601403358819,-0.00205874289265749,0.0409390504110694,-0.247363177533791,0.0782481393991784
"CM002238.1.299435.300235",-0.500325261239516,-0.484096377970842,-0.188498186228668,-0.552812603625428,0.126804908401149
"CM002238.1.343283.344083",0.0037990972195038,0.1060638721167,0.248969955364957,0.0664126522994636,0.304909293478146
"CM002238.1.344337.345137",-0.683063741985695,-0.485678728572989,-0.256927216939594,-0.603293358633656,0.0183745520002732
"CM002238.1.381726.382526",0.320637211723602,0.200955092905373,0.469467281843656,0.2875882918043,0.960793115695537
"CM002238.1.385739.386539",0.315448591051643,0.515431657778377,0.286559163011297,0.318603250951756,0.806051725129337
"CM002238.1.386520.387320",-0.44079846131293,-0.232648688199706,0.00560084396705366,-0.419570508584479,0.16475721208327
"CM002238.1.390036.390836",-0.344614811017409,-0.537567584330822,-0.0914831334942285,-0.59839522043167,0.382335563956195
"CM002238.1.392753.393553",0.0746943387389499,0.186391557099732,0.494324486898997,0.243252013529664,0.949700989472249
"CM002238.1.393903.394703",-0.198071828294099,-0.0932925427382849,-0.0260976445158641,-0.390612258322763,0.260395603027241
"CM002238.1.395810.396610",-0.618938417198951,-0.6134244785138,-0.572609368168988,-0.671345631889139,0.01133315706814
"CM002238.1.398676.399476",-0.70701480387288,-0.718057537312575,-0.484149876594181,-0.870833418202879,-0.136211411723191
"CM002238.1.400670.401470",0.0741113922702468,0.272502303005611,0.280552090649147,-0.235859939538319,0.394762587630769
"CM002238.1.401680.402480",-0.0743024386430746,0.0395428287382055,0.122518467710899,-0.0802301360950862,-0.188381228909888
"CM002238.1.426275.427075",-0.00454543789137885,0.240236549824286,0.277637005017969,-0.167336659718123,0.412718497270496
"CM002238.1.428247.429047",-0.486024257070079,-0.629653028706114,-0.106786044423474,-0.435794167410236,0.139527570294224
"CM002238.1.429824.430624",0.171264356379164,-0.104172802963031,0.20752351591309,-0.0598566539056302,0.611910188563571
"CM002238.1.449158.449958",-0.139326222878894,0.0265146976202279,0.0587965939390903,-0.0663390213801359,0.587867281930446
"CM002238.1.452295.453095",0.0489209593265329,-0.213647298478531,0.03831853659255,-0.105767908496392,0.367427182792638
"CM002238.1.453978.454778",-0.26369046807342,-0.309275403902264,0.116358521939235,-0.241229453881267,0.366498270817713
"CM002238.1.455157.455957",-0.214791935101803,0.00694127992293792,-0.0115639745263255,-0.142364219124743,0.664483713197793
"CM002238.1.456678.457478",0.305983577509698,0.14135269639063,0.0972026677334233,-0.0153124921487867,0.690714532460131
"CM002238.1.459170.459970",0.120903988153394,0.17124654349177,0.370240728320731,-0.0505706633250957,0.469506694447202
"CM002238.1.554778.555578",-0.066591452520771,-0.220451672278878,0.124927921218634,-0.0718119458562845,0.347623892597703
"CM002238.1.4575276.4576076",-0.0707249019247682,0.0404478358808488,-0.197606128482192,-0.0151987451008593,0.78963172009929
"CM002238.1.4605854.4606654",-0.0920752515184118,-0.0757428619262138,0.243997604771518,-0.0386058518421444,0.488265470273066
"CM002238.1.4626622.4627422",-0.35760465079562,-0.783502742534742,-0.0182813929202374,-0.393224259010172,-0.155986001774032
"CM002238.1.4631034.4631834",-0.243641926296698,0.0969505971062403,0.0239130308678381,0.176002720403779,0.710257672455733
"CM002238.1.4635713.4636513",-0.540777833063446,-0.686854035472599,-0.134568558579197,-0.0909302865922053,0.0854837440071393
"CM002238.1.4638996.4639796",-0.272306272606039,-0.155844417245216,-0.298176187084686,-0.579520033824195,-0.180200797655136
"CM002238.1.4639645.4640445",-0.416918835690394,-0.343751730477939,-0.385895119509181,-0.530835982752031,-0.0271032464290473
"CM002238.1.4645191.4645991",0.0814286978188493,0.451856409007056,0.511950933746244,0.344309761910014,0.651098846670456
"CM002238.1.4646952.4647752",-0.487265041128527,-0.1779341966378,-0.113042753858955,0.183505884812447,0.418356532969032
"CM002238.1.4648939.4649739",-0.243405604421958,-0.102511531571296,-0.0624240866913071,-0.141737043029543,0.437791495021842
"CM002238.1.4651897.4652697",-0.609248055317693,-0.995610075953743,-0.391904701042614,-0.672425990601776,0.0905999157944686
"CM002238.1.4654446.4655246",-0.895144212413391,-0.265918376205408,-0.314821257385346,-0.50502455072785,0.279617854885679
"CM002238.1.4655793.4656593",-0.451853309161529,-0.475574738901255,0.0024213966500892,-0.407544852919913,0.37253259193213
"CM002238.1.4658149.4658949",-0.200002007637581,-0.229366452629592,0.0513898731483183,-0.137938500594827,-0.0544631201658744
"CM002238.1.4673230.4674030",-1.50039199088238,-0.85185779710292,-0.690124381702098,-0.47850877552541,-0.46905419956532
"CM002238.1.4676070.4676870",-0.999560172956927,-0.857515957885845,-0.365570610690188,-0.770164856746079,-0.347624817840223
"CM002238.1.4677579.4678379",-0.375973355224509,-0.134560390401743,0.107069475782739,-0.308999792253948,0.301731229086662
"CM002238.1.4679732.4680532",-0.361989842869744,-0.391420554541666,0.0879327151998695,-0.25268806117369,0.331334839317722
"CM002238.1.4684005.4684805",0.248323042952095,0.0577641441820856,0.563213359214776,0.387931239085509,1.07759448468422
"CM002238.1.4723682.4724482",-0.291094151679945,-0.0991514433424018,0.0132598154973383,-0.153319439111537,0.0356748653380349
"CM002238.1.4726129.4726929",-0.122033738532548,0.381666909574406,0.0143183494993928,0.322655929896402,0.610366239367934
"CM002238.1.4726308.4727108",-0.156733811171811,0.294910786149898,-0.00756555513741622,0.380826968248929,0.514588861647771
"CM002238.1.4732041.4732841",-0.315795795565117,-0.256302108325205,0.00297043355438599,0.237379040240979,0.290922891413486
"CM002238.1.4735425.4736225",-0.444941680855645,-0.240484404345962,-0.0750067313454251,0.0626199992107496,0.375544326973425
"CM002238.1.4742100.4742900",-0.824584500212534,-0.751665925741203,-0.396420184832071,-0.470978581635478,-0.0997906722751882
"CM002238.1.4742761.4743561",-0.59035799217195,-0.653186704387498,-0.296572046944637,-0.474937059194049,-0.0887251912372509
"CM002238.1.4745695.4746495",-1.46147299372478,-1.07247377475146,-0.916183898983626,-1.74550535694779,-0.583859555482641
"CM002238.1.4749047.4749847",-0.885854386555328,-0.640158131313914,-0.539660954503921,-0.921165824844145,-0.316315609296605
"CM002238.1.4751518.4752318",-0.212363822680644,-0.0283077806426266,0.219420854188573,0.143042655030328,0.468579436776303
"CM002238.1.4754327.4755127",-0.169398576559092,-0.125576068944105,0.0433982549901831,-0.111450462691167,0.355800341952773
"CM002238.1.4757058.4757858",-0.155919201858336,-0.210141845634591,0.204416694582104,0.143989785237812,0.391348782426112
"CM002238.1.4759136.4759936",-0.389126227568931,-0.364297606874018,0.138786406814394,0.282886216878193,0.431222950092664
"CM002238.1.4764024.4764824",-0.0462559190459191,-0.0340642966169203,0.258145194569524,0.3206553104218,0.38968147822599
"CM002238.1.4765864.4766664",-0.347090329919109,-0.261062811698666,-0.102571563315067,0.196666072963473,0.267206724913269
"CM002238.1.4768723.4769523",-0.690260602160054,-0.242947226618036,0.00796716575407664,-0.403416528948871,0.304572883395179
"CM002238.1.4769436.4770236",-0.273892443355239,-0.483575992796266,-0.00942089515418425,-0.171339490772645,0.337281563104623
"CM002238.1.4772142.4772942",-0.470549793222814,-0.665863344626111,-0.334642573422207,-0.623280107289238,-0.065629209399151
"CM002238.1.4772653.4773453",-0.474479196515676,-0.428563635000541,-0.534451503742376,-0.606625801230283,0.0798964607847157
"CM002238.1.4775445.4776245",-0.745778744641815,-0.662549055859,-0.3091712998538,-0.425706749503099,-0.210176929323262
"CM002238.1.4777522.4778322",-0.384033717422314,0.148705492971546,-0.126244157981095,-0.443098343471914,-0.0104557913675358
