"","logFC_cac1","logFC_cac2","logFC_cac3","logFC_set7"
"CM002237.1.11101.11400",0.9983253543473,1.0752909027595,1.75499973099697,1.54404054359475
"CM002239.1.360301.360600",0.795554891347356,1.14924375884788,1.72207893263419,1.11242609232079
"CM002239.1.361501.361800",0.672128206817924,0.915674882235777,1.58018903717946,1.18508829334636
"CM002239.1.465901.466200",1.57502634187481,1.83586457647666,1.74008992771344,1.2773720811573
"CM002239.1.558001.558300",0.360967412188454,0.747849623358828,1.46406877720747,0.71371937420649
"CM002239.1.591001.591300",0.656016078728615,1.30810441425167,1.8136011423239,1.05323756180029
"CM002239.1.5867701.5868000",0.151173673113607,-0.431361553609395,-1.84349758278144,-0.68347806808644
"CM002240.1.6214801.6215100",0.695337468152119,1.08015185055215,1.96820485752153,1.28323827361959
"CM002240.1.6412801.6413100",0.28629654115453,0.115346985816921,1.87551656398546,1.37928098558283
"CM002240.1.6417601.6417900",0.437092341154704,0.690310314089705,1.72386286977976,2.13983108573791
"CM002242.1.4801.5100",0.0432355142696138,-0.661153211099031,-1.50643840453672,-0.728263720975766
